# Antarctic & Greenland-GRIP Synchronization Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2438
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/iso_bl98.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1998
# --------------------
# Title 
#	Study_Name: Antarctic & Greenland-GRIP Synchronization Data
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Data from the synchronization of Antarctic records to the Greenland GRIP record:
#	********************************************************************************
#	The data was used for Figures 2 of Stauffer et al., 1998 and Blunier et al., 1998. 
#	These references should only be used referring to the synchronised Antarctic time scale 
#	but not to the original data.  References to the original data are also given above.
#
#	GRIP (Greenland IceCore Project)
#	================================
#	The GRIP time scale is the reference time scale. It's construction is described in 
#	Johnsen et al., 1992 and Johnsen et al., 1995 which should also be referenced in that respect. 
#	0 yr BP corresponds to 1989.
#
#	Antarctic synchronised time scales:
#	===================================
#	The Antarctic records are synchronised to the GRIP record via the fast variations of the 
#	global methane signal. The uncertainty of this synchronization is time dependent 
#	(see Blunier et al., 1998 and Stauffer et al., 1998 for details).
#	The Byrd time scale for the isotope and for the CO2 record differ. This is so since gas is 
#	occluded not at the surface of the ice sheet but in a depth of 50-100 m depending on the site 
#	characteristics. This makes a gas sample from a specific depth younger than the surrounding ice.
#	The time period 25-17 kyr BP was excluded from the synchronization, since only low CH4 variations 
#	appear during that period making the correlation uncertain.
#	Note: The CO2 time scale given here is not identical to the one published in Stauffer et al., 1998. 
#	The difference is in the order of 200yr and arises due to 
#	1) the exclusion of the time period 25-17 kyr BP which was used in Stauffer et al. 1998, and 
#	2) a stronger smoothing of the age scale derived from the CH4 synchronization.
#
#	Warnings:
#	=========
#	None of the used time scale is considered as absolute. Thus fluctuations in the annual layer 
#	thickness show up in the synchronised Antarctic cores. This variations must not be taken as real. 
#	However the synchronization is not dependent on absolute time scale. The reliability of the 
#	synchronization is higher on the Byrd side since Vostok has an ice age gas age difference 
#	10 fold larger than the Byrd one.
#
# --------------------
# Publication
#	Authors: T. Blunier, J. Chappellaz, J. Schwander, A. Dällenbach, B. Stauffer, T. F. Stocker, D. Raynaud, J. Jouzel, H. B. Clausen, C. U. Hammer & S. J. Johnsen
#	Published_Date_or_Year: 1998-02-13
#	Published_Title: Asynchrony of Antarctic and Greenland climate change during the last glacial period
#	Journal_Name: Nature
#	Volume: 394
#	Edition: 	
#	Issue: 
#	Pages: 739-743
#	DOI: doi:10.1038/29447 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A central issue in climate dynamics is to understand how the Northern and Southern hemispheres are coupled during climate events. The strongest of the fast temperature changes observed in Greenland (so-called Dansgaard–Oeschger events) during the last glaciation have an analogue in the temperature record from Antarctica. A comparison of the global atmospheric concentration of methane as recorded in ice cores from Antarctica and Greenland permits a determination of the phase relationship (in leads or lags) of these temperature variations. Greenland warming events around 36 and 45 kyr before present lag their Antarctic counterpart by more than 1 kyr. On average, Antarctic climate change leads that of Greenland by 1–2.5 kyr over the period 47–23 kyr before present.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Vostok
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: 78.49
#	Southernmost_Latitude: 78.49
#	Easternmost_Longitude: 106.833
#	Westernmost_Longitude: 106.833
#	Elevation: 3488 m
# --------------------
# Data_Collection
#	Collection_Name: 98Vost01
#	Earliest_Year: 49964
#	Most_Recent_Year: 10043
#	Time_Unit: yb_1989
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years before 1989 AD,,,,,N
##delD	delD,,,permil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	delD
35272	-476.9
35356	-475.8
35437	-471.9
35517	-474
35596	-473.3
35673	-470.2
35749	-472.3
35824	-469.2
35897	-468.8
35969	-469.6
36041	-467.9
36111	-466.9
36179	-463.5
36245	-461.6
36309	-463
36444	-468.6
36512	-468.1
36580	-467.6
36649	-465
36717	-464.1
36784	-464.9
36852	-466
36921	-466.6
36991	-465.1
37061	-466.4
37132	-467
37205	-467.3
37279	-470
37356	-471.1
37435	-472.9
37517	-474.9
37602	-476
37690	-478.9
37781	-476.5
37871	-472.7
37960	-474.5
38049	-472.6
38137	-468.8
38224	-470.6
38312	-472.4
38499	-474.1
38594	-474.1
38688	-474.5
38784	-475.9
38883	-473.5
38980	-468.5
39074	-471
39171	-474
39270	-472.3
39369	-471.4
39467	-470.5
39566	-471.3
39666	-472.7
39767	-473.5
39871	-474.5
39976	-475.3
40083	-475.8
40191	-475.8
40299	-474.4
40407	-473.1
40829	-472.1
40934	-470
41038	-468.3
41140	-468.3
41242	-469.7
41345	-470.2
41448	-470.2
41552	-469.5
41656	-469.5
41759	-468.2
41860	-465.6
41961	-470.2
42065	-474.5
42173	-474.2
42284	-476
42395	-475.2
42505	-470.6
42610	-471.8
42716	-474.2
42823	-473
42929	-472.1
43033	-472.8
43137	-471.5
43239	-467.2
43336	-467.2
43432	-471
43529	-472.3
43627	-468.1
43720	-463.9
43809	-463.4
43897	-462.9
43982	-463.3
44068	-465.7
44152	-461.6
44234	-460
44314	-463.3
44394	-461.7
44473	-460.9
44551	-464.5
44630	-467
44709	-462.8
44786	-460.8
44860	-464.7
44936	-467.1
45012	-465.3
45086	-465.9
45160	-465.5
45233	-467.1
45306	-469.8
45380	-468.7
45453	-468.3
45525	-468.6
45595	-467.8
45664	-466.2
45731	-466
45798	-469.3
45867	-471.8
45934	-465.6
45999	-465.9
46066	-473.2
46138	-472.7
46213	-472
46288	-474.8
46363	-474.4
46437	-473.5
46511	-475.1
46585	-476.8
46659	-474.8
46731	-475
46798	-478.3
46865	-476
46930	-470.1
46992	-472.5
47054	-477.9
47119	-475.5
47183	-473.3
47245	-473.6
47307	-473.4
47370	-477.7
47435	-482.3
47503	-480.8
47580	-479.2
47666	-481
47745	-477.6
47815	-472.6
47882	-474.9
47949	-475.4
48017	-475.5
48086	-477.7
48156	-477.7
48226	-478.2
48297	-478.5
48367	-476.3
48436	-474.1
48504	-474.8
48572	-474.9
48639	-472.3
48706	-473.7
48773	-475
48840	-473.5
48907	-471.2
48971	-469
49035	-470.5
49100	-473.9
49166	-472.8
49233	-474.2
49301	-475.5
49369	-471.7
49435	-471.2
49501	-474
49568	-474.7
49636	-472.3
49703	-473.5
49769	-472.5
49835	-469.7
49900	-469.9
49964	-468.4
