# Northern European 2000 Year Summer Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:16975
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/europe/northerneurope2014temperature.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
# --------------------
# Contribution_date
#	Date: 2014
# --------------------
# Title 
#	Study_Name: Northern European 2000 Year Summer Temperature Reconstruction

# --------------------
# Investigators
#	Investigators:  Esper, J.; Düthorn, E.; Krusic, P.J.; Timonen, M.; Büntgen, U.
# --------------------
# Description_and_Notes
# 	Description: Summer temperature reconstruction based on integrated tree-ring maximum density (MXD) data sets of Nscan (Esper et al. 2012) and Torneträsk (Schweingruber et al. 1988)
#	
# --------------------
# Publication
#	Authors: Jan Esper, Elisabeth Düthorn, Paul J. Krusic, Mauri Timonen, and Ulf Büntgen
#	Published_Date_or_Year: 2014-07-15
#	Published_Title: Northern European summer temperature variations over the Common Era from integrated tree-ring density records
#	Journal_Name: Journal of Quaternary Science
#	Volume: 29		
#	Edition: 
#	Issue: 5
#	Pages: 487-494
#	DOI: 10.1002/jqs.2726
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: Tree-ring chronologies of maximum latewood density are most suitable to reconstruct annually resolved summer temperature variations of the late Holocene. The two longest such chronologies have been developed in northern Europe stretching back to the 2nd century BC, and the 5th century AD. We show where similarities between the two chronologies exist, and combine portions of both into a new summer temperature reconstruction for the Common Era. To minimize the transfer of potential biases, we assess the contribution of the candidate reconstructions' measurements, and exclude data (i) from exceptionally young and old trees, and (ii) produced by different laboratory technologies. Our new composite reconstruction reveals warmer conditions during Roman, Medieval and recent times, separated by prolonged cooling during the Migration period and Little Ice Age. Twentieth century warmth, as indicated in one of the existing density records, is reduced in the new reconstruction, also affecting the overall, millennial-scale, cooling trend over the late Holocene (-0.30C per 1000 years). Due to the reduced biological memory, typical for tree-ring density measurements, the new reconstruction is most suitable for evaluating the rate and speed of abrupt summer cooling following large volcanic eruptions.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: Mainz Geocycles Excellence Cluster
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Northern Europe
#	Location: Europe
#	Country: 
#	Northernmost_Latitude: 70.00
#	Southernmost_Latitude: 50.00
#	Easternmost_Longitude: 30.00
#	Westernmost_Longitude: 5.00
#	Elevation: m
# --------------------
# Data_Collection
#	Collection_Name: 14Neur
#	Earliest_Year: -17
#	Most_Recent_Year: 2006
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years AD,,,,,N 
##tempanom-JJA  surface temperature anomaly, MXD,,degrees C, Jun-Aug, , , reconstruction,N
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	tempanom-JJA
397	-0.814390402
398	-0.402450176
399	0.607467798
400	-0.920697558
401	1.590808983
402	0.620756192
403	0.594179403
404	-0.362584993
405	0.00949005
406	2.228651914
407	1.577520589
408	1.617385772
409	1.471213433
410	1.976172421
411	0.461295459
412	-0.455603754
413	-0.933985952
414	-2.236248603
415	-0.455603754
416	-1.5319637
417	-2.435574519
418	-1.651559249
419	-0.86754398
420	-0.960562741
421	-1.877461954
422	-1.226330629
423	-0.136682288
424	0.474583854
425	0.301834727
426	-0.787813614
427	1.285175912
428	0.979542841
429	0.607467798
430	1.962884026
431	0.514449037
432	0.301834727
433	-0.601776092
434	1.192157151
435	0.926389263
436	-0.694794853
437	-0.561910909
438	-0.495468937
439	-1.093446685
440	0.062643628
441	0.846658897
442	0.687198164
443	0.607467798
444	1.298464306
445	0.275257938
446	-0.548622515
447	-1.571828883
448	0.036066839
449	0.062643628
450	0.22210436
451	1.178868757
452	1.139003574
453	0.049355233
454	-1.000427924
455	-0.216412655
456	-0.229701049
457	0.261969544
458	0.580891009
459	-2.767784379
460	0.022778444
461	-0.668218064
462	-1.74457801
463	0.979542841
464	-1.013716318
465	-0.389161782
466	0.195527572
467	-0.854255586
468	0.155662388
469	0.155662388
470	0.062643628
471	-1.704712827
472	0.461295459
473	1.33832949
474	-1.505386911
475	-0.056951922
476	0.142373994
477	-0.588487698
478	-0.495468937
479	-0.53533412
480	-0.309431415
481	-0.256277838
482	1.471213433
483	2.188786731
484	0.394853487
485	0.859947291
486	1.710404533
487	-0.840967191
488	0.541025826
489	1.524367011
490	1.00611963
491	0.979542841
492	1.059273207
493	2.54757338
494	0.88652408
495	1.657250955
496	1.298464306
497	1.803423293
498	1.258599123
499	0.899812474
500	2.069191181
501	1.537655405
502	2.09576797
503	1.5509438
504	-0.189835866
505	0.421430276
506	0.607467798
507	2.441266224
508	1.457925039
509	2.454554619
510	1.125715179
511	-1.106735079
512	0.88652408
513	1.471213433
514	1.125715179
515	-0.389161782
516	1.165580362
517	-0.030375133
518	0.700486559
519	1.33832949
520	-0.030375133
521	-0.043663528
522	-1.000427924
523	0.434718671
524	-1.146600262
525	0.594179403
526	-0.030375133
527	-0.774525219
528	1.019408024
529	0.780216925
530	-0.455603754
531	0.88652408
532	-0.296143021
533	-0.136682288
534	-0.070240316
535	0.620756192
536	-2.927245111
537	0.448007065
538	-1.811019982
539	0.00949005
540	-1.146600262
541	-2.156518236
542	-0.508757331
543	-2.222960208
544	-2.07678787
545	-1.146600262
546	-1.08015829
547	-0.694794853
548	0.354988304
549	-1.558540489
550	-0.096817105
551	-1.784443193
552	-0.229701049
553	1.325041095
554	0.115797205
555	-0.468892148
556	1.404771462
557	-0.508757331
558	1.524367011
559	0.620756192
560	-1.74457801
561	0.753640136
562	0.780216925
563	0.248681149
564	-0.907409163
565	-0.694794853
566	-0.056951922
567	0.102508811
568	1.245310729
569	-1.19975384
570	1.285175912
571	0.580891009
572	0.155662388
573	0.168950783
574	-3.153147816
575	-0.801102008
576	0.1290856
577	0.753640136
578	-0.1101055
579	0.089220416
580	0.966254446
581	1.232022334
582	-0.468892148
583	0.235392755
584	0.22210436
585	-1.133311868
586	0.966254446
587	1.21873394
588	0.421430276
589	-1.266195812
590	1.418059856
591	0.142373994
592	1.09913839
593	0.34169991
594	1.298464306
595	0.22210436
596	-0.601776092
597	-0.774525219
598	-0.070240316
599	-0.163259077
600	0.248681149
601	-0.163259077
602	1.085849996
603	-1.226330629
604	1.76355811
605	0.368276699
606	1.325041095
607	-1.093446685
608	-1.066869896
609	-0.561910909
610	0.075932022
611	-0.003798344
612	0.620756192
613	-0.681506459
614	-0.894120769
615	-0.32271981
616	1.511078617
617	-1.545252094
618	-1.332637784
619	-0.814390402
620	1.059273207
621	-0.495468937
622	0.368276699
623	0.687198164
624	-0.827678797
625	0.062643628
626	-0.98713953
627	-1.545252094
628	-0.043663528
629	-0.176547472
630	0.208815966
631	-0.774525219
632	0.195527572
633	1.112426785
634	0.514449037
635	-0.269566232
636	-0.362584993
637	0.55431422
638	0.315123121
639	-1.066869896
640	-0.096817105
641	0.34169991
642	-0.708083247
643	-0.86754398
644	-0.86754398
645	1.045984813
646	-0.455603754
647	-1.598405672
648	-0.854255586
649	0.939677658
650	0.1290856
651	-0.65492967
652	1.178868757
653	0.115797205
654	0.288546332
655	-0.86754398
656	0.34169991
657	0.541025826
658	-0.043663528
659	-1.040293107
660	-0.043663528
661	-0.787813614
662	-1.425656545
663	-0.336008204
664	-0.508757331
665	-0.216412655
666	-0.548622515
667	0.926389263
668	-0.32271981
669	-1.465521728
670	-0.256277838
671	-0.136682288
672	-0.136682288
673	-0.123393894
674	0.182239177
675	0.1290856
676	-2.143229842
677	-0.508757331
678	-0.056951922
679	-0.761236825
680	0.115797205
681	-0.681506459
682	0.354988304
683	1.285175912
684	-0.296143021
685	-0.681506459
686	0.966254446
687	-1.19975384
688	0.541025826
689	1.045984813
690	0.992831235
691	0.487872248
692	-1.345926178
693	-0.096817105
694	-1.000427924
695	0.315123121
696	0.899812474
697	0.448007065
698	-0.588487698
699	0.461295459
700	-1.159888657
701	-0.123393894
702	-0.123393894
703	0.966254446
704	0.899812474
705	0.036066839
706	0.514449037
707	0.527737431
708	1.205445546
709	-0.827678797
710	-0.561910909
711	-0.229701049
712	-0.601776092
713	0.820082108
714	1.21873394
715	-0.362584993
716	0.806793714
717	1.152291968
718	1.364906278
719	0.22210436
720	-0.309431415
721	1.617385772
722	0.501160643
723	0.687198164
724	0.899812474
725	1.43134825
726	1.5509438
727	0.793505319
728	0.806793714
729	1.949595632
730	2.188786731
731	-0.721371642
732	1.457925039
733	0.34169991
734	1.245310729
735	0.740351742
736	1.617385772
737	1.444636645
738	0.182239177
739	0.434718671
740	-0.336008204
741	0.182239177
742	1.232022334
743	0.992831235
744	0.155662388
745	0.075932022
746	0.248681149
747	2.002749209
748	0.461295459
749	1.697116138
750	1.33832949
751	2.64059214
752	1.085849996
753	2.082479576
754	1.962884026
755	1.630674166
756	-0.149970683
757	2.720322507
758	2.069191181
759	1.33832949
760	2.839918056
761	2.135633153
762	-0.53533412
763	1.564232194
764	1.019408024
765	0.607467798
766	-0.960562741
767	0.766928531
