# New Caledonia Porites Coral Paleothermometry Assessment Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1917
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2005-03
#--------------------
# Title
#	Study_Name: New Caledonia Porites Coral Paleothermometry Assessment Data
#--------------------
# Investigators
#       Investigators: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#--------------------
# Description_and_Notes
#	Description: Porites lutea cores were collected in 1992 by Fred Taylor, Jamie Austin, Yvan Join and  John Butscher.  The isotope data were analyzed at the University of South Florida  College of Marine Science, on a Finnigan Delta Plus XL mass spectrometer and attached  Kiel Carbonate Device with an analytical precision of 0.04 per mil for carbon and 0.08  per mil for oxygen (1 sigma) determined by repeated measurements of NBS 19 relative to VPDB.   The elemental data were analyzed on a Perkin Elmer Optima 4300DV ICP-OES following the  drift-correction methods of Schrag (1999).  Analytical precision (1 sigma) for the Sr/Ca  determinations is 0.2 % (0.018 mmol/mol), based on a laboratory standard solution of  dissolved Porites lutea. Depth series were converted to time series using AnalySeries  software (Paillard et al., 1996) to match Sr/Ca minima to SST maxima and vise versa.  Stable isotopic and Sr/Ca determinations on samples from Cores 99-PAA, 92-PAC and 92-PAD  were made at USF.  Stable isotopic determinations on samples from core 92-PAA made at the  University of Michigan.  Sr/Ca determinations on samples from core 92-PAA made at the  University of California-Santa Cruz. 
#--------------------
# Publication 
#       Authors: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#       Published_Date_or_Year: 2004     
#       Published_Title: Assessing the Reproducibility of Coral-based Climate Records.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L18210
#       Pages: 
#       DOI: 10.1029/2004GL020343
#       Online_Resource: 
#       Full_Citation: Stephans, C., T.M. Quinn, F. Taylor, and T. Correge. 2004. Assessing the Reproducibility of Coral-based Climate Records.  Geophysical Research Letters, 31,18, L18210, 10.1029/2004GL020343, 2004
#       Abstract: We perform replication tests using monthly variations in Sr/Ca and d18O in  four cores from three Porites lutea coral heads from New Caledonia to assess  the reproducibility of coral-based climate records.  Coral Sr/Ca (d18O) records  are well correlated to each other and to the instrumental SST record (1967-1992),  especially in terms of differences in the mean values of 25-year SST records  (~0.2C, Sr/Ca-SST; 0.6C, d18O-SST).  The average error associated with the  coral Sr/Ca-SST (d18O-SST) of any particular month, season or year is ~0.8C  (1.1C), 0.6C (0.8C) and 0.5C (0.6C), respectively.  "Stacking" or averaging  the individual proxy records reduces the error between observed and predicted SST,  although the reduction is small for coral Sr/Ca.  Excellent reproducibility among  the coral proxies implies that reliable climate records can be generated from a  single coral core and that coral Sr/Ca-SST records are not compromised, beyond  the errors stated herein, by non-temperature-related biological effects.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Amedee Island, New Caledonia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>New Caledonia
#	Country: New Caledonia 
#	Northernmost_Latitude: -22.48
# 	Southernmost_Latitude: -22.48
# 	Easternmost_Longitude: 166.47
# 	Westernmost_Longitude: 166.47
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 04newc01a
#	Earliest_Year: 1967 
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: From core 92PAC. These data have been updated by DeLong et al. 2012. Please see file: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2012.txt 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Porites lutea, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d13C	delta 13 Carbon, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca	d13C
1978.042	-4.41	9.095	-0.25
1978.125	-4.36	9.083	-0.38
1978.208	-4.44	9.091	-0.39
1978.292	-4.44	9.107	-0.37
1978.375	-4.4	9.153	-0.47
1978.458	-4.23	9.249	-0.46
1978.542	-3.95	9.353	-0.16
1978.625	-3.82	9.401	0.15
1978.708	-3.84	9.337	0.31
1978.792	-3.97	9.268	0.28
1978.875	-4.14	9.18	0.29
1978.958	-4.28	9.137	0.19
1979.042	-4.38	9.136	-0.08
1979.125	-4.45	9.094	-0.21
1979.208	-4.42	9.083	-0.19
1979.292	-4.35	9.148	-0.29
1979.375	-4.27	9.222	-0.44
1979.458	-4.09	9.258	-0.46
1979.542	-3.85	9.305	-0.28
1979.625	-3.76	9.316	-0.02
1979.708	-3.89	9.285	0.05
1979.792	-4.03	9.16	-0.04
1979.875	-4.2	9.086	-0.09
1979.958	-4.49	9.064	-0.17
1980.042	-4.58	9.034	-0.24
1980.125	-4.54	9.029	-0.31
1980.208	-4.43	9.098	-0.57
1980.292	-4.31	9.155	-0.58
1980.375	-4.26	9.195	-0.65
1980.458	-4.08	9.264	-0.5
1980.542	-3.79	9.344	-0.15
1980.625	-3.89	9.35	-0.13
1980.708	-4.14	9.248	-0.25
1980.792	-4.33	9.19	-0.31
1980.875	-4.47	9.13	-0.26
1980.958	-4.66	9.093	-0.17
1981.042	-4.74	9.063	-0.23
1981.125	-4.65	9.049	-0.36
1981.208	-4.57	9.116	-0.44
1981.292	-4.42	9.196	-0.39
1981.375	-3.9	9.284	-0.16
1981.458	-3.82	9.347	0.07
1981.542	-3.66	9.373	0.11
1981.625	-3.75	9.329	-0.1
1981.708	-4.01	9.251	-0.21
1981.792	-4.3	9.173	-0.27
1981.875	-4.51	9.119	-0.34
1981.958	-4.66	9.098	-0.22
1982.042	-4.69	9.071	-0.16
1982.125	-4.68	9.069	-0.42
1982.208	-4.61	9.102	-0.6
1982.292	-4.51	9.146	-0.56
1982.375	-4.32	9.207	-0.48
1982.458	-4.08	9.267	-0.44
1982.542	-3.83	9.346	-0.37
1982.625	-3.6	9.439	0.01
1982.708	-3.53	9.43	0.27
1982.792	-3.66	9.353	0.39
1982.875	-3.94	9.25	0.36
1982.958	-4.27	9.175	0.14
1983.042	-4.44	9.151	-0.04
1983.125	-4.5	9.141	-0.2
1983.208	-4.49	9.133	-0.37
1983.292	-4.42	9.165	-0.56
1983.375	-4.13	9.244	-0.59
1983.458	-3.93	9.299	-0.51
1983.542	-3.78	9.363	-0.4
1983.625	-3.88	9.356	-0.34
1983.708	-4.07	9.273	-0.28
1983.792	-4.2	9.208	-0.27
1983.875	-4.23	9.186	-0.2
1983.958	-4.23	9.174	-0.16
1984.042	-4.29	9.159	-0.31
1984.125	-4.41	9.129	-0.48
1984.208	-4.46	9.108	-0.59
1984.292	-4.34	9.154	-0.51
1984.375	-4.15	9.215	-0.43
1984.458	-3.94	9.305	-0.31
1984.542	-3.69	9.344	-0.12
1984.625	-3.7	9.352	0
1984.708	-3.86	9.303	-0.11
1984.792	-4.06	9.232	-0.14
1984.875	-4.21	9.158	-0.21
1984.958	-4.56	9.069	-0.26
1985.042	-4.71	9.026	-0.37
1985.125	-4.75	9.006	-0.49
1985.208	-4.73	9.018	-0.84
1985.292	-4.73	9.03	-0.9
1985.375	-4.66	9.084	-0.96
1985.458	-4.28	9.202	-0.79
1985.542	-3.95	9.301	-0.62
1985.625	-3.81	9.357	-0.26
1985.708	-4.09	9.262	-0.19
1985.792	-4.33	9.147	-0.19
1985.875	-4.5	9.103	-0.2
1985.958	-4.63	9.029	-0.31
1986.042	-4.67	9.001	-0.65
1986.125	-4.66	9.067	-0.84
1986.208	-4.55	9.121	-0.51
1986.292	-4.37	9.161	-0.54
1986.375	-4.3	9.2	-0.68
1986.458	-4.21	9.221	-0.71
1986.542	-4.05	9.276	-0.62
1986.625	-3.78	9.367	-0.24
1986.708	-3.67	9.413	-0.05
1986.792	-3.79	9.323	-0.05
1986.875	-4.18	9.183	0.07
1986.958	-4.23	9.128	0.21
1987.042	-4.31	9.107	-0.04
1987.125	-4.43	9.121	-0.32
1987.208	-4.54	9.087	-0.6
1987.292	-4.34	9.144	-0.39
1987.375	-4.26	9.182	-0.46
1987.458	-4.08	9.245	-0.59
1987.542	-3.91	9.307	-0.55
1987.625	-3.87	9.332	-0.27
1987.708	-3.86	9.305	-0.16
1987.792	-4.03	9.211	-0.34
1987.875	-4.27	9.1	-0.41
1987.958	-4.4	9.076	-0.43
1988.042	-4.58	9.037	-0.63
1988.125	-4.62	9.03	-0.75
1988.208	-4.44	9.083	-0.71
1988.292	-4.43	9.114	-0.79
1988.375	-4.25	9.128	-0.9
1988.458	-4.07	9.176	-0.99
1988.542	-3.97	9.245	-0.92
1988.625	-3.88	9.296	-0.69
1988.708	-3.93	9.25	-0.46
1988.792	-4.24	9.111	-0.65
1988.875	-4.36	9.012	-0.55
