# Ningaloo Reef Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1867
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/ningaloo.txt
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/readme_ningaloo.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-11-01
#--------------------
# Title
#	Study_Name: Ningaloo Reef Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#--------------------
# Description_and_Notes
#	Description: The data set contains d18O and d13C in bimonthly temporal resolution for the time period 1878-1994. The material consists of a vertical core from a colony of Porites lutea. Samples for isotopic analyses were taken using a low-speed dental drill. Untreated samples were measured on a Finnigan MAT 251 mass spectrometer.  The age model in the data set is based on the density banding of the skeleton and the seasonality in d18O.
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#       Published_Date_or_Year: 2000  
#       Published_Title: Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia.
#       Journal_Name: International Journal of Earth Science
#       Volume: 88
#       Edition: 
#       Issue: 
#       Pages: 88
#       DOI: 10.1007/s005310050300
#       Online_Resource: 
#       Full_Citation: Kuhnert, Henning; Pätzold, Jürgen; Wyrwoll, K-H; Wefer, Gerold (2000): Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia. International Journal of Earth Sciences, 88(4), 725-732, doi:10.1007/s005310050300
#       Abstract: 116-year record of coral skeletal delta18O is presented from a colony of Porites lutea from Ningaloo Reef, western Australia. Interannual variability of sea-surface temperatures (SST) inferred from skeletal delta18O is dominated by a 9.5-year period, and may constitute a characteristic signal of the Leeuwin Current. On long-terms coral skeletal delta18O indicates a near-continuous increase of SST at Ningaloo Reef over one century. The skeletal delta18O time series was checked for the presence of seasonal cooling events resulting from major volcanic eruptions. An ~1 °C cooling is evident following the eruption of Pinatubo in 1991, which reproduces the results of previous investigations. However, only weak or no signals can be related to the eruptions of Krakatau (1883) and Agung (1963).
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: Ma 821/11-1
#------------------
# Site_Information 
#       Site_Name: Ningaloo Reef
#       Location: Australia/New Zealand>Australia
#	Country: Australia  
#	Northernmost_Latitude: -21.905 
# 	Southernmost_Latitude: -21.905 
# 	Easternmost_Longitude: 113.965
# 	Westernmost_Longitude: 113.965
# 	Elevation: -3.0 m  
#------------------
# Data_Collection   
#	Collection_Name: 00aust01a
#	Earliest_Year: 1878 
#	Most_Recent_Year: 1994 
#	Time_Unit: y_ad
#	Core_Length: 1.44 m
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"} Internal precisions (1 SD) are 0.02 per mil for delta O-18,and 0.015 per mil for delta C-13. External precisions (1 SD) of an internal laboratory standard (Solnhofen limestone) are 0.07 per mil for delta O-18, and 0.05 per mil for delta C-13. Average sampling density is 6.7 samples per year. The bimonthly data were interpolated with an Excel-macro. Based on couplets of annual density bands and seasonality in d18O. Within each year the highest (least depleted) d18O value was tied to mid-September, which is the coldest month on average.
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##d13C	delta 13 Carbon, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##depth	depth, Porites lutea, ,cm, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d13C	depth
1928.87	-4.16	-0.41	81.5
1929.04	-4.63	-0.7	81.3
1929.21	-4.93	-0.88	81.1
1929.37	-4.85	-1.71	80.9
1929.54	-4.16	-1.19	80.7
1929.71	-3.71	-0.45	80.5
1929.87	-4.19	-0.29	80.3
1930.04	-4.53	-0.82	80.1
1930.21	-4.61	-1.04	79.9
1930.37	-4.21	-0.83	79.7
1930.54	-4.18	-0.68	79.5
1930.71	-4.03	-0.18	79.3
1930.87	-4.46	0.01	79.1
1931.04	-4.8	-0.37	78.9
1931.21	-4.64	-1.11	78.7
1931.37	-4.85	-0.48	78.5
1931.54	-4.46	-1.06	78.3
1931.71	-4.12	-1.06	78.1
1931.85	-4.35	-0.36	77.9
1931.99	-4.68	-0.29	77.7
1932.14	-4.72	-0.67	77.5
1932.28	-5.08	-0.94	77.3
1932.42	-4.79	-1.48	77.1
1932.57	-4.5	-1.2	76.9
1932.71	-4.04	-0.94	76.7
1932.91	-4.28	-0.07	76.5
1933.11	-4.78	-0.58	76.3
1933.31	-5.02	-0.82	76.1
1933.51	-4.64	-1.46	75.9
1933.71	-3.96	-1.45	75.7
1933.85	-4.08	-0.94	75.5
1933.99	-4.65	-0.65	75.3
1934.14	-5.01	-1.28	75.1
1934.28	-5.24	-1.6	74.9
1934.42	-5.05	-1.77	74.7
1934.57	-4.46	-1.29	74.5
1934.71	-4.3	-0.88	74.3
1934.87	-4.5	-1.05	74.1
1935.04	-4.72	-1.1	73.9
1935.21	-4.79	-1.09	73.7
1935.37	-4.88	-1.49	73.5
1935.54	-4.17	-1.27	73.3
1935.71	-4.01	-1.03	73.1
1935.91	-4.25	-0.51	72.9
1936.11	-4.39	-0.53	72.7
1936.31	-4.97	-1.24	72.5
1936.51	-4.44	-1.52	72.3
1936.71	-4.21	-0.89	72.1
1936.87	-4.53	-0.72	71.9
1937.04	-4.25	-0.43	71.7
1937.21	-4.6	-1.16	71.5
1937.37	-4.66	-1.44	71.3
1937.54	-4.36	-1.38	71.1
1937.71	-3.98	-0.52	70.9
1937.85	-4.35	-0.56	70.7
1937.99	-4.62	-0.6	70.5
1938.14	-4.74	-1.25	70.3
1938.28	-4.97	-2.05	70.1
1938.42	-4.84	-2.07	69.9
1938.57	-4.01	0.8	69.7
1938.71	-3.87	-0.32	69.5
1938.91	-4.87	-0.59	69.3
1939.11	-4.96	-1.41	69.1
1939.31	-4.84	-1.35	68.9
1939.51	-4.36	-1.43	68.7
1939.71	-3.94	-0.34	68.5
1939.85	-4.57	-0.26	68.3
1939.99	-4.82	-0.5	68.1
1940.14	-4.65	-1.68	67.9
1940.28	-4.49	-1.84	67.7
1940.42	-4.3	-1.18	67.5
1940.57	-4.25	-0.7	67.3
1940.71	-4.23	-0.76	67.1
1940.91	-4.28	-1.02	66.9
1941.11	-4.83	-1.64	66.7
1941.31	-4.71	-1.41	66.5
1941.51	-4.36	-1.68	66.3
1941.71	-4.18	-0.76	66.1
1941.91	-4.52	-0.59	65.9
1942.11	-4.98	-0.69	65.7
1942.31	-4.99	-0.62	65.5
1942.51	-4.45	-1.29	65.3
1942.71	-4.24	-0.74	65.1
1942.87	-4.57	-0.32	64.9
1943.04	-5.02	-0.79	64.7
1943.21	-5.14	-0.86	64.5
1943.37	-4.84	-1.28	64.3
1943.54	-4.34	-1.32	64.1
1943.71	-4.13	-0.67	63.9
1943.87	-4.41	-0.89	63.7
1944.04	-4.56	-0.92	63.5
1944.21	-4.77	-1.14	63.3
1944.37	-4.87	-1.73	63.1
1944.54	-4.44	-1.7	62.9
1944.71	-4.26	-1.03	62.7
1944.87	-4.59	-1.31	62.5
1945.04	-5.07	-0.97	62.3
1945.21	-5.09	-1.14	62.1
1945.37	-4.89	-1.73	61.9
1945.54	-4.76	-1.56	61.7
1945.71	-4.14	-0.89	61.5
1945.87	-4.33	-0.38	61.3
1946.04	-4.66	-0.37	61.1
1946.21	-4.86	-0.86	60.9
1946.37	-5.14	-1.77	60.7
1946.54	-4.72	-1.51	60.5
1946.71	-4.26	-1.13	60.3
1946.85	-4.32	-0.93	60.1
1946.99	-4.31	-0.66	59.9
1947.14	-5.01	-0.99	59.7
1947.28	-5	-0.84	59.5
1947.42	-4.88	-1.63	59.3
1947.57	-4.27	-1.06	59.1
1947.71	-4.16	-0.59	58.9
1947.87	-4.47	-1.02	58.7
1948.04	-4.73	-0.3	58.5
1948.21	-5.18	-0.84	58.3
1948.37	-4.93	-1.46	58.1
1948.54	-4.43	-1.42	57.9
1948.71	-4.29	-0.81	57.7
1948.91	-4.35	-0.96	57.5
1949.11	-4.53	-0.91	57.3
1949.31	-4.86	-0.62	57.1
1949.51	-4.96	-1.13	56.9
1949.71	-3.94	-1.01	56.7
1949.83	-4.33	-0.97	56.5
1949.96	-4.26	-0.99	56.3
1950.08	-4.41	-0.43	56.1
1950.21	-5.03	-0.65	55.9
1950.33	-5.06	-1.41	55.7
1950.46	-4.59	-1.47	55.5
1950.58	-4.32	-1.57	55.3
1950.71	-4.3	-0.46	55.1
1950.87	-4.55	-0.6	54.9
1951.04	-4.43	-0.82	54.7
1951.21	-4.98	-0.89	54.5
1951.37	-4.63	-1.4	54.3
1951.54	-4.08	-0.82	54.1
1951.71	-3.93	-0.18	53.9
1951.87	-4.52	-0.07	53.7
1952.04	-5.05	-0.91	53.5
1952.21	-5.17	-0.89	53.3
1952.37	-4.78	-1.38	53.1
1952.54	-4.39	-1.23	52.9
1952.71	-4.36	-0.94	52.7
1952.91	-4.43	-0.54	52.5
1953.11	-4.53	-0.97	52.3
1953.31	-4.9	-1.26	52.1
1953.51	-4.61	-1.69	51.9
1953.71	-4.19	-0.89	51.7
1953.87	-4.29	-0.59	51.5
1954.04	-4.46	-0.97	51.3
1954.21	-4.96	-0.94	51.1
1954.37	-4.88	-1.14	50.9
1954.54	-4.64	-1.83	50.7
1954.71	-4.15	-1.28	50.5
1954.87	-4.47	-0.74	50.3
1955.04	-4.54	-1.22	50.1
1955.21	-5.02	-0.67	49.9
1955.37	-5.15	-1.22	49.7
1955.54	-4.66	-2.24	49.5
1955.71	-4.21	-0.94	49.3
1955.91	-4.29	-0.79	49.1
1956.11	-4.72	-0.48	48.9
1956.31	-4.99	-1.17	48.7
1956.51	-4.78	-1.71	48.5
1956.71	-4.37	-1.57	48.3
1956.87	-4.51	-1.17	48.1
1957.04	-4.5	-0.76	47.9
1957.21	-5	-1.04	47.7
1957.37	-4.93	-1.13	47.5
1957.54	-4.62	-1.54	47.3
1957.71	-4.15	-1.46	47.1
1957.85	-4.33	-0.99	46.9
1957.99	-4.69	-0.93	46.7
1958.14	-5.14	-0.9	46.5
1958.28	-5.07	-1.33	46.3
1958.42	-4.81	-1.78	46.1
1958.57	-4.48	-1.6	45.9
1958.71	-4.16	-0.6	45.7
1958.85	-4.67	-0.51	45.5
1958.99	-4.72	-0.86	45.3
1959.14	-4.8	-1.18	45.1
1959.28	-4.53	-1.48	44.9
1959.42	-4.48	-0.88	44.7
1959.57	-4.45	-1.33	44.5
1959.71	-4.36	-0.91	44.3
1959.91	-4.71	-1.01	44.1
1960.11	-4.73	-1.5	43.9
1960.31	-4.49	-1.74	43.7
1960.51	-4.24	-1.67	43.5
1960.71	-4.13	-0.97	43.3
1960.85	-4.17	-0.56	43.1
1960.99	-4.42	-0.69	42.9
1961.14	-4.91	-0.94	42.7
1961.28	-4.71	-1.63	42.5
1961.42	-4.66	-2.02	42.3
1961.57	-4.26	-1.59	42.1
1961.71	-4.1	-0.93	41.9
1961.82	-4.21	-0.63	41.7
1961.93	-4.56	-0.81	41.5
1962.04	-4.82	-1.12	41.3
1962.15	-4.96	-1.2	41.1
1962.26	-4.95	-1.43	40.9
1962.37	-5.03	-1.75	40.7
1962.49	-4.73	-1.98	40.5
1962.71	-4.29	-0.76	40.1
1962.87	-4.77	-0.91	39.9
1963.04	-5.13	-0.76	39.7
1963.21	-5.08	-1.42	39.5
1963.37	-4.69	-2.15	39.3
1963.54	-4.39	-1.38	39.1
1963.71	-4.36	-0.92	38.9
1963.87	-4.55	-0.64	38.7
1964.04	-4.85	-1.1	38.5
1964.21	-4.92	-1.55	38.3
1964.37	-4.7	-1.87	38.1
1964.54	-4.68	-1.86	37.9
1964.71	-4.01	-0.83	37.7
1964.85	-4.62	-0.83	37.5
1964.99	-4.92	-0.88	37.3
1965.14	-5.07	-1.28	37.1
1965.28	-4.91	-1.55	36.9
1965.42	-4.65	-1.86	36.7
1965.57	-4.28	-1.42	36.5
1965.71	-4.23	-1.16	36.3
1965.87	-4.39	-0.7	36.1
1966.04	-4.71	-0.89	35.9
1966.21	-4.83	-1.57	35.7
1966.37	-4.8	-2.3	35.5
1966.54	-4.5	-1.96	35.3
1966.71	-4.07	-1.08	35.1
1966.87	-4.42	-1	34.9
1967.04	-4.92	-0.8	34.7
1967.37	-5	-1.57	34.3
1967.54	-4.85	-2.06	34.1
1967.71	-4.16	-1.44	33.9
1967.85	-4.33	-0.9	33.7
1967.99	-4.37	-0.84	33.5
1968.14	-4.46	-1.95	33.3
1968.28	-4.75	-1.62	33.1
1968.42	-4.61	-1.95	32.9
1968.57	-4.36	-2.12	32.7
1968.71	-4.05	-0.64	32.5
1968.87	-4.57	-0.74	32.3
1969.04	-4.82	-0.88	32.1
1969.21	-5.06	-1.34	31.9
1969.37	-4.81	-1.8	31.7
1969.54	-4.42	-1.55	31.5
1969.71	-4.33	-0.94	31.3
1969.87	-4.54	-0.8	31.1
1970.04	-4.56	-0.58	30.9
1970.21	-4.92	-1.04	30.7
1970.37	-4.73	-1.78	30.5
1970.54	-4.7	-1.71	30.3
1970.71	-4.31	-1.17	30.1
1970.85	-4.36	-1.11	29.9
1970.99	-4.5	-0.71	29.7
1971.71	-4.3	-1.25	28.7
1971.91	-4.6	-1.17	28.5
1972.11	-5.06	-1.13	28.3
1972.31	-4.86	-1.47	28.1
1972.51	-4.57	-1.7	27.9
1972.71	-4.27	-0.96	27.7
1972.87	-4.37	-1.28	27.5
1973.04	-4.65	-0.76	27.3
1973.21	-4.98	-0.88	27.1
1973.37	-4.91	-1.93	26.9
1973.54	-4.47	-1.75	26.7
1973.71	-4.27	-0.91	26.5
1973.87	-4.44	-0.62	26.3
1974.04	-4.73	-0.52	26.1
1974.21	-4.92	-1.13	25.9
1974.37	-5.04	-2.03	25.7
1974.54	-4.51	-1.7	25.5
1974.71	-4.33	-0.98	25.3
1974.85	-4.56	-1	25.1
1974.99	-4.68	-0.66	24.9
1975.14	-5.1	-0.95	24.7
1975.28	-4.92	-1.6	24.5
1975.42	-4.52	-1.84	24.3
1975.57	-4.37	-1.62	24.1
1975.71	-4.32	-1.09	23.9
1975.87	-4.44	-0.92	23.7
1976.04	-4.54	-0.64	23.5
1976.21	-4.9	-1.12	23.3
1976.37	-4.93	-1.63	23.1
1976.54	-4.63	-1.47	22.9
1976.71	-4.29	-1.2	22.7
1976.85	-4.37	-1.07	22.5
1976.99	-4.8	-0.81	22.3
1977.14	-4.94	-1.04	22.1
1977.28	-5.03	-0.9	21.9
1977.42	-4.72	-1.6	21.7
1977.57	-4.41	-1.24	21.5
1977.71	-4.18	-0.64	21.3
1977.87	-4.21	-0.74	21.1
1978.04	-4.59	-0.47	20.9
1978.21	-4.8	-0.93	20.7
1978.37	-4.58	-1.21	20.5
1978.54	-4.26	-0.78	20.3
1978.71	-4.13	-0.51	20.1
1978.87	-4.23	-0.41	19.9
1979.04	-4.33	-0.29	19.7
1979.21	-4.83	-0.29	19.5
1979.37	-4.67	-1.42	19.3
1979.54	-4.49	-1.61	19.1
1979.71	-4.03	-0.21	18.9
1980.04	-4.65	-0.59	18.5
1980.21	-4.83	-0.9	18.3
1980.37	-4.67	-1.43	18.1
1980.71	-4.13	-0.29	17.7
1980.87	-4.28	-0.19	17.5
1981.04	-4.78	-0.19	17.3
1981.21	-5.08	-1.19	17.1
1981.37	-5.05	-1.84	16.9
1981.54	-4.74	-1.89	16.7
1981.71	-4.49	-0.47	16.5
1981.91	-4.84	-0.59	16.3
1982.11	-4.85	-1.17	16.1
1982.51	-4.57	-1.6	15.7
1982.71	-4.27	-1.36	15.5
1982.71	-4.35	-0.49	15.5
1982.85	-4.41	-0.98	15.3
1982.99	-4.66	-0.56	15.1
1983.14	-5.02	-0.92	14.9
1983.28	-5.02	-1.29	14.7
1983.42	-4.96	-1.94	14.5
1983.57	-4.55	-1.58	14.3
1983.71	-4.48	-1.21	14.1
1983.87	-4.56	-1.23	13.9
1984.04	-4.7	-1.1	13.7
1984.21	-5.17	-1.26	13.5
1984.37	-5.11	-1.82	13.3
1984.54	-4.96	-1.97	13.1
1984.71	-4.48	-1.6	12.9
1984.83	-4.51	-1.66	12.7
1984.96	-4.6	-1.37	12.5
1985.08	-4.83	-1.3	12.3
1985.21	-5.22	-1.91	12.1
1985.33	-5.08	-2.13	11.9
1985.46	-4.74	-1.85	11.7
1985.58	-4.45	-1.5	11.5
1985.71	-4.38	-1.62	11.3
1985.87	-4.5	-1.36	11.1
1986.04	-4.68	-1.49	10.9
1986.21	-5.07	-1.58	10.7
1986.37	-4.75	-1.84	10.5
1986.54	-4.38	-1.81	10.3
1986.71	-4.15	-1.34	10.1
1986.91	-4.49	-1.02	9.9
1987.11	-4.87	-1.12	9.7
1987.31	-5.1	-1.66	9.5
1987.51	-4.66	-1.59	9.3
1987.71	-4.48	-1.42	9.1
1987.87	-4.51	-1.2	8.9
1988.04	-4.52	-0.97	8.7
1988.21	-5.03	-1.17	8.5
1988.37	-5.09	-1.66	8.3
1988.54	-4.6	-1.58	8.1
1988.71	-4.58	-1.16	7.9
1988.85	-4.62	-1.31	7.7
1988.99	-4.78	-0.57	7.5
1989.14	-5.29	-1.39	7.3
1989.28	-5.23	-1.8	7.1
1989.42	-4.82	-1.85	6.9
1989.57	-4.52	-1.24	6.7
1989.71	-4.49	-0.94	6.5
1989.91	-4.57	-0.86	6.3
1990.11	-5.17	-1.51	6.1
1990.31	-5	-2.09	5.9
1990.51	-4.53	-2.13	5.7
1990.71	-4.42	-1.12	5.5
1990.87	-4.49	-1.17	5.3
1991.04	-4.67	-1.16	5.1
1991.21	-4.98	-1.56	4.9
1991.37	-4.94	-1.97	4.7
1991.54	-4.71	-1.78	4.5
1991.71	-4.3	-1.1	4.3
1991.86	-4.39	-1.13	4.1
1992.02	-4.48	-0.9	3.9
1992.17	-4.9	-1.58	3.7
1992.32	-5.01	-2.42	3.5
1992.48	-4.84	-2.55	3.3
1992.71	-4.45	-1.34	3
1992.91	-4.69	-1.54	2.8
1993.11	-4.82	-1.55	2.6
1993.31	-4.93	-1.85	2.4
1993.51	-4.44	-1.85	2.2
1993.71	-4.18	-1.06	2
1993.87	-4.24	-0.83	1.8
1994.04	-4.62	-0.61	1.6
1994.21	-5.08	-1.3	1.4
1994.37	-4.99	-1.79	1.2
1994.54	-4.62	-1.89	1
1994.71	-4.37	-1.39	0.8
1995.04	-4.61	-0.62	0.4
1995.21	-5.13	-0.82	0.2
