# Ningaloo Reef Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1867
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/ningaloo.txt
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/readme_ningaloo.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-11-01
#--------------------
# Title
#	Study_Name: Ningaloo Reef Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#--------------------
# Description_and_Notes
#	Description: The data set contains d18O and d13C in bimonthly temporal resolution for the time period 1878-1994. The material consists of a vertical core from a colony of Porites lutea. Samples for isotopic analyses were taken using a low-speed dental drill. Untreated samples were measured on a Finnigan MAT 251 mass spectrometer.  The age model in the data set is based on the density banding of the skeleton and the seasonality in d18O.
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#       Published_Date_or_Year: 2000  
#       Published_Title: Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia.
#       Journal_Name: International Journal of Earth Science
#       Volume: 88
#       Edition: 
#       Issue: 
#       Pages: 88
#       DOI: 10.1007/s005310050300
#       Online_Resource: 
#       Full_Citation: Kuhnert, Henning; Pätzold, Jürgen; Wyrwoll, K-H; Wefer, Gerold (2000): Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia. International Journal of Earth Sciences, 88(4), 725-732, doi:10.1007/s005310050300
#       Abstract: 116-year record of coral skeletal delta18O is presented from a colony of Porites lutea from Ningaloo Reef, western Australia. Interannual variability of sea-surface temperatures (SST) inferred from skeletal delta18O is dominated by a 9.5-year period, and may constitute a characteristic signal of the Leeuwin Current. On long-terms coral skeletal delta18O indicates a near-continuous increase of SST at Ningaloo Reef over one century. The skeletal delta18O time series was checked for the presence of seasonal cooling events resulting from major volcanic eruptions. An ~1 °C cooling is evident following the eruption of Pinatubo in 1991, which reproduces the results of previous investigations. However, only weak or no signals can be related to the eruptions of Krakatau (1883) and Agung (1963).
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: Ma 821/11-1
#------------------
# Site_Information 
#       Site_Name: Ningaloo Reef
#       Location: Australia/New Zealand>Australia
#	Country: Australia  
#	Northernmost_Latitude: -21.905 
# 	Southernmost_Latitude: -21.905 
# 	Easternmost_Longitude: 113.965
# 	Westernmost_Longitude: 113.965
# 	Elevation: -3.0 m  
#------------------
# Data_Collection   
#	Collection_Name: 00aust01a
#	Earliest_Year: 1878 
#	Most_Recent_Year: 1994 
#	Time_Unit: y_ad
#	Core_Length: 1.44 m
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"} Internal precisions (1 SD) are 0.02 per mil for delta O-18,and 0.015 per mil for delta C-13. External precisions (1 SD) of an internal laboratory standard (Solnhofen limestone) are 0.07 per mil for delta O-18, and 0.05 per mil for delta C-13. Average sampling density is 6.7 samples per year. The bimonthly data were interpolated with an Excel-macro. Based on couplets of annual density bands and seasonality in d18O. Within each year the highest (least depleted) d18O value was tied to mid-September, which is the coldest month on average.
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##d13C	delta 13 Carbon, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##depth	depth, Porites lutea, ,cm, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d13C	depth
1890.31	-4.96	-1.03	130
1890.41	-4.69	-1.27	129.9
1890.51	-4.37	-1.28	129.8
1890.61	-4.27	-1.07	129.7
1890.71	-4.08	-0.51	129.6
1890.78	-4.18	-0.58	129.5
1890.86	-4.26	-0.58	129.4
1890.94	-4.31	-0.24	129.3
1891.02	-4.32	-0.48	129.2
1891.09	-4.45	-0.67	129.1
1891.17	-4.6	-0.71	129
1891.25	-4.56	-0.76	128.9
1891.4	-4.53	-1.22	128.7
1891.48	-4.2	-1.2	128.6
1891.55	-4.03	-0.49	128.5
1891.63	-3.99	-0.43	128.4
1891.71	-3.97	-0.31	128.3
1891.91	-4.15	0.17	128.1
1892.11	-4.7	-0.45	127.9
1892.31	-4.73	-0.98	127.7
1892.51	-4.23	-1.26	127.5
1892.71	-4	-0.05	127.3
1892.87	-4.2	-0.14	127.1
1893.04	-4.36	-0.26	126.9
1893.21	-4.7	-0.4	126.7
1893.37	-4.35	-1.24	126.5
1893.54	-4.31	-0.77	126.3
1893.71	-4.09	0.24	126.1
1893.91	-4.39	0.43	125.9
1894.11	-4.76	-0.36	125.7
1894.31	-4.78	-0.55	125.5
1894.51	-4.49	-0.81	125.3
1894.71	-4.05	-0.41	125.1
1894.87	-4.11	-0.26	124.9
1895.04	-4.25	0.54	124.7
1895.21	-4.59	-0.15	124.5
1895.37	-4.54	-0.09	124.3
1895.54	-4.47	-0.75	124.1
1895.71	-3.95	-0.39	123.9
1895.85	-4.04	-0.15	123.7
1895.99	-4.37	-0.15	123.5
1896.14	-4.26	-0.42	123.3
1896.28	-4.59	-0.48	123.1
1896.42	-4.56	-0.86	122.9
1896.57	-4.46	-1.42	122.7
1896.71	-3.9	-0.75	122.5
1896.85	-3.96	-0.33	122.3
1896.99	-4.12	-0.06	122.1
1897.14	-4.52	-0.14	121.9
1897.28	-4.8	-0.78	121.7
1897.42	-4.79	-1.32	121.5
1897.57	-4.31	-1.08	121.3
1897.71	-3.97	-0.47	121.1
1898.04	-4.44	-0.5	120.7
1898.21	-4.89	-0.63	120.5
1898.37	-4.75	-1.22	120.3
1898.54	-4.35	-1.34	120.1
1898.71	-4.13	-1.12	119.9
1898.85	-4.2	-0.63	119.7
1898.99	-4.22	-0.44	119.5
1899.14	-4.65	-0.13	119.3
1899.28	-4.97	-0.67	119.1
1899.42	-4.7	-1.36	118.9
1899.57	-4.34	-1.61	118.7
1899.71	-4.09	-0.85	118.5
1899.87	-4.18	-0.72	118.3
1900.04	-4.19	-0.52	118.1
1900.21	-4.92	-0.83	117.9
1900.37	-4.95	-1.45	117.7
1900.54	-4.45	-1.23	117.5
1900.71	-4	-0.85	117.3
1900.85	-4.05	-0.62	117.1
1900.99	-4.24	-0.58	116.9
1901.14	-4.66	-0.76	116.7
1901.28	-4.87	-0.92	116.5
1901.42	-4.89	-1.53	116.3
1901.57	-4.3	-1.23	116.1
1901.71	-4.01	-0.97	115.9
1901.83	-4.11	-0.9	115.7
1901.96	-4.51	-0.67	115.5
1902.08	-4.96	-0.98	115.3
1902.21	-4.86	-1.04	115.1
1902.33	-4.67	-1.6	114.9
1902.46	-4.15	-1.04	114.7
1902.58	-4.19	-0.85	114.5
1902.71	-4.08	-0.58	114.3
1902.91	-4.11	-0.67	114.1
1903.11	-4.6	-0.44	113.9
1903.31	-4.55	-1.24	113.7
1903.51	-4.4	-1.41	113.5
1903.71	-4.08	-0.8	113.3
1903.87	-4.2	-0.63	113.1
1904.04	-4.32	-0.59	112.9
1904.21	-4.79	-0.9	112.7
1904.37	-4.67	-1.03	112.5
1904.54	-4.28	-1.46	112.3
1904.71	-4.01	-1.19	112.1
1904.86	-4.14	-0.92	111.9
1905.02	-4.39	-0.63	111.7
1905.17	-4.56	-0.2	111.5
1905.32	-4.66	-0.96	111.3
1905.48	-4.09	-1.27	111.1
1905.55	-4.18	-1.34	111
1905.71	-3.95	-0.68	110.8
1905.83	-4.14	-0.35	110.6
1905.96	-4.54	-0.74	110.4
1906.08	-4.59	-1.11	110.2
1906.21	-4.72	-1.37	110
1906.33	-4.32	-1.5	109.8
1906.46	-4.2	-1.35	109.6
1906.58	-4.28	-0.81	109.4
1906.71	-4.2	-0.41	109.2
1906.85	-4.52	-0.37	109
1906.99	-4.85	-0.83	108.8
1907.14	-4.46	-1.9	108.6
1907.28	-4.19	-1.47	108.4
1907.42	-4.21	-0.6	108.2
1907.57	-4.2	-0.55	108
1907.71	-4.15	-0.16	107.8
1907.91	-4.54	-0.59	107.6
1908.11	-4.7	-1.18	107.4
1908.31	-4.47	-1.8	107.2
1908.51	-4.16	-1.31	107
1908.71	-3.85	-0.5	106.8
