# Isla Tortuga, Cariaco Basin Coral Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1888
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/tortuga2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-11
#--------------------
# Title
#	Study_Name: Isla Tortuga, Cariaco Basin Coral Trace Element Data
#--------------------
# Investigators
#       Investigators: Reuer, M.K.; Boyle, E.A.; Cole, J.E.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from a M. annularis coral from Isla Tortuga, Venezuela. Isla Tortuga is located at the northern margin of the Cariaco Basin. Coral cores were collected from two sites along the southern coast of  Isla Tortuga, Venezuela, (10 53'N, 65 21'W) in 1996 and 1998.  Water depths ranged from approximately 2 to 3 m.
#--------------------
# Publication 
#       Authors: Reuer, M.K.; Boyle, E.A.; Cole, J.E.
#       Published_Date_or_Year: 2003     
#       Published_Title: A mid-twentieth century reduction in tropical upwelling inferred from coralline trace element proxies.
#       Journal_Name: Earth and Planetary Science Letters
#       Volume: 210
#       Edition: 
#       Issue: 
#       Pages: 437-452
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Reuer, M.K., E.A. Boyle, and J.E. Cole. 2003. A mid-twentieth century reduction in tropical upwelling inferred from coralline trace element proxies.   Earth and Planetary Science Letters. 210  pp. 437-452.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation (USA)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Isla Tortuga, Cariaco Basin, Caribbean Sea
#       Location: South America>Venezuela
#	Country: Venezuela 
#	Northernmost_Latitude: 10.88 
# 	Southernmost_Latitude: 10.88 
# 	Easternmost_Longitude: -65.35 
# 	Westernmost_Longitude: -65.35 
# 	Elevation: -2 m  
#------------------
# Data_Collection   
#	Collection_Name: 03vene01a 
#	Earliest_Year:  1918 
#	Most_Recent_Year: 1995 
#	Time_Unit: Years AD 
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: M. annularis 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##Cd/Ca	Cadmium/Calcium, M. annularis , ,nmol/mol, ,Corals and Sclerosponges, , ,N
##Cd/Ca_err	Cadmium/Calcium, M. annularis, 2sigma error,nmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age_AD	Cd/Ca	Cd/Ca_err
1969.8	1.45	0.1
1969.6	1.84	0.38
1969.4	1.77	0.14
1969.3	1.41	0.42
1969.1	1.4	0.16
1968.9	1.36	0.26
1968.8	1.5	0.04
1968.6	1.73	0.1
1968.4	1.57	0.14
1968.3	1.8	0.22
1968.1	2.04	0.24
1967.9	2.22	0.24
1967.8	2.28	0.16
1967.4	1.51	0.08
1967.1	1.55	0.12
1966.9	1.69	0.54
1966.6	1.69	0.06
1966.4	2.24	0.1
1966.1	1.82	0.08
1965.9	1.6	0.28
1965.8	1.45	0.04
1965.6	1.86	0.22
1965.4	2.09	0.44
1965.3	1.4	0.08
1965.1	1.32	0.2
1964.9	2.49	0.14
1964.5	1.71	0.06
1964.3	1.58	0.26
1964.1	1.48	0.08
1963.8	2.38	0.2
1963.3	2	0.3
1962.9	1.5	0.26
1962.4	1.54	0.2
1962.1	1.32	0.12
1961.9	1.92	0.12
1961.8	1.35	0.1
1961.6	1.6	0.1
1961.3	1.5	0.3
1961.1	1.68	0.3
1960.8	1.54	0.02
1960.6	1.58	0.14
1960.4	2.04	0.22
1960.1	2.06	0.32
1959.9	1.61	0.08
1959.6	1.57	0.16
1959.4	2.01	0.16
1959.3	2.29	0.08
1959.1	1.92	0.06
1958.9	2.42	0.56
1958.8	1.77	0.04
1958.6	1.98	0.32
1958.4	1.73	0.06
1958.3	1.69	0.12
1958.1	2.26	0.04
1957.9	2.05	0.18
1957.8	1.93	0.04
1957.6	1.74	0.06
1957.4	1.62	0.42
1957.3	2.13	0.06
1957.1	2.66	0.32
1956.6	2.57	0.36
1956.3	1.9	0.14
1956.1	2.48	0.54
1955.9	2.32	0.02
1955.8	2.17	0.18
1955.6	2.88	0.1
1955.4	1.79	0.08
1955.3	3.04	0.1
1955.1	2.28	0.24
1954.9	2.55	0.34
1954.7	2.21	0.26
1954.5	2.03	0.08
1954.3	2.53	0.01
1954.1	2.41	0.1
1953.9	2	0.1
1953.7	1.93	0.14
1953.5	1.89	0.1
1953.3	2.17	0.24
1953.1	1.65	0.01
1952.9	2.25	0.14
1952.6	1.76	0.06
1952.3	1.69	0.2
1952.1	1.92	0.22
1951.9	1.86	0.1
1951.7	1.83	0.4
1951.3	2.4	0.58
1951.1	2.17	0.24
1950.9	2.94	0.46
1950.8	2.81	0.02
1950.6	1.97	0.16
1950.4	1.78	0.44
1950.3	2.44	0.26
1950.1	2.16	0.16
1949.9	2.11	0.16
1949.8	2.56	0.1
1949.6	2.59	0.02
1949.3	3.93	0.52
1949.1	3.9	0.22
1948.9	4.09	0.3
1948.8	3.64	0.36
1948.6	3.22	0.1
1948.4	2.51	0.02
1948.3	2.9	0.34
1948.1	2.64	0.04
1947.9	2.48	0.14
1947.8	2.99	0.22
1947.6	3.35	0.22
1947.4	3.22	0.36
1947.3	4.22	0.46
1947.1	4.96	0.28
1946.5	3.23	0.14
1946.3	3.94	0.24
1946.1	4.03	0.5
1945.9	3.26	0.2
1945.6	2.55	0.06
1945.1	2.81	0.08
1944.9	2.86	0.18
1944.8	3.3	0.24
1944.6	2.7	0.01
1944.3	2.52	0.16
1944.1	2.51	0.34
1943.9	2.32	0.3
1943.8	2.35	0.14
1943.6	1.88	0.32
1943.3	4.33	0.16
1943.1	3.17	0.6
