# Law Dome Ice Core Deglacial Methane and Oxygen Isotope Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:11129
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/law/law2002.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2011
# --------------------
# Title 
#	Study_Name: Law Dome Ice Core Deglacial Methane and Oxygen Isotope Data
# --------------------
# Investigators
#	Investigators: Morgan, V.; Delmotte, M.; van Ommen, T.; Jouzel, J.; Chappellaz, J.; Woon, S.; Masson-Delmotte, V.; Raynaud, D. 
# --------------------
# Description_and_Notes
# 	Description: Oxygen isotope data of air and ice plus air methane concentration for the last deglacial period, from the Law Dome ice core, Antarctica.  
#
#	These data are also avaiable in the supplementary materials for 
	#Morgan et al. Science 297:1862, at: 
#	http://www.sciencemag.org/content/suppl/2002/09/12/297.5588.1862.DC1.html 
#
#	These data are also archived by the Australian Antarctic Division's 
#	Catalogue of Australian Antarctic and Subantarctic Metatdata (CAASM), at: 
#	http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=amd_au&KeywordPath=Parameters%7C%28%5BFreetext%3D%27law+dome%27%5D%29&OrigMetadataNode=AADC&EntryId=air_methane_lawdome&MetadataView=Full&MetadataType=0&lbnode=mdlb3 
#
#	Law Dome: 66°44'S, 112°50'E, 1390m elevation. 
# --------------------
# Publication
#	Authors: V. Morgan, M. Delmotte, T. van Ommen, J. Jouzel, J. Chappellaz, S. Woon, V. Masson-Delmotte, and D. Raynaud
#	Published_Date_or_Year: 2002
#	Published_Title: Relative Timing of Deglacial Climate Events in Antarctica and Greenland
#	Journal_Name: Science
#	Volume: 297		
#	Edition: 	
#	Issue: 
#	Pages: 1862-1864
#	DOI: 10.1126/science.1074257
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: The last deglaciation was marked by large, hemispheric, millennial-scale 
climate variations: the Bølling-Allerød and Younger Dryas periods in the 
north, and the Antarctic Cold Reversal in the south. A chronology from 
the high-accumulation Law Dome East Antarctic ice core constrains the 
relative timing of these two events and provides strong evidence that 
the cooling at the start of the Antarctic Cold Reversal did not follow 
the abrupt warming during the northern Bølling transition around 14,500 
years ago. This result suggests that southern changes are not a direct 
response to abrupt changes in North Atlantic thermohaline circulation, 
as is assumed in the conventional picture of a hemispheric temperature 
seesaw.  
# -------------------- 
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Law Dome
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: 66.766
#	Southernmost_Latitude: 66.766
#	Easternmost_Longitude: 112.8
#	Westernmost_Longitude: 112.8
#	Elevation: 1370 m
# --------------------
# Data_Collection
#	Collection_Name: 02LawD01
#	Earliest_Year: 19005.7
#	Most_Recent_Year: 8994.7
#	Time Unit: yb 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,years before 1950,,,,,N 
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yb_1950	d18O
17284.2	-28.66
17319	-28.4
17353.7	-28.1
17388.6	-28.38
17423.5	-28.24
17458.4	-27.55
17493.4	-27.34
17531.7	-27.72
17573.7	-27.83
17612.1	-27.45
17647.1	-27.5
17682	-27.83
17717	-27.67
17752.1	-28.03
17787.2	-28.06
17822.3	-28.56
17857.2	-28.51
17892.3	-28
17927.5	-27.67
18022.3	-27.58
18061	-27.53
18096.2	-28.35
18131.4	-28.91
18166.7	-28.3
18201.8	-27.97
18237.1	-28.02
18272.4	-28.42
18307.7	-28.27
18343	-28.45
18378.2	-28.77
18417.2	-28.32
18452.6	-28.56
18480.7	-28.34
18491.4	-28.5
18507.9	-28.34
18524.4	-28.43
18541	-28.25
18557.5	-28.32
18575.3	-28.07
18594.1	-28.39
18613	-28.38
18631.8	-28.45
18650.7	-28.32
18669.8	-28.47
18688.6	-28.4
18707.5	-28.25
18726.4	-28.05
18745.5	-27.94
18764.4	-27.83
18783.3	-27.45
18804.6	-26.93
18828.2	-26.95
18852	-27.35
18870	-27.08
18882.3	-27.84
18894.7	-28.08
18907	-28.33
18919.3	-28.43
18931.7	-27.9
18944	-28.07
18956.4	-28.02
18968.7	-28.29
18981	-28.29
18993.4	-28.36
19005.7	-28.27
