# New Caledonia Porites Coral Paleothermometry Assessment Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http:
#
# Original_Source_URL: ftp:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 
#--------------------
# Title
#	Study_Name: New Caledonia Porites Coral Paleothermometry Assessment Data
#--------------------
# Investigators
#       Investigators: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#--------------------
# Description_and_Notes
#	Description: Porites lutea cores were collected in 1992 by Fred Taylor, Jamie Austin, Yvan Join and  John Butscher.  The isotope data were analyzed at the University of South Florida  College of Marine Science, on a Finnigan Delta Plus XL mass spectrometer and attached  Kiel Carbonate Device with an analytical precision of 0.04 per mil for carbon and 0.08  per mil for oxygen (1 sigma) determined by repeated measurements of NBS 19 relative to VPDB.   The elemental data were analyzed on a Perkin Elmer Optima 4300DV ICP-OES following the  drift-correction methods of Schrag (1999).  Analytical precision (1 sigma) for the Sr/Ca  determinations is 0.2 % (0.018 mmol/mol), based on a laboratory standard solution of  dissolved Porites lutea. Depth series were converted to time series using AnalySeries  software (Paillard et al., 1996) to match Sr/Ca minima to SST maxima and vise versa.  Stable isotopic and Sr/Ca determinations on samples from Cores 99-PAA, 92-PAC and 92-PAD  were made at USF.  Stable isotopic determinations on samples from core 92-PAA made at the  University of Michigan.  Sr/Ca determinations on samples from core 92-PAA made at the  University of California-Santa Cruz. 
#--------------------
# Publication 
#       Authors: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#       Published_Date_or_Year: 2004     
#       Published_Title: Assessing the Reproducibility of Coral-based Climate Records.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L18210
#       Pages: 
#       DOI: 10.1029/2004GL020343
#       Online_Resource: 
#       Full_Citation: Stephans, C., T.M. Quinn, F. Taylor, and T. Correge. 2004. Assessing the Reproducibility of Coral-based Climate Records.  Geophysical Research Letters, 31,18, L18210, 10.1029/2004GL020343, 2004
#       Abstract: We perform replication tests using monthly variations in Sr/Ca and d18O in  four cores from three Porites lutea coral heads from New Caledonia to assess  the reproducibility of coral-based climate records.  Coral Sr/Ca (d18O) records  are well correlated to each other and to the instrumental SST record (1967-1992),  especially in terms of differences in the mean values of 25-year SST records  (~0.2C, Sr/Ca-SST; 0.6C, d18O-SST).  The average error associated with the  coral Sr/Ca-SST (d18O-SST) of any particular month, season or year is ~0.8C  (1.1C), 0.6C (0.8C) and 0.5C (0.6C), respectively.  "Stacking" or averaging  the individual proxy records reduces the error between observed and predicted SST,  although the reduction is small for coral Sr/Ca.  Excellent reproducibility among  the coral proxies implies that reliable climate records can be generated from a  single coral core and that coral Sr/Ca-SST records are not compromised, beyond  the errors stated herein, by non-temperature-related biological effects.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Amedee Island, New Caledonia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>New Caledonia
#	Country: New Caledonia 
#	Northernmost_Latitude: -22.48 
# 	Southernmost_Latitude: -22.48 
# 	Easternmost_Longitude: 166.47  
# 	Westernmost_Longitude: 166.47  
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 04newc04a 
#	Earliest_Year: 1968 
#	Most_Recent_Year: 1992 
#	Time_Unit: Years AD 
#	Core_Length:
#	Notes: From core 92PAA. These data have been updated by DeLong et al. 2012. Please see file: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2012.txt 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d13c	delta 13 Carbon, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N
##d18o	delta 18 Oxygen, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N 				
##Sr/Ca		Strontium/Calcium, Porites lutea, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d13c	d18o	Sr/Ca
1968.042	-1.31	-4.67	8.966
1968.125	-1.24	-4.74	8.933
1968.208	-1.04	-4.66	8.971
1968.292	-1.13	-4.58	9.003
1968.375	-1.52	-4.41	9.161
1968.458	-1.80	-4.29	9.199
1968.542	-1.26	-3.97	9.278
1968.625	-1.11	-3.86	9.305
1968.708	-0.99	-3.90	9.307
1968.792	-1.07	-4.24	9.217
1968.875	-1.28	-4.39	9.115
1968.958	-1.63	-4.44	9.046
1969.042	-1.46	-4.55	9.033
1969.125	-1.18	-4.66	9.006
1969.208	-1.36	-4.73	8.985
1969.292	-1.28	-4.71	9.069
1969.375	-1.09	-4.53	9.092
1969.458	-1.23	-4.46	9.134
1969.542	-1.05	-4.23	9.245
1969.625	-0.85	-4.10	9.338
1969.708	-0.86	-4.09	9.290
1969.792	-1.06	-4.28	9.276
1969.875	-1.10	-4.61	9.088
1969.958	-1.08	-4.73	9.034
1970.042	-1.11	-4.75	9.049
1970.125	-1.19	-4.78	8.993
1970.208	-1.26	-4.75	9.003
1970.292	-1.54	-4.56	9.074
1970.375	-1.76	-4.57	9.108
1970.458	-1.53	-4.43	9.189
1970.542	-1.25	-4.20	9.284
1970.625	-1.12	-4.02	9.293
1970.708	-1.28	-4.11	9.245
1970.792	-1.43	-4.37	9.192
1970.875	-1.34	-4.64	9.154
1970.958	-1.26	-4.83	9.078
1971.042	-1.65	-4.96	9.004
1971.125	-1.69	-4.81	8.998
1971.208	-1.61	-4.74	9.056
1971.292	-1.33	-4.63	9.154
1971.375	-1.10	-4.56	9.213
1971.458	-1.20	-4.33	9.164
1971.542	-1.01	-4.04	9.265
1971.625	-0.99	-4.12	9.376
1971.708	-1.12	-4.32	9.264
1971.792	-1.16	-4.56	9.209
1971.875	-1.28	-4.59	9.138
1971.958	-1.29	-4.64	9.124
1972.042	-1.16	-4.72	9.080
1972.125	-1.04	-4.84	9.101
1972.208	-1.24	-4.94	9.115
1972.292	-1.24	-4.77	9.078
1972.375	-1.14	-4.57	9.099
1972.458	-1.06	-4.38	9.236
1972.542	-0.90	-4.13	9.307
1972.625	-0.98	-3.99	9.298
1972.708	-1.04	-4.07	9.365
1972.792	-1.14	-4.35	9.321
1972.875	-1.42	-4.55	9.193
1972.958	-1.53	-4.70	9.229
1973.042	-1.65	-4.84	9.053
1973.125	-1.47	-4.89	9.101
1973.208	-1.50	-4.90	9.118
1973.292	-1.05	-4.69	9.110
1973.375	-1.15	-4.45	9.157
1973.458	-1.34	-4.44	9.192
1973.542	-1.21	-4.32	9.227
1973.625	-1.22	-4.22	9.263
1973.708	-0.87	-4.10	9.243
1973.792	-0.99	-4.34	9.134
1973.875	-0.97	-4.52	9.056
1973.958	-1.03	-4.65	8.979
1974.042	-1.21	-4.88	9.024
1974.125	-1.21	-4.96	8.965
1974.208	-1.13	-4.86	9.015
1974.292	-1.10	-4.83	9.032
1974.375	-1.24	-4.69	9.131
1974.458	-1.21	-4.48	9.227
1974.542	-1.37	-4.28	9.300
1974.625	-1.22	-4.06	9.337
1974.708	-1.03	-4.02	9.351
1974.792	-1.23	NAN	9.301
1974.875	-1.22	-4.32	9.103
1974.958	-1.17	-4.49	8.961
1975.042	-1.19	-4.61	8.985
1975.125	-1.09	-4.64	9.034
1975.208	-1.12	-4.66	9.033
1975.292	-1.16	-4.76	8.950
1975.375	-1.60	-4.67	9.020
1975.458	-1.45	-4.54	9.103
1975.542	-1.18	-4.24	9.209
1975.625	-0.99	-4.08	9.292
1975.708	-0.87	-4.14	9.291
1975.792	-0.98	-4.39	9.172
1975.875	-1.28	-4.51	9.089
1975.958	-1.43	-4.68	9.016
1976.042	-1.32	-4.81	8.973
1976.125	-1.31	-4.95	8.978
1976.208	-1.29	-5.08	8.925
1976.292	-1.56	-5.02	9.014
1976.375	-1.51	-4.75	9.090
1976.458	-1.61	-4.59	9.143
1976.542	-1.47	-4.37	9.204
1976.625	-1.10	-4.13	9.226
1976.708	-0.96	-4.09	9.209
1976.792	-0.95	-4.36	9.174
1976.875	-1.22	-4.56	9.080
1976.958	-1.45	-4.72	9.047
1977.042	-1.26	-4.81	9.027
1977.125	-1.17	-4.82	9.032
1977.208	-1.19	-4.77	9.030
1977.292	-1.16	-4.57	9.018
1977.375	-1.26	-4.40	9.080
1977.458	-1.53	-4.30	9.167
1977.542	-1.35	-4.18	9.168
1977.625	-1.11	-4.08	9.234
1977.708	-1.12	-4.13	9.221
1977.792	-1.28	-4.25	9.190
1977.875	-1.41	-4.37	9.143
1977.958	-1.33	-4.52	9.096
1978.042	-1.22	-4.65	9.034
1978.125	-1.24	-4.63	9.012
1978.208	-1.24	-4.72	9.053
1978.292	-1.21	-4.53	9.039
1978.375	-1.19	-4.44	9.112
1978.458	-1.18	-4.38	9.157
