# Baffin Island 1250 Year Summer Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:6234
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/donard_2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
# --------------------
# Contribution_date
#	Date: 2003
# --------------------
# Title 
#	Study_Name: Baffin Island 1250 Year Summer Temperature Reconstruction
# --------------------
# Investigators
#	Investigators:  Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T.
# --------------------
# Description_and_Notes
# 	Description:  Summer temperature reconstruction based on laminae thickness in sediments
from Donard Lake, Baffin Island, Canada.  
66°40'N 61°21'W
# --------------------
# Publication
#	Authors: J.J Moore, K.A. Hughen, G.H. Miller, J.T. Overpeck
#	Published_Date_or_Year: 2003
#	Published_Title:  Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada
#	Journal_Name:  Journal of Paleolimnology
#	Volume:  25
#	Edition:  
#	Issue:  
#	Pages:  503-517
#	DOI: 
#	Online_Resource:  
#	Full_Citation:  
#	Abstract:  Clastic varved sediments from Donard Lake, in the Cape Dyer region of 
Baffin Island, provide a 1250 yr record of decadal-to-centennial scale 
climate variability. Donard Lake experiences strong seasonal fluctuations 
in runoff and sediment fluxes due to the summer melting of the Caribou 
Glacier, which presently dominates its catchment. The seasonal variation 
in sediment supply results in the annual deposition of laminae couplets. 
A radiocarbon date measured on moss fragments, with a calibrated age of 
860 ± 80 yrs before present (BP), is in close agreement with the age 
based on paired-layer counts. Together with the fabric of the laminae 
determined from microscope analysis, the age agreement demonstrates that 
the laminae couplets are annually deposited varves. Comparisons of varve 
thickness and average summer temperature from nearby Cape Dyer show a 
significant positive correlation (r= 0.57 for annual records, r = 0.82 
for 3-yr averages), indicating that varve thickness reflects changes 
in average summer temperature. Varve thickness was used to reconstruct 
average summer temperatures for the past 1250 yrs, and shows abrupt 
shifts and large amplitude decadal-to-centennial scale variability 
throughout the record. The most prominent feature of the record is 
a period of elevated summer temperatures from 1200-1375 AD, followed 
by cooler conditions from 1375-1820 AD, coincident with the 
Little Ice Age. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name:  
#	Grant:  
# --------------------
# Site_Information
#	Site_Name: Donard Lake, Baffin Island
#	Location: North America>Canada
#	Country:  Canada
#	Northernmost_Latitude: 66.66667
#	Southernmost_Latitude: 66.66667
#	Easternmost_Longitude:61.35
#	Westernmost_Longitude: 61.35
#	Elevation: m
# --------------------
# Data_Collection
#	Collection_Name: 03Baff01
#	Earliest_Year: 752
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years AD,,,,,N 
##avg_temp	surface temperature anomaly (degrees C), Annual, , , degrees C ,summer , , , N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	avg_temp
1399	2.152354
1398	1.863166
1397	1.814968
1396	3.670591
1395	2.923522
1394	2.995819
1393	3.622393
1392	2.706631
1391	2.754829
1390	2.923522
1389	2.658433
1388	3.092215
1387	2.537938
1386	1.911364
1385	3.164512
1384	2.634334
1383	2.176453
1382	2.417443
1381	2.055958
1380	1.742671
1379	1.935463
1378	1.959562
1377	1.670374
1376	1.814968
1375	1.863166
1374	2.296948
1373	2.899423
1372	2.513839
1371	4.321264
1370	5.670808
1369	2.513839
1368	2.055958
1367	2.947621
1366	2.345146
1365	3.236809
1364	2.224651
1363	2.080057
1362	1.863166
1361	4.634551
1360	4.369462
1359	1.983661
1358	2.706631
1357	2.803027
1356	3.477799
1355	2.851225
1354	3.068116
1353	4.152571
1352	3.69469
1351	4.489957
1350	3.429601
1349	2.537938
1348	2.441542
1347	4.538155
1346	1.983661
1345	2.080057
1344	2.995819
1343	4.393561
1342	4.827343
1341	2.899423
1340	3.69469
1339	3.019918
1338	3.116314
1337	4.321264
1336	2.513839
1335	3.525997
1334	3.429601
1333	2.393344
1332	3.983878
1331	3.911581
1330	3.044017
1329	3.260908
1328	3.574195
1327	2.562037
1326	2.586136
1325	3.116314
1324	2.610235
1323	5.164729
1322	2.417443
1321	2.610235
1320	1.983661
1319	1.887265
1318	2.321047
1317	2.465641
1316	2.031859
1315	2.224651
1314	5.670808
1313	2.634334
1312	4.923739
1311	2.851225
1310	3.21271
1309	4.321264
1308	2.393344
1307	2.176453
1306	1.863166
1305	1.911364
1304	3.164512
1303	2.080057
1302	4.779145
1301	2.851225
1300	6.610669
1299	2.899423
1298	4.441759
1297	3.477799
1296	2.778928
1295	2.417443
1294	3.477799
1293	4.610452
1292	3.188611
1291	3.309106
1290	3.983878
1289	4.441759
1288	3.236809
1287	3.333205
1286	3.69469
1285	5.164729
1284	2.634334
1283	2.562037
1282	2.417443
1281	3.766987
1280	2.296948
1279	4.706848
1278	3.116314
1277	2.24875
1276	2.995819
1275	2.176453
1274	2.296948
1273	2.055958
1272	3.839284
1271	3.69469
1270	3.019918
1269	2.947621
1268	3.357304
1267	4.273066
1266	3.260908
1265	3.044017
1264	3.044017
1263	3.863383
1262	4.17667
1261	3.718789
1260	5.574412
1259	3.69469
1258	2.682532
1257	3.019918
1256	5.453917
1255	4.128472
1254	4.056175
1253	5.212927
1252	6.128689
1251	5.815402
1250	2.441542
1249	2.851225
1248	4.682749
1247	2.562037
1246	4.321264
1245	3.236809
1244	3.309106
1243	2.682532
1242	2.97172
1241	1.911364
1240	2.272849
1239	3.959779
1238	3.742888
1237	3.116314
1236	2.682532
1235	3.598294
1234	3.791086
1233	4.562254
1232	2.610235
1231	2.465641
1230	4.369462
1229	2.345146
1228	2.537938
1227	5.719006
1226	3.21271
1225	3.598294
1224	6.080491
1223	3.911581
1222	4.65865
1221	3.525997
1220	4.032076
1219	5.453917
1218	3.959779
1217	6.10459
1216	3.69469
1215	5.14063
1214	3.285007
1213	2.080057
1212	3.670591
1211	4.007977
1210	3.405502
1209	3.574195
1208	2.899423
1207	4.65865
1206	2.803027
1205	2.778928
1204	2.200552
1203	4.610452
1202	3.4537
1201	4.89964
1200	2.899423
1199	2.345146
1198	1.983661
1197	2.031859
1196	2.345146
1195	2.345146
1194	2.778928
1193	2.827126
1192	2.537938
1191	2.24875
1190	3.044017
1189	3.381403
1188	4.538155
1187	3.092215
1186	2.128255
1185	4.080274
1184	2.104156
1183	1.694473
1182	1.790869
1181	2.513839
1180	3.429601
1179	2.393344
