# Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:17380
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/wu2014/wu2014-4b.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-11-04
#--------------------
# Title
#	Study_Name: Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#--------------------
# Description_and_Notes
#	Description: Monthly data from Porites lobata
#--------------------
# Publication 
#       Authors: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#       Published_Date_or_Year: 2014     
#       Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll)
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 412
#       Edition: 
#       Issue: 
#       Pages: 208-222
#       DOI: 10.1016/j.palaeo.2014.07.039
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: Sub-seasonally resolved and replicated coral Sr/Ca time series at Clipperton Atoll (10�18'N, 109�13'W) in the eastern Pacific are assessed as a sea surface temperature (SST) proxy in this region with small seasonal SST variability. The composite coral Sr/Ca time series is a partially replicated record of three live and one sub- modern colony of Porites lobata extending back to 1874. Large inter-colony coral Sr/Ca offsets equate to relative SST differences of 0.6 to 4.3 �C and limit the ability to reconstruct absolute SST changes. Moreover, the replication method revealed a 12-year section of growth in one colony where mean Sr/Ca was anomalously low (~1 �C higher SST) relative to the other colonies without evidence of diagenesis or other significant skeletal alterations. The presence of this anomalous interval supports the need for multi-coral Sr/Ca replication in specific sites or re- gions. The Clipperton Composite Sr/Ca anomaly record is significantly coherent (r = 0.71�0.76, p b 0.001) with gridded instrumental SSTs but with larger amplitude decadal variance that appears to more accurately represent actual SST variability at Clipperton. The amplitude of the secular warming trend during the last century at Clipperton is 0.3 to 0.6 �C larger (~twice as large) than the trend in the poorly �ground-truthed� instrumental SST records for the region. The interannual and decadal variability in Clipperton coral Sr/Ca demonstrates strong coherence to the Pacific Decadal Oscillation and the El Nin~o/Southern Oscillation (ENSO) with reduced ENSO variability from 1920 to late 1930s and enhanced variability in the late twentieth century.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation
#       Grant: SGER ATM9409368
#------------------
# Site_Information 
#       Site_Name: Clipperton Atoll
#       Location: Ocean>Pacific Ocean>Eastern Pacific Ocean
#	Country: France  
#	Northernmost_Latitude: 10.3 
# 	Southernmost_Latitude: 10.3 
# 	Easternmost_Longitude: -109.216667 
# 	Westernmost_Longitude: -109.216667 
# 	Elevation: -8.2 
#------------------
# Data_Collection   
#	Collection_Name: 00epac03b 
#	Earliest_Year: 1894.04167 
#	Most_Recent_Year: 1993.95833267
#	Time_Unit: Years AD 
#	Core_Length: 2.97 m
#	Notes: Core name - 4B. Prevous name - Clipperton 4B Sr/Ca Wu14
#------------------
# Species
#	Species_Name: Porites lobata
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N				
##Sr/Ca	Strontium/Calcium, Porites lobata, ,mmol/mol, , Corals and Sclerosponges, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	Sr/Ca
1993.958333	9.32615813
1993.874999	9.25179023
1993.791666	9.17526308
1993.708333	9.21000000
1993.624999	9.21000000
1993.541666	9.18747363
1993.458333	9.14242057
1993.374999	9.08000046
1993.291666	9.16008069
1993.208333	9.16004019
1993.124999	9.13018063
1993.041666	9.20987483
1992.958333	9.17864045
1992.874999	9.16000000
1992.791666	9.16000000
1992.708333	9.15498746
1992.624999	9.14370292
1992.541666	9.11246854
1992.458333	9.09249366
1992.374999	9.08000076
1992.291666	9.16003025
1992.208333	9.14018082
1992.124999	9.20000000
1992.041666	9.20987985
1991.958333	9.17989484
1991.874999	9.14998497
1991.791666	9.14498747
1991.708333	9.14002006
1991.624999	9.15001506
1991.541666	9.15995472
1991.458333	9.11497721
1991.374999	9.07000000
1991.291666	9.09666738
1991.208333	9.18333378
1991.124999	9.20999977
1991.041666	9.17444421
1990.958333	9.17777784
1990.874999	9.20000017
1990.791666	9.18777755
1990.708333	9.15666650
1990.624999	9.15000017
1990.541666	9.15888861
1990.458333	9.11888883
1990.374999	9.11000042
1990.291666	9.16333342
1990.208333	9.20333374
1990.124999	9.30999951
1990.041666	9.22999960
1989.958333	9.18999994
1989.875000	9.15999988
1989.791666	9.14000060
1989.708333	9.19999994
1989.625000	9.16999994
1989.541666	9.16000010
1989.458333	9.16999993
1989.375000	9.13000108
1989.291666	9.22000000
1989.208333	9.20333303
1989.125000	9.24000000
1989.041666	9.24000000
1988.958333	9.23888886
1988.875000	9.23333330
1988.791666	9.22555549
1988.708333	9.21444438
1988.625000	9.19666655
1988.541666	9.17444433
1988.458333	9.12999973
1988.375000	9.08000032
1988.291666	9.14000074
1988.208333	9.21999999
1988.125000	9.21000000
1988.041666	9.21000000
1987.958333	9.20333327
1987.875000	9.18999993
1987.791666	9.17666660
1987.708333	9.15666653
1987.625000	9.13000016
1987.541666	9.16333350
1987.458333	9.17333327
1987.375000	9.16000000
1987.291666	9.17504526
1987.208333	9.21012040
1987.125000	9.27018046
1987.041666	9.30996498
1986.958333	9.30121938
1986.875000	9.28494739
1986.791666	9.26118421
1986.708333	9.20484223
1986.625000	9.16376313
1986.541666	9.17250876
1986.458333	9.17874556
1986.375000	9.17000017
1986.291666	9.17000033
1986.208333	9.19000001
1986.125000	9.25999986
1986.041666	9.22875556
1985.958333	9.21751116
1985.875000	9.21000000
1985.791666	9.21497756
1985.708333	9.22000000
1985.625000	9.21253372
1985.541666	9.26226403
1985.458333	9.24013480
1985.375000	9.23988003
1985.291666	9.29988011
1985.208333	9.27001994
1985.125000	9.30999992
1985.041666	9.28777770
1984.958333	9.26666661
1984.875000	9.24999994
1984.791666	9.23555552
1984.708333	9.22444441
1984.625000	9.18666647
1984.541666	9.13111092
1984.458333	9.11111107
1984.375000	9.10000006
1984.291666	9.14758788
1984.208333	9.15992982
1984.125000	9.13255261
1984.041666	9.22000000
1983.958333	9.22000000
1983.875000	9.21992496
1983.791666	9.19493745
1983.708333	9.16988989
1983.625000	9.11491738
1983.541666	9.06000000
1983.458333	9.06000000
1983.375000	9.06000069
1983.291666	9.25000023
1983.208333	9.25000000
1983.125000	9.28000007
1983.041666	9.30666674
1982.958333	9.29333319
1982.875000	9.23999996
1982.791666	9.22666663
1982.708333	9.20333325
1982.625000	9.16999993
1982.541666	9.14333327
1982.458333	9.12333330
1982.375000	9.11000034
1982.291666	9.24002007
1982.208333	9.21983965
1982.125000	9.22012021
1982.041666	9.26994000
1981.958333	9.25494749
1981.875000	9.23996999
1981.791666	9.22997499
1981.708333	9.21997999
1981.625000	9.20998499
1981.541667	9.19997997
1981.458333	9.17998997
1981.375000	9.16000002
1981.291667	9.18507522
1981.208333	9.24507514
1981.125000	9.28261268
1981.041667	9.27984001
1980.958333	9.24000000
1980.875000	9.24009001
1980.791667	9.26987498
1980.708333	9.22006002
1980.625000	9.24995498
1980.541667	9.21994995
1980.458333	9.16996993
1980.375000	9.11000026
1980.291667	9.21000049
1980.208333	9.21000024
1980.125000	9.27000001
1980.041667	9.28111113
1979.958333	9.28444441
1979.875000	9.25666663
1979.791667	9.22888886
1979.708333	9.20111108
1979.625000	9.18333332
1979.541667	9.17222221
1979.458333	9.15666665
1979.375000	9.14000007
1979.291667	9.22763776
