# Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1881
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/savusavu_bay_2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-03
#--------------------
# Title
#	Study_Name: Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#--------------------
# Description_and_Notes
#	Description: Fiji Diploastrea cores 4F1 and LH were collected from opposite sides  of the channel in Savusavu Bay.   Core 4F1 was collected in 10 meters  of water and spans 1940 to 1997, while core LH was collected in  2 meters of water and we present here only the period 1940 to 2001.   The composite d18O and Sr/Ca records are an average of the two cores,  both normalized to the 1970-1996 mean.  Both cores were sampled at  0.5 mm intervals within the upper 50 mm, and at 1 mm intervals below  50 mm depth.
#--------------------
# Publication 
#       Authors: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#       Published_Date_or_Year: 2004   
#       Published_Title: Evaluating the use of the massive coral Diploastrea heliopora for paleoclimate reconstruction.
#       Journal_Name: Paleoceanography
#       Volume: 19
#       Edition: 
#       Issue: PA1032
#       Pages: 
#       DOI: 10.1029/2003PA000935
#       Online_Resource: 
#       Full_Citation: Bagnato, S., B.K. Linsley, S.S. Howe, G.M. Wellington, and J. Salinger. 2005. Coral oxygen isotope records of interdecadal climate variations in the  South Pacific Convergence Zone region.   Geochemistry, Geophysics, Geosystems, Vol. 6, Q06001, 1 June 2005. doi:10.1029/2004GC000879
#       Abstract: To date, coral-based paleoclimate research in the Pacific has primarily  utilized core samples from the genus Porites and has been most successful  reconstructing past variability on interannual timescales, particularly  the El Ni�o Southern Oscillation (ENSO). The Indo-Pacific coral genus  Diploastrea, however, owing to its slower extension rate, denser structure,  and longer lifespan, can potentially preserve geochemical proxy records  2�3 times longer than Porites cores of the same length. Before its potential  can be realized, Diploastrea must first be calibrated and its climate signal  assessed. We present oxygen isotope (d18O) and Sr/Ca results from two  Diploastrea cores collected in Fiji (16�49S, 179�14E) that allow for  simultaneous evaluation of this coral's paleoclimatic utility and the  reproducibility of each tracer at this site. Comparison to a Porites record  from the same location allows for further evaluation of Diploastrea as a  paleoclimatic archive. We demonstrate that Diploastrea's septal and columellar  material yield similar d18O-SST relationships and that despite some sacrifice  of the seasonal d18O amplitude, bulk sampling of either region is satisfactory  for resolving interannual and lower frequency modes of climatic variability.  Therefore paleoclimate reconstructions employing either a septal or columellar  sampling regime of this genus may be useful at filling in spatial and temporal  sampling gaps which currently hinder the reconstruction of long-term changes  in major climate fields in the western Pacific.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Savusavu Bay, Fiji
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Fiji
#	Country: Fiji 
#	Northernmost_Latitude: -16.82 
# 	Southernmost_Latitude: -16.82 
# 	Easternmost_Longitude: 179.23  
# 	Westernmost_Longitude: 179.23  
# 	Elevation:  -10 m  
#------------------
# Data_Collection   
#	Collection_Name: 04fiji01a
#	Earliest_Year: 1940 
#	Most_Recent_Year: 1997 
#	Time_Unit: y_ad
#	Core_Length: .304 m
#	Notes: {"database":"LMR_FM"} Core name 4F1
#------------------
# Species
#	Species_Name: Diploastrea heliopora
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Diploastrea heliopora, , permil VPDB, , Corals and Sclerosponges, normalized to the 1970-1996 mean, ,N
##Sr/Ca	Strontium/Calcium, Diploastrea heliopora, , mmol/mol, , Corals and Sclerosponges, normalized to the 1970-1996 mean, ,N
##d13C	delta Carbon 13, Diploastrea heliopora, , permil VPDB, , Corals and Sclerosponges, average of the two cores both normalized to the 1970-1996 mean, ,N
##depth	depth of core, Diploastrea heliopora, ,mm, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca	d13C	depth
1984.46	-5.12	9.13	-0.38	67
1984.29	-5.07	9.11	-0.29	68
1984.12	-5.2	9.12	-0.05	69
1983.96	-4.89	9.18	0.42	70
1983.79	-4.62	9.2	0.18	71
1983.62	-4.6	9.21	-0.2	72
1983.48	-4.74	9.13	-0.46	73
1983.35	-4.88	9.11	-0.31	74
1983.21	-4.94	9.16	0.08	75
1982.96	-4.85	9.18	0.37	76
1982.71	-4.81	9.21	0.37	77
1982.48	-4.86	9.16	0.01	78
1982.26	-5.07	9.08	-0.32	79
1982.04	-5.17	NAN	-0.17	80
1981.79	-5.08	9.09	0.26	81
1981.54	-4.76	9.18	0.69	82
1981.46	-4.81	9.2	0.25	83
1981.37	-4.88	9.18	0.07	84
1981.29	-5.13	9.14	0.14	85
1981.21	-5.14	9.17	0.55	86
1980.62	-4.8	9.17	0.36	87
1980.21	-4.86	9.17	0.09	88
1979.71	-4.81	9.17	-0.04	89
1979.61	-4.83	9.17	0.42	90
1979.51	-4.89	9.21	0.62	91
1979.41	-4.96	9.2	0.44	92
1979.31	-5.08	9.14	0	93
1979.21	-5.16	9.13	-0.02	94
1978.62	-4.89	9.17	0.51	95
1978.5	-5	9.18	0.34	96
1978.37	-4.92	9.21	0.17	97
1978.25	-4.93	9.14	-0.06	98
1978.12	-5.01	9.09	-0.07	99
1977.96	-4.94	9.13	0.25	100
1977.79	-4.88	9.22	0.43	101
1977.62	-4.7	9.17	0.17	102
1977.46	-4.88	9.19	-0.29	103
1977.29	-4.92	9.11	-0.27	104
1977.12	-5.18	9.1	-0.45	105
1976.96	-5.07	9.11	0.11	106
1976.79	-4.92	9.22	0.25	107
1976.62	-4.86	9.18	0.13	108
1976.52	-5.1	9.16	-0.21	109
1976.42	-5.3	9.11	-0.38	110
1976.31	-5.23	9.06	-0.25	111
1976.21	-5.33	9.04	0.09	112
1976.04	-5.21	9.11	0.27	113
1975.87	-5.16	9.18	-0.01	114
1975.71	-5.06	9.11	-0.15	115
1975.54	-4.99	9.12	-0.14	116
1975.33	-5.21	9.06	-0.14	117
1975.12	-5.37	9.04	0.21	118
1974.9	-5.17	9.1	0.53	119
1974.68	-5.07	9.12	0.45	120
1974.46	-4.97	9.17	0.41	121
1974.32	-5.11	9.06	-0.15	122
1974.18	-5.12	9.05	-0.14	123
1974.04	-5.11	9.07	0.21	124
1973.79	-5.04	9.14	0.51	125
1973.54	-4.86	9.18	0.77	126
1973.4	-4.94	9.14	0.47	127
1973.26	-5.02	9.1	0	128
1973.12	-5.11	9.09	-0.17	129
1972.93	-4.96	9.17	0.15	130
1972.73	-4.83	9.18	0.27	131
1972.54	-4.68	9.22	0.25	132
1972.4	-4.89	9.15	0.13	133
1972.26	-5.08	9.1	0.21	134
1972.12	-5.45	9.02	0.11	135
1971.93	-5.3	9.08	0.38	136
1971.73	-5.16	9.16	0.29	137
1971.54	-4.96	9.14	0.34	138
1971.33	-5.02	9.13	0.05	139
1971.12	-5.15	9.07	-0.11	140
1970.98	-5.12	9.09	0.28	141
1970.85	-4.84	9.16	0.61	142
1970.71	-4.6	NAN	0.42	143
1970.48	-4.68	9.17	0.11	144
1970.26	-4.95	9.12	-0.09	145
1970.04	-5.05	9.08	0.05	146
1969.87	-4.96	9.06	0.61	147
1969.71	-4.76	9.17	0.69	148
1969.54	-4.53	9.26	0.52	149
1969.4	-4.59	9.2	0.3	150
1969.26	-4.73	9.19	0.06	151
1969.12	-5.15	9.16	0.38	152
1968.83	-4.99	9.17	0.43	153
1968.54	-4.87	9.23	0.43	154
1968.4	-4.97	9.18	0.02	155
1968.26	-5.22	9.1	-0.15	156
1968.12	-5.38	9.08	-0.05	157
1967.93	-5.15	9.12	0.38	158
1967.73	-4.88	9.15	0.49	159
1967.54	-4.69	9.21	0.36	160
1967.4	-4.93	9.21	-0.02	161
1967.26	-4.88	9.1	-0.05	162
1967.12	-5.11	9.09	-0.18	163
1966.93	-5.02	9.11	0.3	164
1966.73	-4.77	9.17	0.36	165
1966.54	-4.59	9.27	0.37	166
1966.4	-4.83	9.15	0	167
1966.26	-4.96	9.15	0.03	168
1966.12	-5.09	9.13	0.59	169
1965.83	-4.85	9.18	0.92	170
1965.54	-4.6	9.24	0.44	171
1965.4	-4.94	9.15	-0.02	172
1965.26	-5.08	9.09	-0.15	173
1965.12	-5.18	9.1	0.04	174
1964.83	-5.13	9.1	-0.04	175
1964.54	-4.7	9.12	0.22	176
1964.4	-4.73	9.16	-0.03	177
1964.26	-4.96	9.12	0.11	178
1964.12	-4.95	9.1	0.37	179
1963.83	-4.88	9.17	0.57	180
1963.54	-4.81	9.2	0.37	181
1963.4	-4.82	9.18	0.12	182
1963.26	-5.2	NAN	-0.13	183
1963.12	-5.33	9.13	0.42	184
1962.83	-4.96	9.16	0.84	185
1962.54	-4.89	9.22	0.47	186
1962.33	-5.3	9.11	0.05	187
1962.12	-5.32	9.12	0.32	188
1961.83	-5.1	NAN	0.43	189
