# Ningaloo Reef Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1867
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/ningaloo.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2011-10
#--------------------
# Title
#	Study_Name: Ningaloo Reef Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#--------------------
# Description_and_Notes
#	Description: The data set contains interpolated d18O and d13C in bimonthly temporal resolution for the time period 1878-1994. The material consists of a vertical core from a colony of Porites lutea. Samples for isotopic analyses were taken using a low-speed dental drill. Untreated samples were measured on a Finnigan MAT 251 mass spectrometer.  The age model in the data set is based on the density banding of the skeleton and the seasonality in d18O.
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#       Published_Date_or_Year: 2000  
#       Published_Title: Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia.
#       Journal_Name: International Journal of Earth Science
#       Volume: 88
#       Edition: 
#       Issue: 
#       Pages: 88
#       DOI: 10.1007/s005310050300
#       Online_Resource: 
#       Full_Citation: Kuhnert, Henning; Pätzold, Jürgen; Wyrwoll, K-H; Wefer, Gerold (2000): Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia. International Journal of Earth Sciences, 88(4), 725-732, doi:10.1007/s005310050300
#       Abstract: 116-year record of coral skeletal delta18O is presented from a colony of Porites lutea from Ningaloo Reef, western Australia. Interannual variability of sea-surface temperatures (SST) inferred from skeletal delta18O is dominated by a 9.5-year period, and may constitute a characteristic signal of the Leeuwin Current. On long-terms coral skeletal delta18O indicates a near-continuous increase of SST at Ningaloo Reef over one century. The skeletal delta18O time series was checked for the presence of seasonal cooling events resulting from major volcanic eruptions. An ~1 °C cooling is evident following the eruption of Pinatubo in 1991, which reproduces the results of previous investigations. However, only weak or no signals can be related to the eruptions of Krakatau (1883) and Agung (1963).
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: Ma 821/11-1
#------------------
# Site_Information 
#       Site_Name: Ningaloo Reef
#       Location: Australia/New Zealand>Australia
#	Country: Australia  
#	Northernmost_Latitude: -21.905 
# 	Southernmost_Latitude: -21.905 
# 	Easternmost_Longitude: 113.965 
# 	Westernmost_Longitude: 113.965 
# 	Elevation: -3.0 m  
#------------------
# Data_Collection   
#	Collection_Name: 00aust01b
#	Earliest_Year: 1878 
#	Most_Recent_Year: 1994 
#	Time_Unit: y_ad 
#	Core_Length: 1.44 m
#	Notes: Internal precisions (1 SD) are 0.02 per mil for delta O-18,and 0.015 per mil for delta C-13. External precisions (1 SD) of an internal laboratory standard (Solnhofen limestone) are 0.07 per mil for delta O-18, and 0.05 per mil for delta C-13. Average sampling density is 6.7 samples per year. The bimonthly data were interpolated with an Excel-macro. Based on couplets of annual density bands and seasonality in d18O. Within each year the highest (least depleted) d18O value was tied to mid-September, which is the coldest month on average.
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	interpolated age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18O	interpolated delta 18 Oxygen, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##d13C	interpolated delta 13 Carbon, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d13C
1879.08	-5.03	-0.32
1879.25	-5.07	-0.58
1879.42	-4.58	-1.36
1879.58	-4.31	-0.92
1879.75	-4.33	-0.57
1879.92	-4.49	-0.61
1880.08	-4.73	-0.67
1880.25	-4.9	-0.84
1880.42	-4.84	-1.31
1880.58	-4.5	-1.39
1880.75	-4.3	-0.51
1880.92	-4.45	-1.05
1881.08	-4.67	-0.42
1881.25	-4.96	-0.62
1881.42	-4.56	-1.24
1881.58	-4.36	-1.06
1881.75	-4.34	-0.73
1881.92	-4.32	-0.33
1882.08	-4.58	-0.53
1882.25	-4.67	-1.04
1882.42	-4.35	-1.16
1882.58	-3.91	-0.38
1882.75	-3.87	0.1
1882.92	-4.33	0.13
1883.08	-4.49	0.03
1883.25	-4.58	-0.33
1883.42	-4.34	-0.61
1883.58	-4.02	-0.78
1883.75	-3.96	-0.27
1883.92	-4.1	0.1
1884.08	-4.44	-0.84
1884.25	-4.5	-0.77
1884.42	-4.25	-0.82
1884.58	-4.13	-0.77
1884.75	-3.97	-0.31
1884.92	-4.11	-0.26
1885.08	-4.27	-0.22
1885.25	-4.52	-1.1
1885.42	-4.34	-1.02
1885.58	-4.07	-0.4
1885.75	-3.99	-0.41
1885.92	-4.03	0.13
1886.08	-4.3	-0.25
1886.25	-4.44	-0.45
1886.42	-4.56	-0.81
1886.58	-4.07	-0.67
1886.75	-3.63	-0.26
1886.92	-4.01	-0.22
1887.08	-4.12	-0.1
1887.25	-4.23	-0.07
1887.42	-4.51	-0.69
1887.58	-4.33	-0.89
1887.75	-3.5	-0.25
1887.92	-4.06	-0.51
1888.08	-4.61	-0.67
1888.25	-4.73	-0.69
1888.42	-4.89	-1.08
1888.58	-4.42	-1.23
1888.75	-4.07	-0.8
1888.92	-4.2	-0.49
1889.08	-4.49	-0.59
1889.25	-4.88	-1.18
1889.42	-4.68	-1.51
1889.58	-4.25	-1.11
1889.75	-4.05	-0.68
1889.92	-4.29	-0.51
1890.08	-4.63	-0.51
1890.25	-4.84	-0.93
1890.42	-4.66	-1.27
1890.58	-4.29	-1.12
1890.75	-4.13	-0.55
1890.92	-4.3	-0.34
1891.08	-4.43	-0.65
1891.25	-4.56	-0.77
1891.42	-4.46	-1.22
1891.58	-4.01	-0.47
1891.75	-4.01	-0.21
1891.92	-4.17	0.14
1892.08	-4.63	-0.37
1892.25	-4.72	-0.83
1892.42	-4.46	-1.13
1892.58	-4.14	-0.8
1892.75	-4.05	-0.07
1892.92	-4.24	-0.17
1893.08	-4.44	-0.3
1893.25	-4.61	-0.61
1893.42	-4.34	-1.12
1893.58	-4.25	-0.51
1893.75	-4.16	0.28
1893.92	-4.41	0.39
1894.08	-4.71	-0.27
1894.25	-4.77	-0.49
1894.42	-4.62	-0.69
1894.58	-4.32	-0.66
1894.75	-4.07	-0.37
1894.92	-4.14	-0.06
1895.08	-4.33	0.36
1895.25	-4.58	-0.13
1895.42	-4.52	-0.25
1895.58	-4.34	-0.66
1895.75	-3.97	-0.32
1895.92	-4.19	-0.15
1896.08	-4.3	-0.32
1896.25	-4.52	-0.47
1896.42	-4.56	-0.85
1896.58	-4.39	-1.33
1896.75	-3.92	-0.63
1896.92	-4.03	-0.21
1897.08	-4.37	-0.11
1897.25	-4.74	-0.65
1897.42	-4.79	-1.3
1897.58	-4.27	-1
1897.75	-4.03	-0.47
1897.92	-4.27	-0.49
1898.08	-4.56	-0.53
1898.25	-4.86	-0.78
1898.42	-4.65	-1.25
1898.58	-4.3	-1.28
1898.75	-4.15	-0.97
1898.92	-4.21	-0.54
1899.08	-4.49	-0.25
1899.25	-4.91	-0.56
1899.42	-4.71	-1.34
1899.58	-4.31	-1.52
1899.75	-4.11	-0.82
1899.92	-4.18	-0.67
1900.08	-4.38	-0.6
1900.25	-4.93	-0.99
1900.42	-4.83	-1.39
1900.58	-4.34	-1.13
1900.75	-4.02	-0.78
1900.92	-4.14	-0.6
1901.08	-4.5	-0.69
1901.25	-4.82	-0.89
1901.42	-4.89	-1.51
1901.58	-4.26	-1.2
1901.75	-4.04	-0.95
1901.92	-4.37	-0.75
1902.08	-4.96	-0.98
1902.25	-4.79	-1.23
1902.42	-4.32	-1.22
1902.58	-4.19	-0.85
1902.75	-4.09	-0.6
1902.92	-4.13	-0.66
1903.08	-4.54	-0.47
1903.25	-4.56	-1.01
1903.42	-4.47	-1.33
1903.58	-4.28	-1.18
