# Mayotte Coral Coupled Sr/Ca and d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:8424
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/mayotte2008.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2009-04
#--------------------
# Title
#	Study_Name: Mayotte Coral Coupled Sr/Ca and d18O Data
#--------------------
# Investigators
#       Investigators: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#--------------------
# Description_and_Notes
#	Description: Coupled Sr/Ca and d18O measurements from a Porites solida coral  at Mayotte (Comoro Archipelago), 12�39'S, 45�06'E, used as a proxy  for d18Oseawater and hydrological variability (P-E) in the western  tropical Indian Ocean.  
#--------------------
# Publication 
#       Authors: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#       Published_Date_or_Year: 2008-12-10     
#       Published_Title: Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.
#       Journal_Name: Geophys. Res. Lett.
#       Volume: 35
#       Edition: 
#       Issue: L23707
#       Pages: 
#       DOI: 10.1029/2008GL035634
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2008GL035634/abstract
#       Full_Citation: Zinke, J., M. Pfeiffer, O. Timm, W.-C. Dullo, D. Kroon,  and B. A. Thomassin. 2008.   Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.  Geophys. Res. Lett., 35, L23707, doi:10.1029/2008GL035634.
#       Abstract: We reconstruct the hydrologic history of the tropical western Indian Ocean by calculating the d18Oseawater from coupled coral Sr/Ca and d18O measurements in a massive Porites coral from Mayotte (Comoros) between 1881 and 1994. We found that the precipitation-evaporation balance varies naturally on time scales of 5-6 years and 18-25 years. High (low) SSTs are associated with positive (negative) d18Oseawater implying that atmospheric variability is linked with remote climate modes in the Indian Ocean and the tropical/extratropical Pacific Ocean. Warm El Nino-Southern Oscillation events are associated with a negative freshwater balance at Mayotte. This case study demonstrates that a much denser network of d18Oseawater reconstructions is crucial for understanding the spatial patterns of hydrological conditions.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: German Science Foundation (KIHZ)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Nederlandse Organisatie voor Wetenschappelijk Onderzoek
#       Grant: 854.00.034
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC) International Pacific Research Center
#       Grant:
#------------------
# Funding_Agency 
#       Funding_Agency_Name: DFG
#       Grant: PF 676/1, Leibniz award
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC)
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Mayotte Island, Comoros Archipelago
#       Location: Ocean>Indian Ocean>Comoros
#	Country: France 
#	Northernmost_Latitude: -12.65
# 	Southernmost_Latitude: -12.65
# 	Easternmost_Longitude: 45.10
# 	Westernmost_Longitude: 45.10
# 	Elevation: -2 m
#------------------
# Data_Collection   
#	Collection_Name: 08como01a
#	Earliest_Year: 1881
#	Most_Recent_Year: 1994
#	Time_Unit: y_ad
#	Core_Length: 2.38 m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites solida
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites solida, , permil VPDB, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Porites solida, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d18O_sw	reconstructed sea water delta 18 Oxygen, sea water, , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca	d18O_sw
1946.12	-5.11	8.708	0.681
1946.29	-4.908	8.759	0.719
1946.46	-4.804	8.771	0.785
1946.62	-4.7	8.912	0.444
1946.79	-4.798	8.808	0.676
1946.96	-4.896	8.704	0.908
1947.12	-5.06	8.676	0.833
1947.29	-5	8.75	0.658
1947.46	-4.913	8.936	0.155
1947.62	-4.66	8.976	0.28
1947.79	-4.87	8.935	0.198
1947.96	-4.977	8.889	0.238
1948.12	-5.17	8.826	0.246
1948.29	-5.15	8.8	0.348
1948.46	-4.917	8.819	0.522
1948.62	-4.72	8.981	0.205
1948.79	-4.833	8.865	0.458
1948.96	-4.9	8.802	0.591
1949.12	-4.95	8.743	0.73
1949.29	-5.04	8.787	0.5
1949.46	-5.007	8.921	0.107
1949.62	-4.76	8.972	0.192
1949.79	-4.823	8.816	0.624
1949.96	-4.89	8.799	0.611
1950.12	-4.89	8.799	0.613
1950.29	-5.123	8.778	0.445
1950.46	-4.967	8.824	0.457
1950.62	-4.65	8.932	0.428
1950.79	-4.778	8.878	0.474
1950.96	-4.993	8.789	0.539
1951.12	-5.035	8.742	0.648
1951.29	-5.05	8.696	0.778
1951.46	-5.01	8.843	0.353
1951.62	-4.89	8.884	0.342
1951.79	-4.927	8.803	0.564
1951.96	-4.96	8.696	0.868
1952.12	-5.1	8.726	0.632
1952.29	-5.233	8.746	0.435
1952.46	-4.907	8.843	0.456
1952.62	-4.78	8.869	0.499
1952.79	-5.027	8.768	0.572
1952.96	-5.22	8.723	0.524
1953.12	-5.125	8.723	0.617
1953.29	-5.17	8.753	0.478
1953.46	-5.033	8.846	0.319
1953.62	-4.8	8.865	0.492
1953.79	-4.897	8.771	0.695
1953.96	-5.05	8.684	0.816
1954.12	-5.2	8.744	0.476
1954.29	-5.147	8.714	0.624
1954.46	-4.973	8.794	0.544
1954.62	-4.84	8.874	0.424
1954.79	-4.953	8.871	0.319
1954.96	-5.013	8.785	0.533
1955.12	-5.23	8.689	0.622
1955.29	-5.063	8.706	0.732
1955.46	-4.91	8.755	0.731
1955.62	-4.69	8.869	0.59
1955.79	-4.905	8.831	0.495
1955.96	-5.01	8.682	0.863
1956.12	-5.13	8.689	0.72
1956.29	-5.21	8.706	0.586
1956.46	-5.187	8.774	0.395
1956.62	-4.66	8.932	0.42
1956.79	-4.783	8.855	0.54
1956.96	-4.963	8.763	0.654
1957.12	-5.16	8.707	0.635
1957.29	-5.033	8.682	0.841
1957.46	-5.22	8.779	0.347
1957.62	-4.75	8.839	0.625
1957.79	-4.882	8.8	0.616
1957.96	-4.96	8.714	0.812
1958.12	-4.975	8.73	0.747
1958.29	-5.15	8.71	0.633
1958.46	-5.092	8.8	0.406
1958.62	-4.76	8.922	0.352
1958.79	-4.96	8.809	0.511
1958.96	-4.95	8.739	0.741
1959.12	-5.19	8.793	0.332
1959.29	-5.1	8.845	0.256
1959.46	-4.95	8.8	0.547
1959.62	-4.7	8.864	0.596
1959.79	-4.883	8.794	0.633
1959.96	-4.977	8.729	0.747
1960.12	-4.97	8.678	0.915
1960.29	-5.193	8.77	0.399
1960.46	-5.087	8.792	0.437
1960.62	-4.83	8.867	0.455
1960.79	-4.863	8.768	0.738
1960.96	-4.897	8.752	0.753
1961.12	-5.1	8.755	0.54
1961.29	-5.123	8.769	0.473
1961.46	-4.81	8.802	0.684
1961.62	-4.66	8.852	0.673
1961.79	-4.752	8.84	0.618
1961.96	-4.86	8.762	0.76
1962.12	-4.91	8.689	0.941
1962.29	-4.847	8.764	0.765
1962.46	-4.773	8.84	0.598
1962.62	-4.69	8.916	0.442
1962.79	-4.805	8.796	0.706
1962.96	-4.963	8.689	0.887
1963.12	-5.03	8.696	0.798
1963.29	-5.137	8.669	0.779
1963.46	-4.915	8.794	0.604
1963.62	-4.78	8.904	0.388
1963.79	-4.822	8.864	0.474
1963.96	-4.993	8.778	0.576
1964.12	-5.02	8.695	0.813
1964.29	-4.967	8.687	0.891
1964.46	-4.932	8.777	0.641
1964.62	-4.76	8.952	0.255
1964.79	-4.9	8.826	0.516
1964.96	-5.05	8.738	0.644
1965.12	-5.06	8.684	0.806
1965.29	-5.14	8.658	0.81
1965.46	-5	8.792	0.523
1965.62	-4.77	8.91	0.379
1965.79	-4.835	8.778	0.733
1965.96	-4.97	8.68	0.911
1966.12	-5.095	8.595	1.054
1966.29	-5.06	8.699	0.76
1966.46	-4.782	8.777	0.788
1966.62	-4.63	8.831	0.771
1966.79	-4.84	8.81	0.627
1966.96	-4.86	8.769	0.738
1967.12	-4.83	8.722	0.917
1967.29	-4.827	8.822	0.601
1967.46	-4.61	8.9	0.571
1967.62	-4.56	9	0.304
1967.79	-4.93	8.95	0.092
1967.96	-5.11	8.942	-0.063
1968.12	-5.09	8.848	0.257
1968.29	-5.01	8.801	0.486
1968.46	-4.735	8.954	0.274
1968.62	-4.63	9.044	0.093
1968.79	-4.95	9.008	-0.111
1968.96	-5.09	8.914	0.047
1969.12	-5.28	8.806	0.201
1969.29	-4.93	8.743	0.748
1969.46	-5.06	8.927	0.035
1969.62	-4.86	8.976	0.08
1969.79	-4.987	8.839	0.388
1969.96	-5.12	8.79	0.409
1970.12	-5.17	8.776	0.406
1970.29	-5.22	8.801	0.277
1970.46	-5.067	8.954	-0.056
1970.62	-4.83	9.001	0.03
1970.79	-4.877	8.907	0.284
1970.96	-4.99	8.837	0.391
1971.12	-5.01	8.823	0.417
1971.29	-5.123	8.799	0.379
1971.46	-5.003	8.898	0.184
1971.62	-4.82	9.026	-0.04
1971.79	-4.855	8.923	0.253
1971.96	-5.02	8.801	0.475
1972.12	-5.15	8.808	0.322
1972.29	-5.09	8.822	0.339
1972.46	-5.15	8.96	-0.159
1972.62	-4.78	8.99	0.117
1972.79	-4.973	8.906	0.188
1972.96	-5.043	8.885	0.184
1973.12	-5.23	8.799	0.273
1973.29	-5.15	8.766	0.456
1973.46	-4.89	8.789	0.643
1973.62	-4.86	8.958	0.137
1973.79	-4.963	8.925	0.138
1973.96	-5.217	8.87	0.061
1974.12	-5.23	8.715	0.538
1974.29	-4.96	8.706	0.838
1974.46	-4.853	8.833	0.541
1974.62	-4.71	8.883	0.525
1974.79	-4.863	8.948	0.167
1974.96	-5.017	8.919	0.104
1975.12	-5.03	8.853	0.302
1975.29	-4.977	8.826	0.44
1975.46	-4.83	8.814	0.625
1975.62	-4.62	9.002	0.237
1975.79	-4.905	8.94	0.148
1975.96	-5.02	8.702	0.789
1976.12	-5.085	8.781	0.475
1976.29	-4.98	8.715	0.789
1976.46	-5.07	8.72	0.684
1976.62	-4.7	8.963	0.28
1976.79	-4.78	8.832	0.615
1976.96	-5.01	8.751	0.643
1977.12	-5.105	8.66	0.837
1977.29	-5.25	8.617	0.83
1977.46	-5.1	8.787	0.441
1977.62	-4.83	8.863	0.468
1977.79	-4.97	8.767	0.634
1977.96	-4.98	8.693	0.859
1978.12	-5.12	8.65	0.855
1978.29	-5.16	8.657	0.793
1978.46	-4.825	8.683	1.044
1978.62	-4.73	8.838	0.647
1978.79	-4.965	8.837	0.417
1978.96	-4.97	8.761	0.653
1979.12	-5.095	8.686	0.766
1979.29	-5.2	8.686	0.659
1979.46	-4.85	8.716	0.916
1979.62	-4.6	8.885	0.629
1979.79	-4.898	8.854	0.429
1979.96	-4.96	8.726	0.773
1980.12	-5.008	8.704	0.794
1980.29	-5.04	8.683	0.83
1980.46	-5.04	8.728	0.686
1980.62	-4.84	8.888	0.379
1980.79	-4.965	8.855	0.36
1980.96	-4.95	8.79	0.582
1981.12	-4.98	8.713	0.796
1981.29	-5.25	8.692	0.592
1981.46	-4.94	8.761	0.683
1981.62	-4.77	8.92	0.349
1981.79	-4.89	8.864	0.405
1981.96	-5.08	8.821	0.351
1982.12	-5.05	8.704	0.753
1982.29	-5.22	8.643	0.778
1982.46	-4.97	8.741	0.717
1982.62	-4.72	8.863	0.577
1982.79	-4.95	8.818	0.493
1982.96	-5.005	8.715	0.764
1983.12	-5.09	8.712	0.687
1983.29	-5.22	8.654	0.742
1983.46	-5.05	8.777	0.52
1983.62	-4.81	8.876	0.448
1983.79	-4.93	8.858	0.384
1983.96	-5.01	8.792	0.514
1984.12	-5.145	8.789	0.387
1984.29	-5.19	8.65	0.784
1984.46	-5.12	8.792	0.405
1984.62	-4.5	8.893	0.704
1984.79	-4.965	8.854	0.362
1984.96	-4.99	8.773	0.594
1985.12	-5.133	8.761	0.491
1985.29	-5.2	8.646	0.788
1985.46	-4.61	8.867	0.676
1985.62	-4.54	8.935	0.529
1985.79	-4.64	8.85	0.7
1985.96	-5	8.767	0.604
1986.12	-4.94	8.761	0.681
1986.29	-5.07	8.765	0.539
1986.46	-4.98	8.817	0.465
1986.62	-4.53	8.973	0.419
1986.79	-4.687	8.95	0.334
1986.96	-4.915	8.876	0.343
1987.12	-5.152	8.781	0.406
1987.29	-5.25	8.698	0.572
1987.46	-5.13	8.771	0.461
1987.62	-4.71	8.895	0.488
1987.79	-4.82	8.876	0.438
1987.96	-4.76	8.87	0.515
1988.12	-4.99	8.715	0.778
1988.29	-5.06	8.604	1.06
1988.46	-5.07	8.762	0.549
1988.62	-4.77	8.919	0.349
1988.79	-4.913	8.866	0.375
1988.96	-5.09	8.789	0.442
1989.12	-5.175	8.689	0.675
1989.29	-5.3	8.664	0.63
1989.46	-5.23	8.773	0.353
1989.62	-4.75	8.908	0.405
1989.79	-4.95	8.847	0.398
1989.96	-5.08	8.782	0.475
1990.12	-5.185	8.715	0.583
1990.29	-5.31	8.648	0.67
1990.46	-4.88	8.711	0.902
1990.62	-4.64	8.879	0.607
1990.79	-5.155	8.761	0.466
1990.96	-5.125	8.74	0.564
1991.12	-5.137	8.703	0.668
1991.29	-5.49	8.539	0.837
1991.46	-4.97	8.735	0.735
1991.62	-4.78	8.906	0.382
1991.79	-4.865	8.819	0.574
1991.96	-5.19	8.761	0.433
1992.12	-5.17	8.701	0.642
1992.29	-5.33	8.727	0.4
1992.46	-5.14	8.832	0.258
1992.62	-4.59	8.963	0.392
1992.79	-5.065	8.926	0.033
1992.96	-5.05	8.797	0.458
1993.12	-5.157	8.714	0.614
1993.29	-5.45	8.588	0.721
1993.46	-4.95	8.804	0.535
1993.62	-4.72	8.877	0.534
1993.79	NAN	8.84	NAN
1993.96	NAN	8.802	NAN
1994.12	NAN	8.701	NAN
1994.29	NAN	8.6	NAN
