# Northeast Breakers Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: 
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2015-11-11
#--------------------
# Title
#	Study_Name: Northeast Breakers Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Cruger, T.; Patzold, J.
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Cruger, T.; Patzold, J.
#       Published_Date_or_Year: 2005
#       Published_Title: NAO signature in a Bermuda coral Sr/Ca record
#       Journal_Name: Geochemistry, Geophysics, Geosystems
#       Volume: 6
#       Edition: 
#       Issue: 4
#       Pages: 
#       DOI: 10.1029/2004GC000786
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2004GC000786/full
#       Full_Citation: 
#       Abstract: We present a 55-year-long record (1928–1982) of Sr/Ca in a Bermuda coral (Diploria strigosa), which we use to reconstruct local twentieth century climate features. The clearest climate signal emerges for the late-year Sr/Ca. Although the coral was collected in shallow water (12 m), the correlation with station data is highest for temperatures at 50 m depth (r = −0.70), suggesting that local temperatures at the collection site are not representative for the sea surface temperatures in the adjacent open ocean. The most striking feature of the coral record is the persistent and significant correlation (r = −0.50) with the North Atlantic Oscillation (NAO) index. Field correlations of fall Sr/Ca with the winter sea level pressure (SLP) show the typical spatial NAO pattern. The stable relationship with the NAO shows that Sr/Ca in Bermuda corals is a suitable tool for the reconstruction of North Atlantic climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.33
# 	Southernmost_Latitude: 32.33
# 	Easternmost_Longitude: -64.75
# 	Westernmost_Longitude: -64.75
# 	Elevation: -12 m  
#------------------
# Data_Collection   
#	Collection_Name: 05berm01a
#	Earliest_Year: 1825
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"}
#------------------
# Species
#	Species_Name: Diploria strigosa 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
##d13C	delta 13 Carbon, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##U/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	U/Ca
1976.88	-4.01	9.13	-1.8	NAN
1976.79	-4.01	9.12	-1.73	NAN
1976.71	-3.83	9.16	-1.52	NAN
1976.63	-3.67	9.24	-1.41	NAN
1976.54	-3.53	9.28	-1.3	NAN
1976.46	-3.47	9.23	-1.28	NAN
1976.38	-3.48	9.25	-1.44	NAN
1976.29	-3.46	9.27	-1.61	NAN
1976.21	-3.44	9.22	-1.78	NAN
1976.13	-3.75	9.2	-1.68	NAN
1976.04	-3.87	9.22	-1.65	NAN
1975.96	-3.95	9.18	-1.62	NAN
1975.88	-3.92	9.12	-1.51	NAN
1975.79	-3.8	9.1	-1.35	NAN
1975.71	-3.99	9.12	-1.61	NAN
1975.63	-3.91	9.11	-1.8	NAN
1975.54	-3.74	9.12	-1.85	NAN
1975.46	-3.66	9.13	-1.69	NAN
1975.38	-3.66	9.15	-1.45	NAN
1975.29	-3.6	9.2	-1.19	NAN
1975.21	-3.16	9.25	-0.71	NAN
1975.13	-3.3	9.2	-0.99	NAN
1975.04	-3.36	9.17	-1.13	NAN
1974.96	-3.33	9.18	-1.11	NAN
1974.88	-3.55	9.15	-1.16	NAN
1974.79	-3.66	9.12	-1.16	NAN
1974.71	-3.66	9.08	-1.1	NAN
1974.63	-3.62	9.08	-1.07	NAN
1974.54	-3.55	9.11	-1.07	NAN
1974.46	-3.44	9.16	-1.1	NAN
1974.38	-3.37	9.16	-1.18	NAN
1974.29	-3.19	9.18	-1.13	NAN
1974.21	-2.92	9.22	-0.97	NAN
1974.13	-2.99	9.19	-0.79	NAN
1974.04	-3.19	9.2	-0.84	NAN
1973.96	-3.37	9.2	-0.89	NAN
1973.88	-3.53	9.18	-0.96	NAN
1973.79	-3.65	9.13	-1.09	NAN
1973.71	-3.6	9.14	-1.03	NAN
1973.63	-3.55	9.09	-0.96	NAN
1973.54	-3.5	9.12	-0.9	NAN
1973.46	-3.59	9.14	-0.99	NAN
1973.38	-3.64	9.15	-1.11	NAN
1973.29	-3.47	9.19	-1.1	NAN
1973.21	-3.3	9.26	-1.1	NAN
1973.13	-3.46	9.24	-1.33	NAN
1973.04	-3.61	9.22	-1.56	NAN
1972.96	-3.7	9.19	-1.77	NAN
1972.88	-3.72	9.17	-1.85	NAN
1972.79	-3.93	9.16	-1.88	NAN
1972.71	-3.95	9.18	-1.83	NAN
1972.63	-3.95	9.08	-1.98	NAN
1972.54	-3.92	9.09	-2.26	NAN
1972.46	-3.7	9.12	-2.11	NAN
1972.38	-3.43	9.15	-2.01	NAN
1972.29	-3.24	9.18	-1.77	NAN
1972.21	-3.13	9.24	-1.5	NAN
1972.13	-3.18	9.25	-1.89	NAN
1972.04	-3.3	9.24	-2.02	NAN
1971.96	-3.4	9.2	-2.02	NAN
1971.88	-3.51	9.17	-2.04	NAN
1971.79	-3.66	9.17	-2.14	NAN
1971.71	-3.9	9.1	-2.4	NAN
1971.63	-3.91	9.12	-2.19	NAN
1971.54	-3.87	9.06	-2.1	NAN
1971.46	-3.77	9.09	-1.79	NAN
1971.38	-3.47	9.09	-1.4	NAN
1971.29	-3.39	9.18	-1.5	NAN
1971.21	-3.05	9.19	-1.29	NAN
1971.13	-3.1	9.24	-1.33	NAN
1971.04	-3.14	9.26	-1.31	NAN
1970.96	-3.43	9.16	-1.62	NAN
1970.88	-3.32	9.12	-1.36	NAN
1970.79	-3.79	9.22	-2.02	NAN
1970.71	-3.94	9.12	-2	NAN
1970.63	-3.93	9.1	-1.87	NAN
1970.54	-3.59	9.11	-1.53	NAN
1970.46	-3.36	9.15	-1.4	NAN
1970.38	-3.16	9.21	-1.53	NAN
1970.29	-3.07	9.25	-1.61	NAN
1970.21	-3.03	9.29	-1.6	NAN
1970.13	-3.15	9.26	-1.32	NAN
1970.04	-3.31	9.27	-1.67	NAN
1969.96	-3.37	9.23	-1.73	NAN
1969.88	-3.84	9.14	-1.9	NAN
1969.79	-3.97	9.15	-1.84	NAN
1969.71	-3.91	9.16	-1.72	NAN
1969.63	-3.85	9.11	-1.61	NAN
1969.54	-3.9	9.1	-1.64	NAN
1969.46	-3.61	9.19	-1.23	NAN
1969.38	-3.46	9.24	-1.25	NAN
1969.29	-3.11	9.24	-1.37	NAN
1969.21	-2.76	9.25	-1.47	NAN
1969.13	-3.38	9.18	-1.77	NAN
1969.04	-3.57	9.22	-1.65	NAN
1968.96	-3.72	9.21	-1.48	NAN
1968.88	-3.86	9.22	-1.31	NAN
1968.79	-3.84	9.18	-1.35	NAN
1968.71	-3.81	9.13	-1.51	NAN
1968.63	-3.84	9.1	-1.67	NAN
1968.54	-3.79	9.12	-1.72	NAN
1968.46	-3.58	9.22	-1.54	NAN
1968.38	-3.35	9.13	-1.27	NAN
1968.29	-2.91	9.19	-0.96	NAN
1968.21	-2.89	9.2	-0.98	NAN
1968.13	-3.06	9.21	-1.24	NAN
1968.04	-3.32	9.15	-1.5	NAN
1967.96	-3.51	9.12	-1.68	NAN
1967.88	-3.63	9.13	-1.68	NAN
1967.79	-3.72	9.15	-1.52	NAN
1967.71	-3.78	9.12	-1.52	NAN
1967.63	-3.84	8.95	-1.52	NAN
1967.54	-3.86	8.93	-1.61	NAN
1967.46	-3.63	8.94	-1.64	NAN
1967.38	-3.31	8.96	-1.5	NAN
1967.29	-3.09	9.02	-1.26	NAN
1967.21	-2.85	9.08	-1.2	NAN
1967.13	-2.95	9.23	-1.04	NAN
1967.04	-3.09	9.27	-1.35	NAN
1966.96	-3.35	9.19	-1.21	NAN
1966.88	-3.6	9.14	-1.43	NAN
1966.79	-3.35	9.12	-1.45	NAN
1966.71	-3.91	9.13	-1.7	NAN
1966.63	-3.94	9.16	-1.83	NAN
1966.54	-3.95	9.09	-1.74	NAN
1966.46	-4.13	9.12	-2.09	NAN
1966.38	-3.42	9.19	-1.37	NAN
1966.29	-3.38	9.15	-1.41	NAN
1966.21	-3.05	9.36	-1.02	NAN
1966.13	-3.17	9.15	-1.18	NAN
1966.04	-3.09	9.21	-1.43	NAN
1965.96	-3.31	9.18	-1.5	NAN
1965.88	-3.72	9.13	-1.87	NAN
1965.79	-3.81	9.15	-1.84	NAN
1965.71	-4	9.09	-2.07	NAN
1965.63	-3.93	9.12	-1.89	NAN
1965.54	-3.96	9.07	-1.76	NAN
1965.46	-3.74	9.12	-1.57	NAN
1965.38	-3.47	9.14	-1.29	NAN
1965.29	-3.2	9.18	-1.14	NAN
1965.21	-3.16	9.16	-1.24	NAN
1965.13	-3.26	9.22	-1.48	NAN
1965.04	-3.55	9.17	-1.61	NAN
1964.96	-3.84	9.16	-1.78	NAN
1964.88	-4.23	9.11	-1.87	NAN
1964.79	-4.24	9.22	-1.92	NAN
1964.71	-4.21	9.08	-1.93	NAN
1964.63	-4.21	9.11	-2.12	NAN
1964.54	-4.01	9.21	-1.92	NAN
1964.46	-3.93	9.12	-1.99	NAN
1964.38	-3.61	9.06	-1.57	NAN
1964.29	-3.39	9.14	-1.34	NAN
1964.21	-2.88	9.15	-0.6	NAN
1964.13	-3.09	9.22	-0.84	NAN
1964.04	-3.02	9.22	-1.11	NAN
1963.96	-3.46	9.19	-1.5	NAN
1963.88	-3.51	9.17	-1.83	NAN
1963.79	-3.59	9.15	-1.93	NAN
1963.71	-3.74	9.15	-1.9	NAN
1963.63	-3.81	9.12	-1.84	NAN
1963.54	-3.85	9.04	-1.75	NAN
1963.46	-3.78	9.04	-1.61	NAN
1963.38	-3.44	9.11	-1.33	NAN
1963.29	-3.16	9.08	-1.07	NAN
1963.21	-3.05	9.18	-0.61	NAN
1963.13	-3.3	9.18	-0.88	NAN
1963.04	-3.68	9.15	-1.24	NAN
1962.96	-3.97	9.12	-1.38	NAN
1962.88	-4.24	9.13	-1.65	NAN
1962.79	-4.43	9.16	-1.68	NAN
1962.71	-4.31	9.17	-1.6	NAN
1962.63	-4.14	9.11	-1.57	NAN
1962.54	-4.12	9.12	-1.57	NAN
1962.46	-3.9	9.15	-1.41	NAN
1962.38	-3.43	9.21	-1.37	NAN
1962.29	-3.24	9.26	-1.14	NAN
1962.21	-3.16	9.22	-1.14	NAN
1962.13	-3.43	9.2	-1.26	NAN
1962.04	-3.26	9.2	-1.24	NAN
1961.96	-3.59	9.13	-1.73	NAN
1961.88	-3.73	9.11	-1.6	NAN
1961.79	-3.86	9.09	-1.47	NAN
1961.71	-3.98	9.11	-1.35	NAN
1961.63	-3.93	9.2	-1.25	NAN
1961.54	-3.81	9.06	-1.35	NAN
1961.46	-3.69	9.08	-1.25	NAN
1961.38	-3.42	9.09	-0.98	NAN
1961.29	-3.1	9.1	-0.76	NAN
1961.21	-3.08	9.15	-0.65	NAN
1961.13	-3.16	9.18	-0.98	NAN
1961.04	-3.3	9.22	-1.15	NAN
1960.96	-3.42	9.23	-1.22	NAN
1960.88	-3.43	9.15	-1.29	NAN
1960.79	-3.56	9.19	-1.21	NAN
1960.71	-3.62	9.16	-1.3	NAN
1960.63	-3.64	9.11	-1.38	NAN
1960.54	-3.65	9.07	-1.28	NAN
1960.46	-3.58	9.06	-1.32	NAN
1960.38	-3.42	9.08	-1.15	NAN
1960.29	-3.28	9.11	-0.96	NAN
1960.21	-3.25	9.11	-0.95	NAN
1960.13	-3.26	9.17	-1.08	NAN
1960.04	-3.26	9.13	-1.38	NAN
1959.96	-3.36	9.16	-1.4	NAN
1959.88	-3.55	9.1	-1.8	NAN
1959.79	-3.57	9.15	-1.64	NAN
1959.71	-3.66	9.03	-1.55	NAN
1959.63	-3.84	9.03	-1.61	NAN
1959.54	-3.75	9.04	-1.38	NAN
1959.46	-3.67	9.09	-1.15	NAN
1959.38	-3.31	9.12	-0.81	NAN
1959.29	-3.19	9.11	-0.73	NAN
1959.21	-3.02	9.14	-0.43	NAN
1959.13	-3.25	9.19	-0.96	NAN
1959.04	-3.61	9.2	-1.42	NAN
1958.96	-3.82	9.12	-1.38	NAN
1958.88	-4.02	9.14	-1.85	NAN
1958.79	-4.18	9.08	-2.12	NAN
1958.71	-4.2	9.09	-2.04	NAN
1958.63	-4.1	9.11	-1.72	NAN
1958.54	-3.95	9.06	-1.41	NAN
1958.46	-3.84	9.08	-1.49	NAN
1958.38	-3.67	9.08	-1.51	NAN
1958.29	-3.26	9.11	-1.33	NAN
1958.21	-3.05	9.16	-1	NAN
1958.13	-3.08	9.14	-1.11	NAN
1958.04	-3.21	9.14	-1.12	NAN
1957.96	-3.39	9.13	-1.11	NAN
1957.88	-3.5	9.12	-1.17	NAN
1957.79	-3.5	9.11	-1.35	NAN
1957.71	-3.5	9.1	-1.62	NAN
1957.63	-3.55	9.1	-1.6	NAN
1957.54	-3.51	9.14	-1.45	NAN
1957.46	-3.47	9.14	-1.31	NAN
1957.38	-3.43	9.15	-1.18	NAN
1957.29	-3.36	9.2	-1.04	NAN
1957.21	-3.24	9.21	-0.85	NAN
1957.13	-3.33	9.36	-0.78	NAN
1957.04	-3.44	9.23	-0.94	NAN
1956.96	-3.56	9.17	-1.12	NAN
1956.88	-3.69	9.16	-1.31	NAN
1956.79	-3.81	9.13	-1.49	NAN
1956.71	-3.93	9.11	-1.67	NAN
1956.63	-4	9.11	-1.76	NAN
1956.54	-4.01	9.13	-1.74	NAN
1956.46	-3.98	9.14	-1.7	NAN
1956.38	-3.9	9.11	-1.57	NAN
1956.29	-3.6	9.12	-1.31	NAN
1956.21	-3.21	9.12	-0.98	NAN
1956.13	-3.3	9.21	-0.85	1.09
1956.04	-3.39	9.17	-1.28	1.09
1955.96	-3.75	9.18	-1.75	1.05
1955.88	-4.13	9.19	-2.01	1.02
1955.79	-4.26	9.17	-2.19	1
1955.71	-4.37	9.2	-2.25	1.05
1955.63	-4.44	9.17	-2.23	1.06
1955.54	-4.14	9.14	-2.12	1.05
1955.46	-3.79	9.12	-2	1.01
1955.38	-3.87	9.08	-1.98	1
1955.29	-3.58	9.13	-1.83	1.02
1955.21	-3.24	9.17	-1.23	1.13
1955.13	-3.29	9.12	-1.33	1.06
1955.04	-3.37	9.12	-1.49	1.03
1954.96	-3.55	9.11	-1.6	1
1954.88	-3.69	9.13	-1.65	1
1954.79	-3.69	9.2	-1.67	1.02
1954.71	-3.69	9.13	-1.68	0.99
1954.63	-3.8	9.15	-1.74	1.02
1954.54	-3.74	9.18	-1.74	1.05
1954.46	-3.6	9.2	-1.67	1.07
1954.38	-3.41	9.18	-1.5	1.07
1954.29	-3.2	9.11	-1.28	1.03
1954.21	-3.1	9.15	-1.26	1.08
1954.13	-3.21	9.18	-1.54	1.04
1954.04	-3.58	9.11	-1.97	0.99
1953.96	-3.73	9.09	-2.15	0.98
1953.88	-3.85	9.1	-2.1	1
1953.79	-3.96	9.17	-2.07	1.03
1953.71	-4.01	9.26	-2.35	1
1953.63	-3.89	9.17	-2.08	1.05
1953.54	-3.69	9.1	-1.97	1
1953.46	-3.35	9.14	-1.7	1.05
1953.38	-3.17	9.26	-1.45	1.11
1953.29	-3.43	9.26	-1.85	1.06
1953.21	-3.04	9.16	-0.8	1.06
1953.13	-3.56	9.15	-1.56	1.04
1953.04	-3.85	9.1	-1.96	1.01
1952.96	-3.9	9.04	-1.99	0.97
1952.88	-3.92	9.11	-2.14	1
1952.79	-3.82	9.11	-2.18	1
1952.71	-3.58	9.04	-2.11	0.98
1952.63	-3.5	9.08	-2.04	0.99
1952.54	-3.47	9.09	-2.01	0.99
1952.46	-3.47	9.1	-2.03	1
1952.38	-3.55	9.13	-2.16	1.03
1952.29	-3.46	9.16	-1.89	1.07
1952.21	-3.18	9.2	-1.23	1.11
1952.13	-3.41	9.22	-1.16	1.13
1952.04	-3.54	9.21	-1.33	1.1
1951.96	-3.64	9.15	-1.57	1.07
1951.88	-3.72	9.11	-1.72	1.05
1951.79	-3.75	9.13	-1.73	1.07
1951.71	-3.62	9.17	-1.66	1.1
1951.63	-3.39	9.12	-1.74	1.03
1951.54	-3.2	9.21	-1.5	1.1
1951.46	-3.14	9.26	-1.28	1.14
1951.38	-3.15	9.27	-1.13	1.14
1951.29	-3.15	9.28	-0.99	1.13
1951.21	-3.16	9.28	-0.84	1.14
1951.13	-3.17	9.25	-0.85	1.13
1951.04	-3.17	9.24	-0.89	1.14
1950.96	-3.16	9.22	-0.94	1.15
1950.88	-3.14	9.18	-0.99	1.14
1950.79	-3.47	9.16	-0.84	1.1
1950.71	-3.51	9.13	-0.69	1.12
1950.63	-3.42	9.17	-0.63	1.19
1950.54	-3.38	9.36	-0.77	1.26
1950.46	-3.34	9.32	-0.91	1.21
1950.38	-3.3	9.27	-1.05	1.18
1950.29	-3.26	9.22	-1.19	1.16
1950.21	-3.22	9.2	-1.33	1.13
1950.13	-3.49	9.14	-1.93	1.06
1950.04	-3.6	9.12	-2.07	1.03
1949.96	-3.56	9.14	-1.74	1.06
1949.88	-3.52	9.16	-1.41	1.09
1949.79	-3.52	9.16	-1.25	1.08
1949.71	-3.58	9.13	-1.25	1.05
1949.63	-3.61	9.13	-1.35	1.06
1949.54	-3.55	9.14	-1.25	1.07
1949.46	-3.4	9.16	-0.95	1.08
1949.38	-3.36	9.18	-1.18	1.09
1949.29	-3.29	9.21	-1.36	1.13
1949.21	-3.2	9.26	-1.47	1.19
1949.13	-3.3	9.24	-1.76	1.08
1949.04	-3.41	9.16	-1.95	1.03
1948.96	-3.38	9.17	-1.94	1.02
1948.88	-3.4	9.15	-1.93	1.02
1948.79	-3.69	9.1	-2.1	1
1948.71	-3.78	9.1	-1.95	1.03
1948.63	-3.62	9.13	-1.69	1.06
1948.54	-3.57	9.14	-1.73	1.06
1948.46	-3.59	9.14	-1.75	1.05
1948.38	-3.4	9.17	-1.7	1.05
1948.29	-3.18	9.25	-1.58	1.08
1948.21	-3.07	9.3	-1.44	1.14
1948.13	-3.15	9.28	-1.45	1.13
1948.04	-3.18	9.27	-1.52	1.12
1947.96	-3.22	9.24	-1.59	1.1
1947.88	-3.26	9.21	-1.65	1.08
1947.79	-3.3	9.19	-1.67	1.06
1947.71	-3.4	9.16	-1.7	1.04
1947.63	-3.5	9.12	-1.5	1.04
1947.54	-3.6	9.06	-1.3	1.04
1947.46	-3.61	9.05	-1.3	1.03
1947.38	-3.53	9.07	-1.37	1.02
1947.29	-3.42	9.07	-1.3	1.04
1947.21	-3.23	9.14	-1.2	1.08
1947.13	-3.36	9.2	-1.35	1.1
1947.04	-3.42	9.16	-1.61	1.08
1946.96	-3.43	9.2	-1.59	1.07
1946.88	-3.73	9.23	-1.93	1.03
1946.79	-3.82	9.06	-2.14	1.02
1946.71	-3.76	9.06	-1.9	1.04
1946.63	-3.82	9.07	-2.25	1.05
1946.54	-3.56	9.08	-2	1.02
1946.46	-3.42	9.14	-2.01	1.04
1946.38	-3.32	9.23	-2.28	1.05
1946.29	-3.39	9.26	-2.34	1.06
1946.21	-3.13	9.23	-2.15	1.05
1946.13	-3.21	9.19	-2.21	1.04
1946.04	-3.3	9.2	-2.28	1.04
1945.96	-3.35	9.18	-2.26	1.03
1945.88	-3.48	9.15	-2.11	1.04
1945.79	-3.61	9.13	-1.96	1.04
1945.71	-3.75	9.09	-2.1	1.03
1945.63	-3.82	9.02	-2.22	0.97
1945.54	-3.8	9.03	-2.12	0.96
1945.46	-3.72	9.03	-2.26	0.97
1945.38	-3.34	9.11	-1.88	1.02
1945.29	-3.16	9.16	-1.75	1.07
