# Quelccaya accumulation
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: 
#
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2015
# --------------------
# Title 
#	Study_Name: Quelccaya accumulation
# --------------------
# Investigators
#	Investigators: Thompson, L.; Mosley-Thompson, E.; Brecher, H.; Davis, M.; Leo, B.; Les , D.; Lin, P. N.; Mashiotta, T.;Mountain, K  
# --------------------
# Description_and_Notes
# 	Description: 
#
# --------------------
# Publication
#	Authors: L. Thompson, E. Mosley-Thompson, H. Brecher, M. Davis, B. Leo, D. Les, P-N. Lin, T. Mashiotta, and K. Mountain
#	Published_Date_or_Year: 2006-07-11
#	Published_Title: Abrupt tropical climate change: Past and present
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 103
#	Edition: 	
#	Issue: 28
#	Pages: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Three lines of evidence for abrupt tropical climate change, both
past and present, are presented. First, annually and decadally averaged d18O and net mass-balance histories for the last 400 and
2,000 yr, respectively, demonstrate that the current warming at high elevations in the mid- to low latitudes is unprecedented for at least the last 2 millennia. Second, the continuing retreat of most
mid- to low-latitude glaciers, many having persisted for thousands of years, signals a recent and abrupt change in the Earth’s climate
system. Finally, rooted, soft-bodied wetland plants, now exposed along the margins as the Quelccaya ice cap (Peru) retreats, have
been radiocarbon dated and, when coupled with other widespread proxy evidence, provide strong evidence for an abrupt mid-Holocene
climate event that marked the transition from early Holocene (pre-5,000-yr-B.P.) conditions to cooler, late Holocene (post-5,000-
yr-B.P.) conditions. This abrupt event, 5,200 yr ago, was widespread and spatially coherent through much of the tropics and was
coincident with structural changes in several civilizations. These three lines of evidence argue that the present warming and
associated glacier retreat are unprecedented in some areas for at least 5,200 yr. The ongoing global-scale, rapid retreat of mountain
glaciers is not only contributing to global sea-level rise but also threatening freshwater supplies in many of the world’s most populous regions.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: United States National Science Foudation 
#	Grant: ATM-0318430
# --------------------
# Site_Information
#	Site_Name: Quelccaya
#	Location: South America> Peru
#	Country: Peru
#	Northernmost_Latitude: -13.16
#	Southernmost_Latitude: -13.16
#	Easternmost_Longitude: -70.14
#	Westernmost_Longitude: -70.14
#	Elevation: 5470 m
# --------------------
# Data_Collection
#	Collection_Name: 03Quel01
#	Earliest_Year: 488
#	Most_Recent_Year: 2003
#	Time Unit: AD
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)	
#
##age_AD	Age,,,year AD,,,,,N
##accum accumulation,,,meters water equivalent per year,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_AD	accum
1995	0.351477688
1994	0.345334505
1993	0.238285077
1992	-0.586408045
1991	1.135184924
1990	0.698508868
1989	2.068661962
1988	0.886255591
1987	1.127089021
1986	0.328060568
1985	0.337804835
1984	0.871858168
1983	0.047405537
1982	-1.175623635
1981	0.686875076
1980	0.047405537
1979	-0.162256607
1978	0.050899906
1977	-1.874497448
1976	-1.958362305
1975	-0.682917597
1974	-1.200084219
1973	0.854604791
1972	-0.354446905
1971	-1.207072957
1970	0.644942647
1969	-0.682917597
1968	0.74627935
1967	-1.325881505
1966	-1.189601111
1965	-0.179728452
1964	2.696137287
1963	1.840016866
1962	0.064877382
1961	1.322850245
1960	-1.217556064
1959	-0.44879487
1958	-0.525670989
1957	-0.053931166
1956	-1.091758778
1955	-0.675928859
1954	-0.18671719
1953	1.204041697
1952	-0.134301654
1951	0.015956215
1950	-1.427218208
1949	0.480707301
1948	1.127165577
1947	-0.015493106
1946	0.637953909
1945	1.312367138
1944	0.316471955
1943	0.127776025
1942	-0.214672143
1941	-0.204189036
1940	-1.961856674
1939	-1.235027909
1938	0.648437016
1937	-0.759793717
1936	-0.221660881
1935	-0.738827502
1934	0.057888644
1933	0.246584574
1932	1.029323244
1931	0.264056419
1930	2.360677857
1929	-1.528554911
1928	0.735796242
1927	-0.924029063
1926	0.141753502
1925	-0.378907489
1924	0.393348074
1923	-0.284559524
1922	1.665298413
1921	0.29900011
1920	0.477212932
1919	1.515040543
1918	-1.857025602
1917	2.116072022
1916	0.438774872
1915	-0.438311763
1914	0.491190408
1913	0.239595835
1912	-0.249615833
1911	0.054394275
1910	1.022334506
1909	0.197663407
1908	-1.189601111
1907	1.696747735
1906	-0.724850026
1905	-1.2699716
1904	-0.053931166
1903	0.323460693
1902	0.582044004
1901	0.784717409
1900	-2.210747834
1899	0.209787444
1898	0.061591407
1897	-0.820998327
1896	0.120869822
1895	-0.784772629
1894	2.077057516
1893	-0.485087309
1892	0.104403595
1891	0.298705067
1890	-0.188695234
1889	-0.132710065
1888	-1.127270138
1887	0.618149858
1886	-0.208454706
1885	-0.676095535
1884	1.616003177
1883	0.058298161
1882	0.114283331
1881	-1.044939006
1880	0.684014764
1879	-0.880276742
1878	1.698334309
1877	1.438167932
1876	-0.076724895
1875	0.025365709
1874	0.074764388
1873	-0.3171318
1872	-0.369823725
1871	-0.271026366
1870	-0.903329459
1869	0.476540312
1868	0.739999934
1867	-0.221627687
1866	0.321757784
1865	-0.287492593
1864	-0.168935763
1863	-0.215041197
1862	-0.445568366
1861	0.601683632
1860	-0.116243838
1859	-0.257853385
1858	-0.597057649
1857	-0.267733121
1856	-0.514726517
1855	-0.475207573
1854	-0.43568863
1853	-0.593764403
1852	-1.561978515
1851	0.295411821
1850	-0.580591422
1849	-0.956021384
1848	-0.19198848
1847	-0.992247082
1846	-2.378703343
1845	0.081350878
1844	-1.127270138
1843	-0.857224025
1842	-1.041645761
1841	-0.788065875
1840	-0.755133422
1839	-1.394023005
1838	-0.689268516
1837	0.255892878
1836	-0.277612857
1835	-1.62784342
1834	-0.13600331
1833	-2.187695117
1832	0.058298161
1831	-1.644309646
1830	-0.827584818
1829	-0.145883046
1828	-1.03505927
1827	-0.19857497
1826	-1.397316251
1825	-0.998833572
1824	-0.471914328
1823	-2.207454589
1822	0.10111035
1821	-1.27217293
1820	-1.245826968
1819	0.206494199
1818	-0.412635913
1817	-0.382996706
1816	-1.015299799
1815	-0.722200969
1814	-0.159056027
1813	-1.476354137
1812	-0.501553536
1811	-1.295225647
1810	-0.860517271
1809	-1.664069118
1808	-1.364383798
1807	-1.341331081
1806	1.299851631
1805	-0.817705082
1804	-2.276612739
1803	0.321757784
1802	-1.667362363
1801	0.094523859
1800	-1.33474459
1799	-0.580591422
1798	-0.112950593
1797	-0.234800668
1796	-1.552098779
1795	-0.033912706
1794	-0.761719912
1793	-1.344624326
1792	-0.715614479
1791	-0.998833572
1790	-0.363237234
1789	-0.646456328
1788	-1.558685269
1787	-0.603644139
1786	-1.525752817
1785	0.074764388
1784	-0.91650244
1783	-0.290785838
1782	-1.295225647
1781	-1.117390402
1780	-1.291932402
1779	-1.275466176
1778	-1.713467797
1777	-1.041645761
1776	-0.363237234
1775	-0.67280229
1774	-0.320425045
1773	-1.305105383
1772	-0.784772629
1771	-0.597057649
1770	-3.287639039
1769	0.802571594
1768	-1.907769269
1767	-1.206308025
1766	-1.535632552
1765	0.209787444
1764	-1.160202591
1763	-1.143736364
1762	-0.425808894
1761	-0.409342668
1760	-0.741960441
1759	-1.436835194
1758	0.002312992
1757	-0.692561762
1756	-1.216187761
1755	-0.478500819
1754	0.440314613
1753	-1.354504062
1752	0.117576576
1751	-0.593764403
1750	0.522645745
1749	-0.929675422
1748	-2.395169569
1747	0.209787444
1746	0.229546916
1745	-0.49826029
1744	0.265772614
1743	-0.093191121
1742	-0.076724895
1741	-0.817705082
1740	-0.422515649
1739	0.354690236
1738	0.374449708
1737	-1.143736364
1736	-1.133856629
1735	-0.346771008
