# Eur_3 - PAGES 2K Nsc12 MXD Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Eur_3 - Nsc12
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Esper J, Frank DC, Timonen M, Zorita E, Wilson RJS, Luterbacher J, Holzkämper S, Fischer N, Wagner S, Nievergelt D, Verstege A, Büntgen U (2012) Orbital forcing of tree-ring data. Nature Climate Change  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Nsc12
#	Location: Europe
#	Country: Finland
#	Northernmost_Latitude: 68
#	Southernmost_Latitude: 68
#	Easternmost_Longitude: 25
#	Westernmost_Longitude: 25
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Eur_3
#	Earliest_Year: -138.0
#	Most_Recent_Year: 2005.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##MXD	maximum latewood density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
39.0	0.408736
40.0	-0.120728
41.0	0.856744
42.0	0.469828
43.0	1.70185
44.0	1.426936
45.0	1.579666
46.0	2.170222
47.0	1.70185
48.0	0.571648
49.0	1.610212
50.0	1.304752
51.0	0.877108
52.0	0.999292
53.0	0.551284
54.0	0.602194
55.0	0.622558
56.0	0.866926
57.0	0.68365
58.0	0.693832
59.0	-0.090182
60.0	0.520738
61.0	0.205096
62.0	-0.48728
63.0	0.469828
64.0	0.469828
65.0	0.541102
66.0	0.877108
67.0	0.561466
68.0	0.194914
69.0	1.060384
70.0	1.09093
71.0	0.306916
72.0	0.704014
73.0	0.948382
74.0	0.164368
75.0	0.714196
76.0	0.408736
77.0	1.19275
78.0	0.68365
79.0	1.589848
80.0	-0.568736
81.0	0.877108
82.0	-0.497462
83.0	0.052366
84.0	-0.629828
85.0	-1.525844
86.0	-0.38546
87.0	-0.813104
88.0	1.488028
89.0	-0.28364
90.0	-0.192002
91.0	0.58183
92.0	0.673468
93.0	0.826198
94.0	1.029838
95.0	0.296734
96.0	0.337462
97.0	-0.069818
98.0	1.213114
99.0	1.813852
100.0	1.152022
101.0	-0.864014
102.0	0.164368
103.0	0.052366
104.0	-0.578918
105.0	0.103276
106.0	0.062548
107.0	0.357826
108.0	0.744742
109.0	0.754924
110.0	-0.008726
111.0	0.714196
112.0	1.304752
113.0	1.029838
114.0	0.592012
115.0	0.73456
116.0	1.009474
117.0	0.602194
118.0	1.49821
119.0	0.347644
120.0	-0.161456
121.0	0.082912
122.0	0.571648
123.0	0.754924
124.0	0.439282
125.0	0.48001
126.0	0.714196
127.0	0.765106
128.0	-0.049454
129.0	0.032002
130.0	-0.456734
131.0	0.520738
132.0	1.376026
133.0	0.194914
134.0	0.398554
135.0	0.490192
136.0	0.73456
137.0	1.182568
138.0	0.68365
139.0	0.83638
140.0	0.765106
141.0	0.4291
142.0	0.07273
143.0	0.215278
144.0	-1.138928
145.0	-0.28364
146.0	-0.110546
147.0	-0.049454
148.0	0.02182
149.0	0.500374
150.0	-0.548372
151.0	-0.456734
152.0	-1.261112
153.0	-1.077836
154.0	0.093094
155.0	0.133822
156.0	-0.558554
157.0	-0.650192
158.0	-0.497462
159.0	-0.33455
160.0	-0.293822
161.0	0.144004
162.0	0.642922
163.0	-0.884378
164.0	-0.38546
165.0	-0.008726
166.0	-0.517826
167.0	0.245824
168.0	-0.202184
169.0	0.256006
170.0	0.541102
171.0	0.001456
172.0	-0.212366
173.0	0.07273
174.0	-0.141092
175.0	-0.660374
176.0	0.592012
177.0	-0.13091
178.0	-0.090182
179.0	-0.23273
