# Abraham Reef Biannual Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1838
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/readme_abraham.txt
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/abra13c.txt
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/image/coral/abra13c.gif
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/image/coral/abra18o.gif
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 1995-06
#--------------------
# Title
#	Study_Name: Abraham Reef Biannual Coral Isotope Data
#--------------------
# Investigators
#       Investigators: Druffel, E.R.M.; Griffin, S. 
#--------------------
# Description_and_Notes
#	Description: Site: Abraham Reef,  22 06'S, 153 00'E, Porites australiensus, Stable Isotope (del 18O and del 13C) results from bi-annual samples  from a 323 banded coral series from the southern Great Barrier Reef.  
#--------------------
# Publication 
#       Authors: Druffel, E.R.M.; Griffin, S. 
#       Published_Date_or_Year: 1993     
#       Published_Title: Large Variations of Surface Ocean Radiocarbon: Evidence of Circulation Changes in the Southwestern pacific
#       Journal_Name: Journal of Geophysical Research
#       Volume: 98
#       Edition: 
#       Issue: c11
#       Pages: 20246-20259
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Druffel, E.R.M. and S. Griffin, 1993, Large Variations of Surface Ocean Radiocarbon: Evidence of Circulation Changes in the Southwestern pacific, Journal of Geophysical Research v.98, no c11, pp 20246-20259.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Abraham Reef, Great Barrier Reef, Australia
#       Location: Australia/New Zealand>Australia
#	Country: Australia 
#	Northernmost_Latitude: -22.1 
# 	Southernmost_Latitude: -22.1 
# 	Easternmost_Longitude: 153 
# 	Westernmost_Longitude: 153 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 93aust01a 
#	Earliest_Year: 1635 
#	Most_Recent_Year: 1957
#	Time_Unit: Years AD 
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites australiensus
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d13c	delta 13 Carbon, Porites australiensus, , per mil VPDB, , Corals and Sclerosponges, , ,N
##d18o	delta 18 Oxygen, Porites australiensus, , per mil VPDB, , Corals and Sclerosponges, , ,N 				
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d13c	d18o
1891	-0.48	-5.24
1893	-0.46	-5.02
1895	-0.53	-5.37
1897	-0.99	-5.71
1899	-0.58	-5.09
1901	-0.78	-5.07
1903	-0.79	-5.24
1905	-0.77	-5.26
1907	-0.73	-5.21
1909	-0.76	-5.12
1911	-0.48	-5.24
1913	-0.69	-5.22
1915	-0.86	-4.98
1917	-0.89	-5.14
1919	-0.83	-5.01
1921	-0.68	-4.79
1923	-0.67	-5.25
1925	-0.49	-5.15
1927	-0.71	-5.30
1929	-0.92	-5.44
1931	-0.50	-5.16
1933	-1.00	-5.42
1935	-0.74	-5.06
1937	-0.67	-5.12
1939	-0.61	-5.02
1941	-0.69	-4.89
1943	-0.77	-5.10
1945	-0.92	-5.28
1947	-1.11	-5.13
1948	-0.72	-4.94
1949	-0.94	-5.05
1950	-0.30	-5.97
1951	-0.91	-5.01
1952	-1.29	-5.31
1953	-1.43	-5.08
1954	-1.13	-5.22
1955	-1.31	-5.27
1956	-0.89	-5.13
1957	-0.80	-5.15
