# Dome Fuji Ice Core 340KYr (2500m) d18O Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:6076
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/domefuji/df-d18o-340ka-dfo2006.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2007
# --------------------
# Title 
#	Study_Name: Dome Fuji Ice Core 340KYr (2500m) d18O Data
# --------------------
# Investigators
#	Investigators: Kawamura, K.; Parrenin, F.; Lisiecki, L.; Uemura, R.; Vimeux, F.; Severinghaus, J.P.; Hutterli, M.A.; Nakazawa, T.; Aoki, S.; Jouzel, J.; Raymo, M.E.; Matsumoto, K.; Nakata, H.; Motoyama, H.; Fujita, S.; Goto-Azuma, K.; Fuji, Y.; Watanabe, O. 
# --------------------
# Description_and_Notes
# 	Description: d18O data of the first Dome Fuji ice core (DF1) for 0-2500 m (340 kyr). 
#
#	Raw data were obtained from measurements of continuous 10-cm samples 
#	for 0-2300 m (~255 kyr), and of discontinuous 25-cm samples 
#	(25-cm gap between two samples) for 2300-2500 m, with uncertainty of 
#	0.05 per mil. The data were put on DFO-2006 age scale and then averaged 
#	at 250 yr intervals (for 0-254.5 kyr b2k) and 500 yr intervals 
#	(for 254.5-339.5 kyr b2k, where raw data are discontinuous). 
#	The depth at the top of intervals was re-interpolated from the age. 
#	For plotting the data, use staircase (cityscape) function using 
#	'Top age', or linear function using 'Center age'. Note that age is 
#	given in b2k (before AD 2000). See also temperature reconstruction 
#	based on this data and delta D data of the Dome Fuji core.
#
# --------------------
# Publication
#	Authors: K. Kawamura, F. Parrenin, L. Lisiecki, R. Uemura, F. Vimeux, J.P. Severinghaus, M. A. Hutterli, T. Nakazawa, S. Aoki, J. Jouzel, M. E. Raymo, K. Matsumoto, H. Nakata, H. Motoyama, S. Fujita, K. Goto-Azuma, Y. Fujii, and O. Watanabe
#	Published_Date_or_Year: 2007
#	Published_Title: Northern Hemisphere forcing of climatic cycles in Antarctica over the past 360,000 years
#	Journal_Name: Nature
#	Volume: 448
#	Edition: 	
#	Issue: 
#	Pages: 912-916
#	DOI: 10.1038/nature06015
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: The Milankovitch theory of climate change proposes that glacial-
interglacial cycles are driven by changes in summer insolation at
high northern latitudes. The timing of climate change in the Southern 
Hemisphere at glacial-interglacial transitions (which are known as 
terminations) relative to variations in summer insolation in the 
Northern Hemisphere is an important test of this hypothesis. So far, 
it has only been possible to apply this test to the most recent 
termination, because the dating uncertainty associated with older 
terminations is too large to allow phase relationships to be determined. 
Here we present a new chronology of Antarctic climate change over the 
past 360,000 years that is based on the ratio of oxygen to nitrogen 
molecules in air trapped in the Dome Fuji and Vostok ice cores. 
This ratio is a proxy for local summer insolation, and thus allows 
the chronology to be constructed by orbital tuning without the need 
to assume a lag between a climate record and an orbital parameter. 
The accuracy of the chronology allows us to examine the phase 
relationships between climate records from the ice cores and changes 
in insolation. Our results indicate that orbital-scale Antarctic 
climate change lags Northern Hemisphere insolation by a few millennia,
and that the increases in Antarctic temperature and atmospheric
carbon dioxide concentration during the last four terminations
occurred within the rising phase of Northern Hemisphere summer insolation. 
These results support the Milankovitch theory that Northern Hemisphere 
summer insolation triggered the last four deglaciations. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: Grant-in-Aid for Creative Scientific Research
#	Grant:
#	Funding_Agency_Name: The Gary Comer Abrupt Climate Change Fellowship
#	Grant: 2122102
# --------------------
# Site_Information
#	Site_Name: Dome Fuji
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -77.32
#	Southernmost_Latitude: -77.32
#	Easternmost_Longitude: 38.7
#	Westernmost_Longitude: 38.7
#	Elevation: 3810 m
# --------------------
# Data_Collection
#	Collection_Name: 07Fuji01
#	Earliest_Year: 339500
#	Most_Recent_Year: 125
#	Time Unit: yb 2k
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yr_b2k	Age,,,years before 2k,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yr_b2k	d18O
125	-54.61
375	-55.24
625	-55.14
875	-55.2
1125	-55.11
1375	-54.92
1625	-54.95
1875	-54.69
2125	-54.77
2375	-54.95
2625	-55.16
2875	-54.69
3125	-54.96
3375	-55.31
3625	-55.09
3875	-54.66
4125	-54.4
4375	-54.46
4625	-54.48
4875	-54.21
5125	-54.45
5375	-54.44
5625	-54.74
5875	-54.5
6125	-54.48
6375	-53.96
6625	-54.16
6875	-54.44
7125	-54.78
7375	-54
7625	-54.48
7875	-54.15
8125	-54.14
8375	-54.46
8625	-54.17
8875	-54.17
9125	-53.97
9375	-53.81
9625	-53.57
9875	-53.73
10125	-53.57
10375	-53.52
10625	-53.37
10875	-53.56
11125	-53.48
11375	-53.18
11625	-53.72
11875	-53.62
12125	-54.54
12375	-55.15
12625	-54.72
12875	-55.89
13125	-55.84
13375	-55.79
13625	-55.55
13875	-55.53
14125	-55.64
14375	-55.29
14625	-55.34
14875	-56.27
15125	-55.95
15375	-56.14
15625	-56.22
15875	-56.33
16125	-56.62
16375	-57.44
16625	-57.35
16875	-57.95
17125	-58.63
17375	-57.91
17625	-58.65
17875	-59.12
18125	-59.01
18375	-59.28
18625	-59.44
18875	-59.03
19125	-59.28
19375	-59.57
19625	-59.29
19875	-59.27
20125	-59.4
20375	-59.36
20625	-59.63
20875	-59.58
21125	-59.74
21375	-59.45
21625	-59.22
21875	-59.56
22125	-59.75
22375	-59.63
22625	-59.89
22875	-59.35
23125	-59.01
23375	-58.89
23625	-59.08
23875	-59.18
24125	-59.58
24375	-59.89
24625	-59.86
24875	-59.74
25125	-59.82
25375	-59.87
25625	-60.21
25875	-59.96
26125	-59.39
26375	-59.46
26625	-59.75
26875	-59.73
27125	-59.16
27375	-59.02
27625	-59.24
27875	-59.4
28125	-59.64
28375	-58.88
28625	-58.92
28875	-58.8
29125	-59.13
29375	-59.39
29625	-58.91
29875	-59.19
30125	-59.7
30375	-59.31
30625	-59.45
30875	-59.38
31125	-59.29
31375	-59.21
31625	-58.8
31875	-58.82
32125	-58.57
32375	-58.97
32625	-59.16
32875	-58.75
33125	-58.56
33375	-58.85
33625	-58.94
33875	-58.84
34125	-59.01
34375	-58.67
34625	-58.15
34875	-58.22
35125	-58.53
35375	-58.52
35625	-58.33
35875	-58.85
36125	-58.72
36375	-58.64
36625	-58.2
36875	-58.27
37125	-57.7
37375	-57.72
37625	-58.2
37875	-58.05
38125	-57.99
38375	-57.56
38625	-58.06
38875	-58.85
39125	-58.91
39375	-58.51
39625	-58.95
39875	-58.87
40125	-58.96
40375	-58.49
40625	-58.33
40875	-58.27
41125	-58.67
41375	-58.68
41625	-58.2
41875	-58.06
42125	-57.91
42375	-57.69
42625	-57.81
42875	-58.33
43125	-58.3
43375	-58.53
43625	-58.35
43875	-58.28
44125	-57.97
44375	-57.69
44625	-57.2
44875	-57.14
45125	-57.29
45375	-56.71
45625	-56.62
45875	-57.24
46125	-57.8
46375	-57.4
46625	-57.56
46875	-57.73
47125	-58
47375	-58.22
47625	-58.21
47875	-57.82
48125	-58.04
48375	-58.13
48625	-57.93
48875	-58.5
49125	-58.37
49375	-57.77
49625	-58.15
49875	-58.07
50125	-57.62
50375	-57.7
50625	-57.18
50875	-57.71
51125	-57.42
51375	-57.5
51625	-56.99
51875	-57.01
52125	-57.07
52375	-57.01
52625	-57.35
52875	-57.38
53125	-57.84
53375	-57.5
53625	-58.01
53875	-57.65
54125	-57.1
54375	-57.97
54625	-57.9
54875	-58.03
55125	-58.43
55375	-57.95
55625	-57.7
55875	-57.75
56125	-57.36
56375	-57.15
56625	-57.41
56875	-57.88
57125	-57.25
57375	-57.05
57625	-57
57875	-56.73
58125	-57.21
58375	-56.93
58625	-57.01
58875	-57.1
59125	-57.4
59375	-57.44
59625	-57.59
59875	-57.77
60125	-57.91
60375	-57.83
60625	-57.91
60875	-58.16
61125	-58.31
61375	-58.03
61625	-58.47
61875	-58.84
62125	-58.55
62375	-58.79
62625	-58.87
62875	-58.48
63125	-58.49
63375	-58.5
63625	-58.6
63875	-58.84
64125	-59.25
64375	-59.17
64625	-58.87
64875	-59.35
65125	-59.33
65375	-59.79
65625	-59.27
65875	-59.77
66125	-59.2
66375	-59.51
66625	-59.13
66875	-59.59
67125	-59.52
67375	-59.34
67625	-59.88
67875	-59.81
68125	-59.3
68375	-59.26
68625	-58.94
68875	-59.13
69125	-59.63
69375	-59.28
69625	-59.55
69875	-59.32
70125	-58.99
70375	-58.93
70625	-58.9
70875	-57.79
71125	-57.73
71375	-58.38
71625	-58.27
71875	-57.93
72125	-58.48
72375	-58.33
72625	-58.81
72875	-59.34
73125	-58.91
-57.99	
-58.27	
-58.2	
-57.67	
-57.76	
-57.8	
74875	-57.33
