# Baffin Island 1250 Year Summer Temperature Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:5466
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/donard_2001.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2003-10
#--------------------
# Title
#	Study_Name: Baffin Island 1250 Year Summer Temperature Reconstruction
#--------------------
# Investigators
#       Investigators: Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T. 
#--------------------
# Description_and_Notes
#	Description: Summer temperature reconstruction based on laminae thickness in sediments from Donard Lake, Baffin Island, Canada.   66�40'N 61�21'W
#--------------------
# Publication 
#       Authors: Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T. 
#       Published_Date_or_Year: 2001
#       Published_Title: Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada.
#       Journal_Name: Journal of Paleolimnology
#       Volume: 25
#       Edition: 
#       Issue: 
#       Pages: 503-517 
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Moore, J.J., K.A. Hughen, G.H. Miller, J.T. Overpeck. 2001. Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada. Journal of Paleolimnology Vol. 25, pp. 503-517
#       Abstract: Clastic varved sediments from Donard Lake, in the Cape Dyer region of  Baffin Island, provide a 1250 yr record of decadal-to-centennial scale  climate variability. Donard Lake experiences strong seasonal fluctuations  in runoff and sediment fluxes due to the summer melting of the Caribou  Glacier, which presently dominates its catchment. The seasonal variation  in sediment supply results in the annual deposition of laminae couplets.  A radiocarbon date measured on moss fragments, with a calibrated age of  860 � 80 yrs before present (BP), is in close agreement with the age  based on paired-layer counts. Together with the fabric of the laminae  determined from microscope analysis, the age agreement demonstrates that  the laminae couplets are annually deposited varves. Comparisons of varve  thickness and average summer temperature from nearby Cape Dyer show a  significant positive correlation (r= 0.57 for annual records, r = 0.82  for 3-yr averages), indicating that varve thickness reflects changes  in average summer temperature. Varve thickness was used to reconstruct  average summer temperatures for the past 1250 yrs, and shows abrupt  shifts and large amplitude decadal-to-centennial scale variability  throughout the record. The most prominent feature of the record is  a period of elevated summer temperatures from 1200-1375 AD, followed  by cooler conditions from 1375-1820 AD, coincident with the  Little Ice Age. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Donard Lake, Baffin Island, Canada
#       Location: North America>Canada
#	Country: Canada 
#	Northernmost_Latitude: 66.6667 
# 	Southernmost_Latitude: 66.6667 
# 	Easternmost_Longitude: -61.35 
# 	Westernmost_Longitude: -61.35 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 01cana01a 
#	Earliest_Year: 752
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Lake Cores, , ,N
##varve	varve thickness, varve sediment, , , , Lake Cores, , ,N
##sst	varve thickness-based sea surface temperature reconstruction, , ,degrees C, , Lake Cores, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	varve	sst
1427	0.49	2.224651
1426	0.3	1.76677
1425	0.36	1.911364
1424	0.39	1.983661
1423	1.21	3.959779
1422	1.86	5.526214
1421	0.46	2.152354
1420	0.37	1.935463
1419	0.57	2.417443
1418	0.46	2.152354
1417	0.82	3.019918
1416	0.46	2.152354
1415	0.62	2.537938
1414	1.35	4.297165
1413	0.57	2.417443
1412	0.4	2.00776
1411	0.8	2.97172
1410	0.55	2.369245
1409	0.37	1.935463
1408	0.43	2.080057
1407	0.58	2.441542
1406	0.45	2.128255
1405	0.45	2.128255
1404	0.6	2.48974
1403	0.84	3.068116
1402	0.55	2.369245
1401	0.39	1.983661
1400	0.8	2.97172
1399	0.46	2.152354
1398	0.34	1.863166
1397	0.32	1.814968
1396	1.09	3.670591
1395	0.78	2.923522
1394	0.81	2.995819
1393	1.07	3.622393
1392	0.69	2.706631
1391	0.71	2.754829
1390	0.78	2.923522
1389	0.67	2.658433
1388	0.85	3.092215
1387	0.62	2.537938
1386	0.36	1.911364
1385	0.88	3.164512
1384	0.66	2.634334
1383	0.47	2.176453
1382	0.57	2.417443
1381	0.42	2.055958
1380	0.29	1.742671
1379	0.37	1.935463
1378	0.38	1.959562
1377	0.26	1.670374
1376	0.32	1.814968
1375	0.34	1.863166
1374	0.52	2.296948
1373	0.77	2.899423
1372	0.61	2.513839
1371	1.36	4.321264
1370	1.92	5.670808
1369	0.61	2.513839
1368	0.42	2.055958
1367	0.79	2.947621
1366	0.54	2.345146
1365	0.91	3.236809
1364	0.49	2.224651
1363	0.43	2.080057
1362	0.34	1.863166
1361	1.49	4.634551
1360	1.38	4.369462
1359	0.39	1.983661
1358	0.69	2.706631
1357	0.73	2.803027
1356	1.01	3.477799
1355	0.75	2.851225
1354	0.84	3.068116
1353	1.29	4.152571
1352	1.1	3.69469
1351	1.43	4.489957
1350	0.99	3.429601
1349	0.62	2.537938
1348	0.58	2.441542
1347	1.45	4.538155
1346	0.39	1.983661
1345	0.43	2.080057
1344	0.81	2.995819
1343	1.39	4.393561
1342	1.57	4.827343
1341	0.77	2.899423
1340	1.1	3.69469
1339	0.82	3.019918
1338	0.86	3.116314
1337	1.36	4.321264
1336	0.61	2.513839
1335	1.03	3.525997
1334	0.99	3.429601
1333	0.56	2.393344
1332	1.22	3.983878
1331	1.19	3.911581
1330	0.83	3.044017
1329	0.92	3.260908
1328	1.05	3.574195
1327	0.63	2.562037
1326	0.64	2.586136
1325	0.86	3.116314
1324	0.65	2.610235
1323	1.71	5.164729
1322	0.57	2.417443
1321	0.65	2.610235
1320	0.39	1.983661
1319	0.35	1.887265
1318	0.53	2.321047
1317	0.59	2.465641
1316	0.41	2.031859
1315	0.49	2.224651
1314	1.92	5.670808
1313	0.66	2.634334
1312	1.61	4.923739
1311	0.75	2.851225
1310	0.9	3.21271
1309	1.36	4.321264
1308	0.56	2.393344
1307	0.47	2.176453
1306	0.34	1.863166
1305	0.36	1.911364
1304	0.88	3.164512
1303	0.43	2.080057
1302	1.55	4.779145
1301	0.75	2.851225
1300	2.31	6.610669
1299	0.77	2.899423
1298	1.41	4.441759
1297	1.01	3.477799
1296	0.72	2.778928
1295	0.57	2.417443
1294	1.01	3.477799
1293	1.48	4.610452
1292	0.89	3.188611
1291	0.94	3.309106
1290	1.22	3.983878
1289	1.41	4.441759
1288	0.91	3.236809
1287	0.95	3.333205
1286	1.1	3.69469
1285	1.71	5.164729
1284	0.66	2.634334
1283	0.63	2.562037
1282	0.57	2.417443
1281	1.13	3.766987
1280	0.52	2.296948
1279	1.52	4.706848
1278	0.86	3.116314
1277	0.5	2.24875
1276	0.81	2.995819
1275	0.47	2.176453
1274	0.52	2.296948
1273	0.42	2.055958
1272	1.16	3.839284
1271	1.1	3.69469
1270	0.82	3.019918
1269	0.79	2.947621
1268	0.96	3.357304
1267	1.34	4.273066
1266	0.92	3.260908
1265	0.83	3.044017
1264	0.83	3.044017
1263	1.17	3.863383
1262	1.3	4.17667
1261	1.11	3.718789
1260	1.88	5.574412
1259	1.1	3.69469
1258	0.68	2.682532
1257	0.82	3.019918
1256	1.83	5.453917
1255	1.28	4.128472
1254	1.25	4.056175
1253	1.73	5.212927
1252	2.11	6.128689
1251	1.98	5.815402
1250	0.58	2.441542
1249	0.75	2.851225
1248	1.51	4.682749
1247	0.63	2.562037
1246	1.36	4.321264
1245	0.91	3.236809
1244	0.94	3.309106
1243	0.68	2.682532
1242	0.8	2.97172
1241	0.36	1.911364
1240	0.51	2.272849
1239	1.21	3.959779
1238	1.12	3.742888
1237	0.86	3.116314
1236	0.68	2.682532
1235	1.06	3.598294
1234	1.14	3.791086
1233	1.46	4.562254
1232	0.65	2.610235
1231	0.59	2.465641
1230	1.38	4.369462
1229	0.54	2.345146
1228	0.62	2.537938
1227	1.94	5.719006
1226	0.9	3.21271
1225	1.06	3.598294
1224	2.09	6.080491
1223	1.19	3.911581
1222	1.5	4.65865
1221	1.03	3.525997
1220	1.24	4.032076
1219	1.83	5.453917
1218	1.21	3.959779
1217	2.1	6.10459
1216	1.1	3.69469
1215	1.7	5.14063
1214	0.93	3.285007
1213	0.43	2.080057
1212	1.09	3.670591
1211	1.23	4.007977
1210	0.98	3.405502
1209	1.05	3.574195
1208	0.77	2.899423
1207	1.5	4.65865
1206	0.73	2.803027
1205	0.72	2.778928
1204	0.48	2.200552
1203	1.48	4.610452
1202	1	3.4537
1201	1.6	4.89964
1200	0.77	2.899423
1199	0.54	2.345146
1198	0.39	1.983661
1197	0.41	2.031859
1196	0.54	2.345146
1195	0.54	2.345146
1194	0.72	2.778928
1193	0.74	2.827126
1192	0.62	2.537938
1191	0.5	2.24875
1190	0.83	3.044017
1189	0.97	3.381403
1188	1.45	4.538155
1187	0.85	3.092215
1186	0.45	2.128255
1185	1.26	4.080274
1184	0.44	2.104156
1183	0.27	1.694473
1182	0.31	1.790869
1181	0.61	2.513839
1180	0.99	3.429601
1179	0.56	2.393344
1178	0.44	2.104156
1177	0.48	2.200552
1176	0.66	2.634334
1175	0.53	2.321047
1174	0.39	1.983661
1173	0.82	3.019918
1172	1	3.4537
1171	0.54	2.345146
1170	0.6	2.48974
1169	0.39	1.983661
1168	0.39	1.983661
1167	0.6	2.48974
1166	0.65	2.610235
1165	0.94	3.309106
1164	0.92	3.260908
1163	0.82	3.019918
1162	0.44	2.104156
1161	0.6	2.48974
1160	0.43	2.080057
1159	0.56	2.393344
1158	0.72	2.778928
1157	0.32	1.814968
1156	0.46	2.152354
1155	1.11	3.718789
1154	0.34	1.863166
1153	0.3	1.76677
1152	0.74	2.827126
1151	0.48	2.200552
1150	0.59	2.465641
1149	0.77	2.899423
1148	1.27	4.104373
1147	0.77	2.899423
1146	1.03	3.525997
1145	0.48	2.200552
1144	1.01	3.477799
1143	1.22	3.983878
1142	1.05	3.574195
1141	0.9	3.21271
1140	0.97	3.381403
1139	0.86	3.116314
1138	0.83	3.044017
1137	1.39	4.393561
1136	0.57	2.417443
1135	0.52	2.296948
1134	0.4	2.00776
1133	0.39	1.983661
1132	0.54	2.345146
1131	1.33	4.248967
1130	0.44	2.104156
1129	1.31	4.200769
1128	0.81	2.995819
1127	1.88	5.574412
1126	1.4	4.41766
1125	0.58	2.441542
1124	0.4	2.00776
1123	0.51	2.272849
1122	0.56	2.393344
1121	0.4	2.00776
1120	0.42	2.055958
1119	0.36	1.911364
1118	0.67	2.658433
1117	0.81	2.995819
1116	0.42	2.055958
1115	0.44	2.104156
1114	0.81	2.995819
1113	1.05	3.574195
1112	0.69	2.706631
1111	0.42	2.055958
1110	0.59	2.465641
1109	0.92	3.260908
1108	0.77	2.899423
1107	1.01	3.477799
1106	0.8	2.97172
1105	0.73	2.803027
1104	0.63	2.562037
1103	0.96	3.357304
1102	0.52	2.296948
1101	0.54	2.345146
1100	0.71	2.754829
1099	0.83	3.044017
1098	1.79	5.357521
1097	1.13	3.766987
1096	1.03	3.525997
1095	2.14	6.200986
1094	1.79	5.357521
1093	1.16	3.839284
1092	1.06	3.598294
1091	0.88	3.164512
1090	1.14	3.791086
1089	0.57	2.417443
1088	0.65	2.610235
1087	0.86	3.116314
1086	0.73	2.803027
1085	0.6	2.48974
1084	0.57	2.417443
1083	0.81	2.995819
1082	0.86	3.116314
1081	0.75	2.851225
1080	1.48	4.610452
1079	0.95	3.333205
1078	1.12	3.742888
1077	0.57	2.417443
1076	0.54	2.345146
1075	0.66	2.634334
1074	1.18	3.887482
1073	0.97	3.381403
1072	0.63	2.562037
1071	1.01	3.477799
1070	0.88	3.164512
1069	0.39	1.983661
1068	0.9	3.21271
1067	1.3	4.17667
1066	0.98	3.405502
1065	0.49	2.224651
1064	0.56	2.393344
1063	0.74	2.827126
1062	0.88	3.164512
1061	0.9	3.21271
1060	0.9	3.21271
1059	0.61	2.513839
1058	0.55	2.369245
1057	0.87	3.140413
1056	1.32	4.224868
1055	1.04	3.550096
1054	0.58	2.441542
1053	1.19	3.911581
1052	1.36	4.321264
1051	1.54	4.755046
1050	1.19	3.911581
1049	1.36	4.321264
1048	0.5	2.24875
1047	1.05	3.574195
1046	0.66	2.634334
1045	0.8	2.97172
1044	0.45	2.128255
1043	0.59	2.465641
1042	0.7	2.73073
1041	1.12	3.742888
1040	0.99	3.429601
1039	1.13	3.766987
1038	0.53	2.321047
1037	0.65	2.610235
1036	0.42	2.055958
1035	0.53	2.321047
1034	1.27	4.104373
1033	0.4	2.00776
1032	0.67	2.658433
1031	0.33	1.839067
1030	0.89	3.188611
1029	0.55	2.369245
1028	0.67	2.658433
1027	1.1	3.69469
1026	0.42	2.055958
1025	0.4	2.00776
1024	0.47	2.176453
1023	1.72	5.188828
1022	1.14	3.791086
1021	0.63	2.562037
1020	0.42	2.055958
1019	0.49	2.224651
1018	0.44	2.104156
1017	0.65	2.610235
1016	0.35	1.887265
1015	0.33	1.839067
1014	0.9	3.21271
1013	0.63	2.562037
1012	0.65	2.610235
1011	0.72	2.778928
1010	1.01	3.477799
1009	0.56	2.393344
1008	0.58	2.441542
1007	0.69	2.706631
1006	0.85	3.092215
1005	1.15	3.815185
1004	0.63	2.562037
1003	0.56	2.393344
1002	0.69	2.706631
1001	0.47	2.176453
1000	1.25	4.056175
999	0.52	2.296948
998	0.78	2.923522
997	0.48	2.200552
996	0.52	2.296948
995	0.96	3.357304
994	1.98	5.815402
993	1.36	4.321264
992	1.42	4.465858
991	1.17	3.863383
990	1.59	4.875541
989	1.32	4.224868
988	1.11	3.718789
987	0.78	2.923522
986	0.63	2.562037
985	0.81	2.995819
984	1.59	4.875541
983	0.84	3.068116
982	0.51	2.272849
981	0.53	2.321047
980	0.53	2.321047
979	1.1	3.69469
978	0.89	3.188611
977	1.52	4.706848
976	0.76	2.875324
975	0.73	2.803027
974	1.04	3.550096
973	0.85	3.092215
972	0.36	1.911364
971	0.62	2.537938
970	1.34	4.273066
969	0.34	1.863166
968	0.37	1.935463
967	0.8	2.97172
966	0.89	3.188611
965	0.52	2.296948
964	0.54	2.345146
963	0.44	2.104156
962	1.05	3.574195
961	0.73	2.803027
960	0.88	3.164512
959	0.78	2.923522
958	1.2	3.93568
957	1.22	3.983878
956	0.63	2.562037
955	1.05	3.574195
954	0.8	2.97172
953	1.41	4.441759
952	1.22	3.983878
951	0.69	2.706631
950	0.74	2.827126
949	1.57	4.827343
948	0.63	2.562037
947	1.14	3.791086
946	0.53	2.321047
945	0.87	3.140413
944	1.25	4.056175
943	0.7	2.73073
942	0.61	2.513839
941	0.53	2.321047
940	0.4	2.00776
939	0.89	3.188611
938	1.29	4.152571
937	0.74	2.827126
936	0.49	2.224651
935	0.41	2.031859
934	0.51	2.272849
933	1.23	4.007977
932	0.86	3.116314
931	0.47	2.176453
930	1.39	4.393561
929	0.9	3.21271
928	0.86	3.116314
927	0.65	2.610235
926	0.71	2.754829
925	0.36	1.911364
924	0.53	2.321047
923	0.53	2.321047
922	0.96	3.357304
921	1.21	3.959779
920	0.49	2.224651
919	0.64	2.586136
918	0.59	2.465641
917	0.35	1.887265
916	1.16	3.839284
915	0.55	2.369245
914	0.57	2.417443
913	0.51	2.272849
912	0.62	2.537938
911	0.86	3.116314
910	0.95	3.333205
909	0.6	2.48974
908	0.69	2.706631
907	0.71	2.754829
906	0.79	2.947621
905	0.76	2.875324
904	0.9	3.21271
903	1.53	4.730947
902	0.62	2.537938
901	0.84	3.068116
900	0.64	2.586136
899	0.57	2.417443
898	0.55	2.369245
897	0.62	2.537938
896	0.67	2.658433
895	0.61	2.513839
894	0.76	2.875324
893	0.76	2.875324
892	0.66	2.634334
891	0.41	2.031859
890	1.09	3.670591
889	0.76	2.875324
888	1.16	3.839284
887	1.05	3.574195
886	0.83	3.044017
885	0.89	3.188611
884	0.44	2.104156
883	0.52	2.296948
882	0.89	3.188611
881	0.39	1.983661
880	0.3	1.76677
879	0.32	1.814968
878	0.52	2.296948
877	0.56	2.393344
876	0.78	2.923522
875	0.58	2.441542
874	1.03	3.525997
873	1.05	3.574195
872	0.55	2.369245
871	1.1	3.69469
870	0.69	2.706631
869	1.21	3.959779
868	1	3.4537
867	1.03	3.525997
866	0.91	3.236809
865	0.5	2.24875
864	0.44	2.104156
863	1.77	5.309323
862	0.32	1.814968
861	1.52	4.706848
860	0.47	2.176453
859	0.81	2.995819
858	0.62	2.537938
857	0.81	2.995819
856	0.96	3.357304
855	1.26	4.080274
854	0.72	2.778928
853	1.13	3.766987
852	1.48	4.610452
851	0.4	2.00776
850	0.42	2.055958
849	0.44	2.104156
848	0.47	2.176453
847	0.63	2.562037
846	0.41	2.031859
845	0.7	2.73073
844	0.94	3.309106
843	1.94	5.719006
842	1.65	5.020135
841	0.74	2.827126
840	0.67	2.658433
839	1.12	3.742888
838	0.49	2.224651
837	0.96	3.357304
836	0.71	2.754829
835	0.66	2.634334
834	0.56	2.393344
833	0.79	2.947621
832	0.76	2.875324
831	0.66	2.634334
830	0.5	2.24875
829	1.08	3.646492
828	0.63	2.562037
827	0.52	2.296948
826	0.42	2.055958
825	0.37	1.935463
824	0.5	2.24875
823	1.64	4.996036
822	0.62	2.537938
821	0.66	2.634334
820	1.61	4.923739
819	0.66	2.634334
818	0.64	2.586136
817	0.56	2.393344
816	0.85	3.092215
815	0.56	2.393344
814	0.5	2.24875
813	0.61	2.513839
812	0.69	2.706631
811	0.37	1.935463
810	0.91	3.236809
809	0.52	2.296948
808	0.6	2.48974
807	0.97	3.381403
806	1.66	5.044234
805	0.85	3.092215
804	0.73	2.803027
803	0.49	2.224651
802	0.67	2.658433
801	0.89	3.188611
800	2.04	5.959996
799	0.65	2.610235
798	0.44	2.104156
797	1.07	3.622393
796	0.63	2.562037
795	0.41	2.031859
794	0.43	2.080057
793	0.51	2.272849
792	0.47	2.176453
791	0.55	2.369245
790	0.88	3.164512
789	0.43	2.080057
788	0.93	3.285007
787	0.63	2.562037
786	1.38	4.369462
785	0.44	2.104156
784	0.71	2.754829
783	0.61	2.513839
782	0.69	2.706631
781	1.63	4.971937
780	1.28	4.128472
779	0.67	2.658433
778	0.9	3.21271
777	0.37	1.935463
776	0.84	3.068116
775	0.57	2.417443
774	0.63	2.562037
773	0.31	1.790869
772	1.28	4.128472
771	0.97	3.381403
770	0.61	2.513839
769	0.77	2.899423
768	0.45	2.128255
767	0.75	2.851225
766	0.57	2.417443
765	0.45	2.128255
764	0.35	1.887265
763	0.4	2.00776
762	0.38	1.959562
761	0.46	2.152354
760	0.34	1.863166
759	0.34	1.863166
758	0.38	1.959562
757	0.57	2.417443
756	0.6	2.48974
755	0.38	1.959562
754	0.43	2.080057
753	0.5	2.24875
752	0.3	1.76677
