# Baffin Island 1250 Year Summer Temperature Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:5466
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/donard_2001.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2003-10
#--------------------
# Title
#	Study_Name: Baffin Island 1250 Year Summer Temperature Reconstruction
#--------------------
# Investigators
#       Investigators: Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T. 
#--------------------
# Description_and_Notes
#	Description: Summer temperature reconstruction based on laminae thickness in sediments from Donard Lake, Baffin Island, Canada.   66�40'N 61�21'W
#--------------------
# Publication 
#       Authors: Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T. 
#       Published_Date_or_Year: 2001
#       Published_Title: Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada.
#       Journal_Name: Journal of Paleolimnology
#       Volume: 25
#       Edition: 
#       Issue: 
#       Pages: 503-517 
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Moore, J.J., K.A. Hughen, G.H. Miller, J.T. Overpeck. 2001. Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada. Journal of Paleolimnology Vol. 25, pp. 503-517
#       Abstract: Clastic varved sediments from Donard Lake, in the Cape Dyer region of  Baffin Island, provide a 1250 yr record of decadal-to-centennial scale  climate variability. Donard Lake experiences strong seasonal fluctuations  in runoff and sediment fluxes due to the summer melting of the Caribou  Glacier, which presently dominates its catchment. The seasonal variation  in sediment supply results in the annual deposition of laminae couplets.  A radiocarbon date measured on moss fragments, with a calibrated age of  860 � 80 yrs before present (BP), is in close agreement with the age  based on paired-layer counts. Together with the fabric of the laminae  determined from microscope analysis, the age agreement demonstrates that  the laminae couplets are annually deposited varves. Comparisons of varve  thickness and average summer temperature from nearby Cape Dyer show a  significant positive correlation (r= 0.57 for annual records, r = 0.82  for 3-yr averages), indicating that varve thickness reflects changes  in average summer temperature. Varve thickness was used to reconstruct  average summer temperatures for the past 1250 yrs, and shows abrupt  shifts and large amplitude decadal-to-centennial scale variability  throughout the record. The most prominent feature of the record is  a period of elevated summer temperatures from 1200-1375 AD, followed  by cooler conditions from 1375-1820 AD, coincident with the  Little Ice Age. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Donard Lake, Baffin Island, Canada
#       Location: North America>Canada
#	Country: Canada 
#	Northernmost_Latitude: 66.6667 
# 	Southernmost_Latitude: 66.6667 
# 	Easternmost_Longitude: -61.35 
# 	Westernmost_Longitude: -61.35 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 01cana01a 
#	Earliest_Year: 752
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Lake Cores, , ,N
##varve	varve thickness, varve sediment, , , , Lake Cores, , ,N
##sst	varve thickness-based sea surface temperature reconstruction, , ,degrees C, , Lake Cores, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	varve	sst
1825	0.59	2.465641
1824	1.3	4.17667
1823	0.6	2.48974
1822	1.36	4.321264
1821	0.97	3.381403
1820	1.96	5.767204
1819	0.67	2.658433
1818	0.85	3.092215
1817	0.61	2.513839
1816	0.67	2.658433
1815	0.36	1.911364
1814	0.31	1.790869
1813	1.41	4.441759
1812	0.66	2.634334
1811	0.98	3.405502
1810	0.81	2.995819
1809	0.34	1.863166
1808	0.46	2.152354
1807	0.58	2.441542
1806	0.71	2.754829
1805	0.47	2.176453
1804	0.74	2.827126
1803	0.64	2.586136
1802	0.56	2.393344
1801	0.34	1.863166
1800	0.83	3.044017
1799	0.82	3.019918
1798	0.53	2.321047
1797	0.7	2.73073
1796	0.22	1.573978
1795	0.29	1.742671
1794	0.68	2.682532
1793	0.55	2.369245
1792	0.62	2.537938
1791	0.29	1.742671
1790	0.34	1.863166
1789	0.6	2.48974
1788	0.56	2.393344
1787	0.46	2.152354
1786	0.7	2.73073
1785	0.78	2.923522
1784	0.61	2.513839
1783	0.42	2.055958
1782	0.39	1.983661
1781	0.37	1.935463
1780	0.42	2.055958
1779	0.41	2.031859
1778	0.76	2.875324
1777	1.31	4.200769
1776	0.75	2.851225
1775	0.63	2.562037
1774	0.81	2.995819
1773	0.95	3.333205
1772	0.69	2.706631
1771	0.58	2.441542
1770	0.32	1.814968
1769	0.77	2.899423
1768	0.38	1.959562
1767	0.77	2.899423
1766	1.28	4.128472
1765	0.61	2.513839
1764	0.83	3.044017
1763	0.65	2.610235
1762	1.37	4.345363
1761	0.47	2.176453
1760	0.57	2.417443
1759	0.32	1.814968
1758	1.08	3.646492
1757	0.79	2.947621
1756	0.83	3.044017
1755	0.5	2.24875
1754	0.65	2.610235
1753	0.86	3.116314
1752	1.87	5.550313
1751	0.51	2.272849
1750	0.42	2.055958
1749	0.77	2.899423
1748	0.31	1.790869
1747	0.31	1.790869
1746	0.51	2.272849
1745	1.75	5.261125
1744	1.16	3.839284
1743	0.97	3.381403
1742	0.7	2.73073
1741	0.52	2.296948
1740	0.5	2.24875
1739	0.5	2.24875
1738	0.55	2.369245
1737	1.44	4.514056
1736	1.6	4.89964
1735	0.79	2.947621
1734	0.89	3.188611
1733	0.82	3.019918
1732	0.72	2.778928
1731	0.86	3.116314
1730	0.44	2.104156
1729	0.84	3.068116
1728	0.46	2.152354
1727	0.46	2.152354
1726	0.9	3.21271
1725	0.43	2.080057
1724	1.13	3.766987
1723	0.5	2.24875
1722	0.83	3.044017
1721	0.63	2.562037
1720	0.66	2.634334
1719	0.92	3.260908
1718	0.5	2.24875
1717	0.45	2.128255
1716	0.41	2.031859
1715	0.32	1.814968
1714	0.84	3.068116
1713	0.45	2.128255
1712	0.38	1.959562
1711	0.76	2.875324
1710	0.52	2.296948
1709	0.43	2.080057
1708	0.45	2.128255
1707	0.78	2.923522
1706	0.47	2.176453
1705	0.43	2.080057
1704	0.89	3.188611
1703	0.74	2.827126
1702	0.8	2.97172
1701	0.93	3.285007
1700	1	3.4537
1699	0.71	2.754829
1698	1.55	4.779145
1697	0.53	2.321047
1696	1.16	3.839284
1695	1.03	3.525997
1694	0.6	2.48974
1693	0.55	2.369245
1692	0.55	2.369245
1691	0.53	2.321047
1690	0.44	2.104156
1689	0.51	2.272849
1688	0.39	1.983661
1687	0.24	1.622176
1686	0.82	3.019918
1685	0.74	2.827126
1684	0.4	2.00776
1683	0.82	3.019918
1682	0.93	3.285007
1681	0.55	2.369245
1680	1.06	3.598294
1679	0.93	3.285007
1678	0.38	1.959562
1677	0.72	2.778928
1676	0.53	2.321047
1675	0.46	2.152354
1674	0.65	2.610235
1673	0.76	2.875324
1672	0.57	2.417443
1671	0.4	2.00776
1670	1.14	3.791086
1669	0.62	2.537938
1668	1.13	3.766987
1667	0.61	2.513839
1666	0.68	2.682532
1665	0.74	2.827126
1664	0.36	1.911364
1663	0.45	2.128255
1662	0.41	2.031859
1661	0.38	1.959562
1660	0.39	1.983661
1659	0.65	2.610235
1658	0.34	1.863166
1657	0.28	1.718572
1656	0.45	2.128255
1655	0.83	3.044017
1654	0.82	3.019918
1653	0.4	2.00776
1652	0.34	1.863166
1651	0.43	2.080057
1650	0.49	2.224651
1649	0.75	2.851225
1648	0.45	2.128255
1647	1.02	3.501898
1646	1.15	3.815185
1645	0.88	3.164512
1644	0.8	2.97172
1643	1.39	4.393561
1642	0.55	2.369245
1641	0.71	2.754829
1640	0.59	2.465641
1639	0.39	1.983661
1638	0.59	2.465641
1637	0.79	2.947621
1636	0.57	2.417443
1635	0.88	3.164512
