# North Greenland Ice Core Project Oxygen Isotope Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:2481
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/ngrip/isotopes/ngrip-d18o-50yr.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2004
# --------------------
# Title 
#	Study_Name: North Greenland Ice Core Project Oxygen Isotope Data
# --------------------
# Investigators
#	Investigators:  North Greenland Ice Core Project members
# --------------------
# Description_and_Notes
# 	Description: High resolution Climate Record of the Northern Hemisphere back into the last Interglacial Period.  North Greenland Ice-Core Project (NorthGRIP) Members.
#
#	The North Greenland Ice Core Project (NGRIP) site is located at 75.10 °N and 42.32 °W, elevation of 2,917 m, ice thickness of 3,085 m.  The NGRIP drilling started in 1996, and bedrock was reached in July 2003.
#
#	In this text file we list the NGRIP oxygen 18 values as 50 year mean values
#	using the same preliminary age scale as in Figure 2c of the accompanying paper.
#	Data was measured against VSMOW at the Niels Bohr Institute for Astronomy,
#	Physics and Geophysics, Department of Geophysics, University of Copenhagen.
#	Accuracy of individual measurements is 0.07 permille.
#	The initial isotope data series is based on 5 cm continuous sampling from
#	surface to bottom of the core, or 61100 individual measurements.
#
#	Improved dating of the NGRIP core and additional data will be posted on our web site http://www.glaciology.gfy.ku.dk/ngrip/index_eng.htm when it becomes available.
#	
# --------------------
# Publication
#	Authors: North Greenland Ice Core Project Members
#	Published_Date_or_Year: 2004-09-09
#	Published_Title: High-resolution record of Northern Hempisphere climate extending into the last interglacial period
#	Journal_Name: Nature
#	Volume: 431			
#	Edition: 	
#	Issue: 7005
#	Pages: 147-151
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: Two deep ice cores from central Greenland, drilled in the 1990s, have 
played a key role in climate reconstructions of the Northern Hemisphere, 
but the oldest sections of the cores were disturbed in chronology owing to 
ice folding near the bedrock. Here we present an undisturbed climate record 
from a North Greenland ice core, which extends back to 123,000 years before 
the present, within the last interglacial period. The oxygen isotopes in 
the ice imply that climate was stable during the last interglacial period, 
with temperatures 5C warmer than today. We find unexpectedly large temperature 
differences between our new record from northern Greenland and the undisturbed 
sections of the cores from central Greenland, suggesting that the extent of 
ice in the Northern Hemisphere modulated the latitudinal temperature gradients 
in Greenland. This record shows a slow decline in temperatures that marked the 
initiation of the last glacial period. Our record reveals a hitherto unrecognized 
warm period initiated by an abrupt climate warming about 115,000 years ago, 
before glacial conditions were fully developed. This event does not appear 
to have an immediate Antarctic counterpart, suggesting that the climate 
see-saw between the hemispheres (which dominated the last glacial period) 
was not operating at this time.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: 
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 70.166 
#	Southernmost_Latitude: 70.166
#	Easternmost_Longitude: 42.533
#	Westernmost_Longitude: 42.533
#	Elevation: 3085 m
# --------------------
# Data_Collection
#	Collection_Name: 04NGRI02
#	Earliest_Year: 122950
#	Most_Recent_Year: 0
#	Time Unit: years before 2000 AD
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yr_b2k	Age,,,years before 2000 AD,,,,,N
##d18o		d18o,,,per mil SMOW,,ice cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yr_b2k	d18O
0.00 	-35.19
50.00 	-35.19
50.00 	-34.83
100.00 	-34.83
100.00 	-35.05
150.00 	-35.05
150.00 	-35.45
200.00 	-35.45
200.00 	-35.42
250.00 	-35.42
250.00 	-35.63
300.00 	-35.63
300.00 	-35.8
350.00 	-35.8
350.00 	-35.62
400.00 	-35.62
400.00 	-35.48
450.00 	-35.48
450.00 	-35.36
500.00 	-35.36
500.00 	-35.41
550.00 	-35.41
550.00 	-35.1
600.00 	-35.1
600.00 	-35.27
650.00 	-35.27
650.00 	-35.67
700.00 	-35.67
700.00 	-35.33
750.00 	-35.33
750.00 	-35.38
800.00 	-35.38
800.00 	-35.63
850.00 	-35.63
850.00 	-35.49
900.00 	-35.49
900.00 	-35.3
950.00 	-35.3
950.00 	-35.66
1000.00 	-35.66
1000.00 	-35.01
1050.00 	-35.01
1050.00 	-35.09
1100.00 	-35.09
1100.00 	-35.58
1150.00 	-35.58
1150.00 	-35.51
1200.00 	-35.51
1200.00 	-35.34
1250.00 	-35.34
1250.00 	-35.27
1300.00 	-35.27
1300.00 	-35.26
1350.00 	-35.26
1350.00 	-35.09
1400.00 	-35.09
1400.00 	-35.2
1450.00 	-35.2
1450.00 	-35.09
1500.00 	-35.09
1500.00 	-35.68
1550.00 	-35.68
1550.00 	-35.42
1600.00 	-35.42
1600.00 	-34.84
1650.00 	-34.84
1650.00 	-35.68
1700.00 	-35.68
1700.00 	-35.22
1750.00 	-35.22
1750.00 	-35.72
1800.00 	-35.72
1800.00 	-35.43
1850.00 	-35.43
1850.00 	-35.19
1900.00 	-35.19
1900.00 	-34.66
1950.00 	-34.66
1950.00 	-35.03
2000.00 	-35.03
2000.00 	-35
2050.00 	-35
2050.00 	-35.12
2100.00 	-35.12
2100.00 	-35.19
2150.00 	-35.19
2150.00 	-35.6
2200.00 	-35.6
2200.00 	-35.33
2250.00 	-35.33
2250.00 	-34.77
2300.00 	-34.77
2300.00 	-34.99
2350.00 	-34.99
2350.00 	-35.1
2400.00 	-35.1
2400.00 	-34.93
2450.00 	-34.93
2450.00 	-35.65
2500.00 	-35.65
2500.00 	-35.25
2550.00 	-35.25
2550.00 	-35.11
2600.00 	-35.11
2600.00 	-35.29
2650.00 	-35.29
2650.00 	-35.32
2700.00 	-35.32
2700.00 	-35.19
2750.00 	-35.19
2750.00 	-34.86
2800.00 	-34.86
2800.00 	-34.96
2850.00 	-34.96
2850.00 	-35.14
2900.00 	-35.14
2900.00 	-35.03
2950.00 	-35.03
2950.00 	-34.64
3000.00 	-34.64
3000.00 	-34.98
3050.00 	-34.98
3050.00 	-35.19
3100.00 	-35.19
3100.00 	-34.91
3150.00 	-34.91
3150.00 	-35.02
3200.00 	-35.02
3200.00 	-35.17
3250.00 	-35.17
3250.00 	-35.08
3300.00 	-35.08
3300.00 	-35.15
3350.00 	-35.15
3350.00 	-34.91
3400.00 	-34.91
3400.00 	-34.81
3450.00 	-34.81
3450.00 	-35.07
3500.00 	-35.07
3500.00 	-35
3550.00 	-35
3550.00 	-34.96
3600.00 	-34.96
3600.00 	-35.13
3650.00 	-35.13
3650.00 	-34.49
3700.00 	-34.49
3700.00 	-34.63
3750.00 	-34.63
3750.00 	-35.06
3800.00 	-35.06
3800.00 	-35.05
3850.00 	-35.05
3850.00 	-35.21
3900.00 	-35.21
3900.00 	-35.11
3950.00 	-35.11
3950.00 	-35.07
4000.00 	-35.07
4000.00 	-34.73
4050.00 	-34.73
4050.00 	-35.02
4100.00 	-35.02
4100.00 	-35.25
4150.00 	-35.25
4150.00 	-34.96
4200.00 	-34.96
4200.00 	-34.65
4250.00 	-34.65
4250.00 	-35.19
4300.00 	-35.19
4300.00 	-34.65
4350.00 	-34.65
4350.00 	-35.1
4400.00 	-35.1
4400.00 	-34.99
4450.00 	-34.99
4450.00 	-34.65
4500.00 	-34.65
4500.00 	-35
4550.00 	-35
4550.00 	-34.45
4600.00 	-34.45
4600.00 	-34.87
