# Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1881
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/savusavu_bay_2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-03
#--------------------
# Title
#	Study_Name: Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#--------------------
# Description_and_Notes
#	Description: Fiji Diploastrea cores 4F1 and LH were collected from opposite sides  of the channel in Savusavu Bay.   Core 4F1 was collected in 10 meters  of water and spans 1940 to 1997, while core LH was collected in  2 meters of water and we present here only the period 1940 to 2001.   The composite d18O and Sr/Ca records are an average of the two cores,  both normalized to the 1970-1996 mean.  Both cores were sampled at  0.5 mm intervals within the upper 50 mm, and at 1 mm intervals below  50 mm depth.
#--------------------
# Publication 
#       Authors: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#       Published_Date_or_Year: 2004   
#       Published_Title: Evaluating the use of the massive coral Diploastrea heliopora for paleoclimate reconstruction.
#       Journal_Name: Paleoceanography
#       Volume: 19
#       Edition: 
#       Issue: PA1032
#       Pages: 
#       DOI: 10.1029/2003PA000935
#       Online_Resource: 
#       Full_Citation: Bagnato, S., B.K. Linsley, S.S. Howe, G.M. Wellington, and J. Salinger. 2005. Coral oxygen isotope records of interdecadal climate variations in the  South Pacific Convergence Zone region.   Geochemistry, Geophysics, Geosystems, Vol. 6, Q06001, 1 June 2005. doi:10.1029/2004GC000879
#       Abstract: To date, coral-based paleoclimate research in the Pacific has primarily  utilized core samples from the genus Porites and has been most successful  reconstructing past variability on interannual timescales, particularly  the El Ni�o Southern Oscillation (ENSO). The Indo-Pacific coral genus  Diploastrea, however, owing to its slower extension rate, denser structure,  and longer lifespan, can potentially preserve geochemical proxy records  2�3 times longer than Porites cores of the same length. Before its potential  can be realized, Diploastrea must first be calibrated and its climate signal  assessed. We present oxygen isotope (d18O) and Sr/Ca results from two  Diploastrea cores collected in Fiji (16�49S, 179�14E) that allow for  simultaneous evaluation of this coral's paleoclimatic utility and the  reproducibility of each tracer at this site. Comparison to a Porites record  from the same location allows for further evaluation of Diploastrea as a  paleoclimatic archive. We demonstrate that Diploastrea's septal and columellar  material yield similar d18O-SST relationships and that despite some sacrifice  of the seasonal d18O amplitude, bulk sampling of either region is satisfactory  for resolving interannual and lower frequency modes of climatic variability.  Therefore paleoclimate reconstructions employing either a septal or columellar  sampling regime of this genus may be useful at filling in spatial and temporal  sampling gaps which currently hinder the reconstruction of long-term changes  in major climate fields in the western Pacific.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Savusavu Bay, Fiji
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Fiji
#	Country: Fiji 
#	Northernmost_Latitude: -16.82 
# 	Southernmost_Latitude: -16.82 
# 	Easternmost_Longitude: 179.23  
# 	Westernmost_Longitude: 179.23  
# 	Elevation:  -10 m  
#------------------
# Data_Collection   
#	Collection_Name: 04fuji01a
#	Earliest_Year: 1940 
#	Most_Recent_Year: 1997 
#	Time_Unit: Year AD 
#	Core_Length: 3.04 m
#	Notes: Core name 4F1
#------------------
# Species
#	Species_Name: Diploastrea heliopora
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##depth_cm	depth of core, Diploastrea heliopora, , cm, , Corals and Sclerosponges, , ,N
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##del13c	delta Carbon 13, Diploastrea heliopora, , per mil VPDB, , Corals and Sclerosponges, average of the two cores both normalized to the 1970-1996 mean, ,N
##del18o	anomolized delta 18 Oxygen, Deploastrea heliopora, , per mil VPDB, , Corals and Sclerosponges, normalized to the 1970-1996 mean, ,N 				
##Sr/Ca	Strontium Calcium, Diploastrea, heliopora, , mmol/mol, , Corals and Sclerosponges, normalized to the 1970-1996 mean, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
depth_cm	age_AD	d13C	d18O	Sr/Ca
67	1984.46	-0.38	-5.12	9.13
68	1984.29	-0.29	-5.07	9.11
69	1984.12	-0.05	-5.2	9.12
70	1983.96	0.42	-4.89	9.18
71	1983.79	0.18	-4.62	9.2
72	1983.62	-0.2	-4.6	9.21
73	1983.48	-0.46	-4.74	9.13
74	1983.35	-0.31	-4.88	9.11
75	1983.21	0.08	-4.94	9.16
76	1982.96	0.37	-4.85	9.18
77	1982.71	0.37	-4.81	9.21
78	1982.48	0.01	-4.86	9.16
79	1982.26	-0.32	-5.07	9.08
80	1982.04	-0.17	-5.17	NAN
81	1981.79	0.26	-5.08	9.09
82	1981.54	0.69	-4.76	9.18
83	1981.46	0.25	-4.81	9.2
84	1981.37	0.07	-4.88	9.18
85	1981.29	0.14	-5.13	9.14
86	1981.21	0.55	-5.14	9.17
87	1980.62	0.36	-4.8	9.17
88	1980.21	0.09	-4.86	9.17
89	1979.71	-0.04	-4.81	9.17
90	1979.61	0.42	-4.83	9.17
91	1979.51	0.62	-4.89	9.21
92	1979.41	0.44	-4.96	9.2
93	1979.31	0	-5.08	9.14
94	1979.21	-0.02	-5.16	9.13
95	1978.62	0.51	-4.89	9.17
96	1978.5	0.34	-5	9.18
97	1978.37	0.17	-4.92	9.21
98	1978.25	-0.06	-4.93	9.14
99	1978.12	-0.07	-5.01	9.09
100	1977.96	0.25	-4.94	9.13
101	1977.79	0.43	-4.88	9.22
102	1977.62	0.17	-4.7	9.17
103	1977.46	-0.29	-4.88	9.19
104	1977.29	-0.27	-4.92	9.11
105	1977.12	-0.45	-5.18	9.1
106	1976.96	0.11	-5.07	9.11
107	1976.79	0.25	-4.92	9.22
108	1976.62	0.13	-4.86	9.18
109	1976.52	-0.21	-5.1	9.16
110	1976.42	-0.38	-5.3	9.11
111	1976.31	-0.25	-5.23	9.06
112	1976.21	0.09	-5.33	9.04
113	1976.04	0.27	-5.21	9.11
114	1975.87	-0.01	-5.16	9.18
115	1975.71	-0.15	-5.06	9.11
116	1975.54	-0.14	-4.99	9.12
117	1975.33	-0.14	-5.21	9.06
118	1975.12	0.21	-5.37	9.04
119	1974.9	0.53	-5.17	9.1
120	1974.68	0.45	-5.07	9.12
121	1974.46	0.41	-4.97	9.17
122	1974.32	-0.15	-5.11	9.06
123	1974.18	-0.14	-5.12	9.05
124	1974.04	0.21	-5.11	9.07
125	1973.79	0.51	-5.04	9.14
126	1973.54	0.77	-4.86	9.18
127	1973.4	0.47	-4.94	9.14
128	1973.26	0	-5.02	9.1
129	1973.12	-0.17	-5.11	9.09
130	1972.93	0.15	-4.96	9.17
131	1972.73	0.27	-4.83	9.18
132	1972.54	0.25	-4.68	9.22
133	1972.4	0.13	-4.89	9.15
134	1972.26	0.21	-5.08	9.1
135	1972.12	0.11	-5.45	9.02
136	1971.93	0.38	-5.3	9.08
137	1971.73	0.29	-5.16	9.16
138	1971.54	0.34	-4.96	9.14
139	1971.33	0.05	-5.02	9.13
140	1971.12	-0.11	-5.15	9.07
141	1970.98	0.28	-5.12	9.09
142	1970.85	0.61	-4.84	9.16
143	1970.71	0.42	-4.6	NAN
144	1970.48	0.11	-4.68	9.17
145	1970.26	-0.09	-4.95	9.12
146	1970.04	0.05	-5.05	9.08
147	1969.87	0.61	-4.96	9.06
148	1969.71	0.69	-4.76	9.17
149	1969.54	0.52	-4.53	9.26
150	1969.4	0.3	-4.59	9.2
151	1969.26	0.06	-4.73	9.19
152	1969.12	0.38	-5.15	9.16
153	1968.83	0.43	-4.99	9.17
154	1968.54	0.43	-4.87	9.23
155	1968.4	0.02	-4.97	9.18
156	1968.26	-0.15	-5.22	9.1
157	1968.12	-0.05	-5.38	9.08
158	1967.93	0.38	-5.15	9.12
159	1967.73	0.49	-4.88	9.15
160	1967.54	0.36	-4.69	9.21
161	1967.4	-0.02	-4.93	9.21
162	1967.26	-0.05	-4.88	9.1
163	1967.12	-0.18	-5.11	9.09
164	1966.93	0.3	-5.02	9.11
165	1966.73	0.36	-4.77	9.17
166	1966.54	0.37	-4.59	9.27
167	1966.4	0	-4.83	9.15
168	1966.26	0.03	-4.96	9.15
169	1966.12	0.59	-5.09	9.13
170	1965.83	0.92	-4.85	9.18
171	1965.54	0.44	-4.6	9.24
172	1965.4	-0.02	-4.94	9.15
173	1965.26	-0.15	-5.08	9.09
174	1965.12	0.04	-5.18	9.1
175	1964.83	-0.04	-5.13	9.1
176	1964.54	0.22	-4.7	9.12
177	1964.4	-0.03	-4.73	9.16
178	1964.26	0.11	-4.96	9.12
179	1964.12	0.37	-4.95	9.1
180	1963.83	0.57	-4.88	9.17
181	1963.54	0.37	-4.81	9.2
182	1963.4	0.12	-4.82	9.18
183	1963.26	-0.13	-5.2	NAN
184	1963.12	0.42	-5.33	9.13
185	1962.83	0.84	-4.96	9.16
186	1962.54	0.47	-4.89	9.22
187	1962.33	0.05	-5.3	9.11
188	1962.12	0.32	-5.32	9.12
189	1961.83	0.43	-5.1	NAN
190	1961.54	0.44	-4.92	NAN
