# Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:17380
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/wu2014/wu2014-6a.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-11-04
#--------------------
# Title
#	Study_Name: Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#--------------------
# Description_and_Notes
#	Description: Monthly data from Porites lobata
#--------------------
# Publication 
#       Authors: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#       Published_Date_or_Year: 2014     
#       Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll)
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 412
#       Edition: 
#       Issue: 
#       Pages: 208-222
#       DOI: 10.1016/j.palaeo.2014.07.039
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: Sub-seasonally resolved and replicated coral Sr/Ca time series at Clipperton Atoll (10�18'N, 109�13'W) in the eastern Pacific are assessed as a sea surface temperature (SST) proxy in this region with small seasonal SST variability. The composite coral Sr/Ca time series is a partially replicated record of three live and one sub- modern colony of Porites lobata extending back to 1874. Large inter-colony coral Sr/Ca offsets equate to relative SST differences of 0.6 to 4.3 �C and limit the ability to reconstruct absolute SST changes. Moreover, the replication method revealed a 12-year section of growth in one colony where mean Sr/Ca was anomalously low (~1 �C higher SST) relative to the other colonies without evidence of diagenesis or other significant skeletal alterations. The presence of this anomalous interval supports the need for multi-coral Sr/Ca replication in specific sites or re- gions. The Clipperton Composite Sr/Ca anomaly record is significantly coherent (r = 0.71�0.76, p b 0.001) with gridded instrumental SSTs but with larger amplitude decadal variance that appears to more accurately represent actual SST variability at Clipperton. The amplitude of the secular warming trend during the last century at Clipperton is 0.3 to 0.6 �C larger (~twice as large) than the trend in the poorly �ground-truthed� instrumental SST records for the region. The interannual and decadal variability in Clipperton coral Sr/Ca demonstrates strong coherence to the Pacific Decadal Oscillation and the El Nin~o/Southern Oscillation (ENSO) with reduced ENSO variability from 1920 to late 1930s and enhanced variability in the late twentieth century.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation
#       Grant: SGER ATM9409368
#------------------
# Site_Information 
#       Site_Name: Clipperton Atoll
#       Location: Ocean>Pacific Ocean>Eastern Pacific Ocean
#	Country: France  
#	Northernmost_Latitude: 10.300 
# 	Southernmost_Latitude: 10.300 
# 	Easternmost_Longitude: -109.217 
# 	Westernmost_Longitude: -109.217 
# 	Elevation: -11.3  
#------------------
# Data_Collection   
#	Collection_Name: 00epac04a
#	Earliest_Year: 1941
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: Prevous name - Clipperton 6A Sr/Ca Wu14
#------------------
# Species
#	Species_Name: Porites lobata
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Porites lobata, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	Sr/Ca
1979.375000	9.15199805
1979.291667	9.13000000
1979.208333	9.21800170
1979.125000	9.19199898
1979.041667	9.20400063
1978.958333	9.22600031
1978.875000	9.18199898
1978.791667	9.16199979
1978.708333	9.16800015
1978.625000	9.17000000
1978.541667	9.17000000
1978.458333	9.14599955
1978.375000	9.11599950
1978.291667	9.12866696
1978.208333	9.19200043
1978.125000	9.20466630
1978.041667	9.18133290
1977.958333	9.14599908
1977.875000	9.16066753
1977.791667	9.16066652
1977.708333	9.11100021
1977.625000	9.11199946
1977.541667	9.11166773
1977.458333	9.12799955
1977.375000	9.08933248
1977.291667	9.15207360
1977.208333	9.17000000
1977.125000	9.21014098
1977.041667	9.31645848
1976.958333	9.33397291
1976.875000	9.29476645
1976.791667	9.22184286
1976.708333	9.16187303
1976.625000	9.16803630
1976.541667	9.16245819
1976.458333	9.12698605
1976.375000	9.10449737
1976.291667	9.18008173
1976.208333	9.22405455
1976.125000	9.31831011
1976.041667	9.40430561
1975.958333	9.34767469
1975.875000	9.27378197
1975.791667	9.25197385
1975.708333	9.20187309
1975.625000	9.21404846
1975.541667	9.20397769
1975.458333	9.18398768
1975.375000	9.15599652
1975.291667	9.19004084
1975.208333	9.20801818
1975.125000	9.29028187
1975.041667	9.36626738
1974.958333	9.36593680
1974.875000	9.30222737
1974.791667	9.23286255
1974.708333	9.22614807
1974.625000	9.27395767
1974.541667	9.25075972
1974.458333	9.25950541
1974.375000	9.16923883
1974.291667	9.18203265
1974.208333	9.27018173
1974.125000	9.29000000
1974.041667	9.31411458
1973.958333	9.26374705
1973.875000	9.23393772
1973.791667	9.22197386
1973.708333	9.22000000
1973.625000	9.18793542
1973.541667	9.13193312
1973.458333	9.09598156
1973.375000	9.08199885
1973.291667	9.11733404
1973.208334	9.15200010
1973.125000	9.15866677
1973.041667	9.15466657
1972.958334	9.15800040
1972.875000	9.18466706
1972.791667	9.20066686
1972.708334	9.20199961
1972.625000	9.17533294
1972.541667	9.16466657
1972.458334	9.15799990
1972.375000	9.15133324
1972.291667	9.22802862
1972.208334	9.18919097
1972.125000	9.17665473
1972.041667	9.32566789
1971.958334	9.31580131
1971.875000	9.26082880
1971.791667	9.25802613
1971.708334	9.26000000
1971.625000	9.23595160
1971.541667	9.24602227
1971.458334	9.21797545
1971.375000	9.19399772
1971.291667	9.19000000
1971.208334	9.24200116
1971.125000	9.23599908
1971.041667	9.21000000
1970.958334	9.21400017
1970.875000	9.22000000
1970.791667	9.19899853
1970.708334	9.13300018
1970.625000	9.15133353
1970.541667	9.16966688
1970.458334	9.12499943
1970.375000	9.08733284
1970.291667	9.10400050
1970.208334	9.20600134
1970.125000	9.22199987
1970.041667	9.25200067
1969.958334	9.17999890
1969.875000	9.13599962
1969.791667	9.22600199
1969.708334	9.22599967
1969.625000	9.18799950
1969.541667	9.14799934
1969.458334	9.10799957
1969.375000	9.07599963
1969.291667	9.15000131
1969.208334	9.23500098
1969.125000	9.27333312
1969.041667	9.26000000
1968.958334	9.25999968
1968.875000	9.23499968
1968.791667	9.21666645
1968.708334	9.20499989
1968.625000	9.19333312
1968.541667	9.17333291
1968.458334	9.13999958
1968.375000	9.10666624
1968.291667	9.21008135
1968.208334	9.28495464
1968.125000	9.24985923
1968.041667	9.29038163
1967.958334	9.26981947
1967.875000	9.22873056
1967.791667	9.22248368
1967.708334	9.22752639
1967.625000	9.24000000
1967.541667	9.24000000
1967.458334	9.19743498
1967.375000	9.09123808
1967.291667	9.10666722
1967.208334	9.15250056
1967.125000	9.19500045
1967.041667	9.23250045
1966.958334	9.26999965
1966.875000	9.24083298
1966.791667	9.21166632
1966.708334	9.21500030
1966.625000	9.24000030
1966.541667	9.25083279
1966.458334	9.20499946
1966.375000	9.15916613
1966.291667	9.17400030
1966.208334	9.20400024
1966.125000	9.23000027
1966.041667	9.25500037
1965.958334	9.22799944
1965.875000	9.18799952
1965.791667	9.21200039
1965.708334	9.25200031
1965.625000	9.24799984
1965.541667	9.23299978
1965.458334	9.21799979
1965.375000	9.20299983
1965.291667	9.15415677
1965.208334	9.23315054
1965.125000	9.20334486
1965.041667	9.29596711
1964.958334	9.30392782
1964.875001	9.28393781
