# New Caledonia Porites Coral Paleothermometry Assessment Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1917
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2005-03
#--------------------
# Title
#	Study_Name: New Caledonia Porites Coral Paleothermometry Assessment Data
#--------------------
# Investigators
#       Investigators: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#--------------------
# Description_and_Notes
#	Description: Porites lutea cores were collected in 1992 by Fred Taylor, Jamie Austin, Yvan Join and  John Butscher.  The isotope data were analyzed at the University of South Florida  College of Marine Science, on a Finnigan Delta Plus XL mass spectrometer and attached  Kiel Carbonate Device with an analytical precision of 0.04 per mil for carbon and 0.08  per mil for oxygen (1 sigma) determined by repeated measurements of NBS 19 relative to VPDB.   The elemental data were analyzed on a Perkin Elmer Optima 4300DV ICP-OES following the  drift-correction methods of Schrag (1999).  Analytical precision (1 sigma) for the Sr/Ca  determinations is 0.2 % (0.018 mmol/mol), based on a laboratory standard solution of  dissolved Porites lutea. Depth series were converted to time series using AnalySeries  software (Paillard et al., 1996) to match Sr/Ca minima to SST maxima and vise versa.  Stable isotopic and Sr/Ca determinations on samples from Cores 99-PAA, 92-PAC and 92-PAD  were made at USF.  Stable isotopic determinations on samples from core 92-PAA made at the  University of Michigan.  Sr/Ca determinations on samples from core 92-PAA made at the  University of California-Santa Cruz. 
#--------------------
# Publication 
#       Authors: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#       Published_Date_or_Year: 2004     
#       Published_Title: Assessing the Reproducibility of Coral-based Climate Records.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L18210
#       Pages: 
#       DOI: 10.1029/2004GL020343
#       Online_Resource: 
#       Full_Citation: Stephans, C., T.M. Quinn, F. Taylor, and T. Correge. 2004. Assessing the Reproducibility of Coral-based Climate Records.  Geophysical Research Letters, 31,18, L18210, 10.1029/2004GL020343, 2004
#       Abstract: We perform replication tests using monthly variations in Sr/Ca and d18O in  four cores from three Porites lutea coral heads from New Caledonia to assess  the reproducibility of coral-based climate records.  Coral Sr/Ca (d18O) records  are well correlated to each other and to the instrumental SST record (1967-1992),  especially in terms of differences in the mean values of 25-year SST records  (~0.2C, Sr/Ca-SST; 0.6C, d18O-SST).  The average error associated with the  coral Sr/Ca-SST (d18O-SST) of any particular month, season or year is ~0.8C  (1.1C), 0.6C (0.8C) and 0.5C (0.6C), respectively.  "Stacking" or averaging  the individual proxy records reduces the error between observed and predicted SST,  although the reduction is small for coral Sr/Ca.  Excellent reproducibility among  the coral proxies implies that reliable climate records can be generated from a  single coral core and that coral Sr/Ca-SST records are not compromised, beyond  the errors stated herein, by non-temperature-related biological effects.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Amedee Island, New Caledonia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>New Caledonia
#	Country: New Caledonia 
#	Northernmost_Latitude: -22.48 
# 	Southernmost_Latitude: -22.48 
# 	Easternmost_Longitude: 166.47  
# 	Westernmost_Longitude: 166.47  
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 04newc02a 
#	Earliest_Year: 1967 
#	Most_Recent_Year: 1992 
#	Time_Unit: Years AD 
#	Core_Length:
#	Notes: From core 92PAD. These data have been updated by DeLong et al. 2012. Please see file: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2012.txt 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d13c	delta 13 Carbon, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N
##d18o	delta 18 Oxygen, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N 				
##Sr/Ca		Strontium/Calcium, Porites lutea, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d13c	d18o	Sr/Ca
1967.042	-1.04	-4.14	9.224
1967.125	-1.16	-4.39	9.150
1967.208	-1.20	-4.67	9.101
1967.292	-1.47	-4.66	9.107
1967.375	-1.44	-4.45	9.165
1967.458	-1.06	-4.09	9.246
1967.542	-1.21	-3.84	9.323
1967.625	-1.34	-3.88	9.384
1967.708	-1.03	-3.75	9.405
1967.792	-0.69	-3.81	9.368
1967.875	-0.51	-3.98	9.241
1967.958	-0.53	-4.07	9.176
1968.042	-0.61	-4.15	9.130
1968.125	-0.78	-4.33	9.098
1968.208	-0.95	-4.48	9.076
1968.292	-1.09	-4.43	9.117
1968.375	-1.26	-4.23	9.181
1968.458	-1.34	-4.14	9.231
1968.542	-1.32	-3.96	9.274
1968.625	-1.24	-3.72	9.324
1968.708	-0.85	-3.91	9.255
1968.792	-0.73	-4.12	9.184
1968.875	-0.93	-4.28	9.125
1968.958	-1.13	-4.44	9.054
1969.042	-1.32	-4.51	9.018
1969.125	-1.40	-4.53	9.056
1969.208	-1.49	-4.38	9.122
1969.292	-1.59	-4.21	9.180
1969.375	-1.67	-4.14	9.208
1969.458	-1.74	-4.16	9.225
1969.542	-1.66	-4.11	9.267
1969.625	-1.38	-4.11	9.309
1969.708	-1.09	-4.19	9.312
1969.792	-0.82	-4.27	9.265
1969.875	-0.59	-4.35	9.206
1969.958	-0.61	-4.43	9.138
1970.042	-0.92	-4.55	9.093
1970.125	-1.14	-4.70	9.093
1970.208	-1.05	-4.65	9.080
1970.292	-1.13	-4.56	9.131
1970.375	-1.44	-4.40	9.180
1970.458	-1.40	-4.14	9.295
1970.542	-1.23	-3.87	9.413
1970.625	-1.05	-3.86	9.440
1970.708	-0.93	-3.94	9.387
1970.792	-0.89	-4.07	9.309
1970.875	-0.93	-4.19	9.211
1970.958	-1.08	-4.30	9.146
1971.042	-1.23	-4.42	9.137
1971.125	-1.10	-4.50	9.137
1971.208	-1.18	-4.55	9.135
1971.292	-1.36	-4.43	9.140
1971.375	-1.63	-4.31	9.184
1971.458	-1.63	-4.11	9.242
1971.542	-1.46	-3.94	9.316
1971.625	-1.26	-3.94	9.346
1971.708	-1.18	-4.03	9.313
1971.792	-0.97	-4.15	9.161
1971.875	-0.92	-4.24	9.105
1971.958	-0.88	-4.29	9.082
1972.042	-0.93	-4.36	9.073
1972.125	-1.08	-4.45	9.077
1972.208	-1.22	-4.53	9.079
1972.292	-1.32	-4.56	9.072
1972.375	-1.45	-4.53	9.106
1972.458	-1.57	-4.34	9.153
1972.542	-1.55	-4.17	9.225
1972.625	-1.31	-3.99	9.288
1972.708	-0.98	-3.87	9.328
1972.792	-1.02	-3.99	9.305
1972.875	-0.98	-4.20	9.218
1972.958	-0.92	-4.43	9.123
1973.042	-1.09	-4.71	9.048
1973.125	-1.19	-4.77	9.028
1973.208	-1.40	-4.68	9.053
1973.292	-1.54	-4.46	9.117
1973.375	-1.52	-4.41	9.148
1973.458	-1.51	-4.26	9.211
1973.542	-1.31	-3.93	9.303
1973.625	-1.28	-3.84	9.351
1973.708	-1.28	-4.04	9.295
1973.792	-0.86	-4.18	9.215
1973.875	-0.83	-4.46	9.145
1973.958	-1.11	-4.66	9.112
1974.042	-1.34	-4.74	9.108
1974.125	-1.24	-4.85	9.085
1974.208	-1.19	-4.71	9.098
1974.292	-1.35	-4.50	9.158
1974.375	-1.32	-4.31	9.232
1974.458	-1.30	-4.07	9.291
1974.542	-1.21	-4.03	9.361
1974.625	-1.36	-4.11	9.413
1974.708	-1.08	-4.12	9.366
1974.792	-0.52	-3.95	9.221
1974.875	-0.90	-4.44	9.112
1974.958	-1.21	-4.78	9.047
1975.042	-1.32	-4.93	9.039
1975.125	-1.53	-4.85	9.063
1975.208	-1.58	-4.69	9.108
1975.292	-1.67	-4.49	9.142
1975.375	-1.56	-4.35	9.172
1975.458	-1.43	-4.20	9.231
1975.542	-1.25	-4.18	9.262
1975.625	-1.13	-4.27	9.238
1975.708	-1.07	-4.37	9.202
1975.792	-1.13	-4.49	9.158
1975.875	-1.04	-4.59	9.114
1975.958	-0.95	-4.69	9.073
1976.042	-1.05	-4.81	9.036
1976.125	-1.13	-4.95	9.029
1976.208	-1.20	-5.03	9.040
1976.292	-1.43	-4.80	9.061
1976.375	-1.66	-4.53	9.165
1976.458	-1.60	-4.28	9.256
1976.542	-1.53	-4.08	9.305
1976.625	-1.36	-4.11	9.298
1976.708	-1.15	-4.18	9.275
1976.792	-0.91	-4.27	9.235
1976.875	-0.83	-4.40	9.166
1976.958	-0.83	-4.50	9.109
1977.042	-0.92	-4.56	9.080
1977.125	-1.28	-4.67	9.095
1977.208	-1.44	-4.60	9.134
1977.292	-1.54	-4.53	9.173
1977.375	-1.57	-4.37	9.223
1977.458	-1.48	-4.17	9.292
1977.542	-1.26	-4.18	9.331
1977.625	-1.53	-4.38	9.354
1977.708	-1.28	-4.24	9.296
1977.792	-0.98	-4.24	9.224
1977.875	-0.94	-4.50	9.135
