# GISP2 Bidecadal Oxygen Isotope Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:17795
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/gisp2/isotopes/d18o20y.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1997
# --------------------
# Title 
#	Study_Name: GISP2 Bidecadal Oxygen Isotope Data
# --------------------
# Investigators
#	Investigators:  Stuiver, M., Braziunas, T.F., Grootes, P.M., Zielinski, G.A.  
# --------------------
# Description_and_Notes
# 	Description: This file contains the GISP2 bidecadal delta 18O data set back to 16,510 yr B.P., measured at the Quaternary Isotope Laboratory, University of
#	Washington, as of February 1st, 1997.  The timescale includes revisions by D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
#	those of the D core; above 167 meters the core depths are those of the B core + 1.09 meters.  See the file gisp2age.dat for further information on the timescale. 
#
#	Between 1650.29 and 1844.88 meters, the delta 18-O values of this time
#	series are based on high resolution data (0.2 meter). They differ slightly
#	from the 2-meter time series (file UW2md18O.dat). 
#
# --------------------
# Publication
#	Authors: M. Stuiver, T.F. Braziunas, P.M. Grootes, G.A. Zielinski
#	Published_Date_or_Year: 1997
#	Published_Title:  Is There Evidence for Solar Forcing of Climate in the GISP2 Oxygen Isotope Record?
#	Journal_Name: Quaternary Research
#	Volume: 48
#	Edition: 	
#	Issue: 3
#	Pages: 259-266
#	DOI: 10.1006/qres.1997.1931
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: Changes in solar constant over an 11 yr cycle suggest a certain, but limited, degree of solar forcing of climate. The high-resolution climate (oxygen isotope) record of the Greenland GISP2 (Greenland Ice Sheet Project 2) ice core has been analyzed for solar (and volcanic) influences. The atmospheric14C record is used as a proxy of solar change and compared to the oxygen isotope profile in the GISP2 ice core. An annual oxygen isotope profile is derived from centimeter-scale isotope measurements available for the post-A.D. 818 interval. Associated extreme summer and winter isotope ratios were found to yield similar climate information over the last millennium. The detailed record of volcanic aerosols, converted to optical depth and volcanic explosivity change, was also compared to the isotope record and the oxygen isotope response calibrated to short-term volcanic influences on climate. This calibration shows that century-scale volcanic modulation of the GISP2 oxygen isotope record can be neglected in our analysis of solar forcing. The timing, estimated order of temperature change, and phase lag of several maxima in14C and minima in18O are suggestive of a solar component to the forcing of Greenland climate over the current millennium. The fractional climate response of the cold interval associated with the Maunder sunspot minimum (and14C maximum), as well as the Medieval Warm Period and Little Ice Age temperature trend of the past millennium, are compatible with solar climate forcing, with an order of magnitude of solar constant change of ∼0.3%. Even though solar forcing of climate for the current millennium is a reasonable hypothesis, for the rest of the Holocene the century-scale events are more frequent in the oxygen isotope record than in the14C record and a significant correlation is absent. For this interval, oceanic/atmospheric circulation forcing of climate may dominate. Solar forcing during the surprisingly strong 1470 yr climate cycle of the 11,000–75,000 yr B.P. interval is rather hypothetical.
# --------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: GISP2
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 72.583
#	Southernmost_Latitude: 72.583
#	Easternmost_Longitude: 37.683
#	Westernmost_Longitude: 37.683
#	Elevation: 3230 m
# --------------------
# Data_Collection
#	Collection_Name: 97GISP02
#	Earliest_Year: 16490
#	Most_Recent_Year: -30
#	Time Unit: yb 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,year AD,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yb_1950	d18O
11990	-39
12010	-38
12030	-39
12050	-41
12070	-40
12090	-41
12110	-39
12130	-41
12150	-38
12170	-41
12190	-40
12210	-40
12230	-39
12250	-41
12270	-40
12290	-38
12310	-39
12330	-41
12350	-41
12370	-40
12390	-39
12410	-39
12430	-40
12450	-41
12470	-41
12490	-41
12510	-39
12530	-41
12550	-41
12570	-40
12590	-41
12610	-41
12630	-42
12650	-41
12670	-41
12690	-41
12710	-40
12730	-39
12750	-39
12770	-41
12790	-40
12810	-40
12830	-39
12850	-40
12870	-40
12890	-39
12910	-38
12930	-38
12950	-37
12970	-39
12990	-38
13010	-37
13030	-39
13050	-38
13070	-39
13090	-39
13110	-40
13130	-42
13150	-39
13170	-39
13190	-40
13210	-39
13230	-40
13250	-38
13270	-39
13290	-38
13310	-39
13330	-38
13350	-37
13370	-37
13390	-38
13410	-38
13430	-37
13450	-39
13470	-37
13490	-38
13510	-37
13530	-37
13550	-38
13570	-37
13590	-37
13610	-39
13630	-38
13650	-38
13670	-38
13690	-38
13710	-37
13730	-38
13750	-37
13770	-37
13790	-37
13810	-37
13830	-38
13850	-38
13870	-37
13890	-38
13910	-38
13930	-37
13950	-37
13970	-38
13990	-38
14010	-40
14030	-39
14050	-39
14070	-39
14090	-38
14110	-38
14130	-37
14150	-38
14170	-37
14190	-37
14210	-37
14230	-37
14250	-37
14270	-36
14290	-36
14310	-35
14330	-36
14350	-37
14370	-37
14390	-36
14410	-36
14430	-35
14450	-36
14470	-35
14490	-35
14510	-35
14530	-36
14550	-36
14570	-36
14590	-37
14610	-37
14630	-37
14650	-38
14670	-39
14690	-40
14710	-40
14730	-41
14750	-40
14770	-39
14790	-39
14810	-40
14830	-41
14850	-40
14870	-39
14890	-39
14910	-40
14930	-41
14950	-39
14970	-39
14990	-41
15010	-39
15030	-40
15050	-39
15070	-37
15090	-39
15110	-38
15130	-38
15150	-39
15170	-39
15190	-39
15210	-40
15230	-41
15250	-39
15270	-39
15290	-40
15310	-41
15330	-41
15350	-39
15370	-39
15390	-40
15410	-38
15430	-40
15450	-41
15470	-38
15490	-39
15510	-40
15530	-40
15550	-38
15570	-40
15590	-39
15610	-40
15630	-41
15650	-42
15670	-41
15690	-41
15710	-39
15730	-39
15750	-39
15770	-41
15790	-41
15810	-42
15830	-41
15850	-39
15870	-41
15890	-42
15910	-41
15930	-41
15950	-41
15970	-41
15990	-39
16010	-40
16030	-37
16050	-40
16070	-41
16090	-40
16110	-40
16130	-41
16150	-41
16170	-40
16190	-39
16210	-41
16230	-40
16250	-40
16270	-40
16290	-40
16310	-39
16330	-38
16350	-40
16370	-40
16390	-40
16410	-41
16430	-39
16450	-40
16470	-41
16490	-42
