# Crete, Milcent - Oxygen Isotope and Accumulation Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2428
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/gisp/milcent/mc73-1y.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1973
# --------------------
# Title 
#	Study_Name: Crete, Milcent - Oxygen Isotope and Accumulation Data
# --------------------
# Investigators
#	Investigators:  Dansgaard, W.; Johnsen, S.J.; Reeh, N.; Gundestrup, N.; Clausen, H.B.; Hammer, C.U.   
# --------------------
# Description_and_Notes
#	Description: 
# --------------------
# Publication
#	Authors: W. DANSGAARD, S. J. JOHNSEN, N. REEH, N. GUNDESTRUP, H. B. CLAUSEN & C. U. HAMMER
#	Published_Date_or_Year: 1975-05-01
#	Published_Title: Climatic changes, Norsemen and modern man
#	Journal_Name: Nature
#	Volume: 255
#	Edition: 	
#	Issue: 
#	Pages: 24-28
#	DOI: 10.1038/255024a0
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Oxygen isotope analysis of anew ice core from the crest of the Greenland ice sheet reveals a climatic record of the past 1,420 years. Climatic changes of medium frequencies are in phase with corresponding changes in Iceland and England, whilst long-term changes at mid Atlantic longitudes are out of phase with Europe and North America. Reconciliation with Norse history suggests a strong climatic impact, and a parallel is drawn to the present critical situation of the human society.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
# --------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 72.56
#	Southernmost_Latitude: 72.56	 
#	Easternmost_Longitude: -38.45
#	Westernmost_Longitude: -38.45
#	Elevation: 3212 m
# --------------------
# Data_Collection
#	Collection_Name: 73Milc01
#	Earliest_Year: 1176
#	Most_Recent_Year: 1967 
#	Time_Unit: y_ad
#	Notes: {"database":"LMR_FM"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years AD,,,,,N
##d18O	delta 18 oxygen,,,permil SMOW,,Ice Cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age 	d18O
1737	-30.44
1736	-29.51
1735	-30.57
1734	-29.51
1733	-28.44
1732	-29.35
1731	-28.68
1730	-29.39
1729	-27.97
1728	-27.9
1727	-27.75
1726	-29.84
1725	-27.28
1724	-29.89
1723	-27.66
1722	-31.36
1721	-29.4
1720	-28.99
1719	-31.54
1718	-29.35
1717	-30.82
1716	-29.38
1715	-29.42
1714	-29.59
1713	-28.37
1712	-29.55
1711	-30.2
1710	-30.04
1709	-29.15
1708	-28.5
1707	-29.77
1706	-30.78
1705	-30.3
1704	-28.88
1703	-29.59
1702	-29.74
1701	-30.92
1700	-31.91
1699	-31.27
1698	-29.44
1697	-30.62
1696	-32.48
1695	-30.21
1694	-31.02
1693	-29.22
1692	-28.56
1691	-29.45
1690	-29.6
1689	-29.82
1688	-31.39
1687	-29.36
1686	-29.75
1685	-29.72
1684	-29.62
1683	-28.78
1682	-31.46
1681	-29.18
1680	-33.18
1679	-29.04
1678	-29.78
1677	-30.39
1676	-32.01
1675	-30.06
1674	-29.18
1673	-31.2
1672	-29.71
1671	-29.19
1670	-30.02
1669	-29.76
1668	-29.77
1667	-28.76
1666	-29.92
1665	-30.24
1664	-27.42
1663	-28.61
1662	-29.05
1661	-30.75
1660	-29.47
1659	-29.51
1658	-30.13
1657	-28.11
1656	-29.29
1655	-30.18
1654	-30.49
1653	-29.38
1652	-30.24
1651	-28.18
1650	-29.41
1649	-27.81
1648	-29.97
1647	-29.16
1646	-30.2
1645	-31.28
1644	-30.81
1643	-30.36
1642	-29.82
1641	-29.81
1640	-30.45
1639	-30.91
1638	-29.38
1637	-29.97
1636	-31.64
1635	-28.96
1634	-31.8
1633	-29.25
1632	-30.17
1631	-30.42
1630	-31.64
1629	-29.76
1628	-27.93
1627	-30.5
1626	-28.36
1625	-30.03
1624	-29.86
1623	-30.26
1622	-30.4
1621	-30.27
1620	-28.52
1619	-28.53
1618	-29.26
1617	-29.53
1616	-28.99
1615	-28.17
1614	-27.66
1613	-29.09
1612	-29.56
1611	-29.04
1610	-28.85
1609	-28.7
1608	-28.42
1607	-29.03
1606	-28.3
1605	-29.07
1604	-29.68
1603	-28.39
1602	-31.01
1601	-28.9
1600	-28.35
1599	-29.43
1598	-31.21
1597	-29.5
1596	-29.97
1595	-29.23
1594	-29.97
1593	-29.92
1592	-31.18
1591	-28.82
1590	-30.21
1589	-27.42
1588	-28.72
1587	-28.92
1586	-30.38
1585	-29.11
1584	-31.1
1583	-29.55
1582	-29.6
1581	-29.41
1580	-31.11
1579	-29.46
1578	-29.07
1577	-28.71
1576	-30.2
1575	-29.3
1574	-28.54
1573	-28.23
1572	-28.27
1571	-29.15
1570	-29.05
1569	-29.27
1568	-30.24
1567	-29.99
1566	-29.93
1565	-30.27
1564	-30.55
1563	-29.02
1562	-29.21
1561	-30.46
1560	-30.05
1559	-29.89
1558	-30.23
1557	-30.31
1556	-28.73
1555	-28.29
1554	-29.15
1553	-29.37
1552	-29.09
1551	-29.11
1550	-28.34
1549	-28.16
1548	-29.38
1547	-31.38
1546	-31.05
1545	-31.37
1544	-29.09
1543	-31.52
1542	-30.45
1541	-28.6
1540	-31.09
1539	-31.38
1538	-31.34
1537	-29.05
1536	-29.24
1535	-30.7
1534	-30.1
1533	-29.44
1532	-28.48
1531	-28.22
1530	-27.67
1529	-29.47
1528	-31.31
1527	-30.06
1526	-29.73
1525	-30.32
1524	-30.64
1523	-29.49
1522	-28.53
1521	-31.29
1520	-29.98
1519	-30.82
1518	-28.79
1517	-30.2
1516	-30.2
1515	-29.58
1514	-28.05
1513	-30.19
1512	-29.54
1511	-29.62
1510	-28.49
1509	-29.43
1508	-30.48
1507	-29.37
1506	-29.63
1505	-28.71
1504	-29.02
1503	-30.62
1502	-29.57
1501	-29.05
1500	-29.52
1499	-29.91
1498	-28.62
1497	-30.19
1496	-28.39
1495	-28.98
1494	-30.87
1493	-30.05
1492	-29.59
1491	-29.74
1490	-29.9
1489	-28.31
1488	-29.52
1487	-29.53
1486	-29.89
1485	-30.17
1484	-30.94
1483	-29.05
1482	-31.82
1481	-29.68
1480	-30.56
1479	-28.17
1478	-28.15
1477	-30.68
1476	-30.72
1475	-29.05
1474	-28.34
1473	-30.03
1472	-29.83
1471	-30.23
1470	-29.68
1469	-28.77
1468	-29.48
1467	-30.41
1466	-31.21
1465	-28.24
1464	-30.08
1463	-27.32
1462	-29.98
1461	-31
1460	-29.07
1459	-28.47
1458	-28.52
1457	-28.33
1456	-28.47
1455	-30.41
1454	-30.35
1453	-29.11
1452	-27.42
1451	-29.99
1450	-29.83
1449	-28.34
1448	-28.75
1447	-30.36
1446	-29.14
1445	-28.25
1444	-29.8
1443	-30.48
1442	-31.01
1441	-30.37
1440	-29.94
1439	-29.78
1438	-29.45
1437	-30.16
1436	-28.67
1435	-31.32
1434	-31.73
1433	-30.35
1432	-28.45
1431	-27.83
1430	-30.38
1429	-30.05
1428	-30.79
1427	-29.97
1426	-29.11
1425	-29.3
1424	-28.05
1423	-29.23
1422	-29.69
1421	-30.01
1420	-30.18
1419	-29.67
1418	-29.5
1417	-29.86
1416	-29.29
1415	-31.74
1414	-30.17
1413	-28.61
1412	-29.66
1411	-29.64
1410	-29.38
1409	-31.06
1408	-29.59
1407	-29.65
1406	-30.01
1405	-30.56
1404	-29.72
1403	-29.68
1402	-30.09
1401	-30.43
1400	-30.94
1399	-29.13
1398	-29.94
1397	-29.3
1396	-28.33
1395	-29.37
1394	-30.18
1393	-30.16
1392	-29.03
1391	-29.39
1390	-28.74
1389	-28.53
1388	-29.73
1387	-29.58
1386	-28.51
1385	-29.79
1384	-29.85
1383	-29.48
1382	-30.45
1381	-29.59
1380	-30.8
1379	-29.53
1378	-30.37
1377	-30.02
1376	-31.43
