# Synchronization of the Byrd and Greenland (GISP2/GRIP) Records
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2450
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/readme_blunier2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2001
# --------------------
# Title 
#	Study_Name: Synchronization of the Byrd and Greenland (GISP2/GRIP) Records 
# --------------------
# Investigators
#	Investigators: Blunier, T.; Brook, E.J. 
# --------------------
# Description_and_Notes
# 	Description: The data archived here were used for Figure 1 of Blunier and Brook, 
#	Timing of millennial-scale climate change in Antarctica and Greenland 
#	during the last glacial period, Science, 291, 109-112, 2001. 
#	This paper should be cited when referring to the synchronized Byrd 
#	time scale and the Byrd methane data for the time period >50 ka.
#
# --------------------
# Publication
#	Authors: T. Blunier, E.J. Brook
#	Published_Date_or_Year: 2001
#	Published_Title: Timing of millennial-scale climate change in Antarctica and Greenland during the last glacial period
#	Journal_Name: Science
#	Volume: 291			
#	Edition: 	
#	Issue: 
#	Pages: 109-112
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A precise relative chronology for Greenland and West Antarctic paleotemperature is extended to 90,000 years ago, based on correlation of atmospheric methane records from the Greenland Ice Sheet Project 2 and Byrd ice cores. Over this period, the onset of seven major millennial-scale warmings in Antarctica preceded the onset of Greenland warmings by 1500 to 3000 years. In general, Antarctic temperatures increased gradually while Greenland temperatures were decreasing or constant, and the termination of Antarctic warming was apparently coincident with the onset of rapid warming in Greenland. This pattern provides further evidence for the operation of a “bipolar see-saw” in air temperatures and an oceanic teleconnection between the hemispheres on millennial time scales.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Byrd
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: 80
#	Southernmost_Latitude: 80
#	Easternmost_Longitude: 119.5
#	Westernmost_Longitude: 119.5
#	Elevation: 1530m
# --------------------
# Data_Collection
#	Collection_Name: 01Byrd01
#	Earliest_Year: 10000
#	Most_Recent_Year: 49940
#	Time Unit: years before 1950
#
# --------------------
# Variables
#	
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_yb1950	Age,,,years before 1950,,,,,N
##d18O		d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_yb1950	d18O
17145	-37.1
17205	-37.4
17259	-37.7
17314	-37.3
17368	-37.6
17421	-38.7
17470	-37
17520	-38
17569	-38.7
17628	-38.7
17707	-38.8
17794	-39.1
17897	-39.3
17985	-38.8
18085	-37.5
18154	-38.4
18220	-38.5
18283	-39.1
18334	-38.1
18387	-39.2
18448	-39.2
18499	-39.2
18540	-39.7
18587	-39.7
18649	-39.7
18708	-39.8
18764	-40.3
18857	-40.4
18937	-39.9
19006	-41
19078	-40.1
19138	-38.8
19202	-39.3
19274	-39.9
19334	-39
19398	-40.8
19461	-39
19523	-39.2
19573	-39.3
19624	-39.5
19687	-38.8
19743	-40.2
19791	-39.2
19839	-38.6
19889	-39.9
19939	-39.8
19990	-39.3
20046	-39.8
20105	-39.8
20148	-39
20191	-38.9
20234	-39.4
20277	-39.9
20315	-39.5
20350	-39.7
20386	-39.8
20460	-40
20536	-40.2
20600	-39.3
20646	-39.5
20698	-39.4
20778	-39.5
20825	-40.6
20866	-40.4
20904	-40
20959	-40.3
21039	-40.5
21128	-41.2
21215	-41.2
21279	-41.1
21344	-41.4
21409	-41.8
21503	-40.8
21598	-40.8
21686	-41
21773	-40.5
21876	-41.4
21976	-41
22059	-41.6
22152	-41.3
22246	-41.2
22317	-41.5
22380	-41.6
22443	-41.1
22533	-41.3
22610	-41.3
22682	-41.8
22756	-41.3
22843	-41
22936	-41.6
23032	-40.9
23125	-41.2
23210	-40.8
23273	-40.6
23347	-40.2
23497	-40.2
23773	-39.9
24008	-39.9
24267	-39.8
24591	-38.9
24873	-39.5
25167	-40.8
25452	-40
25677	-40
25990	-39.9
26331	-40.3
26490	-40.3
26580	-40.3
26660	-40.5
26736	-40.5
26813	-40.8
26898	-40.8
26994	-40.7
27096	-41.5
27195	-40.9
27282	-41.1
27360	-41.1
27441	-40.7
27522	-40
27626	-39.9
27730	-39.7
27817	-39.8
27909	-40.1
28010	-40
28126	-39.6
28215	-40.5
28298	-40.9
28371	-40.1
28441	-40
28507	-39.1
28563	-40
28612	-40.3
28667	-40.5
28742	-40.5
28832	-40.8
28911	-40.6
28987	-41.2
29056	-41.3
29116	-41.6
29178	-41
29242	-40
29313	-40.3
29391	-40.2
29461	-40
29564	-39.7
29695	-39.9
29772	-39.9
29844	-39.6
29915	-40.4
29991	-40
30083	-40.2
30160	-39.9
30232	-40
30326	-39.9
30424	-40.1
30525	-39.6
30622	-39.4
30703	-40.5
30784	-40.8
30866	-40.2
30944	-40
31021	-39.3
31101	-39.6
31183	-39.7
31267	-40
31323	-40.3
31378	-40
31447	-40.6
31522	-40.6
31595	-40.6
31677	-40.6
31778	-40.8
31903	-40.7
32012	-40.5
32136	-39.6
32249	-40.2
32328	-39.8
32415	-40
32511	-39.7
32595	-39.9
32684	-39.7
32772	-39.9
32849	-39.5
32922	-39.8
32978	-40.6
33034	-40.4
33126	-40.3
33238	-40.2
33363	-40.5
33493	-39.3
33625	-40
33718	-39.9
33806	-39.9
33896	-39.7
33987	-40
