# Lombok Strait, Indonesia Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1903
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/bali2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date:  2004-12
#--------------------
# Title
#	Study_Name: Bali Coral Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#--------------------
# Description_and_Notes
#	Description: Records of past climate and ocean environment derived from stable isotope, trace metal, and other measurements made on corals and sclerosponges. Parameter keywords describe what was measured in this data set. Additional summary information can be found in the abstracts of papers listed in the data set citations. 
#--------------------
# Publication 
#       Authors: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#       Published_Date_or_Year: 2003-06-19
#       Published_Title: Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century.
#       Journal_Name: Marine Geology
#       Volume: 201
#       Edition: 
#       Issue: Issues 1–3
#       Pages: 207-222
#       DOI:  10.1016/S0025-3227(03)00217-2
#       Online_Resource: 
#       Full_Citation: Charles, C.D., K. Cobb, M.D. Moore, and R.G. Fairbanks. 2003. Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century. Marine Geology, v. 201, pp. 207-222.
#       Abstract: The 20th century evolution of basin-wide gradients in surface ocean properties provides one essential test for recent models of the interaction between the Asian monsoon and the tropical ocean, because various feedback mechanisms should result in characteristic regional patterns of variability. Although the instrumental record of climate variability in the tropics is essentially limited to the last few decades, the stable isotopic composition of living corals provides an effective means for extending the instrumental observations. Here we present two coral isotopic records from the Indonesian Maritime Continent, and we use these records with other previously published records to describe: (i) the relationship between western Pacific and central Pacific climate variability over the past century, with special emphasis on the biennial band; and (ii) the strength of the west-east 'Indian Ocean Dipole'. We find that the amplitude of the biennial cycle in the Pacific did not vary inversely with the strength of ENSO (El Nino Southern Oscillation), as might be expected from some models of monsoonal feedback on the central Pacific. Instead, the biennial variability was modulated on decadal timescales throughout much of the Pacific. We also show that the zonal oxygen isotopic gradient in the Indian Ocean coral records was significantly correlated with central Pacific sea surface temperature on a variety of timescales. Thus, it is likely that this 'coral dipole' was a product of strong ENSO-like teleconnections over the Indian Ocean, as opposed to being the result of unique Indian Ocean or monsoonal dynamics.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Lombok Strait, Bali, Indonesia
#       Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia 
#	Northernmost_Latitude: -8.25 
# 	Southernmost_Latitude: -8.25 
# 	Easternmost_Longitude: 115.50
# 	Westernmost_Longitude: 115.50 
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 03indo01a
#	Earliest_Year: 1782
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
##d18O_sa	seasonally averaged delta 18 Oxygen, Porites sp., , permil VPDB, , Corals and Sclerosponges, average: seasonal, ,N
##d18O_anom	delta 18 oxygen anomaly, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d18O_sa	d18O_anom
1790.00	-5.2720	-5.2521	-0.01989
1790.08	-4.9480	-5.1031	0.15506
1790.17	-4.6760	-4.9667	0.29069
1790.25	-4.7510	-4.8574	0.10640
1790.33	-4.8680	-4.7997	-0.06827
1790.42	-4.7500	-4.7875	0.03748
1790.50	-4.8580	-4.8316	-0.02643
1790.58	-5.0361	-4.9078	-0.12825
1790.67	-5.0050	-4.9913	-0.01374
1790.75	-4.9810	-5.0856	0.10464
1790.83	-5.1610	-5.1759	0.01489
1790.92	-5.3550	-5.2282	-0.12680
1791.00	-5.2730	-5.2521	-0.02089
1791.08	-5.0210	-5.1031	0.08206
1791.17	-4.9560	-4.9667	0.01069
1791.25	-5.0770	-4.8574	-0.21960
1791.33	-4.8770	-4.7997	-0.07727
1791.42	-4.8300	-4.7875	-0.04252
1791.50	-4.8780	-4.8316	-0.04643
1791.58	-5.0971	-4.9078	-0.18925
1791.67	-5.0180	-4.9913	-0.02674
1791.75	-5.1010	-5.0856	-0.01537
1791.83	-4.9830	-5.1759	0.19289
1791.92	-5.1190	-5.2282	0.10920
1792.00	-5.0930	-5.2521	0.15911
1792.08	-5.0440	-5.1031	0.05906
1792.17	-5.0550	-4.9667	-0.08831
1792.25	-4.8640	-4.8574	-0.00660
1792.33	-4.8940	-4.7997	-0.09427
1792.42	-4.7540	-4.7875	0.03348
1792.50	-4.7750	-4.8316	0.05657
1792.58	-4.9821	-4.9078	-0.07425
1792.67	-5.0990	-4.9913	-0.10774
1792.75	-4.9660	-5.0856	0.11964
1792.83	-5.0680	-5.1759	0.10789
1792.92	-5.2830	-5.2282	-0.05480
1793.00	-5.2630	-5.2521	-0.01089
1793.08	-4.9670	-5.1031	0.13606
1793.17	-4.9110	-4.9667	0.05569
1793.25	-4.7270	-4.8574	0.13040
1793.33	-4.5580	-4.7997	0.24173
1793.42	-4.5920	-4.7875	0.19548
1793.50	-4.6590	-4.8316	0.17257
1793.58	-4.7961	-4.9078	0.11175
1793.67	-4.9610	-4.9913	0.03026
1793.75	-5.0890	-5.0856	-0.00337
1793.83	-5.0740	-5.1759	0.10189
1793.92	-5.3110	-5.2282	-0.08280
1794.00	-5.1890	-5.2521	0.06311
1794.08	-4.9750	-5.1031	0.12806
1794.17	-4.8770	-4.9667	0.08969
1794.25	-4.9620	-4.8574	-0.10460
1794.33	-4.8880	-4.7997	-0.08827
1794.42	-4.9030	-4.7875	-0.11552
1794.50	-4.8860	-4.8316	-0.05443
1794.58	-4.9671	-4.9078	-0.05925
1794.67	-5.0190	-4.9913	-0.02774
1794.75	-5.0340	-5.0856	0.05164
1794.83	-5.1020	-5.1759	0.07389
1794.92	-4.9970	-5.2282	0.23120
1795.00	-5.0070	-5.2521	0.24511
1795.08	-4.9480	-5.1031	0.15506
1795.17	-4.9150	-4.9667	0.05169
1795.25	-4.8450	-4.8574	0.01240
1795.33	-4.7750	-4.7997	0.02473
1795.42	-4.9090	-4.7875	-0.12152
1795.50	-4.9770	-4.8316	-0.14543
1795.58	-4.9620	-4.9078	-0.05425
1795.67	-5.0270	-4.9913	-0.03574
1795.75	-5.2160	-5.0856	-0.13036
1795.83	-5.3200	-5.1759	-0.14411
1795.92	-5.4620	-5.2282	-0.23380
1796.00	-5.1460	-5.2521	0.10611
1796.08	-4.8190	-5.1031	0.28406
1796.17	-4.6770	-4.9667	0.28969
1796.25	-4.9020	-4.8574	-0.04460
1796.33	-4.6760	-4.7997	0.12373
1796.42	-4.9450	-4.7875	-0.15752
1796.50	-4.8890	-4.8316	-0.05743
1796.58	-5.0511	-4.9078	-0.14325
1796.67	-5.0510	-4.9913	-0.05974
1796.75	-5.0980	-5.0856	-0.01237
1796.83	-5.3360	-5.1759	-0.16011
1796.92	-5.3320	-5.2282	-0.10380
1797.00	-5.3850	-5.2521	-0.13289
1797.08	-5.2690	-5.1031	-0.16594
1797.17	-4.8930	-4.9667	0.07369
1797.25	-4.8060	-4.8574	0.05140
1797.33	-4.7740	-4.7997	0.02573
1797.42	-4.7920	-4.7875	-0.00452
1797.50	-4.7420	-4.8316	0.08957
1797.58	-4.7981	-4.9078	0.10975
1797.67	-4.9350	-4.9913	0.05626
1797.75	-5.1250	-5.0856	-0.03937
1797.83	-5.3590	-5.1759	-0.18311
