# Rarotonga Sr/Ca and SST Reconstruction Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1860
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/rarotonga_sr-ca.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2000-11
#--------------------
# Title
#	Study_Name: Rarotonga Sr/Ca and SST Reconstruction Data
#--------------------
# Investigators
#       Investigators: Linsley, B.K.; Wellington G.M.; Schrag D.P.
#--------------------
# Description_and_Notes
#	Description: A 271 year record of Sr/Ca variability in a coral from Rarotonga in the South Pacific gyre.  Calibration with monthly sea surface temperature (SST) from satellite and ship measurements  made in grid measuring 1� by 1� over the period from 1981 to 1997 indicates that this  Sr/Ca record is an excellent proxy for SST. Comparison with SST from ship  measurements made since 1950 in a grid measuring 5� by 5� also shows that the  Sr/Ca data accurately record decadal changes in SST. The entire Sr/Ca record back to  1726 shows a distinct pattern of decadal variability with repeated decadal and  interdecadal SST regime shifts greater than 0.75�C. Comparison with decadal  climate variability in the North Pacific as represented by the Pacific Decadal  Oscillation index (1900-1997) indicates that several of the largest decadal-scale  SST variations at Rarotonga are coherent with SST regime shifts in the North Pacific.  This hemispheric symmetry suggests that tropical forcing may be an important  factor in at least some of the decadal variability observed in the Pacific Ocean.
#--------------------
# Publication 
#       Authors: Linsley, B.K.; Wellington G.M.; Schrag D.P.
#       Published_Date_or_Year: 2000
#       Published_Title: Decadal sea surface temperature variability in the sub-tropical south Pacific
#       Journal_Name: Science
#       Volume: 290
#       Edition: 
#       Issue: 
#       Pages: 1145-1148
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Linsley, B.K., G.M. Wellington, and D.P. Schrag, 2000, Decadal Sea Surface Temperature Variability  in the Sub-Tropical South Pacific from 1726 to 1997 A.D.,   Science v.290, pp1145-1148, 10 Nov 2000.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation (USA)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Oceanic and Atmospheric Administration (USA)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Rarotonga, Cook Islands
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Cook Islands
#	Country: Cook Islands 
#	Northernmost_Latitude: -21.23 
# 	Southernmost_Latitude: -21.23 
# 	Easternmost_Longitude: -159.82 
# 	Westernmost_Longitude: -159.82 
# 	Elevation: -18 m
#------------------
# Data_Collection   
#	Collection_Name: 00cook01a 
#	Earliest_Year: 1726
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, , ,mmol/mol, ,Corals and Sclerosponges, , analytical technique: ICP-OES,N
##sst	sea surface temperature reconstruction, Porites sp., ,degrees C, , Corals and Sclerosponges, , ,N
##sst_av_fil_at_8y	sea surface temperature reconstruction, Porites sp., ,degrees C, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	Sr/Ca	sst	sst_av_fil_at_8y
1736.59	9.44	25.9	1.53
1736.67	9.43	26.04	1.54
1736.75	9.4	26.35	1.54
1736.84	9.34	27.1	1.55
1736.92	9.22	28.59	1.56
1737	9.23	28.35	1.57
1737.09	9.3	27.59	1.58
1737.17	9.19	28.89	1.58
1737.25	9.23	28.44	1.59
1737.34	9.29	27.68	1.6
1737.42	9.32	27.27	1.6
1737.5	9.34	27.02	1.61
1737.59	9.33	27.18	1.61
1737.67	9.33	27.18	1.62
1737.75	9.33	27.19	1.62
1737.84	9.31	27.46	1.62
1737.92	9.28	27.8	1.63
1738	9.26	28.07	1.63
1738.09	9.24	28.23	1.63
1738.17	9.18	29.01	1.63
1738.25	9.19	28.88	1.63
1738.34	9.22	28.51	1.63
1738.42	9.24	28.28	1.63
1738.5	9.33	27.14	1.62
1738.59	9.42	26.1	1.62
1738.67	9.42	26.1	1.62
1738.75	9.39	26.46	1.62
1738.84	9.39	26.4	1.61
1738.92	9.33	27.19	1.61
1739	9.24	28.28	1.61
1739.09	9.24	28.23	1.6
1739.17	9.18	29.01	1.6
1739.25	9.22	28.56	1.59
1739.34	9.24	28.32	1.59
1739.42	9.28	27.81	1.58
1739.5	9.31	27.42	1.58
1739.59	9.37	26.7	1.57
1739.67	9.41	26.21	1.57
1739.75	9.43	25.98	1.56
1739.84	9.45	25.76	1.56
1739.92	9.43	26.02	1.56
1740	9.35	27	1.55
1740.09	9.29	27.67	1.55
1740.17	9.17	29.13	1.55
1740.25	9.23	28.37	1.54
1740.34	9.25	28.11	1.54
1740.42	9.28	27.75	1.54
1740.5	9.33	27.21	1.53
1740.59	9.36	26.79	1.53
1740.67	9.43	26.04	1.53
1740.75	9.45	25.69	1.53
1740.84	9.39	26.51	1.53
1740.92	9.35	27.01	1.53
1741	9.29	27.73	1.53
1741.09	9.22	28.5	1.53
1741.17	9.21	28.65	1.53
1741.25	9.22	28.53	1.53
1741.34	9.22	28.53	1.53
1741.42	9.25	28.11	1.53
1741.5	9.36	26.87	1.53
1741.59	9.45	25.77	1.53
1741.67	9.45	25.73	1.53
1741.75	9.41	26.17	1.53
1741.84	9.37	26.74	1.54
1741.92	9.3	27.54	1.54
1742	9.26	27.98	1.54
1742.09	9.24	28.24	1.54
1742.17	9.21	28.65	1.54
1742.25	9.23	28.39	1.55
1742.34	9.27	27.98	1.55
1742.42	9.33	27.19	1.55
1742.5	9.36	26.81	1.55
1742.59	9.39	26.43	1.56
1742.67	9.42	26.1	1.56
1742.75	9.39	26.48	1.56
1742.84	9.35	26.98	1.57
1742.92	9.31	27.43	1.57
1743	9.27	27.91	1.57
1743.09	9.28	27.85	1.58
1743.17	9.22	28.53	1.58
1743.25	9.24	28.31	1.58
1743.34	9.29	27.64	1.58
1743.42	9.35	26.91	1.59
1743.5	9.35	26.89	1.59
1743.59	9.36	26.85	1.59
1743.67	9.33	27.19	1.59
1743.75	9.29	27.72	1.6
1743.84	9.23	28.41	1.6
1743.92	9.22	28.47	1.6
1744	9.2	28.8	1.6
1744.09	9.17	29.2	1.6
1744.17	9.14	29.5	1.6
1744.25	9.22	28.48	1.6
1744.34	9.32	27.36	1.6
1744.42	9.39	26.46	1.6
1744.5	9.41	26.22	1.6
1744.59	9.4	26.33	1.6
1744.67	9.41	26.22	1.61
1744.75	9.47	25.48	1.61
1744.84	9.48	25.35	1.61
1744.92	9.38	26.58	1.61
1745	9.23	28.41	1.61
1745.09	9.22	28.55	1.62
1745.17	9.19	28.89	1.62
1745.25	9.21	28.71	1.62
1745.34	9.24	28.34	1.63
1745.42	9.3	27.61	1.63
1745.5	9.39	26.47	1.64
1745.59	9.37	26.75	1.64
1745.67	9.4	26.3	1.65
1745.75	9.44	25.85	1.65
1745.84	9.44	25.86	1.66
1745.92	9.43	25.95	1.66
1746	9.36	26.87	1.67
1746.09	9.27	27.91	1.68
1746.17	9.21	28.65	1.68
1746.25	9.24	28.32	1.69
1746.34	9.24	28.29	1.7
