# Rarotonga Sr/Ca and SST Reconstruction Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1860
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/rarotonga_sr-ca.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2000-11
#--------------------
# Title
#	Study_Name: Rarotonga Sr/Ca and SST Reconstruction Data
#--------------------
# Investigators
#       Investigators: Linsley, B.K.; Wellington G.M.; Schrag D.P.
#--------------------
# Description_and_Notes
#	Description: A 271 year record of Sr/Ca variability in a coral from Rarotonga in the South Pacific gyre.  Calibration with monthly sea surface temperature (SST) from satellite and ship measurements  made in grid measuring 1� by 1� over the period from 1981 to 1997 indicates that this  Sr/Ca record is an excellent proxy for SST. Comparison with SST from ship  measurements made since 1950 in a grid measuring 5� by 5� also shows that the  Sr/Ca data accurately record decadal changes in SST. The entire Sr/Ca record back to  1726 shows a distinct pattern of decadal variability with repeated decadal and  interdecadal SST regime shifts greater than 0.75�C. Comparison with decadal  climate variability in the North Pacific as represented by the Pacific Decadal  Oscillation index (1900-1997) indicates that several of the largest decadal-scale  SST variations at Rarotonga are coherent with SST regime shifts in the North Pacific.  This hemispheric symmetry suggests that tropical forcing may be an important  factor in at least some of the decadal variability observed in the Pacific Ocean.
#--------------------
# Publication 
#       Authors: Linsley, B.K.; Wellington G.M.; Schrag D.P.
#       Published_Date_or_Year: 2000
#       Published_Title: Decadal sea surface temperature variability in the sub-tropical south Pacific
#       Journal_Name: Science
#       Volume: 290
#       Edition: 
#       Issue: 
#       Pages: 1145-1148
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Linsley, B.K., G.M. Wellington, and D.P. Schrag, 2000, Decadal Sea Surface Temperature Variability  in the Sub-Tropical South Pacific from 1726 to 1997 A.D.,   Science v.290, pp1145-1148, 10 Nov 2000.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation (USA)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Oceanic and Atmospheric Administration (USA)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Rarotonga, Cook Islands
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Cook Islands
#	Country: Cook Islands 
#	Northernmost_Latitude: -21.23 
# 	Southernmost_Latitude: -21.23 
# 	Easternmost_Longitude: -159.82 
# 	Westernmost_Longitude: -159.82 
# 	Elevation: -18 m
#------------------
# Data_Collection   
#	Collection_Name: 00cook01a 
#	Earliest_Year: 1726
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, , ,mmol/mol, ,Corals and Sclerosponges, , analytical technique: ICP-OES,N
##sst	sea surface temperature reconstruction, Porites sp., ,degrees C, , Corals and Sclerosponges, , ,N
##sst_av_fil_at_8y	sea surface temperature reconstruction, Porites sp., ,degrees C, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	Sr/Ca	sst	sst_av_fil_at_8y
1756.25	9.24	28.32	1.48
1756.34	9.27	27.97	1.47
1756.42	9.39	26.5	1.45
1756.5	9.46	25.58	1.43
1756.59	9.45	25.67	1.42
1756.67	9.45	25.79	1.4
1756.75	9.42	26.14	1.38
1756.84	9.34	27.03	1.36
1756.92	9.28	27.8	1.35
1757	9.25	28.15	1.33
1757.09	9.22	28.54	1.31
1757.17	9.21	28.65	1.29
1757.25	9.24	28.31	1.27
1757.34	9.26	28.08	1.25
1757.42	9.33	27.19	1.23
1757.5	9.39	26.43	1.21
1757.59	9.42	26.14	1.19
1757.67	9.41	26.23	1.17
1757.75	9.4	26.4	1.15
1757.84	9.38	26.56	1.13
1757.92	9.36	26.83	1.11
1758	9.31	27.38	1.09
1758.09	9.23	28.41	1.07
1758.17	9.22	28.53	1.05
1758.25	9.33	27.23	1.03
1758.34	9.48	25.4	1.01
1758.42	9.32	27.31	1
1758.5	9.44	25.82	0.98
1758.59	9.5	25.16	0.96
1758.67	9.46	25.61	0.95
1758.75	9.45	25.78	0.93
1758.84	9.36	26.84	0.92
1758.92	9.35	26.95	0.9
1759	9.33	27.2	0.89
1759.09	9.31	27.38	0.88
1759.17	9.24	28.28	0.87
1759.25	9.31	27.41	0.86
1759.34	9.34	27.08	0.85
1759.42	9.41	26.22	0.84
1759.5	9.46	25.58	0.83
1759.59	9.45	25.69	0.82
1759.67	9.43	25.98	0.82
1759.75	9.43	26.02	0.81
1759.84	9.4	26.36	0.81
1759.92	9.39	26.51	0.81
1760	9.33	27.2	0.8
1760.09	9.31	27.43	0.8
1760.17	9.3	27.56	0.8
1760.25	9.31	27.47	0.81
1760.34	9.33	27.22	0.81
1760.42	9.36	26.83	0.81
1760.5	9.41	26.24	0.82
1760.59	9.46	25.67	0.82
1760.67	9.5	25.13	0.83
1760.75	9.53	24.79	0.84
1760.84	9.55	24.46	0.85
1760.92	9.58	24.15	0.86
1761	9.58	24.15	0.87
1761.09	9.45	25.77	0.88
1761.17	9.21	28.65	0.89
1761.25	9.22	28.54	0.91
1761.34	9.22	28.53	0.92
1761.42	9.28	27.77	0.94
1761.5	9.35	26.96	0.95
1761.59	9.43	26.02	0.97
1761.67	9.45	25.68	0.98
1761.75	9.43	25.97	1
1761.84	9.38	26.56	1.01
1761.92	9.32	27.35	1.03
1762	9.27	27.89	1.04
1762.09	9.28	27.82	1.06
1762.17	9.26	28.04	1.07
1762.25	9.28	27.86	1.08
1762.34	9.31	27.49	1.09
1762.42	9.34	27.06	1.1
1762.5	9.37	26.65	1.12
1762.59	9.48	25.36	1.13
1762.67	9.48	25.33	1.13
1762.75	9.45	25.68	1.14
1762.84	9.44	25.91	1.15
1762.92	9.37	26.65	1.15
1763	9.31	27.4	1.16
1763.09	9.26	28.04	1.16
1763.17	9.23	28.41	1.16
1763.25	9.25	28.2	1.16
1763.34	9.26	28.08	1.16
1763.42	9.26	28.04	1.15
1763.5	9.25	28.12	1.15
1763.59	9.26	28.02	1.14
1763.67	9.37	26.7	1.13
1763.75	9.41	26.2	1.12
1763.84	9.38	26.58	1.1
1763.92	9.37	26.77	1.08
1764	9.33	27.15	1.07
1764.09	9.25	28.18	1.04
1764.17	9.19	28.89	1.02
1764.25	9.23	28.39	1
1764.34	9.23	28.45	0.97
1764.42	9.24	28.28	0.94
1764.5	9.26	28.04	0.91
1764.59	9.27	27.96	0.87
1764.67	9.3	27.56	0.84
1764.75	9.37	26.75	0.8
1764.84	9.41	26.26	0.76
1764.92	9.42	26.1	0.72
1765	9.41	26.18	0.68
1765.09	9.38	26.56	0.64
1765.17	9.29	27.68	0.6
1765.25	9.33	27.23	0.56
1765.34	9.36	26.83	0.51
1765.42	9.37	26.69	0.47
1765.5	9.43	25.99	0.43
1765.59	9.47	25.43	0.38
1765.67	9.53	24.76	0.34
1765.75	9.59	24.08	0.3
1765.84	9.6	23.95	0.26
1765.92	9.55	24.55	0.22
1766	9.47	25.53	0.18
1766.09	9.39	26.43	0.14
1766.17	9.36	26.83	0.11
1766.25	9.41	26.26	0.07
1766.34	9.43	26.01	0.04
1766.42	9.52	24.84	0
1766.5	9.59	24.09	-0.03
1766.59	9.57	24.22	-0.06
1766.67	9.56	24.4	-0.09
1766.75	9.57	24.28	-0.11
1766.84	9.56	24.45	-0.14
1766.92	9.5	25.12	-0.16
1767	9.43	26.01	-0.19
1767.09	9.32	27.31	-0.21
1767.17	9.32	27.31	-0.23
1767.25	9.36	26.79	-0.24
1767.34	9.42	26.08	-0.26
1767.42	9.51	25.02	-0.28
1767.5	9.58	24.15	-0.29
1767.59	9.59	24.07	-0.31
1767.67	9.57	24.29	-0.32
1767.75	9.54	24.58	-0.33
1767.84	9.43	25.92	-0.34
1767.92	9.38	26.58	-0.35
1768	9.45	25.77	-0.36
1768.09	9.41	26.21	-0.37
1768.17	9.34	27.07	-0.37
1768.25	9.38	26.62	-0.38
1768.34	9.4	26.28	-0.38
1768.42	9.46	25.63	-0.39
1768.5	9.54	24.69	-0.39
1768.59	9.64	23.47	-0.39
1768.67	9.6	23.91	-0.4
1768.75	9.65	23.35	-0.4
1768.84	9.59	23.98	-0.4
1768.92	9.52	24.85	-0.4
1769	9.42	26.11	-0.4
1769.09	9.36	26.8	-0.39
1769.17	9.3	27.55	-0.39
1769.25	9.3	27.56	-0.39
1769.34	9.32	27.35	-0.39
1769.42	9.37	26.7	-0.39
1769.5	9.41	26.25	-0.38
1769.59	9.44	25.91	-0.38
1769.67	9.5	25.13	-0.38
1769.75	9.56	24.37	-0.37
1769.84	9.57	24.23	-0.37
1769.92	9.59	23.98	-0.37
1770	9.62	23.62	-0.36
1770.09	9.51	25.06	-0.36
1770.17	9.35	26.95	-0.35
1770.25	9.37	26.72	-0.35
1770.34	9.35	26.93	-0.34
1770.42	9.49	25.25	-0.33
1770.5	9.48	25.42	-0.33
1770.59	9.6	23.88	-0.32
1770.67	9.63	23.55	-0.31
1770.75	9.57	24.28	-0.31
1770.84	9.55	24.56	-0.3
1770.92	9.5	25.12	-0.29
1771	9.41	26.25	-0.28
1771.09	9.35	26.95	-0.28
1771.17	9.35	26.95	-0.27
1771.25	9.38	26.61	-0.26
1771.34	9.37	26.69	-0.25
1771.42	9.42	26.14	-0.25
1771.5	9.51	25.04	-0.24
1771.59	9.52	24.87	-0.23
1771.67	9.48	25.34	-0.23
1771.75	9.46	25.61	-0.22
1771.84	9.43	26.01	-0.22
1771.92	9.37	26.7	-0.21
1772	9.35	26.95	-0.21
1772.09	9.35	26.97	-0.2
1772.17	9.33	27.19	-0.2
1772.25	9.36	26.81	-0.19
1772.34	9.41	26.22	-0.19
1772.42	9.53	24.76	-0.19
1772.5	9.59	24.03	-0.18
1772.59	9.59	24.04	-0.18
1772.67	9.58	24.15	-0.17
1772.75	9.52	24.89	-0.17
1772.84	9.51	25.05	-0.17
1772.92	9.46	25.61	-0.16
1773	9.43	26.03	-0.16
1773.09	9.33	27.21	-0.15
1773.17	9.31	27.43	-0.15
1773.25	9.36	26.84	-0.14
1773.34	9.53	24.71	-0.14
1773.42	9.61	23.76	-0.13
1773.5	9.62	23.71	-0.13
1773.59	9.51	24.98	-0.12
1773.67	9.43	25.98	-0.11
1773.75	9.43	26.03	-0.11
1773.84	9.52	24.88	-0.1
1773.92	9.54	24.59	-0.1
1774	9.53	24.81	-0.09
1774.09	9.41	26.19	-0.08
1774.17	9.33	27.19	-0.08
1774.25	9.34	27.12	-0.07
1774.34	9.33	27.19	-0.06
1774.42	9.34	27.07	-0.06
1774.5	9.36	26.83	-0.05
1774.59	9.42	26.08	-0.04
1774.67	9.48	25.37	-0.04
1774.75	9.54	24.62	-0.03
1774.84	9.5	25.15	-0.03
1774.92	9.48	25.37	-0.02
1775	9.43	26	-0.02
1775.09	9.37	26.69	-0.01
1775.17	9.33	27.19	-0.01
1775.25	9.37	26.7	0
1775.34	9.4	26.32	0
1775.42	9.45	25.77	0
1775.5	9.5	25.1	0.01
1775.59	9.56	24.42	0.01
1775.67	9.57	24.29	0.02
1775.75	9.51	25.04	0.02
1775.84	9.49	25.26	0.03
1775.92	9.45	25.78	0.03
1776	9.33	27.16	0.04
1776.09	9.28	27.83	0.04
1776.17	9.26	28.04	0.05
1776.25	9.34	27.12	0.05
1776.34	9.44	25.89	0.06
1776.42	9.53	24.77	0.07
1776.5	9.58	24.16	0.07
1776.59	9.57	24.25	0.08
1776.67	9.55	24.47	0.08
1776.75	9.52	24.93	0.09
1776.84	9.46	25.63	0.1
1776.92	9.44	25.91	0.1
1777	9.4	26.3	0.11
1777.09	9.37	26.7	0.12
1777.17	9.34	27.07	0.13
1777.25	9.39	26.44	0.13
1777.34	9.51	25.05	0.14
1777.42	9.5	25.14	0.15
1777.5	9.44	25.84	0.16
1777.59	9.47	25.43	0.16
1777.67	9.49	25.31	0.17
1777.75	9.5	25.1	0.18
1777.84	9.47	25.43	0.18
1777.92	9.39	26.52	0.19
1778	9.32	27.27	0.2
1778.09	9.33	27.2	0.2
1778.17	9.28	27.8	0.21
1778.25	9.3	27.51	0.21
1778.34	9.38	26.55	0.21
1778.42	9.43	25.94	0.22
1778.5	9.46	25.65	0.22
1778.59	9.49	25.26	0.22
1778.67	9.48	25.37	0.22
1778.75	9.47	25.46	0.22
1778.84	9.44	25.8	0.22
1778.92	9.41	26.25	0.22
1779	9.35	26.89	0.22
1779.09	9.34	27.06	0.21
1779.17	9.28	27.8	0.21
1779.25	9.29	27.62	0.21
1779.34	9.29	27.67	0.2
1779.42	9.37	26.66	0.19
1779.5	9.4	26.29	0.19
1779.59	9.49	25.26	0.18
1779.67	9.57	24.34	0.17
1779.75	9.55	24.5	0.17
1779.84	9.56	24.42	0.16
1779.92	9.49	25.27	0.15
1780	9.38	26.56	0.14
1780.09	9.35	26.91	0.14
1780.17	9.32	27.31	0.13
1780.25	9.33	27.14	0.12
1780.34	9.4	26.31	0.11
1780.42	9.51	25	0.1
1780.5	9.52	24.91	0.09
1780.59	9.55	24.57	0.09
1780.67	9.48	25.37	0.08
1780.75	9.4	26.39	0.07
1780.84	9.35	26.93	0.06
1780.92	9.38	26.58	0.05
1781	9.37	26.72	0.04
1781.09	9.35	26.95	0.04
1781.17	9.32	27.31	0.03
1781.25	9.39	26.5	0.02
1781.34	9.55	24.52	0.02
1781.42	9.55	24.52	0.01
1781.5	9.52	24.87	0
1781.59	9.54	24.68	0
1781.67	9.49	25.25	-0.01
1781.75	9.47	25.5	-0.01
1781.84	9.44	25.89	-0.01
1781.92	9.4	26.34	-0.01
1782	9.37	26.71	-0.02
1782.09	9.36	26.85	-0.02
1782.17	9.33	27.19	-0.02
1782.25	9.39	26.42	-0.02
1782.34	9.43	25.99	-0.01
1782.42	9.5	25.13	-0.01
1782.5	9.56	24.39	-0.01
1782.59	9.59	24.07	0
1782.67	9.62	23.67	0
1782.75	9.55	24.46	0.01
1782.84	9.49	25.29	0.02
1782.92	9.46	25.58	0.03
1783	9.43	25.92	0.04
1783.09	9.36	26.79	0.05
1783.17	9.33	27.19	0.07
1783.25	9.43	25.98	0.08
1783.34	9.44	25.88	0.09
1783.42	9.5	25.11	0.11
1783.5	9.59	24.08	0.12
1783.59	9.57	24.31	0.14
1783.67	9.44	25.85	0.16
1783.75	9.47	25.5	0.18
1783.84	9.36	26.81	0.2
1783.92	9.35	26.91	0.21
1784	9.33	27.17	0.23
1784.09	9.3	27.51	0.25
1784.17	9.29	27.68	0.27
1784.25	9.35	26.9	0.29
1784.34	9.44	25.83	0.31
1784.42	9.47	25.49	0.33
1784.5	9.47	25.46	0.35
1784.59	9.53	24.76	0.37
1784.67	9.53	24.76	0.39
1784.75	9.47	25.51	0.4
1784.84	9.42	26.14	0.42
1784.92	9.37	26.7	0.44
1785	9.3	27.57	0.46
1785.09	9.28	27.82	0.48
1785.17	9.26	28.04	0.49
1785.25	9.27	27.9	0.51
1785.34	9.29	27.67	0.52
1785.42	9.36	26.88	0.54
1785.5	9.44	25.79	0.55
1785.59	9.45	25.7	0.56
1785.67	9.43	25.98	0.58
1785.75	9.45	25.78	0.59
1785.84	9.45	25.73	0.6
1785.92	9.42	26.1	0.61
1786	9.32	27.32	0.62
1786.09	9.3	27.55	0.63
1786.17	9.23	28.41	0.64
1786.25	9.26	28	0.64
1786.34	9.33	27.17	0.65
1786.42	9.37	26.74	0.66
1786.5	9.41	26.21	0.66
1786.59	9.44	25.89	0.67
1786.67	9.48	25.37	0.68
1786.75	9.5	25.15	0.68
1786.84	9.49	25.29	0.69
1786.92	9.46	25.58	0.69
1787	9.41	26.2	0.7
1787.09	9.36	26.85	0.7
1787.17	9.28	27.8	0.71
1787.25	9.32	27.34	0.71
1787.34	9.33	27.2	0.72
1787.42	9.4	26.34	0.72
1787.5	9.55	24.49	0.73
1787.59	9.56	24.44	0.73
1787.67	9.53	24.76	0.73
1787.75	9.46	25.56	0.74
1787.84	9.41	26.27	0.74
1787.92	9.32	27.36	0.75
1788	9.27	27.95	0.75
1788.09	9.26	28.04	0.75
1788.17	9.24	28.28	0.75
1788.25	9.25	28.17	0.75
1788.34	9.31	27.44	0.76
1788.42	9.4	26.37	0.76
1788.5	9.48	25.33	0.75
1788.59	9.53	24.77	0.75
1788.67	9.52	24.84	0.75
1788.75	9.5	25.18	0.75
1788.84	9.47	25.47	0.75
1788.92	9.41	26.18	0.74
1789	9.31	27.45	0.74
1789.09	9.27	27.94	0.73
1789.17	9.25	28.16	0.73
1789.25	9.27	27.94	0.72
1789.34	9.27	27.92	0.71
1789.42	9.25	28.11	0.7
1789.5	9.31	27.48	0.69
1789.59	9.39	26.5	0.68
1789.67	9.41	26.23	0.66
1789.75	9.41	26.22	0.65
1789.84	9.42	26.05	0.63
1789.92	9.42	26.14	0.62
1790	9.38	26.57	0.6
1790.09	9.34	27.02	0.58
1790.17	9.27	27.92	0.56
1790.25	9.29	27.72	0.54
1790.34	9.32	27.27	0.52
1790.42	9.33	27.19	0.49
1790.5	9.33	27.19	0.47
1790.59	9.36	26.77	0.45
1790.67	9.44	25.85	0.42
1790.75	9.52	24.84	0.4
1790.84	9.55	24.48	0.38
1790.92	9.56	24.46	0.35
1791	9.51	25	0.33
1791.09	9.41	26.2	0.3
1791.17	9.32	27.31	0.28
1791.25	9.33	27.21	0.26
1791.34	9.33	27.19	0.23
1791.42	9.32	27.31	0.21
1791.5	9.34	27.11	0.19
1791.59	9.4	26.3	0.17
1791.67	9.47	25.49	0.14
1791.75	9.55	24.48	0.12
1791.84	9.56	24.36	0.1
1791.92	9.53	24.76	0.08
1792	9.49	25.25	0.07
1792.09	9.45	25.73	0.05
1792.17	9.35	26.95	0.03
1792.25	9.48	25.35	0.02
1792.34	9.55	24.54	0
1792.42	9.59	23.98	-0.01
1792.5	9.63	23.6	-0.02
1792.59	9.62	23.67	-0.03
1792.67	9.59	24.03	-0.04
1792.75	9.5	25.15	-0.04
1792.84	9.43	25.96	-0.05
1792.92	9.38	26.55	-0.06
1793	9.32	27.36	-0.06
1793.09	9.3	27.55	-0.07
1793.17	9.3	27.56	-0.07
1793.25	9.35	26.99	-0.08
1793.34	9.4	26.33	-0.08
1793.42	9.45	25.75	-0.08
1793.5	9.5	25.1	-0.08
1793.59	9.56	24.42	-0.09
1793.67	9.57	24.22	-0.09
1793.75	9.55	24.57	-0.09
1793.84	9.47	25.48	-0.09
1793.92	9.38	26.54	-0.09
1794	9.34	27.03	-0.1
1794.09	9.32	27.33	-0.1
1794.17	9.3	27.55	-0.1
1794.25	9.35	26.92	-0.1
1794.34	9.34	27.07	-0.1
1794.42	9.44	25.85	-0.11
1794.5	9.5	25.16	-0.11
1794.59	9.55	24.54	-0.11
1794.67	9.57	24.27	-0.11
1794.75	9.57	24.31	-0.11
1794.84	9.44	25.8	-0.12
1794.92	9.38	26.58	-0.12
1795	9.35	26.92	-0.12
1795.09	9.36	26.79	-0.12
1795.17	9.32	27.31	-0.12
1795.25	9.33	27.2	-0.13
1795.34	9.42	26.16	-0.13
1795.42	9.52	24.84	-0.13
1795.5	9.59	24.09	-0.13
1795.59	9.69	22.76	-0.13
1795.67	9.67	23.1	-0.13
1795.75	9.55	24.55	-0.13
1795.84	9.46	25.59	-0.13
1795.92	9.4	26.34	-0.13
1796	9.35	27	-0.13
1796.09	9.3	27.56	-0.13
1796.17	9.29	27.68	-0.13
1796.25	9.31	27.43	-0.13
1796.34	9.32	27.28	-0.13
1796.42	9.39	26.43	-0.13
1796.5	9.48	25.33	-0.13
1796.59	9.57	24.26	-0.13
1796.67	9.64	23.42	-0.13
1796.75	9.65	23.26	-0.13
1796.84	9.57	24.34	-0.13
1796.92	9.46	25.67	-0.13
1797	9.38	26.64	-0.13
1797.09	9.34	27.05	-0.13
1797.17	9.32	27.31	-0.12
1797.25	9.32	27.31	-0.12
1797.34	9.34	27.11	-0.12
1797.42	9.4	26.31	-0.11
1797.5	9.47	25.5	-0.11
1797.59	9.52	24.86	-0.11
1797.67	9.58	24.17	-0.1
1797.75	9.6	23.96	-0.1
1797.84	9.56	24.35	-0.09
1797.92	9.53	24.8	-0.09
1798	9.48	25.41	-0.08
1798.09	9.39	26.41	-0.07
1798.17	9.32	27.31	-0.07
1798.25	9.36	26.82	-0.06
1798.34	9.38	26.58	-0.05
1798.42	9.38	26.58	-0.04
1798.5	9.48	25.31	-0.03
1798.59	9.6	23.93	-0.02
1798.67	9.58	24.15	-0.01
1798.75	9.53	24.73	0
1798.84	9.59	24.08	0.01
1798.92	9.54	24.64	0.02
1799	9.49	25.21	0.03
1799.09	9.33	27.24	0.04
1799.17	9.27	27.92	0.05
1799.25	9.34	27.02	0.06
1799.34	9.37	26.74	0.08
1799.42	9.42	26.04	0.09
1799.5	9.49	25.26	0.1
1799.59	9.52	24.85	0.11
1799.67	9.51	24.96	0.12
1799.75	9.45	25.77	0.13
1799.84	9.38	26.61	0.14
1799.92	9.35	26.95	0.15
1800	9.33	27.22	0.15
1800.09	9.32	27.32	0.16
1800.17	9.31	27.43	0.17
1800.25	9.33	27.16	0.17
1800.34	9.38	26.63	0.18
1800.42	9.43	25.95	0.18
1800.5	9.49	25.23	0.19
1800.59	9.53	24.77	0.19
1800.67	9.53	24.77	0.19
1800.75	9.49	25.25	0.19
1800.84	9.42	26.08	0.2
1800.92	9.44	25.9	0.2
1801	9.39	26.43	0.2
1801.09	9.34	27.12	0.2
1801.17	9.29	27.68	0.2
1801.25	9.33	27.15	0.19
1801.34	9.35	27.01	0.19
1801.42	9.37	26.64	0.19
1801.5	9.4	26.28	0.18
1801.59	9.5	25.13	0.18
1801.67	9.49	25.19	0.17
1801.75	9.48	25.34	0.17
1801.84	9.45	25.68	0.16
1801.92	9.38	26.55	0.16
1802	9.31	27.41	0.15
1802.09	9.31	27.48	0.14
1802.17	9.28	27.8	0.14
1802.25	9.31	27.46	0.13
1802.34	9.33	27.14	0.12
1802.42	9.36	26.83	0.11
1802.5	9.45	25.73	0.11
1802.59	9.52	24.94	0.1
1802.67	9.56	24.4	0.1
1802.75	9.59	23.97	0.09
1802.84	9.61	23.83	0.09
1802.92	9.6	23.91	0.09
1803	9.5	25.09	0.08
1803.09	9.45	25.74	0.08
1803.17	9.43	25.98	0.08
1803.25	9.46	25.61	0.09
1803.34	9.46	25.63	0.09
1803.42	9.44	25.85	0.09
1803.5	9.55	24.48	0.1
1803.59	9.62	23.72	0.11
1803.67	9.56	24.4	0.11
1803.75	9.55	24.52	0.12
1803.84	9.55	24.56	0.13
1803.92	9.5	25.12	0.14
1804	9.39	26.5	0.15
1804.09	9.32	27.33	0.16
1804.17	9.3	27.55	0.17
1804.25	9.33	27.23	0.18
1804.34	9.32	27.36	0.2
1804.42	9.35	26.9	0.21
1804.5	9.44	25.9	0.22
1804.59	9.5	25.18	0.23
1804.67	9.46	25.67	0.24
1804.75	9.39	26.47	0.25
1804.84	9.36	26.79	0.26
1804.92	9.34	27.1	0.27
1805	9.33	27.19	0.28
1805.09	9.27	27.89	0.29
1805.17	9.27	27.92	0.29
1805.25	9.33	27.24	0.3
1805.34	9.4	26.36	0.31
1805.42	9.47	25.46	0.31
1805.5	9.53	24.73	0.32
1805.59	9.57	24.29	0.32
1805.67	9.55	24.56	0.32
1805.75	9.5	25.17	0.33
1805.84	9.44	25.89	0.33
1805.92	9.37	26.74	0.33
1806	9.31	27.43	0.34
1806.09	9.28	27.8	0.34
1806.17	9.28	27.8	0.34
1806.25	9.28	27.78	0.34
1806.34	9.32	27.37	0.34
1806.42	9.38	26.58	0.34
1806.5	9.44	25.84	0.33
1806.59	9.47	25.53	0.33
1806.67	9.55	24.52	0.33
1806.75	9.54	24.67	0.32
1806.84	9.47	25.44	0.32
1806.92	9.4	26.34	0.32
1807	9.32	27.32	0.31
1807.09	9.3	27.56	0.31
1807.17	9.29	27.68	0.3
1807.25	9.3	27.53	0.3
1807.34	9.36	26.86	0.3
1807.42	9.45	25.73	0.29
1807.5	9.51	24.97	0.29
1807.59	9.56	24.34	0.28
1807.67	9.5	25.12	0.28
1807.75	9.48	25.4	0.27
1807.84	9.41	26.16	0.27
1807.92	9.35	26.95	0.26
1808	9.34	27.07	0.26
1808.09	9.34	27.08	0.26
1808.17	9.33	27.19	0.25
1808.25	9.37	26.68	0.25
1808.34	9.44	25.85	0.25
1808.42	9.5	25.13	0.25
1808.5	9.53	24.72	0.25
1808.59	9.55	24.52	0.25
1808.67	9.6	23.91	0.25
1808.75	9.53	24.82	0.26
1808.84	9.53	24.76	0.26
1808.92	9.49	25.31	0.26
1809	9.39	26.42	0.27
1809.09	9.31	27.39	0.27
1809.17	9.28	27.8	0.28
1809.25	9.34	27.01	0.29
1809.34	9.43	26.02	0.3
1809.42	9.47	25.48	0.3
1809.5	9.51	25.03	0.31
1809.59	9.55	24.58	0.32
1809.67	9.53	24.8	0.33
1809.75	9.45	25.71	0.34
1809.84	9.39	26.44	0.35
1809.92	9.36	26.83	0.36
1810	9.32	27.31	0.37
1810.09	9.32	27.33	0.38
1810.17	9.3	27.55	0.39
1810.25	9.35	26.96	0.4
1810.34	9.4	26.36	0.41
1810.42	9.45	25.73	0.42
1810.5	9.46	25.56	0.43
1810.59	9.47	25.45	0.44
1810.67	9.48	25.37	0.45
1810.75	9.44	25.87	0.46
1810.84	9.41	26.23	0.47
1810.92	9.39	26.46	0.47
1811	9.36	26.88	0.48
1811.09	9.33	27.24	0.49
1811.17	9.3	27.55	0.49
1811.25	9.3	27.54	0.5
1811.34	9.33	27.15	0.5
1811.42	9.38	26.58	0.51
1811.5	9.47	25.48	0.51
1811.59	9.49	25.21	0.51
1811.67	9.53	24.76	0.51
1811.75	9.46	25.64	0.51
1811.84	9.4	26.37	0.51
1811.92	9.37	26.7	0.51
1812	9.3	27.58	0.51
1812.09	9.26	28.05	0.5
1812.17	9.25	28.16	0.5
1812.25	9.31	27.45	0.49
1812.34	9.3	27.55	0.49
1812.42	9.35	26.89	0.48
1812.5	9.44	25.81	0.47
1812.59	9.49	25.19	0.46
1812.67	9.52	24.88	0.45
1812.75	9.51	24.98	0.44
1812.84	9.48	25.41	0.43
1812.92	9.39	26.46	0.42
1813	9.31	27.39	0.4
1813.09	9.29	27.68	0.39
1813.17	9.24	28.28	0.37
1813.25	9.25	28.18	0.36
1813.34	9.34	27.11	0.34
1813.42	9.43	25.98	0.32
1813.5	9.48	25.41	0.31
1813.59	9.48	25.33	0.29
1813.67	9.55	24.52	0.27
1813.75	9.53	24.82	0.25
1813.84	9.49	25.29	0.23
1813.92	9.45	25.73	0.22
1814	9.39	26.46	0.2
1814.09	9.3	27.53	0.18
1814.17	9.26	28.04	0.16
1814.25	9.31	27.43	0.14
1814.34	9.31	27.39	0.12
1814.42	9.34	27.07	0.11
1814.5	9.41	26.26	0.09
1814.59	9.49	25.27	0.07
1814.67	9.53	24.76	0.06
1814.75	9.55	24.56	0.04
