# Houtman Abrolhos Island Sr/Ca, Oxygen Isotopes, SST and Sea-Level Reconstruction Data from 1795-2010
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:0::::P1_STUDY_ID:16316
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/zinke2014/zinke2014-hab05b.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-04-07
#--------------------
# Title
#	Study_Name: Houtman Abrolhos Island Sr/Ca, Oxygen Isotopes, SST and Sea-Level Reconstruction Data from 1795-2010
#--------------------
# Investigators
#       Investigators: Zinke, J.; Rountrey, A.; Feng, M.; Xie, S.-P.; Dissard, D.; Rankenburg, K.; Lough, J.M.; McCulloch, M.T. 
#--------------------
# Description_and_Notes
#	Description: The dataset contains mean annual Sr/Ca and oxygen isotope data, SST reconstructions and sea-level reconstructions relative to the 1900-1993 mean. Southeastern Indian Ocean, Sr/Ca, stable isotopes, SST, sea-level height
#--------------------
# Publication 
#       Authors: Zinke, J.; Rountrey, A.; Feng, M.; Xie, S.-P.; Dissard, D.; Rankenburg, K.; Lough, J.M.; McCulloch, M.T.
#       Published_Date_or_Year: 2014     
#       Published_Title: Corals record long-term Leeuwin Current variability including Ningaloo Niño/Niña since 179
#       Journal_Name: Nature Communications
#       Volume: 5
#       Edition: 
#       Issue: 3607
#       Pages: 
#       DOI: 10.1038/ncomms4607
#       Online_Resource: 
#       Full_Citation: Zinke, J., A. Rountrey, M. Feng, S.P. Xie, D. Dissard, K. Rankenburg, J. Lough, and M.T. McCulloch. 2014. Corals record long-term Leeuwin Current variability including Ningaloo Niño/Niña since 1795. Nature Communications, 5, 3607. doi: 10.1038/ncomms4607
#       Abstract: Variability of the Leeuwin current (LC) off Western Australia is a footprint of interannual and decadal climate variations in the tropical Indo-Pacific. La Niña events often result in a strengthened LC, high coastal sea levels and unusually warm sea surface temperatures (SSTs), termed Ningaloo Niño. The rarity of such extreme events and the response of the southeastern Indian Ocean to regional and remote climate forcing are poorly understood owing to the lack of long-term records. Here we use well-replicated coral SST records from within the path of the LC, together with a reconstruction of the El Niño-Southern Oscillation to hindcast historical SST and LC strength from 1795 to 2010. We show that interannual and decadal variations in SST and LC strength characterized the past 215 years and that the most extreme sea level and SST anomalies occurred post 1980. These recent events were unprecedented in severity and are likely aided by accelerated global ocean warming and sea-level rise.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Houtman Abrolhos Islands
#       Location: Australia/New Zealand>Australia
#	Country: Australia 
#	Northernmost_Latitude: -28.47
# 	Southernmost_Latitude: -28.47
# 	Easternmost_Longitude: 113.75
# 	Westernmost_Longitude: 113.75
# 	Elevation: -3.5 m
#------------------
# Data_Collection   
#	Collection_Name: 14aust01a
#	Earliest_Year: 1798
#	Most_Recent_Year: 2010
#	Time_Unit: y_ad
#	Core_Length: 1.31 m
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"} Previous name HAB05B Sr/Ca Z14
#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##Sr/Ca_anom	Strontium/Calcium anomaly, Porites sp., ,mmol/mol, ,Corals and Sclerosponges, anomaly calculation: normalized to 1900-1993 mean, ,N
##Sr/Ca	Strontium/Calcium, Porites sp., ,mmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	Sr/Ca_anom	Sr/Ca
1944	1.300592987	9.299093089
1945	0.70672454	9.265955229
1946	0.966099778	9.280428368
1947	0.964285093	9.280327108
1948	NAN	NAN
1949	-0.339746622	9.207562139
1950	NAN	NAN
1951	0.286386273	9.242500354
1952	NAN	NAN
1953	0.625052921	9.261397953
1954	1.193789731	9.293133467
1955	0.757590801	9.268793567
1956	1.004355543	9.282563039
1957	0.547625595	9.257077508
1958	-0.144362717	9.21846456
1959	0.729092457	9.267203359
1960	0.300137918	9.243267696
1961	-0.074293991	9.222374395
1962	0.019674409	9.227617832
1963	-1.576742995	9.138537741
1964	-1.15174382	9.162252695
1965	-0.190406179	9.215895335
1966	-1.285849811	9.154769581
1967	-0.77595583	9.183221665
1968	-0.118210237	9.219923869
1969	0.103592197	9.232300445
1970	-0.215230818	9.21451012
1971	1.117657513	9.288885289
1972	-0.798357777	9.181971636
1973	-1.137816901	9.163029817
1974	-1.082780907	9.166100825
1975	-1.233378978	9.157697453
1976	-0.802382636	9.181747049
1977	-0.811532637	9.181236479
1978	-1.996332716	9.115124634
1979	-0.270132191	9.211446624
1980	-1.158854145	9.161855939
1981	-1.054753879	9.167664734
1982	-1.178975365	9.160733175
1983	-2.909168009	9.064188425
1984	NAN	NAN
1985	-1.669484818	9.133362747
1986	-0.819796246	9.180775369
1987	NAN	NAN
1988	-0.99580466	9.1709541
1989	-2.319690377	9.097081277
1990	-2.191184453	9.104251908
1991	-0.698963878	9.187517816
1992	-2.337556665	9.096084338
1993	0.334780741	9.245200765
1994	-1.465864863	9.144724741
1995	-1.232847533	9.157727108
1996	-2.281229206	9.09922741
1997	-0.607530678	9.192619788
1998	-1.829008475	9.124461327
1999	-2.743398249	9.073438378
2000	-2.649169403	9.078696347
2001	-0.639581573	9.190831348
2002	-1.43140408	9.146647652
2003	-1.002961592	9.170554743
2004	-0.344817995	9.207279156
2005	-0.910275127	9.175726648
2006	-0.922333592	9.175053786
2007	-1.342322819	9.151618387
2008	-2.773667309	9.071749364
2009	-1.322218708	9.152740196
2010	-1.143794046	9.162696292
