# James Ross Island d18O
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: 
#
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2015
# --------------------
# Title 
#	Study_Name: James Ross Island d18O
# --------------------
# Investigators
#	Investigators:  Mulvaney, R.; Abram, N.J.; Hindmarsh, R.C.A.; Arrowsmith, C.; Fleet, L.; Triest, J.; Sime, L.C.; Alemany, O.; Foord, S. 
# --------------------
# Description_and_Notes
# 	Description: 
#
# --------------------
# Publication
#	Authors: Robert Mulvaney, Nerilie J. Abram, Richard C.A. Hindmarsh, Carol Arrowsmith, Lousie Fleet, Jack Triest, Louise C. Sime, Oliver Alemany, and Susan Foord
#	Published_Date_or_Year: 2012-09-06
#	Published_Title: Recent Antarctic Peninsual warming relative to Holocene climate and ice-shelf history
#	Journal_Name: Nature
#	Volume: 489
#	Edition: 	
#	Issue: 141
#	Pages: 
#	DOI: 10.1038/nature11391
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Rapid warming over the past 50 years on the Antarctic Peninsula is associated with the collapse of a number of ice shelves and accelerating glacier mass loss. In contrast, warming has been comparatively modest over West Antarctica and significant changes have not been observed over most of East Antarctica,suggesting that the ice-core palaeoclimate records available from these areas may not be representative of the climate history of the Antarctic Peninsula. Here we show that the Antarctic Peninsula experienced an early-Holocene warm period followed by stable temperatures, from about 9,200 to 2,500 years ago, that were similar to modern-day levels. Our temperature estimates are based on an ice-core record of deuterium variations from James Ross Island, off the northeastern tip of the Antarctic Peninsula. We find that the late-Holocene development of ice shelves near James Ross Island was coincident with pronounced cooling from 2,500 to 600 years ago. This cooling was part of a millennial-scale climate excursion with opposing anomalies on the eastern and western sides of the Antarctic Peninsula. Although warming of the northeastern Antarctic Peninsula began around 600 years ago, the high rate of warming over the past century is unusual (but not unprecedented) in the context of natural climate variability over the past two millennia. The connection shown here between past temperature and ice-shelf stability suggests that warming for several centuries rendered ice shelves on the northeastern Antarctic Peninsula vulnerable to collapse. Continued warming to temperatures that now exceed the stable conditions of most of the Holocene epoch is likely to cause ice-shelf instability to encroach farther southward along the Antarctic Peninsula. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: Natural Environment Research Council
#	Grant:
# --------------------
# Site_Information
#	Site_Name: James Ross Island
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -64.21667
#	Southernmost_Latitude: -64.21667
#	Easternmost_Longitude: -57.633
#	Westernmost_Longitude: -57.633
#	Elevation: 1542 m
# --------------------
# Data_Collection
#	Collection_Name: 07JaRo01
#	Earliest_Year: 0
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Notes: {"database":"LMR_FM"}{"database":"PAGES1"}{"database":"PAGES2"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age,,,years AD,,,,,N
##delD	delta deuterium,,,permil SMOW,,Ice Cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	delD
1784	-145.7
1783	-149.6
1782	-149.6
1781	-141
1780	-154.7
1779	-145.3
1778	-150.5
1777	-158.2
1776	-142.8
1775	-146.1
1774	-145.8
1773	-152.7
1772	-151.6
1771	-147.7
1770	-149.5
1769	-148.4
1768	-134.1
1767	-138.4
1766	-145.3
1765	-146.7
1764	-147.8
1763	-151
1762	-149.1
1761	-134.5
1760	-141.7
1759	-142.7
1758	-125.5
1757	-141.3
1756	-145
1755	-168.8
1754	-160
1753	-151.7
1752	-144.3
1751	-154.6
1750	-149.5
1749	-120.1
1748	-126.5
1747	-157.2
1746	-155.7
1745	-150.3
1744	-152.2
1743	-140.7
1742	-147
1741	-155.1
1740	-137.6
1739	-147
1738	-141.4
1737	-152.5
1736	-152.6
1735	-149.3
1734	-159.2
1733	-144.4
1732	-147.1
1731	-147.3
1730	-150.1
1729	-151.4
1728	-148.2
1727	-155.3
1726	-144.2
1725	-146.6
1724	-163.3
1723	-153
1722	-145.6
1721	-148.8
1720	-141.7
1719	-161.6
1718	-156.6
1717	-141.2
1716	-150.2
1715	-151.3
1714	-165.9
1713	-149.1
1712	-148
1711	-148.7
1710	-142.9
1709	-141.7
1708	-145
1707	-152.1
1706	-164.3
1705	-155.4
1704	-157
1703	-139.2
1702	-153.5
1701	-153.4
1700	-157.4
1699	-144.1
1698	-153.6
1697	-138.4
1696	-144.6
1695	-131.8
1694	-146.9
1693	-152.7
1692	-153.9
1691	-143.5
1690	-146
1689	-153.9
1688	-166.7
1687	-162
1686	-162.3
1685	-147.2
1684	-152.5
1683	-160.9
1682	-161.3
1681	-160.4
1680	-157.3
1679	-151.4
1678	-148.7
1677	-163.7
1676	-150.8
1675	-164.3
1674	-149
1673	-140.4
1672	-153.1
1671	-146.7
1670	-148.3
1669	-145.3
1668	-146.7
1667	-154
1666	-149.3
1665	-133.9
1664	-135.1
1663	-159.5
1662	-154.6
1661	-144.3
1660	-144.1
1659	-154
1658	-154.4
1657	-148.9
1656	-140.3
1655	-149.6
1654	-148.1
1653	-150.1
1652	-144.7
1651	-141.3
1650	-156.1
1649	-152
1648	-163.6
1647	-151.5
1646	-152.8
1645	-137
1644	-175.9
1643	-154.7
1642	-151
1641	-142.6
1640	-140.7
1639	-160.9
1638	-150.2
1637	-170.4
1636	-163.6
1635	-151.3
1634	-168.1
1633	-146.6
1632	-147.8
1631	-153.1
1630	-145.9
1629	-161.8
1628	-144.4
1627	-163.1
1626	-142.1
1625	-140.4
1624	-131.8
1623	-151.1
1622	-152.1
1621	-153.9
1620	-157
1619	-152.5
1618	-154.4
1617	-145.3
1616	-134.4
1615	-132.9
1614	-148.9
1613	-148.8
1612	-146.6
1611	-136.4
1610	-138.2
1609	-158.3
1608	-142.6
1607	-157.4
1606	-141.9
1605	-151.4
1604	-150.4
1603	-162.3
1602	-149.3
1601	-156.6
1600	-153
1599	-139.9
1598	-151
1597	-144.4
1596	-146.7
1595	-141.7
1594	-140
1593	-140.2
1592	-140.8
1591	-152.5
1590	-157
1589	-138.6
1588	-140.4
1587	-125.3
1586	-135.9
1585	-156
1584	-146.9
1583	-163.9
1582	-143.9
1581	-149.9
1580	-165.4
1579	-163.4
1578	-156.9
1577	-145.8
1576	-166.4
1575	-169.3
1574	-150.8
1573	-170.2
1572	-162.1
1571	-152.7
1570	-151.9
1569	-153.6
1568	-143.4
1567	-132.6
1566	-149.2
1565	-153.9
1564	-146.1
1563	-160.8
1562	-152.6
1561	-137.9
1560	-126.6
1559	-141.1
1558	-148.7
1557	-147.5
1556	-142.3
1555	-154
1554	-157.6
1553	-173.3
1552	-179.5
1551	-154.8
1550	-155.3
