# Taylor Dome - del 18O Data - Low Resolution
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2417
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/taylor/lo18o_td.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 1999
#--------------------
# Title
#	Study_Name: Taylor Dome - del 18O Data - Low Resolution
#--------------------
# Investigators
#       Investigators: Grootes, P.M.; Steig, E.J.; Stuiver, M.; Waddington, E.D.; Morse, D.L
#--------------------
# Description_and_Notes
#	Description: The delta 18O values were determined at the Quaternary Isotope Laboratory (M. Stuiver, Box 351360, University of Washington, Seattle WA 98195, USA). The time scale (st9507) was estimated from a correlation of delta 18O with the Vostok delta D record (Grootes et al. 1994; Steig, 1996). Between 0-340m the samples measured were of 1m cuts taken in the field. Each 1m core section was slabbed to provide a surface for ECM measurement; a thin slice was removed uniformly along the length for isotope analysis. From 340m to the bottom, sampling was done at the National Ice Core Lab at 0.5m lengths. Note that these core sections were shipped intact to NICL; they were not processed in the field. Ice Core Laboratory.
#--------------------
# Publication 
#       Authors: P.M. Grootes, E.J. Steig, M. Stuiver, E.D. Waddington, and D.L. Morse
#       Published_Date_or_Year: 2001    
#       Published_Title: The Taylor Dome Antarctic 18O record and globally synchronous changes in climate 
#       Journal_Name: Quaternary Research
#       Volume: 56
#       Edition: 
#       Issue: 
#       Pages: 289-298
#       DOI: 10.1006/qres.2001.2276
#       Online_Resource:
#       Full_Citation: 
#       Abstract: The 18O/16O profile of a 554-m long ice core through Taylor Dome, Antarctica, shows the climate variability of the last glacial–interglacial cycle in detail and extends at least another full cycle. Taylor Dome shares the main features of the Vostok record, including the early climatic optimum with later cool phase of the last interglacial period in Antarctica. Taylor Dome δ18O fluctuations are more abrupt and larger than those at Vostok and Byrd Station, although still less pronounced than those of the Greenland GISP2 and GRIP records. The influence of the Atlantic thermohaline circulation on regional ocean heat transport explains the partly “North Atlantic” character of this Antarctic record. Under full glacial climate (marine isotope stage 4, late stage 3, and stage 2), this marine influence diminished and Taylor Dome became more like Vostok. Varying degrees of marine influence produce climate heterogeneity within Antarctica, which may account for conflicting evidence regarding the relative phasing of Northern and Southern Hemisphere climate change.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Taylor Dome
#       Location: Antarctica
#	Country:  
#	Northernmost_Latitude: -77.78
# 	Southernmost_Latitude: -77.78 
# 	Easternmost_Longitude: 158.72 
# 	Westernmost_Longitude: 158.72
# 	Elevation: 2365 m
#------------------
# Data_Collection   
#	Collection_Name: 01TayD01 
#	Earliest_Year: 212.73 
#	Most_Recent_Year: 0.0185
#	Time_Unit: yb 1950 
#	Core_Length:
#	Notes: 
#------------------
# Species
#	Species_Name: 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,years before 1950 ,,,,,N
##d18O	dO18,,,per mil SMOW,,ice cores,,,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
yb_1950	d18O
3.9916	-38.78
4.0148	-39.32
4.0366	-38.49
4.0598	-39.81
4.0816	-38.83
4.1048	NAN
4.1260	-39.47
4.1456	-38.14
4.1688	-40.75
4.1900	-39.15
4.2128	-40.19
4.2340	-39.72
4.2536	-39.13
4.2761	-39.14
4.2970	-40.39
4.3198	-39.84
4.3410	-39.03
4.3606	-39.49
4.3831	-39.41
4.4046	-39.05
4.4278	-40.32
4.4496	-40.00
4.4734	-38.56
4.4956	-38.79
4.5194	-39.91
4.5422	-39.55
4.5670	-39.39
4.5909	-38.89
4.6160	-38.79
4.6430	-38.65
4.6706	-39.06
4.6955	-39.85
4.7216	-40.23
4.7496	-39.76
4.7783	-39.07
4.8073	-39.18
4.8363	-40.05
4.8653	-39.05
4.8943	-40.03
4.9233	-38.70
4.9529	-39.08
4.9823	-39.30
5.0113	-39.50
5.0403	-38.17
5.0696	-38.79
5.0947	-39.41
5.1216	-39.92
5.1499	-38.95
5.1786	-39.08
5.2069	-39.72
5.2349	-38.04
5.2636	-39.84
5.2919	-39.00
5.3167	-39.66
5.3429	-38.09
5.3703	-40.08
5.3979	-38.60
5.4246	-38.90
5.4481	-38.72
5.4726	-38.75
5.4948	-38.78
5.5174	-38.56
5.5382	-39.14
5.5565	-38.99
5.5777	-38.84
5.5969	-38.20
5.6139	-38.44
5.6298	-38.37
5.6454	-39.14
5.6608	-38.41
5.6758	NAN
5.6994	-38.84
5.7118	-38.52
5.7269	-38.39
5.7468	-39.07
5.7628	-38.43
5.7788	-38.33
5.7958	-38.82
5.8128	-38.27
5.8348	-38.63
5.8528	-38.55
5.8758	-38.23
5.8938	-38.51
5.9178	-38.03
5.9368	-38.36
5.9608	-38.46
5.9858	-37.59
6.0108	-38.55
6.0365	-37.66
6.0635	-38.21
6.0905	NAN
6.2870	-37.32
6.3240	-38.30
6.3620	-37.54
6.4010	-38.56
6.4615	-37.66
6.4820	-38.73
6.5230	-38.03
6.5700	-38.07
6.6140	-38.27
6.6570	-38.46
6.7020	-38.44
6.7520	-37.99
6.7970	-38.25
6.8480	-38.26
6.8930	-38.29
6.9390	-38.52
6.9890	-38.52
7.0340	-38.40
7.0790	-37.73
7.1290	-38.47
7.1740	-38.53
7.2230	-38.04
7.2730	-38.91
7.3180	-38.18
7.3670	-38.71
7.4170	-38.42
7.4670	-38.74
7.5220	-38.05
7.5710	-38.15
7.6260	-38.30
7.6530	-37.72
7.6800	-38.44
7.7045	-38.13
7.7290	-38.43
7.7555	-38.36
7.7820	-38.93
7.8090	-38.54
7.8360	-38.63
7.8625	-39.02
7.8890	-38.70
7.9160	-38.02
7.9430	-37.80
7.9730	-39.04
8.0030	-38.16
8.0310	-38.71
8.0590	-38.43
8.0875	-38.48
8.1160	-38.21
8.1450	-38.16
8.1740	-38.61
8.2065	-38.95
8.2390	-39.05
8.2690	-39.09
8.2990	-37.85
8.3325	-38.69
8.3660	-38.33
8.4000	-38.49
8.4340	-37.35
8.4660	-37.80
8.4980	-37.36
8.5360	-37.88
8.5740	-37.56
8.6100	-37.68
8.6460	-36.76
8.6825	-38.09
8.7190	-37.94
8.7590	-38.06
8.7990	-37.66
8.8365	-37.31
8.8740	-38.21
8.9140	-38.83
8.9540	-37.96
8.9935	-38.33
9.0330	-37.82
9.0705	-37.71
9.1080	-37.70
9.1485	-38.62
9.1890	-37.22
9.2305	-38.11
9.2720	-37.84
9.3160	-37.54
9.3604	NAN
9.3639	-38.31
9.4188	-38.23
9.4531	-38.08
9.5055	-38.07
9.5530	-38.56
9.5935	-39.22
9.6340	-37.96
9.6715	-38.56
9.7090	-36.91
9.7555	-37.96
9.8020	-38.36
9.8505	-37.39
9.8990	-37.48
9.9475	-37.44
9.9960	-37.14
10.083	-37.73
10.125	-37.21
