# New Caledonia Porites Coral Paleothermometry Assessment Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1917
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2005-03
#--------------------
# Title
#	Study_Name: New Caledonia Porites Coral Paleothermometry Assessment Data
#--------------------
# Investigators
#       Investigators: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#--------------------
# Description_and_Notes
#	Description: Porites lutea cores were collected in 1992 by Fred Taylor, Jamie Austin, Yvan Join and  John Butscher.  The isotope data were analyzed at the University of South Florida  College of Marine Science, on a Finnigan Delta Plus XL mass spectrometer and attached  Kiel Carbonate Device with an analytical precision of 0.04 per mil for carbon and 0.08  per mil for oxygen (1 sigma) determined by repeated measurements of NBS 19 relative to VPDB.   The elemental data were analyzed on a Perkin Elmer Optima 4300DV ICP-OES following the  drift-correction methods of Schrag (1999).  Analytical precision (1 sigma) for the Sr/Ca  determinations is 0.2 % (0.018 mmol/mol), based on a laboratory standard solution of  dissolved Porites lutea. Depth series were converted to time series using AnalySeries  software (Paillard et al., 1996) to match Sr/Ca minima to SST maxima and vise versa.  Stable isotopic and Sr/Ca determinations on samples from Cores 99-PAA, 92-PAC and 92-PAD  were made at USF.  Stable isotopic determinations on samples from core 92-PAA made at the  University of Michigan.  Sr/Ca determinations on samples from core 92-PAA made at the  University of California-Santa Cruz. 
#--------------------
# Publication 
#       Authors: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#       Published_Date_or_Year: 2004     
#       Published_Title: Assessing the Reproducibility of Coral-based Climate Records.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L18210
#       Pages: 
#       DOI: 10.1029/2004GL020343
#       Online_Resource: 
#       Full_Citation: Stephans, C., T.M. Quinn, F. Taylor, and T. Correge. 2004. Assessing the Reproducibility of Coral-based Climate Records.  Geophysical Research Letters, 31,18, L18210, 10.1029/2004GL020343, 2004
#       Abstract: We perform replication tests using monthly variations in Sr/Ca and d18O in  four cores from three Porites lutea coral heads from New Caledonia to assess  the reproducibility of coral-based climate records.  Coral Sr/Ca (d18O) records  are well correlated to each other and to the instrumental SST record (1967-1992),  especially in terms of differences in the mean values of 25-year SST records  (~0.2C, Sr/Ca-SST; 0.6C, d18O-SST).  The average error associated with the  coral Sr/Ca-SST (d18O-SST) of any particular month, season or year is ~0.8C  (1.1C), 0.6C (0.8C) and 0.5C (0.6C), respectively.  "Stacking" or averaging  the individual proxy records reduces the error between observed and predicted SST,  although the reduction is small for coral Sr/Ca.  Excellent reproducibility among  the coral proxies implies that reliable climate records can be generated from a  single coral core and that coral Sr/Ca-SST records are not compromised, beyond  the errors stated herein, by non-temperature-related biological effects.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Amedee Island, New Caledonia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>New Caledonia
#	Country: New Caledonia 
#	Northernmost_Latitude: -22.48 
# 	Southernmost_Latitude: -22.48 
# 	Easternmost_Longitude: 166.47  
# 	Westernmost_Longitude: 166.47  
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 04newc03a 
#	Earliest_Year: 1967 
#	Most_Recent_Year: 1992 
#	Time_Unit: Years AD 
#	Core_Length:
#	Notes: From core 99PAA. These data have been updated by DeLong et al. 2012. Please see file: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2012.txt 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18o	delta 18 Oxygen, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N 				
##Sr/Ca	Strontium/Calcium, Porites lutea, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d13c	delta 13 Carbon, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d18o	Sr/Ca	d13c
1967.042	-4.12	9.122	-0.67
1967.125	-4.34	9.07	-0.91
1967.208	-4.46	9.061	-1
1967.292	-4.63	9.131	-1.26
1967.375	-4.5	9.181	-1.6
1967.458	-4.13	9.223	-1.25
1967.542	-3.99	9.239	-1.19
1967.625	-3.84	9.267	-1.17
1967.708	-4.02	9.229	-1.26
1967.792	-4.31	9.155	-1.35
1967.875	-4.49	9.074	-1.38
1967.958	-4.57	9.033	-1.48
1968.042	-4.58	9.072	-1.34
1968.125	-4.54	9.097	-1.24
1968.208	-4.61	9.103	-1.23
1968.292	-4.61	9.118	-1.3
1968.375	-4.48	9.151	-1.18
1968.458	-4.33	9.181	-1.46
1968.542	-4.23	9.196	-1.5
1968.625	-3.83	9.296	-1.11
1968.708	-3.66	9.341	-1.02
1968.792	-3.74	9.325	-0.97
1968.875	-3.98	9.295	-1.19
1968.958	-4.27	9.19	-1.37
1969.042	-4.31	9.13	-1.68
1969.125	-4.38	9.125	-1.36
1969.208	-4.38	9.159	-0.99
1969.292	-4.4	9.18	-0.96
1969.375	-4.39	9.187	-1.28
1969.458	-4.31	9.239	-1.42
1969.542	-4.11	9.262	-1.41
1969.625	-3.81	9.307	-0.95
1969.708	-3.92	9.286	-0.92
1969.792	-4.14	9.224	-1.03
1969.875	-4.4	9.149	-1.03
1969.958	-4.44	9.082	-0.97
1970.042	-4.51	9.089	-0.89
1970.125	-4.52	9.087	-1.05
1970.208	-4.64	9.068	-1.22
1970.292	-4.58	9.115	-1.24
1970.375	-4.36	9.156	-1.4
1970.458	-4.23	9.216	-1.23
1970.542	-3.93	9.327	-0.96
1970.625	-3.82	9.341	-1.09
1970.708	-3.85	9.305	-1.12
1970.792	-3.89	9.28	-0.97
1970.875	-4.22	9.21	-1.16
1970.958	-4.46	9.129	-1.16
1971.042	-4.67	9.049	-1.14
1971.125	-4.78	9.026	-1.24
1971.208	-4.61	9.104	-1.36
1971.292	-4.4	9.181	-1.22
1971.375	-4.31	9.241	-1.12
1971.458	-4.26	9.252	-1.13
1971.542	-3.96	9.291	-1.19
1971.625	-3.77	9.31	-0.96
1971.708	-3.97	9.282	-1.02
1971.792	-4.22	9.219	-1.15
1971.875	-4.37	9.181	-1.17
1971.958	-4.52	9.133	-1.08
1972.042	-4.54	9.151	-1
1972.125	-4.68	9.154	-1.32
1972.208	-4.77	9.082	-1.37
1972.292	-4.73	9.101	-1.45
1972.375	-4.49	9.205	-1.23
1972.458	-4.28	9.28	-1.02
1972.542	-4	9.316	-0.98
1972.625	-3.86	9.338	-0.9
1972.708	-3.8	9.344	-0.97
1972.792	-4.14	9.271	-1.13
1972.875	-4.4	9.179	-1.24
1972.958	-4.47	9.159	-1.34
1973.042	-4.54	9.127	-1.37
1973.125	-4.62	9.063	-1.37
1973.208	-4.67	9.085	-1.15
1973.292	-4.62	9.115	-1.27
1973.375	-4.44	9.166	-1.2
1973.458	-4.21	9.229	-1.11
1973.542	-3.98	9.261	-1.25
1973.625	-3.95	9.292	-0.95
1973.708	-4.12	9.231	-0.98
1973.792	-4.33	9.169	-1.08
1973.875	-4.42	9.122	-1.02
1973.958	-4.56	9.027	-1.12
1974.042	-4.68	9.035	-1.16
1974.125	-4.8	9.026	-1.33
1974.208	-4.73	9.03	-1.26
1974.292	-4.54	9.07	-1.2
1974.375	-4.22	9.179	-1.29
1974.458	-4.06	9.216	-1.48
1974.542	-3.95	9.243	-1.26
1974.625	-3.82	9.3	-1.04
1974.708	-3.84	9.295	-1.14
1974.792	-3.97	9.283	-1.21
1974.875	-4.09	9.232	-1.15
1974.958	-4.29	9.17	-1.22
1975.042	-4.41	9.133	-1.29
1975.125	-4.4	9.11	-1.19
1975.208	-4.49	9.081	-1.15
1975.292	-4.83	9.114	-1.42
1975.375	-4.77	9.139	-1.51
1975.458	-4.36	9.224	-1.19
1975.542	-4.03	9.321	-0.85
1975.625	-4.26	9.285	-1.09
1975.708	-4.37	9.22	-1.29
1975.792	-4.55	9.155	-1.48
1975.875	-4.49	9.093	-1.47
1975.958	-4.67	9.045	-1.33
1976.042	-4.82	9.018	-1.26
1976.125	-5.02	9.016	-1.24
1976.208	-4.97	9.009	-1.43
1976.292	-4.69	9.106	-1.37
1976.375	-4.29	9.181	-1.35
1976.458	-4.05	9.273	-1.25
1976.542	-4.07	9.3	-1
1976.625	-4.28	9.259	-1.02
1976.708	-4.41	9.193	-1.15
1976.792	-4.51	9.114	-1.26
1976.875	-4.59	9.079	-1.11
1976.958	-4.58	9.049	-0.99
1977.042	-4.54	9.029	-0.95
1977.125	-4.73	9.09	-1.01
1977.208	-4.73	9.103	-1.04
1977.292	-4.59	9.157	-1.3
1977.375	-4.29	9.198	-1.38
1977.458	-4.11	9.268	-1.29
1977.542	-4.09	9.322	-1.26
1977.625	-3.97	9.344	-1
1977.708	-3.89	9.321	-0.97
1977.792	-4.15	9.253	-1.1
1977.875	-4.28	9.181	-1.19
