# Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:13121
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/domefuji/df2012isotope-temperature.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 
# --------------------
# Title 
#	Study_Name: Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Stable isotope data (d18O and dD) and temperature reconstruction 
#	from Dome Fuji ice cores, Antarctica for the past 360,000 years. 
#	Data from core DF1 are deltaD (Uemura et al., 2004) and delta18O 
#	(Watanabe et al., 2003). The data-set is corrected and updated 
#	in Uemura et al. (2012). Data from core DF2 includes deltaD 
#	and delta18O (Uemura et al., 2012). Temperature estimates are 
#	based on combined isotope data from both cores (Uemura et al., 2012). 
#
#	The age scale adopted here is the Dome Fuji Ice Core O2/N2 timescale 
#	(DFO-2006) (Kawamura et al., 2007). 
#
#	Dome Fuji Station Core Site, East Antarctica: 
#	77°19'N, 39°42'E, 3810m elevation  
#
# --------------------
# Publication
#	Authors: R. Uemura, V. Mason-Delmotte, J. Jouzel, A. Landais, H. Motoyama, B. Stenni
#	Published_Date_or_Year: 2012
#	Published_Title: Ranges of moisture-source temperature estimated from Antarctic ice cores stable isotope records over glacial-interglacial cycles
#	Journal_Name: Climate of the Past
#	Volume: 8
#	Edition: 	
#	Issue: 3
#	Pages: 1109-1125
#	DOI: 10.5194/cp-8-1109-2012 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A single isotope ratio (dD or d18O) of water is widely used as an 
air-temperature proxy in Antarctic ice core records. These isotope 
ratios, however, do not solely depend on air-temperature but also 
on the extent of distillation of heavy isotopes out of atmospheric 
water vapor from an oceanic moisture source to a precipitation site. 
The temperature changes at the oceanic moisture source (DeltaTsource) 
and at the precipitation site (DeltaTsite) can be retrieved by using 
deuterium-excess (d) data. A new d record from Dome Fuji, Antarctica 
spanning the past 360 000 yr is presented and compared with records 
from Vostok and EPICA Dome C ice cores. In previous studies, to retrieve 
DeltaTsource and DeltaTsite information, different linear regression 
equations were proposed using theoretical isotope distillation models. 
A major source of uncertainty lies in the coefficient of regression, 
Bsite which is related to the sensitivity of d to DeltaTsite. We show 
that different ranges of temperature and selections of isotopic 
model outputs may increase the value of Bsite by more than 
a factor of two. To explore the impacts of this coefficient on 
reconstructed temperatures, we apply for the first time the exact 
same methodology to the isotope records from the three 
Antarctica ice cores. We show that uncertainties in the Bsite 
coefficient strongly affect (i) the glacial-interglacial magnitude 
of DeltaTsource; (ii) the imprint of obliquity in DeltaTsource 
and in the site-source temperature gradient. By contrast, we 
highlight the robustness of DeltaTsite reconstruction using water 
isotopes records. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: JSPS Postdoctoral Fellowships for Resarch Abroad
#	Grant:
#	Funding_Agency_Name: Grant-in-Aid for scientific research
#	Grant: 2122102
# --------------------
# Site_Information
#	Site_Name: Dome Fuji
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 12Fuji01
#	Earliest_Year: 360.9
#	Most_Recent_Year: 0.03
#	Time Unit: kyb 2k
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##kyb_2k	Age,,,kilo years before 2k,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
kyb_2k	d18O
190.8	-57.95
191.23	-59.12
191.5	-58.35
191.87	-58.14
192.32	-59.35
192.62	-58.58
193.02	-58.53
193.45	-57.71
193.7	-57.69
194.06	-57.78
194.48	-57.77
194.75	-58.42
195.13	-58.13
195.55	-58.35
195.8	-58.05
196.16	-56.79
196.55	-57.68
196.78	-56.47
197.01	-56.19
197.23	-56.99
197.73	-55.73
198.24	-56.03
198.49	-56.16
198.74	-55.46
199	-56.03
199.49	-54.76
199.73	-55.39
199.98	-54.01
200.47	-55.17
200.7	-55.34
200.94	-54.93
201.43	-56.64
201.7	-55.84
201.97	-56.59
202.53	-56.74
202.79	-56.66
203.08	-56.38
203.66	-57.62
203.97	-57.74
204.29	-57.85
204.95	-57.54
205.28	-58.26
205.61	-57.07
206.26	-57.9
206.57	-57.43
207.19	-56.73
207.49	-56.89
207.8	-57.8
208.11	-56.26
208.72	-56.14
209.04	-57.01
209.69	-57.07
210.05	-56.27
210.4	-56.65
210.76	-56.61
211.43	-56.08
211.75	-55.38
212.07	-55.57
212.7	-56.14
213.01	-55.61
213.32	-54.38
213.93	-55.48
214.24	-56.03
214.55	-54.8
215.17	-54.27
215.48	-55.3
215.79	-55.19
216.55	-55.13
216.74	-54.8
217.05	-55.5
217.65	-53.95
217.94	-54.56
218.48	-55.46
219.15	-55.65
219.49	-55.27
220.17	-55.87
220.52	-56.25
220.9	-56.24
221.6	-56.81
221.92	-56.66
222.11	-56.57
222.38	-56.08
222.52	-57.21
222.66	-57.09
223.07	-57.22
223.3	-57.9
223.52	-57.83
223.83	-57.61
223.98	-58.04
224.14	-57.74
224.62	-57.85
224.87	-58.63
225.11	-57.75
225.45	-58.57
225.62	-59.55
225.79	-59.34
226.31	-59.13
226.57	-59.29
226.83	-59.44
227.2	-58.68
227.37	-59.06
227.54	-58.8
228.02	-58.05
228.27	-58.96
228.57	-57.31
228.82	-57.77
228.96	-57.33
229.12	-58
229.6	-58.47
229.86	-59.03
230.12	-58.57
230.48	-60.2
230.67	-60.12
230.85	-58.81
231.36	-59.08
231.61	-58.99
231.84	-57.89
232.15	-58.62
232.3	-59.21
232.47	-59.45
232.8	-59.22
233.2	-59.36
233.44	-59.2
233.77	-58.33
233.93	-58.77
234.09	-58.04
234.55	-58.42
234.78	-59.04
235.02	-58.22
235.32	-58.26
235.47	-58.44
235.77	-58.33
236.06	-58.03
236.28	-57.93
236.49	-57.85
236.87	-56.84
237.27	-57.1
237.39	-56.68
237.52	-57.06
237.78	-57.52
238.03	-56.08
238.15	-56.22
238.28	-56.36
238.4	-55.99
238.53	-56.46
238.78	-55.97
239.02	-55.99
239.12	-56.1
239.24	-55.92
239.47	-56.16
240.16	-56.04
240.28	-55.93
240.39	-55.37
240.51	-55.35
240.75	-55.38
241.01	-54.99
241.13	-54.95
241.26	-55.16
241.38	-54.77
241.5	-55.08
241.73	-54.38
241.96	-53.88
242.19	-53.85
242.4	-53.4
242.51	-52.32
242.62	-52.75
242.82	-52.82
242.92	-51.96
243.02	-51.79
243.21	-52.66
243.4	-52.11
243.61	-52.35
243.81	-53.17
244.26	-52.86
244.49	-54.02
244.74	-54.84
245.13	-55.01
245.54	-55.72
245.83	-56.4
246.45	-57.31
246.75	-57.23
247.1	-57.84
247.81	-57.89
248.16	-56.97
248.5	-56.74
249.54	-58.1
250.09	-58.68
251.01	-57.93
251.39	-58.59
251.98	-58.31
252.58	-59.12
252.99	-58.55
253.41	-58.76
253.83	-58.99
254.27	-58.61
254.48	-58.55
254.69	-59.1
255.11	-58.38
255.53	-58.84
255.73	-58.05
255.95	-58.81
256.15	-58.07
256.76	-58.02
257.17	-58.21
257.37	-58.16
257.57	-57.57
257.76	-57.85
257.95	-58.4
258.34	-58.68
258.75	-58.13
258.96	-58.53
259.16	-59.22
259.37	-58.36
259.57	-58.42
259.98	-58.39
260.18	-57.99
260.39	-58.84
260.79	-58.36
261	-58.04
261.21	-58.43
261.43	-59.03
261.65	-58.26
262.07	-57.62
262.45	-58.19
262.65	-57.87
262.85	-57.85
263.05	-58.35
263.25	-58.69
263.66	-58.52
264.07	-58.14
264.29	-58.47
264.5	-58.71
264.72	-58.16
264.94	-58.91
265.39	-58.75
265.85	-59.6
266.09	-58.91
266.33	-58.97
266.57	-58.77
266.81	-59.61
267.29	-59.2
267.78	-59.48
268.03	-59.07
268.32	-59.1
268.61	-59.68
268.9	-59.85
269.49	-59.86
270.1	-60.21
270.41	-59.79
270.73	-59.83
271.04	-59.4
271.34	-60.24
271.96	-59.77
272.57	-59.85
272.89	-59.94
273.2	-59.22
273.52	-59.46
273.84	-59.75
274.46	-59.83
275.06	-59.48
275.37	-59.74
275.69	-59.31
276.03	-59.67
276.34	-59.54
276.97	-59.16
277.56	-59.63
277.86	-59.56
278.18	-59.83
279.14	-59.57
281.68	-59.55
281.84	-59.42
282.09	-58.82
282.34	-59.02
282.81	-58.65
283.28	-57.99
283.51	-57.83
283.7	-58.41
283.93	-57.91
284.14	-58.4
284.58	-58.37
284.8	-57.98
285.02	-57.96
285.47	-56.97
285.89	-57.38
286.11	-57.65
286.31	-57.3
286.7	-56.95
286.9	-56.56
287.1	-56.67
287.3	-56.77
287.49	-56.9
287.87	-56.65
288.27	-56.43
288.46	-56.69
288.66	-56.32
289.05	-56.16
289.24	-56.27
289.43	-57.08
289.62	-56.57
289.82	-55.99
290.21	-55.9
290.39	-56.18
290.59	-56.55
290.95	-57.01
291.36	-56.77
291.56	-56.83
291.76	-57.03
291.97	-56.56
292.18	-57.4
292.61	-57.66
292.82	-57.33
293.04	-57.6
293.51	-57.93
293.99	-58.15
294.21	-56.88
294.44	-57.84
294.67	-57.95
294.91	-58.5
295.37	-57.94
295.6	-57.4
296.05	-57.85
296.52	-57.92
297	-58.51
297.25	-58.08
297.51	-58.38
297.77	-58.28
298.03	-59.09
298.57	-58.91
299.07	-57.84
299.32	-58.7
299.56	-58.05
299.8	-58.34
300.04	-58.42
300.51	-57.9
300.98	-57.56
301.21	-57.88
301.46	-58.27
301.7	-58.29
301.93	-58.79
302.4	-58.28
302.86	-58.11
303.09	-58.17
303.54	-58.05
303.77	-57.7
304.23	-58.15
304.45	-57.52
304.67	-58.03
305.1	-57.45
305.54	-57.21
305.75	-56.88
305.97	-57.93
306.43	-58.09
306.66	-58.19
306.89	-58.36
307.12	-57.95
307.34	-58.56
307.78	-58.44
308.01	-58.1
308.24	-58.03
308.7	-58.23
309.16	-57.43
309.38	-57.43
309.59	-57.87
310.01	-57.94
310.23	-57.51
310.44	-57.6
310.67	-57.19
310.89	-57.41
311.32	-57.45
311.53	-57.06
311.93	-56.98
312.14	-57.32
312.35	-57.17
312.57	-57.36
312.78	-56.61
313	-56.77
313.22	-56.48
313.45	-57.05
313.67	-55.94
313.9	-56.78
314.12	-55.96
314.34	-57.16
314.56	-56.27
314.79	-56.9
315.01	-57.13
315.22	-55.94
315.43	-55.8
315.64	-57
315.85	-56.89
316.27	-55.8
316.48	-55.68
316.69	-56.16
316.89	-55.79
317.1	-56.3
317.32	-57.22
317.54	-56.76
317.78	-57.39
318.03	-56.87
318.28	-57.88
318.53	-57.03
318.78	-58.11
319.04	-57.75
319.32	-58.38
319.59	-58.29
319.88	-58.27
320.16	-57.98
320.45	-58.66
320.73	-58.38
321.01	-58
321.28	-58.19
321.55	-57.9
321.8	-58.04
322.05	-57.57
322.31	-57.05
322.56	-57.68
322.83	-57.79
323.09	-57.8
323.34	-57.46
323.59	-57.02
323.84	-56.8
324.09	-57.08
324.32	-56.86
324.57	-56.99
324.8	-56.8
325.04	-56.96
325.28	-56.03
325.53	-56.29
325.77	-56.44
326.01	-56.26
326.24	-56.17
326.47	-56.31
326.7	-55.84
326.93	-55.75
327.16	-56.07
327.38	-55.88
327.6	-55.28
327.82	-55.97
328.04	-55.13
328.26	-55.66
328.48	-55.3
328.92	-54.63
329.13	-55.35
329.35	-55.13
329.76	-54.83
329.96	-54.53
330.16	-54.07
330.36	-54.29
330.56	-54.3
330.74	-54.64
330.94	-53.88
331.13	-54.13
331.33	-54.09
331.52	-54.58
331.72	-53.61
331.91	-53.99
332.1	-54.33
332.29	-54.49
332.48	-53.77
332.68	-54.27
332.87	-53.84
333.07	-54.17
333.26	-53.57
333.64	-53.46
333.84	-54.3
334.03	-53.66
334.21	-53.35
334.4	-52.56
334.58	-53.35
334.76	-52.2
334.94	-52.81
335.11	-51.76
335.27	-51.79
335.44	-51.64
335.6	-51.51
335.75	-51.26
335.91	-51.27
336.06	-50.88
336.22	-51.59
336.37	-51.23
336.52	-51.02
336.67	-50.69
336.82	-50.69
336.96	-50.92
337.12	-51.26
337.27	-51.12
337.43	-51.76
337.59	-51.8
337.77	-52.75
337.94	-52.36
338.12	-52.8
338.5	-54.14
338.72	-54.15
338.93	-55
339.15	-54.45
339.38	-54.98
339.6	-54.71
	
	
	
	
	
core	water
	
	
(m)	
(m)	
(m)	
years	before
(permil	with
(permil	with
(permil	with
	
age(kyrb2k)	del_18O
296.89	-57.95
297.14	-58.23
297.39	-57.53
297.63	-58.01
297.88	-58.05
298.13	-58.42
298.38	-58.62
298.63	-58.54
298.87	-58.24
299.12	-58.38
299.37	-58.2
299.61	-58.25
299.85	-58.57
300.09	-58.3
300.32	-57.88
300.55	-57.97
300.79	-57.97
301.02	-57.73
301.26	-57.63
301.5	-58.11
301.74	-58.29
301.98	-59.02
302.21	-58.57
302.45	-58.57
302.68	-58.63
302.9	-58.36
303.13	-58.58
303.36	-58.21
303.58	-58.18
303.81	-57.47
304.04	-57.57
304.26	-57.69
304.49	-57.63
304.71	-58.47
304.92	-57.36
305.14	-57.88
305.35	-57.51
305.56	-56.59
305.77	-56.64
305.99	-58.15
306.22	-58.35
306.45	-58
306.69	-58.16
306.92	-57.77
307.15	-57.97
307.37	-57.93
307.61	-59.26
307.82	-59.04
308.04	-58.23
308.28	-57.95
308.51	-58.16
308.74	-57.72
308.98	-57.49
309.2	-57.67
309.41	-57.54
309.62	-58.49
309.83	-58.53
310.04	-57.83
310.25	-57.55
310.47	-57.71
310.7	-57.76
310.92	-57.92
311.14	-57.39
311.35	-56.94
311.56	-57.55
311.76	-57.53
311.96	-56.81
312.17	-57.3
312.39	-57.15
312.6	-57.7
312.83	-56.83
313.05	-56.34
313.27	-56.82
313.5	-56.62
313.72	-56.7
313.95	-56.17
314.17	-56.95
314.39	-56.62
314.61	-56.7
314.84	-56.86
315.06	-57.55
315.27	-56.01
315.48	-55.83
315.68	-56.64
315.91	-56.79
316.11	-57.03
316.32	-55.94
316.52	-55.93
316.72	-56.37
316.92	-55.88
317.13	-56.88
317.35	-57.31
317.58	-57.03
317.82	-57.33
318.07	-57.39
318.32	-57.74
318.57	-57.71
318.82	-57.75
319.08	-57.52
319.35	-57.98
319.64	-58.39
319.92	-58.57
320.21	-57.95
320.5	-58.99
320.78	-58.38
321.06	-58.42
321.33	-57.8
321.6	-58.57
321.84	-57.59
322.09	-57.31
322.35	-57.67
322.61	-57.47
322.87	-58.45
323.13	-57.69
323.38	-57.23
323.63	-57.32
323.88	-57.14
324.13	-57.07
324.37	-56.95
324.61	-57.12
324.84	-57.08
325.08	-56.74
325.32	-56.16
325.57	-56.49
325.81	-56.23
326.05	-56.24
326.28	-56
326.51	-56.49
326.73	-56.07
326.96	-56.31
327.19	-55.69
327.4	-55.78
327.63	-55.69
327.85	-55.48
328.07	-55.58
328.29	-55.14
328.51	-55.8
328.73	-55.62
328.94	-55.46
329.16	-55.24
329.37	-54.66
329.58	-55
329.79	-54.18
330	-54.42
330.2	-54.76
330.39	-54.68
330.59	-54.15
330.78	-54.52
330.97	-54.27
331.17	-54.84
331.36	-54.4
331.56	-54.31
331.75	-54.28
331.95	-54.18
332.14	-54.33
332.32	-54.44
332.52	-54.32
332.71	-53.77
332.91	-54.39
333.1	-53.66
333.27	-53.58
333.47	-53.92
333.68	-53.78
333.87	-54.1
334.07	-54.17
334.25	-53.92
334.43	-53.04
334.61	-53.18
334.8	-52.34
334.97	-52.91
335.14	-52.17
335.31	-51.41
335.47	-51.89
335.63	-51.84
335.78	-50.83
335.94	-50.87
336.09	-50.38
336.24	-50.71
336.4	-51.99
336.55	-51.06
336.7	-50.86
336.84	-50.85
336.99	-50.96
337.14	-51.44
337.3	-51.33
337.46	-51.74
337.62	-52.21
337.79	-52.09
337.97	-52.67
338.15	-52.44
338.34	-53.16
338.54	-54.04
338.75	-54.2
338.97	-54.91
339.19	-54.58
339.42	-55.2
339.66	-55.12
339.92	-55.05
340.2	-55.71
340.5	-55.57
340.79	-55.98
341.1	-56.02
341.41	-56.46
341.72	-56.42
341.94	-56.6
342.16	-57.52
342.38	-57.35
342.6	-57.56
342.83	-57.92
343.06	-58.74
343.29	-58.62
343.53	-58.84
343.78	-59.44
344.06	-59.75
344.35	-59.33
344.7	-59.92
345.04	-60.03
345.36	-59.79
345.69	-58.76
346.02	-59.62
346.35	-59.92
346.68	-59.38
347.01	-59.77
347.33	-59.27
347.66	-59.41
347.98	-58.81
348.3	-58.96
348.63	-59.51
348.95	-59.3
349.28	-58.75
349.6	-58.95
349.93	-59.37
350.25	-58.93
350.57	-57.83
350.89	-58.42
351.2	-58.17
351.52	-58.26
351.85	-58.44
352.18	-58.59
352.5	-58.48
352.83	-58.62
353.15	-58.64
353.48	-59.03
353.81	-58.81
354.14	-58.69
354.46	-58.63
354.79	-58.96
355.12	-58.85
355.46	-58.92
355.79	-59.4
356.13	-59.61
356.47	-58.79
356.81	-59.28
357.15	-59.51
357.49	-59.38
357.83	-59.37
358.18	-59.57
358.52	-59.52
358.87	-59.34
359.21	-59.09
359.55	-59.6
359.89	-59.09
360.23	-59.15
360.56	-58.2
360.9	-59.15
