# Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:13121
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/domefuji/df2012isotope-temperature.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 
# --------------------
# Title 
#	Study_Name: Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Stable isotope data (d18O and dD) and temperature reconstruction 
#	from Dome Fuji ice cores, Antarctica for the past 360,000 years. 
#	Data from core DF1 are deltaD (Uemura et al., 2004) and delta18O 
#	(Watanabe et al., 2003). The data-set is corrected and updated 
#	in Uemura et al. (2012). Data from core DF2 includes deltaD 
#	and delta18O (Uemura et al., 2012). Temperature estimates are 
#	based on combined isotope data from both cores (Uemura et al., 2012). 
#
#	The age scale adopted here is the Dome Fuji Ice Core O2/N2 timescale 
#	(DFO-2006) (Kawamura et al., 2007). 
#
#	Dome Fuji Station Core Site, East Antarctica: 
#	77°19'N, 39°42'E, 3810m elevation  
#
# --------------------
# Publication
#	Authors: R. Uemura, V. Mason-Delmotte, J. Jouzel, A. Landais, H. Motoyama, B. Stenni
#	Published_Date_or_Year: 2012
#	Published_Title: Ranges of moisture-source temperature estimated from Antarctic ice cores stable isotope records over glacial-interglacial cycles
#	Journal_Name: Climate of the Past
#	Volume: 8
#	Edition: 	
#	Issue: 3
#	Pages: 1109-1125
#	DOI: 10.5194/cp-8-1109-2012 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A single isotope ratio (dD or d18O) of water is widely used as an 
air-temperature proxy in Antarctic ice core records. These isotope 
ratios, however, do not solely depend on air-temperature but also 
on the extent of distillation of heavy isotopes out of atmospheric 
water vapor from an oceanic moisture source to a precipitation site. 
The temperature changes at the oceanic moisture source (DeltaTsource) 
and at the precipitation site (DeltaTsite) can be retrieved by using 
deuterium-excess (d) data. A new d record from Dome Fuji, Antarctica 
spanning the past 360 000 yr is presented and compared with records 
from Vostok and EPICA Dome C ice cores. In previous studies, to retrieve 
DeltaTsource and DeltaTsite information, different linear regression 
equations were proposed using theoretical isotope distillation models. 
A major source of uncertainty lies in the coefficient of regression, 
Bsite which is related to the sensitivity of d to DeltaTsite. We show 
that different ranges of temperature and selections of isotopic 
model outputs may increase the value of Bsite by more than 
a factor of two. To explore the impacts of this coefficient on 
reconstructed temperatures, we apply for the first time the exact 
same methodology to the isotope records from the three 
Antarctica ice cores. We show that uncertainties in the Bsite 
coefficient strongly affect (i) the glacial-interglacial magnitude 
of DeltaTsource; (ii) the imprint of obliquity in DeltaTsource 
and in the site-source temperature gradient. By contrast, we 
highlight the robustness of DeltaTsite reconstruction using water 
isotopes records. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: JSPS Postdoctoral Fellowships for Resarch Abroad
#	Grant:
#	Funding_Agency_Name: Grant-in-Aid for scientific research
#	Grant: 2122102
# --------------------
# Site_Information
#	Site_Name: Dome Fuji
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 12Fuji01
#	Earliest_Year: 360.9
#	Most_Recent_Year: 0.03
#	Time Unit: kyb 2k
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##kyb_2k	Age,,,kilo years before 2k,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
kyb_2k	d18O
122.9	-55.13
123.14	-55.49
123.38	-55.38
123.61	-54.93
123.85	-55.17
124.08	-54.76
124.3	-54.34
124.53	-54.11
124.75	-54.06
124.96	-53.92
125.18	-54.69
125.4	-53.34
125.62	-54.27
125.84	-53.25
126.05	-53.51
126.28	-54.54
126.5	-54.06
126.69	-53.14
126.89	-53.99
127.09	-53.61
127.28	-53.45
127.48	-54.08
127.67	-53.52
127.86	-53.3
128.05	-53.97
128.25	-52.76
128.44	-53.55
128.64	-54.1
128.84	-53.57
129.03	-53.71
129.23	-53.88
129.43	-53.04
129.61	-52.17
129.79	-52.54
129.97	-52.21
130.14	-51.83
130.31	-51.61
130.38	-52.03
130.64	-51.23
130.81	-51.7
130.97	-51.85
131.14	-51.24
131.31	-51.77
131.48	-51.09
131.65	-51.66
131.82	-52.05
131.99	-51.45
132.16	-51.61
132.34	-52.6
132.53	-52.95
132.73	-53.5
132.89	-53.4
133.1	-54.04
133.32	-54.47
133.59	-55.05
133.79	-54.39
134.08	-55.18
134.41	-55.32
134.63	-56.82
134.74	-56.04
134.92	-56.52
135.03	-56.38
135.21	-56.89
135.33	-56.32
135.5	-56.75
135.63	-57.8
135.97	-58.71
136.19	-58.17
136.33	-57.65
136.55	-59.02
136.7	-58.25
136.93	-59.28
137.09	-58.61
137.32	-58.79
137.47	-58.1
137.72	-58.71
137.88	-57.9
138.12	-59.32
138.29	-59.18
138.53	-58.98
138.7	-59.45
138.94	-59.3
139.11	-58.61
139.36	-59.46
139.53	-59.39
139.79	-59.1
139.97	-59.31
140.23	-59.9
140.4	-59.88
140.66	-59.58
140.84	-59.69
141.09	-59.88
141.26	-59.24
141.53	-59.59
141.71	-59.34
141.97	-59.01
142.15	-59.03
142.42	-59.55
142.6	-58.99
142.86	-59.07
143.04	-59.21
143.3	-59.68
143.47	-58.41
143.73	-59.74
143.9	-59.71
144.15	-58.82
144.32	-59.03
144.57	-59.07
144.74	-59.22
145	-58.87
145.16	-59.32
145.42	-59.66
145.68	-58.65
145.85	-58.88
146.02	-58.7
146.28	-59.45
146.45	-59.05
146.71	-59.34
146.89	-59.6
147.17	-58.68
147.34	-58.65
147.61	-58.65
147.78	-58.63
148.04	-58.67
148.21	-58.1
148.46	-58.97
148.64	-59.29
148.9	-58.61
149.07	-58.5
149.32	-58.22
149.49	-58.03
149.74	-58.64
149.91	-57.78
150.16	-58.21
150.34	-58.27
150.65	-59.01
150.88	-58.52
151.1	-58.55
151.43	-58.56
151.77	-58.62
152	-58.47
152.36	-59.1
152.59	-58.93
152.95	-59.11
153.19	-59.37
153.57	-59.29
153.81	-59.08
154.17	-59.26
154.41	-59.6
154.79	-59.7
155.06	-60.02
155.46	-59.72
155.72	-59.4
156.13	-60.34
156.26	-59.42
156.8	-59.35
157.06	-59.72
157.45	-59.79
157.71	-59.07
158.09	-59.96
158.36	-59
158.76	-59.79
159.02	-59.41
159.38	-58.06
159.62	-57.82
159.96	-58.59
160.19	-58.5
160.55	-59.65
160.78	-58.19
161.14	-58.86
161.39	-59.24
161.76	-58.9
162.01	-59.73
162.39	-59.14
162.51	-58.41
162.98	-58.11
163.19	-57.54
163.51	-58.57
163.74	-58.48
164.1	-58.43
164.34	-57.64
164.67	-58.69
164.77	-58.86
165.2	-59.2
165.43	-59.57
165.77	-59.22
166.09	-59.71
166.41	-58.96
166.85	-58.5
167.18	-58.92
167.51	-58.73
167.95	-58.07
168.36	-57.96
168.67	-58.32
168.97	-57.52
169.27	-58.02
169.67	-58.65
169.98	-57.97
170.71	-57.49
171.03	-58
171.36	-58.76
171.8	-58.39
172.14	-58.52
172.57	-57.79
172.87	-58
173.16	-57.76
173.45	-57.16
173.84	-57.31
174.2	-58.18
174.98	-58.97
175.26	-59.12
175.65	-58.14
176.06	-58.73
176.31	-58.31
176.72	-58.64
177.25	-58.7
177.57	-58.5
178	-58.17
178.48	-57.9
178.78	-58.86
179.21	-57.56
179.68	-58.04
179.97	-57.8
180.4	-57.56
180.94	-59.84
181.31	-59.7
181.82	-58.94
182.4	-59.69
182.75	-58.83
183.26	-59.16
183.85	-60.11
184.22	-59.71
184.74	-60.6
185.34	-58.95
185.72	-59.39
186.25	-59.4
186.78	-59.34
187.09	-60.1
187.5	-59.95
187.97	-58.65
188.27	-58.97
188.66	-58.26
189.1	-58.76
189.37	-58.23
189.74	-56.79
190.42	-59.34
