# Synchronization of the Byrd and Greenland (GISP2/GRIP) Records
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2450
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/readme_blunier2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2001
# --------------------
# Title 
#	Study_Name: Synchronization of the Byrd and Greenland (GISP2/GRIP) Records 
# --------------------
# Investigators
#	Investigators: Blunier, T.; Brook, E.J. 
# --------------------
# Description_and_Notes
# 	Description: The data archived here were used for Figure 1 of Blunier and Brook, 
#	Timing of millennial-scale climate change in Antarctica and Greenland 
#	during the last glacial period, Science, 291, 109-112, 2001. 
#	This paper should be cited when referring to the synchronized Byrd 
#	time scale and the Byrd methane data for the time period >50 ka.
#
# --------------------
# Publication
#	Authors: T. Blunier, E.J. Brook
#	Published_Date_or_Year: 2001
#	Published_Title: Timing of millennial-scale climate change in Antarctica and Greenland during the last glacial period
#	Journal_Name: Science
#	Volume: 291			
#	Edition: 	
#	Issue: 
#	Pages: 109-112
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A precise relative chronology for Greenland and West Antarctic paleotemperature is extended to 90,000 years ago, based on correlation of atmospheric methane records from the Greenland Ice Sheet Project 2 and Byrd ice cores. Over this period, the onset of seven major millennial-scale warmings in Antarctica preceded the onset of Greenland warmings by 1500 to 3000 years. In general, Antarctic temperatures increased gradually while Greenland temperatures were decreasing or constant, and the termination of Antarctic warming was apparently coincident with the onset of rapid warming in Greenland. This pattern provides further evidence for the operation of a “bipolar see-saw” in air temperatures and an oceanic teleconnection between the hemispheres on millennial time scales.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: GISP
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 72.1
#	Southernmost_Latitude: 72.1
#	Easternmost_Longitude: -38.08
#	Westernmost_Longitude: -38.08
#	Elevation: 3000 m
# --------------------
# Data_Collection
#	Collection_Name: 01GISP01
#	Earliest_Year: 89776
#	Most_Recent_Year: 10014.2
#	Time Unit: years before 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_yb1950	Age,,,years before 1950,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_yb1950	d18O
20792	-39.71
20888	-40.81
20998	-40.56
21099	-40.53
21201	-41.24
21307	-41.38
21411	-40.96
21518	-40.87
21633	-41.25
21755	-40.71
21878	-40.76
21997.5	-40.96
22100.5	-40.53
22213.5	-39.8
22321.5	-40.94
22443	-40.26
22557	-40.72
22669	-40.74
22777	-40.69
22888	-39.16
22990	-40.36
23095	-40.62
23209	-40.48
23303	-38.31
23406	-40.08
23528	-41.58
23656	-41.91
23776	-41.93
23896	-42.02
24000	-42.74
24115	-41.9
24229	-41.71
24363	-40.9
24493	-40.8
24615	-42.01
24742	-42.1
24872	-41.18
24999	-40.05
25126	-41.06
25256	-40.86
25388	-41.01
25525	-42.18
25662	-41.77
25793	-40.61
25935	-41.57
26072	-40.36
26204	-40.53
26336	-40.87
26475	-40.56
26609	-41.01
26730	-40.85
26854	-39.81
26980	-41.01
27107	-40.57
27239	-40.52
27381	-40.91
27521	-38.77
27633	-37.91
27736	-36.99
27844	-39.57
27987	-41.07
28143	-41.31
28287	-41.64
28417	-40.41
28540	-41.48
28649	-39.97
28751	-38.46
28843	-38.18
28941	-37.88
29033	-40.22
29149	-41.95
29277	-41.28
29399	-41.68
29548	-42.23
29706	-42.29
29840	-42.35
29967	-42.41
30102	-42.59
30233	-41.42
30363	-41.72
30498	-41.22
30619	-41.14
30745	-42.2
30876	-42.24
31008	-41.61
31140	-42.14
31267	-41.47
31395	-41.75
31521	-41.79
31643	-40.51
31768	-39.69
31888	-39.26
32003	-38.35
32123	-37.66
32245	-38.93
32372	-41.61
32506	-42.24
32638	-42.23
32777	-42.55
32913	-43.05
33044	-40.11
33182	-39.11
33319	-38.8
33455	-38.22
33587	-39.8
33721	-41.23
33856	-41.21
33988	-40.86
34120	-42.05
34246	-41.84
34377	-41.59
34496	-40.43
34591	-39.5
34695	-40.01
34792	-39.73
34884	-38.88
34972	-38.18
35062	-38.63
35147	-38.1
35232	-38.63
35324	-41.76
35447	-41.73
35571	-41.64
35706	-42.96
35827	-41.98
35943	-42.09
36061	-41.29
36171	-40.96
36274	-39.6
36376	-39.11
36481	-40.46
36591	-40.37
36709	-39.43
36822	-38.22
36927	-38.41
37035	-38.7
37143	-38.07
37247	-38.06
37359	-38.29
37469	-37.91
37574	-37.51
37684	-37.55
37804	-37.41
37930	-37.73
38062	-37.39
38201	-37.15
38320	-37.31
38432	-40.58
38565	-41.39
38711	-41.34
38871	-41.37
39026	-41.39
39183	-41.22
39347	-40.79
39513	-41.65
39678	-41.67
39852	-41.33
40006	-40.24
40134	-38.92
40250	-40.47
40371	-40.79
40468	-40.99
40562	-41.72
40649	-40.61
40737	-39.47
40823	-38.62
40916	-39.23
41009	-38.67
41091	-37.87
41172	-40.32
41274	-41.04
41381	-41.45
41497	-41.63
41596	-40.58
41695	-39.77
41802	-39.69
41908	-39.39
42014	-38.61
42115	-38.22
42208	-38.58
42309	-38.5
42393	-38.16
42486	-38.1
42581	-41.55
42713	-41.81
42839	-41.7
42967	-41.59
43085	-41.22
