# EPICA Dome C Ice Core Cl, Na and NO3 Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2484
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc-na-cl-no3.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2005
# --------------------
# Title 
#	Study_Name: EPICA Dome C Ice Core Cl, Na and NO3 Data
# --------------------
# Investigators
#	Investigators:  Röthlisberger, R.; Hutterli, M.A.; Sommer, S.; Wolff, E.W.; Mulvaney, R. 
# --------------------
# Description_and_Notes
# 	Description: Chemical records obtained by continuous flow analysis (CFA) and ion chromatography (IC).  
#	Data from 0 to 44850 yr BP are from EDC96 ice core 
# 
#	Dating according to EPICA Dome C ice core timescale EDC1. 
#	ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 
#
#	Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl
#	
# --------------------
# Publication
#	Authors: R. Rothlisberger, M.A. Hutterli, S. Sommer, E.W. Wolff, and R. Mulvaney
#	Published_Date_or_Year: 2000
#	Published_Title: Factors controlling nitrate in ice cores: Evidence from the Dome C deep ice core
#	Journal_Name: Nature
#	Volume: 105			
#	Edition: 	
#	Issue: D16
#	Pages: 20565-20572
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: In order to estimate past changes in atmospheric NOx concentration, nitrate, an oxidation product of NOx, has often been measured in polar ice cores. In the frame of the European Project for Ice Coring in Antarctica (EPICA), a high-resolution nitrate record was obtained by continuous flow analysis (CFA) of a new deep ice core drilled at Dome C. This record allows a detailed comparison of nitrate with other chemical trace substances in polar snow under different climatic regimes. Previous studies showed that it would be difficult to make firm conclusions about atmospheric NOx concentrations based on ice core nitrate without a better understanding of the factors controlling NO3- deposition and preservation. At Dome C, initially high nitrate concentrations (over 500 ppb) decrease within the top meter to steady low values around 15 ppb that are maintained throughout the Holocene ice. Much higher concentrations (averaging 53 ppb) are found in ice from the Last Glacial Maximum (LGM). Combining this information with data from previous sampling elsewhere in Antarctica, it seems that under climatic conditions of the Holocene, temperature and accumulation rate are the key factors determining the NO3- concentration in the ice. Furthermore, ice layers with high acidity show a depletion of NO3-, but higher concentrations are found before and after the acidity layer, indicating that NO3- has been redistributed after deposition. Under glacial conditions, where NO3- shows a higher concentration level and also a larger variability, non-sea-salt calcium seems to act as a stabilizer, preventing volatilization of NO3- from the surface snow layers.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: EPICA Dome C
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 00Epic01
#	Earliest_Year: 44799
#	Most_Recent_Year: 38.1
#	Time Unit: yb 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,years before 1950,,,,,N ****age before 1950
##delD		del D,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yb_1950	delD
14938.1	-413
14968.1	-416.4
14998.2	-416.3
15028.7	-410
15059.3	-410.7
15090.4	-412.7
15121.7	-411.8
15153.5	-414.2
15185.4	-416.6
15217.8	-420
15250.3	-418.5
15283.1	-419.6
15316	-418.7
15349.1	-420.1
15382.3	-419.8
15415.5	-414
15448.8	-416.2
15482.1	-417.6
15515.6	-421.6
15549	-416.6
15582.6	-423.8
15616.3	-414.2
15650.1	-417.8
15684	-416.9
15718.1	-419.1
15752.6	-417.3
15787.2	-419.1
15822.2	-420.3
15857.4	-422.5
15893	-417.7
15928.8	-425.4
15964.9	-420.8
16001.3	-421.1
16037.9	-424.1
16074.7	-426.8
16111.7	-425.9
16148.9	-420.9
16186.1	-421.9
16223.7	-421.7
16261.3	-422.6
16299.3	-429.8
16337.6	-423.9
16376	-421.9
16414.9	-425.8
16454.1	-426
16493.8	-425.7
16533.7	-426.4
16574.3	-434.2
16615.1	-427.5
16656.5	-429.9
16698.2	-428.1
16740.4	-426.1
16783	-438.3
16825.9	-429.4
16869.3	-434.5
16912.9	-433.9
16956.8	-434.6
17000.8	-439.3
17045.1	-431.6
17089.6	-432
17134.3	-435.5
17179.3	-429.4
17224.7	-437.2
17270.4	-429.5
17316.4	-441.5
17363	-436.2
17409.8	-435.6
17457.3	-439.9
17504.9	-435.5
17553.1	-439.7
17601.5	-442.5
17650.1	-442.1
17698.9	-442.1
17747.8	-443.5
17796.8	-433.9
17845.9	-439
17895.2	-443.7
17944.4	-438.6
17993.9	-438.4
18043.4	-442.5
18092.9	-444.2
18142.5	-443.1
18192.2	-440.5
18241.9	-440.7
18291.6	-438.8
18341.4	-440.3
18391.2	-441.9
18441.1	-441.7
18491	-441.4
18540.9	-442.3
18590.8	-441.6
18640.7	
18690.5	-437.2
18740.3	-440.8
18790.2	-436.5
18840	-444.8
18889.8	-440.5
18939.7	-442.9
18989.6	-441.4
19039.4	-439.3
19089.3	-443.4
19139.2	-438.2
19189.1	-446
19238.9	-441.3
19288.6	-435.8
19338.2	-447.9
19387.8	-444.6
19437.3	-436.3
19486.8	-442.5
19536.3	-441.3
19585.8	-432
19635.5	-442.6
19685.3	-438.7
19735.3	-445.1
19785.5	-440.2
19835.7	-443.8
19886.1	-443
19936.5	-446.5
19986.8	-441.5
20037	-446.5
20086.9	-444.9
20136.7	-438.9
20186.3	-438.3
20235.8	-436.4
20285.2	-442.4
20334.4	-448
20383.6	-444.2
20432.6	-441.7
20481.6	-439.5
20530.5	-442.1
20579.5	-437.5
20628.4	-444.1
20677.3	-440.6
20726.2	-442.5
20775.2	-443.5
20824.2	-443.7
20873.3	-446.5
20922.3	-438.8
20971.4	-438.3
21020.6	-441.2
21069.7	-442.3
21119	-443.3
21168.4	-443.2
21217.9	-439.5
21267.4	-441.5
21317.1	-441.8
21366.7	-442.2
21416.5	-441.7
21466.3	-446.3
21516.1	-440.9
21565.8	-442.5
21615.4	-437.8
21664.9	-439.7
21714.5	-445.6
21763.9	-445.7
21813.3	-440.6
21862.5	-436.9
21911.7	-432.8
21961	-446.1
22010.3	-443.7
22059.6	-438.8
22108.8	-443.3
22158.1	-446.2
22207.3	-442.9
22256.6	-439.2
22305.9	-437.7
22355.3	-436.2
22404.8	-442
22454.4	-440.3
22504.2	-443.1
22554.1	-442.2
22604.2	-444.4
22654.2	-445.4
22704.2	-443.5
22754.1	-438.3
22804	-445.8
22853.7	-445
22903.3	-435.6
22952.9	-440.3
23002.3	-442
23051.8	-437.9
23101.2	-440.8
23150.7	-445.1
23200.1	-439.5
23249.5	-445.5
23298.6	-441.7
23347.7	-443.3
23396.4	-441.9
23445	-444
23493.1	-442.9
23541.1	-440.2
23588.7	-436.1
23636.2	-438.6
23683.6	-434.9
23731	-439.5
23778.3	-440.7
23825.7	-438.3
23873.2	-447.2
23920.6	-441.8
23968.1	-439.3
24015.7	-441.3
24063.4	-437.7
24111.2	-438.9
24159.3	-439.9
24207.6	-437.4
24256.4	-439.3
24305.4	-441.4
24354.9	-441.8
24404.5	-448.1
24454.6	-445.4
24504.7	-443.4
24554.8	-442.8
24605	-449.3
24655.1	-443.8
24705.1	-442.1
24755.1	-440
24804.9	-439.7
24854.7	-444.3
24904.4	-441.7
24954.2	-446.2
25004	-446.4
25053.9	-433.5
25103.9	-439.7
25154.1	-445.2
25204.5	-447.1
25255	-446.2
25305.5	-445.6
25356.2	-445.2
25406.8	-443.1
25457.5	-444.9
25508.1	-442.2
25558.8	-444.9
25609.4	-445.6
25659.9	-444.9
25710.4	-442
25760.9	-442
25811.2	-447.2
25861.4	-448.9
25911.4	-447.9
25961.3	-443.2
26010.9	-445.2
26060.5	-445
26110	-444
26159.6	-443.2
26209.2	-441.8
26258.9	-447.2
26308.5	-446.2
26358.3	-443.2
26408	-448.9
26457.6	-439.6
26507.3	-443.7
26557	-447.3
26606.7	-439.9
26656.3	-445.2
26705.9	-445.9
26755.5	-441.1
26805.1	-448.6
26854.6	-445.9
26904.1	-440.2
26953.5	-445.8
27002.9	-442.2
27052.2	-443.7
27101.4	-446
27150.4	-447.4
27199.4	-446.9
27248.2	-440.5
27297	-443.1
27345.6	-444.6
27394.1	-447.1
27442.3	-443.8
27490.2	-444.8
27537.7	-444.5
27584.6	-445.9
27631.1	-441.6
27677.5	-439
27723.8	-435.9
27770.3	-439.3
27816.8	-427.6
27863.2	-441.8
27909.5	-440.5
27955.9	-438.4
28002.2	-449.5
28048.6	-441.2
28094.9	-433.4
28141.4	-432.5
28187.9	-438
28234.5	-440
28281.3	-442.8
28328.1	-436.6
28375.1	-439.2
28422.2	-445.7
28469.5	-447.8
28516.8	-441.3
28564.2	-443
28611.6	-446.1
28658.9	-443
28706	-438.7
28753	-439.8
28799.7	-435.6
28846.3	-433.4
28892.7	-438.6
28938.9	-438.1
28984.9	-438
29030.6	-439.7
29076.2	-443.3
29121.6	-441.4
29166.9	-440
29212	-442.2
29257	-436.6
29301.8	-439.8
29346.6	-436.2
29391.3	-438.9
29436.1	-436.1
29480.9	-435.1
29525.8	-435.9
29570.8	-430.8
29615.8	-438.2
29660.9	-431.8
29706	-432.3
29751.2	-443.2
29796.5	-439.9
29842	-437.1
29887.5	-436.7
29933.4	-437.1
29979.4	-436.6
30025.7	-433.5
30072.1	-436.8
30119	-440.1
30166.1	-445.7
30213.5	-443.4
30261.2	-443
30309.2	-445.9
30357.4	-437.1
30405.7	-447
30454.2	-442.3
30502.8	-441.9
30551.5	-436.6
30600.3	-446.5
30649.1	-438.4
30697.9	-441.2
30746.7	-442
30795.6	-442
30844.4	-442.6
30893.4	-440.1
30942.5	-440.1
30991.7	-440.1
31041.1	-440.1
31090.7	-440.1
31140.3	-432.2
31190.1	-439
31239.9	-439.5
31289.8	-438
31339.9	-444
31390	-446.6
31440	-442.7
31490	-443.8
31539.8	-447.3
31589.7	-443.5
31639.3	-440.4
31688.8	-441.4
31737.9	-440.4
31786.8	-446.3
31835.3	-440.5
31883.5	-448.7
31931.5	-441.7
31979	-431.9
32026.4	-436.8
32073.3	-440.3
32120	-438
32166.6	-429.3
32213.2	-435.7
32259.9	-428.3
32306.6	-437.4
32353.4	-438.9
32400.3	-436.9
32447.3	-439.9
32494.4	-436.2
32541.5	-437.3
32588.8	-433.7
32636.1	-441.2
32683.6	-434.7
32731.1	-435.6
32778.8	-442.1
32826.5	-445.8
32874.3	-443.9
32922.1	-443
32969.8	-446.5
33017.5	-442.6
33065.2	-438.7
33112.5	-442.7
33159.7	-439.6
33206.5	-436.2
33253	-435.3
33299.2	-434.7
33345.2	-432.3
33391	-435.5
33436.9	-433.7
33482.7	-432
33528.5	-437
33574.3	-435.5
33620.3	-438
33666.5	-436
33712.9	-435.9
33759.6	-433.5
33806.5	-443.2
33853.7	-435.8
33901	-439.9
33948.6	-444.5
33996.2	-444.5
34044.2	-444.5
34092.2	-444.5
34140.5	-444.5
34188.7	-442.3
34237	-438.5
34285.3	-442.1
34333.6	-441.2
34382	-444.9
34430.3	-441.9
34478.3	-436.5
34526.2	-435.5
34573.8	-438.7
34621.2	-431.6
34668.2	-437.4
34715	-433.8
34761.4	-433.4
34807.4	-438.3
34853.3	-431.4
34898.7	-431.7
34943.9	-437.6
34988.8	-435.6
35033.5	-433.5
35078	-429.5
35122.3	-433.5
35166.5	-437.9
35210.8	-433.7
35255.2	-429.9
35299.6	-432.5
35344	-436.5
35388.7	-436.9
35433.5	-435.8
35478.6	-428.2
35523.9	-438.6
35569.5	-439.5
35615.2	-434.3
35661.2	-433.1
35707.2	-434.8
35753.3	-439.6
35799.7	-436.6
35846	-443
35892.6	-435.3
35939.2	-435.6
35985.9	-436
36032.8	-435.8
36079.7	-442
36126.7	-439.7
36173.8	-438.8
36221	-437.5
36268.3	-434.6
36315.6	-434.6
36362.9	-436.1
36410.1	-436.8
36457.4	-435.9
36504.7	-434.2
36551.8	-438.3
36598.8	-436.1
36645.7	-435.3
36692.5	-439.6
36739	-440.7
36785.5	-438.9
36831.7	-436.7
36877.8	-429.6
36923.6	-427.3
36969.1	-435.1
37014.3	-434.9
37059.1	-435
37103.7	-427.3
37147.7	-434.4
37191.6	-432.9
37234.9	-428.2
37278	-433.8
37320.7	-436.5
37363.1	-428.7
37405.3	-430.7
37447.1	-423.8
37488.7	-424.6
37530.1	-425.2
37571.3	-418.3
37612.3	-426
37653.3	-418.8
37694.2	-415.4
37735.1	-424.5
37776	-430.6
37816.8	-431
37857.7	-434.8
37898.6	-423.4
37939.6	-420.5
37980.6	-430.4
38021.6	-431.1
38062.7	-433.4
38103.7	-422.5
38144.9	-431.3
38186.1	-425.3
38227.3	-427
38268.6	-429.8
38310	-427.3
38351.5	-425.9
38393.1	-426
38434.8	-425.6
38476.5	-428.5
38518	-430.7
38559.6	-432.8
38601.2	-424.4
38642.8	-428.9
38684.5	-427.1
38726.2	-426.3
38768.1	-434.3
38810.2	-428.8
38852.3	-423.2
38895	-436
38937.9	-434
38981.5	-436.9
39025.4	-436
39069.9	-435.5
39115	-436.9
39160.5	-435.5
39206.8	-435.9
39253.4	-441.9
39300.9	-443
39348.6	-442.4
39396.9	-436.8
39445.5	-443.3
39494.4	-434.7
39543.6	-438.7
39592.9	-434.2
39642.1	-436.5
39691.3	-430.9
39740.2	-437.3
39789.1	-434.2
39837.7	-433.3
39886.3	-439.6
39934.6	-439
39982.7	-438.3
40030.8	-430.9
40078.6	-433
40126.4	-431.3
40174.1	-439.1
40221.8	-441.2
40269.4	-440.2
40316.9	-440.1
40364.3	-440.8
40411.8	-438.4
40459.1	-436.7
40506.4	-444.3
40553.7	-436.8
40600.8	-436
40648	-434.5
40695	-433.3
40742	-439.4
40788.9	-431.7
40835.8	-426.5
40882.5	-433.2
40929.2	-433.4
40975.7	-434.9
41022.3	-439.4
41068.7	-427.8
41115.2	-441
41161.7	-434.7
41208.2	-440.4
41254.7	-435.7
41301.3	-437.3
41348	-441.9
41394.8	-438.2
41441.8	-440.9
41488.9	-440.5
41536.3	-440.6
41583.9	-442.5
41631.9	-442.4
41680	-437.4
41728.5	-441.5
41777	-433.2
41825.8	-437.2
41874.8	-438.3
41923.8	-433.3
41972.9	-433.4
42021.9	-434.7
42071	-438.9
42120	-428.6
42168.8	-439.3
42217.5	-433.8
42266	-435.8
42314.3	-411.2
42362.2	-428.6
42409.9	-430.5
42457.3	-430.2
42504.2	-431.3
42550.9	-427.8
42597.1	-429.1
42643.2	-433.2
42688.7	-429.1
42734	-436.4
42779.1	-435.8
42824	-426.9
42868.8	-429.7
42913.5	-432.3
42958.2	-435.6
43003	-436.6
43047.9	-432.4
43093.1	-433.6
43138.5	-435.1
43184.3	-431.5
43230.4	-438.8
43276.9	-440.4
43323.6	-438.4
43370.7	-436.3
43418.2	-437.7
43465.9	-441.1
43513.9	-435.3
43562	-441
43610.5	-443.2
43659.1	-441.6
43707.7	-440.7
43756.5	-433.2
43805.2	-430.3
43854	-438.7
43902.7	-438
43951.4	-436.8
44000	-435
44048.3	-428
44096.6	-440
44144.7	-435.4
44192.6	-438
44240.3	-433.3
44287.8	-433.2
44335.1	-431.9
44382.3	-431.3
44429.4	-435.6
44476.2	-432.8
44522.9	-428.6
44569.3	-429.7
44615.7	-434.1
44661.8	-425.7
44707.8	-431.7
44753.5	-429.8
44799	-430.2
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
