# EPICA Dome C Ice Core Cl, Na and NO3 Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2484
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc-na-cl-no3.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2005
# --------------------
# Title 
#	Study_Name: EPICA Dome C Ice Core Cl, Na and NO3 Data
# --------------------
# Investigators
#	Investigators:  Röthlisberger, R.; Hutterli, M.A.; Sommer, S.; Wolff, E.W.; Mulvaney, R. 
# --------------------
# Description_and_Notes
# 	Description: Chemical records obtained by continuous flow analysis (CFA) and ion chromatography (IC).  
#	Data from 0 to 44850 yr BP are from EDC96 ice core 
# 
#	Dating according to EPICA Dome C ice core timescale EDC1. 
#	ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 
#
#	Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl
#	
# --------------------
# Publication
#	Authors: R. Rothlisberger, M.A. Hutterli, S. Sommer, E.W. Wolff, and R. Mulvaney
#	Published_Date_or_Year: 2000
#	Published_Title: Factors controlling nitrate in ice cores: Evidence from the Dome C deep ice core
#	Journal_Name: Nature
#	Volume: 105			
#	Edition: 	
#	Issue: D16
#	Pages: 20565-20572
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: In order to estimate past changes in atmospheric NOx concentration, nitrate, an oxidation product of NOx, has often been measured in polar ice cores. In the frame of the European Project for Ice Coring in Antarctica (EPICA), a high-resolution nitrate record was obtained by continuous flow analysis (CFA) of a new deep ice core drilled at Dome C. This record allows a detailed comparison of nitrate with other chemical trace substances in polar snow under different climatic regimes. Previous studies showed that it would be difficult to make firm conclusions about atmospheric NOx concentrations based on ice core nitrate without a better understanding of the factors controlling NO3- deposition and preservation. At Dome C, initially high nitrate concentrations (over 500 ppb) decrease within the top meter to steady low values around 15 ppb that are maintained throughout the Holocene ice. Much higher concentrations (averaging 53 ppb) are found in ice from the Last Glacial Maximum (LGM). Combining this information with data from previous sampling elsewhere in Antarctica, it seems that under climatic conditions of the Holocene, temperature and accumulation rate are the key factors determining the NO3- concentration in the ice. Furthermore, ice layers with high acidity show a depletion of NO3-, but higher concentrations are found before and after the acidity layer, indicating that NO3- has been redistributed after deposition. Under glacial conditions, where NO3- shows a higher concentration level and also a larger variability, non-sea-salt calcium seems to act as a stabilizer, preventing volatilization of NO3- from the surface snow layers.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: EPICA Dome C
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 00Epic01
#	Earliest_Year: 44799
#	Most_Recent_Year: 38.1
#	Time Unit: yb 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,years before 1950,,,,,N ****age before 1950
##delD		del D,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yb_1950	delD
3117.3	-387.9
3136.1	-404.4
3155.1	-401.1
3174.1	-403.4
3193.2	-391.8
3212.4	-400.5
3231.6	-406.2
3250.8	-392.7
3270	-400
3289.2	-401.9
3308.3	-391.3
3327.5	-399.8
3346.6	-404.2
3365.5	-395.6
3384.4	-397.2
3403.3	-398.2
3422	-396.6
3440.7	-395.6
3459.3	-392.7
3477.8	-401.8
3496.2	-387.3
3514.6	-394.6
3532.9	-397.2
3551.2	-394.5
3569.4	-399.5
3587.6	-389.9
3605.8	-390.8
3623.9	-394.4
3642.1	-391.7
3660.4	-389.2
3678.7	-401.6
3697.1	-387.2
3715.6	-387.8
3734.3	-404.9
3752.9	-388.9
3771.8	-394.9
3790.7	-393.8
3809.8	-399.6
3828.9	-400.9
3848.1	-391
3867.3	-396.1
3886.6	-398.5
3905.8	-396.5
3925.1	-397.8
3944.3	-392.9
3963.5	-398.7
3982.7	-398.9
4001.9	-390.6
4021	-390.4
4040.1	-402.3
4059.3	-389.9
4078.4	-390.3
4097.5	-398.8
4116.6	-397.8
4135.7	-394.9
4154.9	-392.2
4174	-404.7
4193.2	-391.2
4212.3	-387.3
4231.5	-396.4
4250.7	-387
4270	-398.1
4289.3	-401.4
4308.7	-395.2
4328	-393.4
4347.4	-394.9
4366.8	-397.1
4386.2	-400.6
4405.6	-393
4425.1	-387.1
4444.5	-397.5
4464	-390.4
4483.6	-399.3
4503.2	-397.5
4522.8	-399.9
4542.5	-395
4562.2	-394.1
4581.9	-393.4
4601.6	-398.4
4621.4	-395.1
4641.3	-396
4661.2	-397.3
4681.1	-389.3
4701	-399.6
4720.9	-402.3
4740.9	-396.7
4760.8	-397.2
4780.6	-402
4800.3	-396.9
4820	-390.9
4839.7	-393.4
4859.2	-395.9
4878.8	-395.1
4898.3	-392.7
4917.9	-389
4937.5	-397.9
4957.1	-398.9
4976.7	-396.8
4996.3	-396.6
5015.9	-392.7
5035.5	-400.6
5055	-396.3
5074.5	-395.6
5094	-393.3
5113.5	-391.4
5133	-391.3
5152.5	-393.2
5172.1	-397.6
5191.6	-395.8
5211.2	-403.1
5230.9	-396.3
5250.6	-390.6
5270.4	-396
5290.3	-390.6
5310.3	-396.3
5330.5	-394.5
5350.8	-391.4
5371.2	-407.6
5391.7	-401.2
5412.3	-402.4
5432.8	-395
5453.3	-402.5
5473.6	-407.9
5493.9	-399.6
5514	-394.6
5534.1	-387.2
5553.9	-396.2
5573.7	-394
5593.3	-399.1
5612.9	-395.2
5632.3	-396
5651.7	-400.4
5671	-391.1
5690.2	-399.2
5709.4	-386.2
5728.6	-398.9
5747.8	-389
5767.1	-388.4
5786.4	-400.4
5805.7	-392.7
5825.2	-391
5844.8	-392.5
5864.5	-397.7
5884.2	-399.8
5904.1	-398.7
5924	-403.7
5943.9	-397.4
5963.8	-391.7
5983.7	-394.5
6003.5	-396.8
6023.5	-399.2
6043.3	-394
6063.2	-391.4
6083.1	-403.5
6103.1	-389.5
6123.2	-399.9
6143.2	-397.4
6163.4	-398.6
6183.6	-394.1
6203.9	-398.4
6224.2	-401.7
6244.5	-392.6
6265	-395.4
6285.5	-402.1
6306	-403.6
6326.4	-396.5
6346.9	-402.5
6367.4	-398.8
6387.9	-397
6408.4	-389.4
6428.9	-395
6449.5	-404.9
6470.1	-402.2
6490.9	-389.2
6511.7	-397
6532.5	-401.8
6553.4	-398.4
6574.3	-407.8
6595.3	-395.4
6616.1	-403.1
6637	-406.1
6657.8	-390.4
6678.5	-392.6
6699.3	-395.7
6719.9	-402.9
6740.5	-401.9
6761	-401.2
6781.5	-400.4
6801.9	-397.5
6822.2	-389.4
6842.6	-395.4
6863	-387.9
6883.4	-398.3
6904	-398.7
6924.7	-401.3
6945.5	-396.8
6966.5	-395.6
6987.7	-402.5
7009	-399.5
7030.5	-397.8
