# Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:17380
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/wu2014/wu2014-f1b.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-11-04
#--------------------
# Title
#	Study_Name: Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#--------------------
# Description_and_Notes
#	Description: Monthly data from Porites lobata
#--------------------
# Publication 
#       Authors: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#       Published_Date_or_Year: 2014     
#       Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll)
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 412
#       Edition: 
#       Issue: 
#       Pages: 208-222
#       DOI: 10.1016/j.palaeo.2014.07.039
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: Sub-seasonally resolved and replicated coral Sr/Ca time series at Clipperton Atoll (10�18'N, 109�13'W) in the eastern Pacific are assessed as a sea surface temperature (SST) proxy in this region with small seasonal SST variability. The composite coral Sr/Ca time series is a partially replicated record of three live and one sub- modern colony of Porites lobata extending back to 1874. Large inter-colony coral Sr/Ca offsets equate to relative SST differences of 0.6 to 4.3 �C and limit the ability to reconstruct absolute SST changes. Moreover, the replication method revealed a 12-year section of growth in one colony where mean Sr/Ca was anomalously low (~1 �C higher SST) relative to the other colonies without evidence of diagenesis or other significant skeletal alterations. The presence of this anomalous interval supports the need for multi-coral Sr/Ca replication in specific sites or re- gions. The Clipperton Composite Sr/Ca anomaly record is significantly coherent (r = 0.71�0.76, p b 0.001) with gridded instrumental SSTs but with larger amplitude decadal variance that appears to more accurately represent actual SST variability at Clipperton. The amplitude of the secular warming trend during the last century at Clipperton is 0.3 to 0.6 �C larger (~twice as large) than the trend in the poorly �ground-truthed� instrumental SST records for the region. The interannual and decadal variability in Clipperton coral Sr/Ca demonstrates strong coherence to the Pacific Decadal Oscillation and the El Nin~o/Southern Oscillation (ENSO) with reduced ENSO variability from 1920 to late 1930s and enhanced variability in the late twentieth century.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation
#       Grant: SGER ATM9409368
#------------------
# Site_Information 
#       Site_Name: Clipperton Atoll
#       Location: Ocean>Pacific Ocean>Eastern Pacific Ocean
#	Country: France  
#	Northernmost_Latitude: 10.3 
# 	Southernmost_Latitude: 10.3 
# 	Easternmost_Longitude: -109.216667 
# 	Westernmost_Longitude: -109.216667 
# 	Elevation: -2 m  
#------------------
# Data_Collection   
#	Collection_Name: 00epac05a 
#	Earliest_Year: 1941.95833475 
#	Most_Recent_Year: 1993.95833267
#	Time_Unit: Years AD 
#	Core_Length:
#	Notes: Prevous name - Clipperton F1B Sr/Ca Isotopes Wu14
#------------------
# Species
#	Species_Name: Porites lobata
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N				
##Sr/Ca		Strontium/Calcium, Porites lobata, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d18o	delta 18 Oxygen, Porites lobata, , per mil VPDB, , Corals and Sclerosponges, , ,N 				
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d18o	Sr/Ca
1947.2083	-5.169815494	9.055736606
1947.1250	-5.17389937	9.097032616
1947.0417	-5.219071232	9.04797761
1946.9583	-5.316764976	8.958191017
1946.8750	-5.280061775	9.004687292
1946.7917	-5.322554175	9.052194796
1946.7083	-5.497054503	8.999926411
1946.6250	-5.501392772	8.923176545
1946.5417	-5.428793899	8.929437753
1946.4583	-5.380008534	8.876039209
1946.3750	-5.25592726	8.934855579
1946.2917	-5.169814337	8.974825763
1946.2083	-5.204460641	9.068409265
1946.1250	-5.208829907	9.108650225
1946.0417	-5.311892994	9.032817855
1945.9583	-5.398660731	9.011174811
1945.8750	-5.434657405	9.017800933
1945.7917	-5.427650192	9.013415959
1945.7083	-5.453255304	8.993247026
1945.6250	-5.411559736	8.975002915
1945.5417	-5.420813183	8.936963036
1945.4583	-5.486586992	8.895994663
1945.3750	-5.389850369	8.929731084
1945.2917	-5.353614202	8.959854521
1945.2083	-5.257280364	9.079924815
1945.1250	-5.185279647	9.112232514
1945.0417	-5.186521774	9.070787429
1944.9583	-5.254543732	9.027496795
1944.8750	-5.406733227	8.919409339
1944.7917	-5.533060985	8.846389028
1944.7083	-5.526348099	8.853406661
1944.6250	-5.525687893	8.830593993
1944.5417	-5.511215697	8.820002931
1944.4583	-5.489668912	8.78452154
1944.3750	-5.383799452	8.953332739
1944.2917	-5.184663445	8.942963572
1944.2083	-4.962431128	9.011302827
1944.1250	-5.101279116	9.089143351
1944.0417	-5.229184875	9.078925163
1943.9583	-5.317602513	9.021125295
1943.8750	-5.377033871	8.97514511
1943.7917	-5.403702094	8.953578454
1943.7083	-5.386156288	8.885257391
1943.6250	-5.393553863	8.896491971
1943.5417	-5.416434622	8.896741667
1943.4583	-5.45157742	8.830261116
1943.3750	-5.507246471	8.892502885
1943.2917	-5.417902099	8.873224281
1943.2083	-5.53977898	8.927155121
1943.1250	-5.470831264	8.9962387
1943.0417	-5.407999958	8.910812057
1942.9583	-5.554444051	8.908329213
1942.8750	-5.669017055	8.930855245
1942.7917	-5.611486647	8.921785925
1942.7083	-5.605547168	8.92673247
1942.6250	-5.606529431	8.898631699
1942.5417	-5.586019339	8.835638257
1942.4583	-5.529384887	8.772954064
1942.3750	-5.378875021	8.800058307
1942.2917	-5.325116927	8.85680241
1942.2083	-5.427823233	8.923595281
1942.1250	-5.443540795	8.988778427
1942.0417	-5.392974033	9.002720969
1941.9583	-5.369431594	8.947750202
1941.8750	-5.356297499	8.902391354
1941.7917	-5.349604517	8.863638266
1941.7083	-5.383126068	8.871161487
1941.6250	-5.426444116	8.887692661
1941.5417	-5.43079997	8.830891051
1941.4583	-5.431966286	8.795850215
1941.3750	-5.430282209	9.080920522
1941.2917	-5.337808303	8.987058978
1941.2083	-5.413291671	8.942435449
1941.1250	-5.581993634	9.004233513
1941.0417	-5.601182485	8.915934918
1940.9583	-5.559201014	8.863646548
1940.8750	-5.361357061	8.91522672
1940.7917	-5.255156607	8.971608436
1940.7083	-5.278834178	8.949012183
1940.6250	-5.302511819	8.888694065
1940.5417	-5.32618939	8.884457941
1940.4583	-5.34986696	8.873982536
1940.3750	-5.373544602	8.963247226
1940.2917	-5.397222172	8.952152453
1940.2083	-5.420899743	9.01386981
1940.1250	-5.444577384	9.077553938
1940.0417	-5.468254955	9.068185686
1939.9583	-5.491932526	9.047322742
1939.8750	-5.515610167	9.024345042
1939.7917	-5.524534727	8.997758478
1939.7083	-5.472063695	8.957153262
1939.6250	-5.431697774	8.925990285
1939.5417	-5.467747784	8.939349322
1939.4583	-5.475147795	8.951881551
1939.3750	-5.395456087	8.979263306
1939.2917	-5.303683409	9.022802757
1939.2083	-5.241838078	9.037258117
1939.1250	-5.266701297	9.055725772
1939.0417	-5.334231538	9.027240192
1938.9583	-5.38961574	9.022968068
1938.8750	-5.516722286	8.972103815
1938.7917	-5.547802854	8.913986779
1938.7083	-5.583421408	8.95746545
1938.6250	-5.605599493	8.904610655
1938.5417	-5.555222941	8.80592117
1938.4583	-5.479894433	8.805991166
1938.3750	-5.437507124	8.864021673
1938.2917	-5.411704937	8.96138427
1938.2083	-5.318412934	9.080611809
1938.1250	-5.004179815	9.11905759
1938.0417	-5.044697511	9.061607573
1937.9583	-5.207056947	9.005350922
1937.8750	-5.360788866	8.952013676
1937.7917	-5.442900684	8.908716012
1937.7083	-5.437524166	8.934171575
1937.6250	-5.451544229	8.938914596
1937.5417	-5.461309903	8.92794762
1937.4583	-5.424349267	8.93368388
1937.3750	-5.348127571	8.88740144
1937.2917	-5.30487684	8.950533244
1937.2083	-5.295164729	8.932678535
1937.1250	-5.308227375	8.953138095
1937.0417	-5.229242597	8.973498394
1936.9583	-5.261734001	8.96776611
1936.8750	-5.396031653	8.92913255
1936.7917	-5.393963749	8.950905312
1936.7083	-5.339091891	8.985362834
1936.6250	-5.363575576	8.923008758
1936.5417	-5.375849124	8.886455199
1936.4583	-5.351145454	8.921060985
1936.3750	-5.432710589	8.890728779
1936.2917	-5.303503754	8.915589895
1936.2083	-5.298129879	9.033619395
1936.1250	-5.170696943	9.090687545
1936.0417	-5.176152066	8.977617703
1935.9583	-5.212281866	8.976439233
1935.8750	-5.228340297	8.965306585
1935.7917	-5.182026462	8.953948739
1935.7083	-5.291775736	8.947509171
1935.6250	-5.319325792	8.895578382
1935.5417	-5.310834328	8.900533132
1935.4583	-5.285490587	8.817649648
1935.3750	-5.426803333	8.874266501
1935.2917	-5.418306506	8.855680157
1935.2083	-5.331684404	8.879584228
1935.1250	-5.245349641	9.032769922
1935.0417	-5.071250069	9.028958929
1934.9583	-5.047812902	8.982551098
1934.8750	-5.052739456	8.970064931
1934.7917	-5.00090517	9.005787254
1934.7083	-5.061406331	8.962545571
1934.6250	-5.173070457	8.979621077
1934.5417	-5.243062096	8.980866371
1934.4583	-5.244850629	8.939135536
1934.3750	-5.26489803	8.951675865
1934.2917	-5.242158933	8.888135292
1934.2083	-5.222385336	8.881026667
1934.1250	-5.242378575	8.997034796
1934.0417	-5.290804265	8.964029717
1933.9583	-5.344037691	8.905021794
1933.8750	-5.369644315	8.876430446
1933.7917	-5.354944323	8.892216143
1933.7083	-5.341010628	8.906561748
1933.6250	-5.343850563	8.893431013
1933.5417	-5.352337051	8.8710508
1933.4583	-5.346605855	8.859817987
1933.3750	-5.308931782	8.881262752
1933.2917	-5.298913169	8.889023154
1933.2083	-5.303506455	8.814920425
1933.1250	-5.365469553	8.870295653
1933.0417	-5.322240331	8.80803416
1932.9583	-5.358991294	8.814617826
1932.8750	-5.400122994	8.771208514
1932.7917	-5.428488008	8.838247102
1932.7083	-5.466333553	8.890884544
1932.6250	-5.445884228	8.896028298
1932.5417	-5.471551581	8.917032077
1932.4583	-5.485127714	8.895705802
1932.3750	-5.491316931	8.904702082
1932.2917	-5.536698667	8.885383613
1932.2083	-5.541042451	8.893805895
1932.1250	-5.575391493	9.032522775
1932.0417	-5.531347688	9.013717794
1931.9583	-5.436329319	8.919581381
1931.8750	-5.424687762	8.927577747
1931.7917	-5.595034353	8.84661439
1931.7083	-5.53441253	8.88151771
1931.6250	-5.558375652	8.895302962
1931.5417	-5.640272676	8.916263306
1931.4583	-5.665503129	8.859339685
1931.3750	-5.613281374	8.801773009
1931.2917	-5.619365203	8.86238347
1931.2083	-5.566378206	8.952171599
1931.1250	-5.376661562	8.977571689
1931.0417	-5.42314494	8.935368189
1930.9583	-5.472549988	8.895374157
1930.8750	-5.46923596	8.877093313
1930.7917	-5.483787968	8.892025361
1930.7083	-5.505977173	8.900838546
1930.6250	-5.532825869	8.869999605
1930.5417	-5.553992647	8.871002045
1930.4583	-5.571960469	8.865663824
1930.3750	-5.553736346	8.861835898
1930.2917	-5.625857388	8.918409144
1930.2083	-5.810186624	8.946667822
1930.1250	-5.391927748	8.974937879
1930.0417	-5.354703923	8.948113558
1929.9583	-5.448137735	8.978755648
1929.8750	-5.489863469	8.976845871
1929.7917	-5.503563572	8.994825545
1929.7083	-5.514598364	8.979790732
1929.6250	-5.520646676	8.948360235
1929.5417	-5.495475364	8.907618023
1929.4583	-5.428774475	8.836848184
1929.3750	-5.362417615	8.899319522
1929.2917	-5.40848325	8.967338327
1929.2083	-5.446868416	9.059402534
1929.1250	-5.456145477	9.047473655
1929.0417	-5.415877533	8.971042904
1928.9583	-5.409656908	8.930031093
1928.8750	-5.40820545	8.987323899
1928.7917	-5.518355437	9.013155285
1928.7083	-5.619048755	9.006367017
1928.6250	-5.666819179	9.011575452
1928.5417	-5.759702043	8.988193828
1928.4583	-5.605231594	8.978784939
1928.3750	-5.527486259	8.993377928
1928.2917	-5.439149566	8.970050934
1928.2083	-5.542676083	9.012848907
1928.1250	-5.235843875	9.038836091
1928.0417	-5.30482911	9.014863968
1927.9583	-5.363454911	8.958538175
1927.8750	-5.433382092	8.977384642
1927.7917	-5.473225846	8.962961431
1927.7083	-5.250265783	8.962381221
1927.6250	-5.495664248	8.903493183
1927.5417	-5.555414333	8.944438685
1927.4583	-5.528511819	8.832278235
1927.3750	-5.211140157	8.859840286
1927.2917	-5.276934585	8.904835133
1927.2083	-5.425086845	8.957476309
1927.1250	-5.388737596	9.022499163
1927.0417	-5.331522365	8.993274887
1926.9583	-5.425601397	8.95309189
1926.8750	-5.321641006	8.94138163
1926.7917	-5.411133544	8.859696869
1926.7083	-5.483065483	8.907447015
1926.6250	-5.49190203	8.912676746
1926.5417	-5.464303539	8.844125142
1926.4583	-5.549044881	8.80369245
1926.3750	-5.628579163	8.85541281
1926.2917	-5.505979211	8.972792491
1926.2083	-5.636107847	9.016506936
1926.1250	-5.487642409	9.023034442
1926.0417	-5.425135133	8.969647694
1925.9583	-5.418572738	8.898240199
1925.8750	-5.424638653	8.876429829
1925.7917	-5.476028464	8.932082563
1925.7083	-5.794219798	8.949499642
1925.6250	-5.732063726	8.920212358
1925.5417	-5.550093531	8.889964431
1925.4583	-5.525774836	8.910167485
1925.3750	-5.50482471	8.897557016
1925.2917	-5.364942011	9.013358813
1925.2083	-5.440677687	8.976947977
1925.1250	-5.444280301	9.066554181
1925.0417	-5.360759164	9.052594475
1924.9583	-5.285954929	9.050126996
1924.8750	-5.253599252	9.02270026
1924.7917	-5.280385198	8.960499469
1924.7083	-5.308319922	8.901459073
1924.6250	-5.348212213	8.895938074
1924.5417	-5.392231649	8.908890061
1924.4583	-5.426563444	8.929133154
1924.3750	-5.495059415	8.967502245
1924.2917	-5.429649007	8.966047669
1924.2083	-5.3391614	9.002022989
1924.1250	-5.422715338	9.015362126
1924.0417	-5.540617935	8.928328634
1923.9583	-5.61824648	8.919966893
1923.8750	-5.685136808	8.950231544
1923.7917	-5.723285779	8.955297456
1923.7083	-5.623328736	8.968283134
1923.6250	-5.486000721	8.963093809
1923.5417	-5.528789594	8.894253065
1923.4583	-5.590021685	8.91196959
1923.3750	-5.447963825	9.002256513
1923.2917	-5.258332724	9.039884061
1923.2083	-5.236308282	9.103645267
1923.1250	-5.068886596	9.050833302
1923.0417	-5.187733316	9.066286451
1922.9583	-5.317063141	9.072393141
1922.8750	-5.346303708	9.029968228
1922.7917	-5.27857359	8.950507421
1922.7083	-5.287643224	8.933262027
1922.6250	-5.390341369	8.931580473
1922.5417	-5.475189631	8.919478326
1922.4583	-5.478901863	8.904265026
1922.3750	-5.491853478	8.984309806
1922.2917	-5.396713346	9.02598334
1922.2083	-5.365952018	9.106890833
1922.1250	-5.336175636	9.091884989
1922.0417	-5.335329596	9.005689049
1921.9583	-5.19430148	9.017102629
1921.8750	-5.129079569	8.985372677
1921.7917	-5.287318742	8.947904707
