# TALDICE Ice Core 8-25KYrBP Oxygen Isotope Data 
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:9891
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/talos/taldice2010d18o-8-25k.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2010
# --------------------
# Title 
#	Study_Name: TALDICE Ice Core 8-25KYrBP Oxygen Isotope Data 
# --------------------
# Investigators
#	Investigators: Stenni, B.; Buiron, D.; Frezzotti, M.; Albani, S.; Barbante, C.; Bard, E.; Barnola, J.M.; Baroni, M.; Baumgartner, M.; Bonazza, M.; Capron, E.; Castellano, E.; Chappellaz, J.; Delmonte, B.; Falourd, S.; Genoni, L.; Iacumin, P.; Jouzel, J.; Kipfstuhl, S.; Landaid, A.; Lemieux-Dudon, B.; Maggi, V.; Masson-Delmotte, V.; Mazzola, C.; Minster, B.; Montagnat, M.; Mulvaney, R.; Narcisi, B.; Oerter, H.; Parrenin, F.; Petit, J.R.; Ritz, C.; Scarchilli, C.; Schilt, A.; Schupbach, S.; Schwander, J.; Selmo, E.; Severi, M.; Stocker, T.F.; Uditsi, R. 
# --------------------
# Description_and_Notes
# 	Description: Oxygen isotope profile from 512m to 898m in the TALDICE Project Talos Dome Ice Core.  Optimal accuracy of ± 0.05‰ (1 sigma). 
#	TD is a peripheral dome of East Antarctica, located in the Ross Sea sector about 250 km from the Southern Ocean, 550 km north of 
#	Taylor Dome and 1100 km east of EDC. The TALDICE coring site (159°11'E 72°49'S; 2315 m a.s.l.; annual mean temperature -41°C) is located near the dome summit and is characterised by a snow accumulation rate of 80 mm water equivalent per year (average 2004-1259 AD). 
#
# --------------------
# Publication
#	Authors: B. Stenni, D. Buiron, M. Frezzotti, S. Albani, C. Barbante, E. Bard, J.M. Barnola, M. Baroni, M. Baumgartner, M. Bonazza, E. Capron, E. Castellano, J. Chappellaz, B. Delmonte, S. Falourd, L. Genoni, P. Iacumin, J. Jouzel, S. Kipfstuhl, A. Landais, B. Lemieux-Dudon, V. Maggi, V. Masson-Delmotte, C. Mazzola, B. Minster, M. Montagnat, R. Mulvaney, B. Narcisi, H. Oerter, F. Parrenin, J.R. Petit, C. Ritz, C. Scarchilli, A. Schilt, S. Schüpbach, J. Schwander, E. Selmo, M. Severi, T.F. Stocker, and R. Udisti
#	Published_Date_or_Year: 2010
#	Published_Title: 
#	Journal_Name: Nature Geoscience
#	Volume: 4
#	Edition: 	
#	Issue: 1
#	Pages: 46-49
#	DOI: 10.1038/NGEO1026 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: Ice-core records of climate from Greenland and Antarctica show 
asynchronous temperature variations on millennial timescales 
during the last glacial period. The warming during the transition 
from glacial to interglacial conditions was markedly different 
between the hemispheres, a pattern attributed to the thermal 
bipolar see-saw. However, a record from the Ross Sea sector 
of East Antarctica has been suggested to be synchronous with 
Northern Hemisphere climate change.  Here we present a temperature 
record from the Talos Dome ice core, also located in the Ross Sea 
sector. We compare our record with ice-core analyses from Greenland, 
based on methane synchronization, and find clearly asynchronous 
temperature changes during the deglaciation. We also find distinct 
differences in Antarctic records, pointing to differences in the 
climate evolution of the Indo-Pacific and Atlantic sectors of 
Antarctica. In the Atlantic sector, we find that the rate of 
warming slowed between 16,000 and 14,500 years ago, parallel 
with the deceleration of the rise in atmospheric carbon dioxide 
concentrations and with a slight cooling over Greenland. 
In addition, our chronology supports the hypothesis that the 
cooling of the Antarctic Cold Reversal is synchronous with the 
Bølling-Allerød warming in the northern hemisphere 14,700 years ago.

# --------------------
# Funding_Agency
#	Funding_Agency_Name: Talos Dome Ice Core Project (TALDICE)
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Siple Dome 
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -72.8166
#	Southernmost_Latitude: -72.1866
#	Easternmost_Longitude: 159.133
#	Westernmost_Longitude: 159.133
#	Elevation: 2315 m
# --------------------
# Data_Collection
#	Collection_Name: 10TalD01
#	Earliest_Year: 25107 
#	Most_Recent_Year: 8023 
#	Time Unit: cal yr BP
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##calyr_BP	Age,,,calendar years before 1950,,,,,N        
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
calyr_BP	d18O
17950	-41.09
18014	-40.95
18081	-40.97
18151	-41.28
18220	-41.57
18286	-41.32
18357	-41.32
18421	-41.18
18487	-40.9
18561	-41.73
18623	-41.63
18678	-40.16
18763	-41.63
18818	-41.52
18889	-41.58
18954	-41.42
19017	-40.91
19090	-41.59
19152	-41.17
19221	-41.19
19284	-41.07
19354	-41.38
19442	-41.37
19531	-41
19627	-41.2
19719	-41.6
19816	-41.76
19909	-40.93
20023	-41.88
20103	-40.9
20210	-41.42
20302	-41.28
20402	-41.15
20492	-41.18
20585	-40.9
20692	-41.5
20790	-41.82
20888	-41.44
20992	-41.49
21093	-41.5
21193	-41.64
21291	-41.27
21399	-41.54
21499	-41.84
21601	-41.7
21713	-41.54
21827	-41.8
21934	NAN
22046	-41.03
22169	-41.95
22269	-41.13
22385	-41.19
22482	-40.83
22592	-41.24
22699	-41.11
22814	-41.3
22922	-41.34
23029	-41.19
23141	-41.28
23257	-41.55
23368	-41.25
23490	NAN
23612	-41.35
23737	-41.17
23861	-41.25
23977	-40.53
24114	-41.41
24233	-41.4
24354	-40.94
24489	-41.81
24610	-41.92
24732	-41.37
24855	-41.07
24982	-41.22
25107	-41.65
