# Antarctic & Greenland-GRIP Synchronization Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2438
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/iso_bl98.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1998
# --------------------
# Title 
#	Study_Name: Antarctic & Greenland-GRIP Synchronization Data
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Data from the synchronization of Antarctic records to the Greenland GRIP record:
#	********************************************************************************
#	The data was used for Figures 2 of Stauffer et al., 1998 and Blunier et al., 1998. 
#	These references should only be used referring to the synchronised Antarctic time scale 
#	but not to the original data.  References to the original data are also given above.
#
#	GRIP (Greenland IceCore Project)
#	================================
#	The GRIP time scale is the reference time scale. It's construction is described in 
#	Johnsen et al., 1992 and Johnsen et al., 1995 which should also be referenced in that respect. 
#	0 yr BP corresponds to 1989.
#
#	Antarctic synchronised time scales:
#	===================================
#	The Antarctic records are synchronised to the GRIP record via the fast variations of the 
#	global methane signal. The uncertainty of this synchronization is time dependent 
#	(see Blunier et al., 1998 and Stauffer et al., 1998 for details).
#	The Byrd time scale for the isotope and for the CO2 record differ. This is so since gas is 
#	occluded not at the surface of the ice sheet but in a depth of 50-100 m depending on the site 
#	characteristics. This makes a gas sample from a specific depth younger than the surrounding ice.
#	The time period 25-17 kyr BP was excluded from the synchronization, since only low CH4 variations 
#	appear during that period making the correlation uncertain.
#	Note: The CO2 time scale given here is not identical to the one published in Stauffer et al., 1998. 
#	The difference is in the order of 200yr and arises due to 
#	1) the exclusion of the time period 25-17 kyr BP which was used in Stauffer et al. 1998, and 
#	2) a stronger smoothing of the age scale derived from the CH4 synchronization.
#
#	Warnings:
#	=========
#	None of the used time scale is considered as absolute. Thus fluctuations in the annual layer 
#	thickness show up in the synchronised Antarctic cores. This variations must not be taken as real. 
#	However the synchronization is not dependent on absolute time scale. The reliability of the 
#	synchronization is higher on the Byrd side since Vostok has an ice age gas age difference 
#	10 fold larger than the Byrd one.
#
# --------------------
# Publication
#	Authors: T. Blunier, J. Chappellaz, J. Schwander, A. Dällenbach, B. Stauffer, T. F. Stocker, D. Raynaud, J. Jouzel, H. B. Clausen, C. U. Hammer & S. J. Johnsen
#	Published_Date_or_Year: 1998-02-13
#	Published_Title: Asynchrony of Antarctic and Greenland climate change during the last glacial period
#	Journal_Name: Nature
#	Volume: 394
#	Edition: 	
#	Issue: 
#	Pages: 739-743
#	DOI: doi:10.1038/29447 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A central issue in climate dynamics is to understand how the Northern and Southern hemispheres are coupled during climate events. The strongest of the fast temperature changes observed in Greenland (so-called Dansgaard–Oeschger events) during the last glaciation have an analogue in the temperature record from Antarctica. A comparison of the global atmospheric concentration of methane as recorded in ice cores from Antarctica and Greenland permits a determination of the phase relationship (in leads or lags) of these temperature variations. Greenland warming events around 36 and 45 kyr before present lag their Antarctic counterpart by more than 1 kyr. On average, Antarctic climate change leads that of Greenland by 1–2.5 kyr over the period 47–23 kyr before present.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: GRIP
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 72.58
#	Southernmost_Latitude: 72.58
#	Easternmost_Longitude: 37.63
#	Westernmost_Longitude: 37.63
#	Elevation: 302 8m
# --------------------
# Data_Collection
#	Collection_Name: 98GRIP01
#	Earliest_Year: 49968
#	Most_Recent_Year: 10004
#	Time Unit: yb 1989
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_yb1989	Age,,,years before 1989,,,,,N
##d18O		d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data
#
age_yb1989	d18O
10004	-34.93
10010	-34.95
10016	-34.45
10023	-35.16
10029	-35.2
10036	-35.33
10043	-36.02
10049	-34.98
10056	-34.73
10062	-35.07
10068	-34.15
10075	-35.65
10081	-34.55
10088	-35.02
10094	-35.69
10101	-35.38
10107	-34.57
10114	-35.73
10121	-35.67
10128	-35.66
10135	-35.62
10141	-35.26
10148	-35.58
10155	-35.96
10162	-36.02
10169	-36.01
10176	-35.06
10183	-35.99
10190	-35.33
10196	-35.52
10203	-35.47
10210	-35.07
10217	-35.47
10223	-35.85
10231	-36.14
10237	-34.75
10244	-34.52
10250	-35.14
10257	-36.28
10265	-36.15
10272	-36.92
10280	-36.08
10287	-36.26
10294	-36.41
10302	-35.8
10309	-35.33
10315	-35.36
10322	-34.96
10329	-35.29
10335	-35.55
10342	-34.99
10349	-35.77
10356	-34.56
10362	-35.09
10369	-35.55
10376	-34.52
10383	-36.51
10390	-35.29
10397	-35.26
10404	-36.57
10411	-35.3
10418	-36.35
10426	-35.13
10432	-35.71
10440	-35.55
10447	-37.16
10455	-35.84
10462	-35.93
10469	-36.41
10477	-35.25
10484	-35.77
10491	-34.78
10497	-35.52
10504	-35.68
10511	-35.58
10518	-35.59
10526	-36.39
10533	-35.99
10540	-35.56
10548	-35.8
10555	-35.7
10562	-36.55
10570	-36.29
10577	-35.43
10584	-34.43
10591	-37.02
10599	-35.77
10606	-36.48
10614	-36.1
10622	-36.62
10629	-35.67
10637	-36.29
10644	-35.63
10651	-35.51
10658	-35.25
10665	-36.36
10673	-36.7
10681	-35.96
10688	-35.85
10696	-36.74
10704	-35.23
10711	-37.19
10720	-37.85
10729	-36.08
10736	-36.78
10744	-36.55
10752	-36.45
10760	-36.34
10768	-37.16
10776	-36.32
10784	-35.95
10791	-35.99
10799	-36.6
10807	-36.99
10815	-35.98
10823	-36.56
10831	-36.55
10839	-36.98
10847	-36.35
10855	-36.58
10863	-36.53
10871	-37.42
10879	-35.58
10887	-35.61
10894	-35.96
10902	-36.74
10910	-36.21
10917	-35.71
10925	-36.78
10933	-35.78
10941	-36.72
10949	-36.32
10957	-35.9
10964	-36.42
10973	-37.74
10982	-36.84
10990	-37.01
10999	-37.22
11007	-36.22
11015	-36.73
11023	-35.98
11031	-37.09
11040	-37.11
11049	-37.94
11058	-36.07
11066	-37.11
11074	-36.57
11082	-36.67
11091	-37.51
11100	-36.55
11108	-36.44
11116	-36.19
11124	-37.89
11134	-37.05
11142	-36.27
11150	-36.81
11158	-36.17
11166	-36.23
11174	-35.19
11181	-35.76
11189	-37.19
11197	-35.89
11205	-36.08
11214	-38
11223	-36.51
11231	-36.88
11240	-36.56
11248	-37.58
11258	-37.19
11266	-36.38
11275	-37.89
11284	-37.3
11293	-37.51
11303	-38.44
11314	-38.35
11324	-38.04
11333	-36.63
11343	-38.5
11353	-37.81
11362	-37.15
11372	-37.93
11381	-37.99
11391	-36.55
11399	-36.99
11408	-36.84
11416	-36.37
11425	-37.75
11435	-37.54
11444	-37.17
11452	-35.51
11460	-35.93
11468	-36.36
11476	-36.37
11485	-37.49
11493	-35.82
11502	-37.02
11510	-36.83
11519	-36.36
11528	-37.48
11536	-36.22
11545	-36.14
11554	-38.62
11564	-35.77
11572	-36.78
11581	-37.73
11591	-37.85
11601	-38.77
11613	-38.67
11626	-40.83
11643	-40.79
11657	-39.46
11669	-39.1
11682	-39.91
11697	-40.57
11716	-42.22
11732	-38.92
11746	-40.28
11763	-41.84
11779	-39.07
11793	-40.93
11812	-41.69
11830	-40.77
11845	-39.87
11859	-40.61
11874	-39.5
11887	-39.44
11902	-41.08
11917	-40.08
11932	-40.32
11947	-40.14
11961	-39.98
11975	-39.82
11989	-40.07
12004	-40.56
12021	-41.21
12037	-39.89
12052	-41.09
12068	-39.87
12083	-40.76
12101	-41.49
12116	-38.25
12130	-41.31
12148	-41.14
12166	-40.81
12180	-39.44
12197	-41.76
12214	-40.06
12231	-41.39
12249	-41.11
12264	-38.96
12278	-40.26
12294	-41.12
12312	-40.98
12327	-39.4
12341	-40.69
12357	-40.47
12373	-40.65
12391	-41.58
12411	-41.51
12430	-41.28
12449	-41.83
12467	-39.92
12484	-41.85
12505	-41.68
12523	-40.78
12542	-41.52
12562	-41.93
12584	-42.29
12607	-42.23
12628	-41.31
12645	-39.94
12661	-41.4
12677	-39.43
12691	-39.31
12704	-39.69
12717	-38.59
12729	-39.37
12742	-39.12
12753	-37.07
12763	-38.43
