# Baffin Island 500 Year Summer Temperature Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:5465
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/soper_2000.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2003-10
#--------------------
# Title
#	Study_Name: Baffin Island 500 Year Summer Temperature Reconstruction
#--------------------
# Investigators
#       Investigators: Hughen, K.A.; Overpeck, J.T.; Anderson, R.F. 
#--------------------
# Description_and_Notes
#	Description: Summer temperature reconstruction based on laminae thickness in sediments from Upper Soper Lake, Baffin Island, Canada.   62�55'N 69�53'W
#--------------------
# Publication 
#       Authors: Hughen, K.A.; Overpeck, J.T.; Anderson, R.F. 
#       Published_Date_or_Year: 2000
#       Published_Title: Recent Warming in a 500-Year Paleotemperature Record from Varved Sediments: Upper Soper Lake, Baffin Island, Canada.
#       Journal_Name: The Holocene
#       Volume: 10
#       Edition: 
#       Issue: 
#       Pages: 9-19
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Hughen, K.A., J.T. Overpeck, R.F. Anderson. 2000. Recent Warming in a 500-Year Paleotemperature Record from Varved Sediments: Upper Soper Lake, Baffin Island, Canada. The Holocene Vol. 10, no. 1, pp. 9-19
#       Abstract: Laminated sediments from Upper Soper Lake on southern Baffin Island provide a new 500-year record of temperature change in the Arctic. Radiometric dating, using 210 Pb and Pu, shows that the light- and dark-coloured laminae couplets are annually deposited varves. Dark laminae thickness is strongly correlated to average June temperature from Kimmirut (r = 0.82), reflecting the influence of temperature on snowmelt and fluxes of runoff and suspended sediment. This relationship allowed the construction of a palaeotemperature record that documents large-amplitude interannual to decadal variability superimposed on distinct century-scale trends, including 2°C average warming and maximum temperatures during the 1900s. Similar patterns of change are seen in individual and regionally averaged palaeotemperature records from around the circum-Arctic. Upper Soper Lake records temperatures, rates of change and variance during the twentieth century that are all anomalously high within the context of the last 500 years, and outside the observed range of natural variability. Comparisons of Upper Soper Lake and Arctic average palaeotemperature to proxy-records of hypothesized forcing mechanisms suggest that the recent warming trend is mostly due to anthropogenic emissions of atmospheric greenhouse gases. The magnitude of the warming and decade-scale variability throughout the records, however, indicate that natural forcing mechanisms such as changing solar irradiance and volcanic activity, as well as positive feedbacks within the Arctic environment, also play an important role. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Upper Soper Lake, Baffin Island, Canada
#       Location: North America>Canada
#	Country: Canada
#	Northernmost_Latitude: 62.9167 
# 	Southernmost_Latitude: 62.9167 
# 	Easternmost_Longitude: -69.8833 
# 	Westernmost_Longitude: -69.8833 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 00cana01a 
#	Earliest_Year: 514
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Lake Cores, , ,N
##varve	varve thickness, varve sediment, , , , Lake Cores, , ,N
##sst	varve thickness-based sea surface temperature reconstruction, , ,degrees C, , Lake Cores, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	varve	sst
1992	0.233285	3.375493
1991	0.272100	3.744506
1990	0.238300	3.426489
1989	0.759170	6.204588
1988	0.219195	3.226124
1987	0.417490	4.770901
1986	0.683860	5.954103
1985	0.714730	6.059962
1984	1.017823	6.907557
1983	0.527210	5.330355
1982	0.391927	4.619406
1981	0.673580	5.917788
1980	0.382587	4.561577
1979	0.262427	3.657717
1978	0.183265	2.796883
1977	1.232467	7.366343
1976	0.353817	4.374140
1975	0.644537	5.812113
1974	0.581627	5.565872
1973	0.533340	5.358072
1972	0.235703	3.400219
1971	0.724870	6.093738
1970	0.312130	4.073578
1969	0.680483	5.942236
1968	0.252843	3.568522
1967	0.410013	4.727574
1966	0.278340	3.798869
1965	0.615080	5.699955
1964	0.392410	4.622361
1963	0.295757	3.944388
1962	0.444540	4.921421
1961	1.084843	7.060451
1960	1.156807	7.214444
1959	0.239663	3.440167
1958	0.250973	3.550724
1957	0.254583	3.584966
1956	0.286897	3.871465
1955	0.932217	6.696912
1954	0.778020	6.263393
1953	0.656697	5.856926
1952	0.770067	6.238757
1951	0.953200	6.750281
1950	0.207800	3.098126
1949	1.440433	7.740193
1948	1.372267	7.623957
1947	0.182780	2.790530
1946	0.207570	3.095471
1945	0.502853	5.216947
1944	0.280547	3.817802
1943	0.331533	4.218175
1942	0.136219	2.085586
1941	0.152943	2.363238
1940	0.193037	2.921432
1939	0.171520	2.638082
1938	0.174653	2.681486
1937	0.356983	4.395503
1936	0.324623	4.167674
1935	0.606373	5.665773
1934	0.353733	4.373576
1933	0.255753	3.595959
1932	0.175483	2.692853
1931	0.343293	4.301748
1930	0.234900	3.392034
1929	0.423017	4.802432
1928	0.234343	3.386345
1927	0.185563	2.826765
1926	0.270393	3.729420
1925	0.239823	3.441767
1924	0.758800	6.203419
1923	0.183990	2.806349
1922	0.215480	3.185140
1921	0.204469	3.059381
1920	0.275893	3.777700
1919	0.108241	1.534374
1918	0.145490	2.243453
1917	0.157137	2.428089
1916	0.134480	2.054781
1915	0.209163	3.113805
1914	0.157807	2.438291
1913	0.146527	2.260476
1912	0.172620	2.653409
1911	0.181500	2.773680
1910	0.164423	2.536769
1909	0.141523	2.177176
1908	0.170623	2.625515
1907	0.170837	2.628510
1906	0.220340	3.238615
1905	0.185763	2.829347
1904	0.345813	4.319284
1903	0.270577	3.731045
1902	0.198073	2.983187
1901	0.212877	3.155997
1900	0.157647	2.435858
1899	0.216270	3.193914
1898	0.231133	3.353276
1897	0.248960	3.531413
1896	0.275610	3.775236
1895	0.176103	2.701309
1894	0.173347	2.663481
1893	0.161753	2.497516
1892	0.200190	3.008673
1891	0.271120	3.735855
1890	0.262530	3.658661
1889	0.327733	4.190535
1888	0.239383	3.437364
1887	0.215950	3.190364
1886	0.216147	3.192546
1885	0.240050	3.444032
1884	0.210600	3.130217
1883	0.163287	2.520137
1882	0.187213	2.847990
1881	0.166550	2.567581
1880	0.291713	3.911384
1879	0.193650	2.929038
1878	0.178903	2.739131
1877	0.202930	3.041266
1876	0.191147	2.897841
1875	0.239123	3.434758
1874	0.453200	4.967680
1873	0.264955	3.680706
1872	0.188760	2.867716
1871	0.170910	2.629539
1870	0.258067	3.617548
1869	0.318320	4.120661
1868	0.204360	3.058103
1867	0.180453	2.759814
1866	0.192623	2.916292
1865	0.168670	2.597908
1864	0.177833	2.724748
1863	0.141763	2.181239
1862	0.126773	1.913286
1861	0.193310	2.924824
1860	0.217623	3.208871
1859	0.217777	3.210559
1858	0.214893	3.178603
1857	0.154460	2.386897
1856	0.190935	2.895185
1855	0.172865	2.656809
1854	0.213945	3.167999
1853	0.191310	2.899889
1852	0.246120	3.503905
1851	0.152023	2.348772
1850	0.142990	2.201896
1849	0.152214	2.351777
1848	0.167537	2.581743
1847	0.219457	3.228984
1846	0.320230	4.135004
1845	0.204457	3.059236
1844	0.192370	2.913137
1843	0.180260	2.757244
1842	0.241507	3.458537
1841	0.198820	2.992209
1840	0.257087	3.608426
1839	0.183740	2.803089
1838	0.217543	3.207989
1837	0.171680	2.640317
1836	0.168707	2.598429
1835	0.230180	3.343367
1834	0.251803	3.558640
1833	0.298020	3.962667
1832	0.169073	2.603634
1831	0.181467	2.773240
1830	0.246180	3.504489
1829	0.206283	3.080562
1828	0.184827	2.817227
1827	0.261973	3.653572
1826	0.197350	2.974416
1825	0.249897	3.540416
1824	0.225330	3.292308
1823	0.197650	2.978058
1822	0.410940	4.732987
1821	0.290580	3.902051
1820	0.315467	4.099072
1819	0.198033	2.982703
1818	0.170267	2.620497
1817	0.315913	4.102465
1816	0.275783	3.776744
1815	0.279010	3.804633
1814	0.319463	4.129257
1813	0.189283	2.874354
1812	0.207993	3.100355
1811	0.211197	3.137000
1810	0.170894	2.629320
1809	0.158540	2.449407
1808	0.121290	1.807273
1807	0.158680	2.451523
1806	0.158750	2.452580
1805	0.196185	2.960220
1804	0.486000	5.135213
1803	0.336610	4.254610
1802	0.430290	4.843306
1801	0.215235	3.182412
1800	0.257455	3.611859
1799	0.332490	4.225083
1798	0.215500	3.185362
1797	0.159350	2.461625
1796	0.196930	2.969308
1795	0.178245	2.730292
1794	0.319090	4.126454
1793	0.178385	2.732174
1792	0.197240	2.973079
1791	0.216115	3.192195
1790	0.159800	2.468386
1789	0.197475	2.975934
1788	0.141107	2.170113
1787	0.197620	2.977694
1786	0.310670	4.062337
1785	0.122430	1.829702
1784	0.174296	2.676569
1783	0.136660	2.093336
1782	0.179140	2.742300
1781	0.198070	2.983147
1780	0.198145	2.984055
1779	0.235975	3.402981
1778	0.254945	3.588369
1777	0.259755	3.633183
1776	0.165355	2.550317
1775	0.179595	2.748382
1774	0.241120	3.454695
1773	0.179725	2.750117
1772	0.118280	1.747022
1771	0.194050	2.933985
1770	0.222520	3.262220
1769	0.184710	2.815714
1768	0.222670	3.263836
1767	0.199055	2.995041
1766	0.184895	2.818114
1765	0.203930	3.053052
1764	0.241950	3.462934
1763	0.403380	4.688467
1762	0.213630	3.164466
1761	0.185205	2.822130
1760	0.161515	2.493981
1759	0.180570	2.761363
1758	0.218660	3.220265
1757	0.244090	3.484047
1756	0.149036	2.301183
1755	0.152257	2.352449
1754	0.136440	2.089473
1753	0.203133	3.043668
1752	0.142870	2.199883
1751	0.174680	2.681852
1750	0.216030	3.191252
1749	0.149360	2.306395
1748	0.216167	3.192768
1747	0.225770	3.296985
1746	0.174943	2.685464
1745	0.162270	2.505162
1744	0.216423	3.195613
1743	0.203753	3.050974
