# Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:13121
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/domefuji/df2012isotope-temperature.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 
# --------------------
# Title 
#	Study_Name: Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Stable isotope data (d18O and dD) and temperature reconstruction 
#	from Dome Fuji ice cores, Antarctica for the past 360,000 years. 
#	Data from core DF1 are deltaD (Uemura et al., 2004) and delta18O 
#	(Watanabe et al., 2003). The data-set is corrected and updated 
#	in Uemura et al. (2012). Data from core DF2 includes deltaD 
#	and delta18O (Uemura et al., 2012). Temperature estimates are 
#	based on combined isotope data from both cores (Uemura et al., 2012). 
#
#	The age scale adopted here is the Dome Fuji Ice Core O2/N2 timescale 
#	(DFO-2006) (Kawamura et al., 2007). 
#
#	Dome Fuji Station Core Site, East Antarctica: 
#	77°19'N, 39°42'E, 3810m elevation  
#
# --------------------
# Publication
#	Authors: R. Uemura, V. Mason-Delmotte, J. Jouzel, A. Landais, H. Motoyama, B. Stenni
#	Published_Date_or_Year: 2012
#	Published_Title: Ranges of moisture-source temperature estimated from Antarctic ice cores stable isotope records over glacial-interglacial cycles
#	Journal_Name: Climate of the Past
#	Volume: 8
#	Edition: 	
#	Issue: 3
#	Pages: 1109-1125
#	DOI: 10.5194/cp-8-1109-2012 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A single isotope ratio (dD or d18O) of water is widely used as an 
air-temperature proxy in Antarctic ice core records. These isotope 
ratios, however, do not solely depend on air-temperature but also 
on the extent of distillation of heavy isotopes out of atmospheric 
water vapor from an oceanic moisture source to a precipitation site. 
The temperature changes at the oceanic moisture source (DeltaTsource) 
and at the precipitation site (DeltaTsite) can be retrieved by using 
deuterium-excess (d) data. A new d record from Dome Fuji, Antarctica 
spanning the past 360 000 yr is presented and compared with records 
from Vostok and EPICA Dome C ice cores. In previous studies, to retrieve 
DeltaTsource and DeltaTsite information, different linear regression 
equations were proposed using theoretical isotope distillation models. 
A major source of uncertainty lies in the coefficient of regression, 
Bsite which is related to the sensitivity of d to DeltaTsite. We show 
that different ranges of temperature and selections of isotopic 
model outputs may increase the value of Bsite by more than 
a factor of two. To explore the impacts of this coefficient on 
reconstructed temperatures, we apply for the first time the exact 
same methodology to the isotope records from the three 
Antarctica ice cores. We show that uncertainties in the Bsite 
coefficient strongly affect (i) the glacial-interglacial magnitude 
of DeltaTsource; (ii) the imprint of obliquity in DeltaTsource 
and in the site-source temperature gradient. By contrast, we 
highlight the robustness of DeltaTsite reconstruction using water 
isotopes records. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: JSPS Postdoctoral Fellowships for Resarch Abroad
#	Grant:
#	Funding_Agency_Name: Grant-in-Aid for scientific research
#	Grant: 2122102
# --------------------
# Site_Information
#	Site_Name: Dome Fuji
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 12Fuji02
#	Earliest_Year: 360.9
#	Most_Recent_Year: 0.03
#	Time Unit: kyb 2k
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##kyb_2k	Age,,,kilo years before 2k,,,,,N
##delD	delD,,,per mil SMOW,,ice cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
kyb_2k	delD
26.45	-463.14
26.6	-466.23
26.67	-469.63
27.07	-462.14
27.25	-454.86
27.44	-465.84
27.82	-462.17
28	-457.69
28.19	-464.22
28.37	-459.03
28.51	-460.2
28.7	-460.56
28.88	-455.53
29.25	-464.39
29.47	-463.23
29.62	-456.91
29.99	-465.96
30.19	-459.99
30.38	-466.41
30.75	-456.72
30.95	-468.69
31.14	-469.02
31.52	-461.11
31.71	-456.93
31.89	-463.26
32.18	-457.82
32.4	-458.17
32.59	-459.7
32.81	-458.88
33.13	-453.47
33.31	-460.13
33.5	-458.66
33.87	-461.16
34.29	-461.82
34.65	-449.3
34.82	-451.63
35	-457.62
35.18	-453.61
35.55	-452.11
35.73	-460.27
35.91	-459.02
36.28	-451.19
36.47	-447.84
36.65	-450.89
37.17	-443.38
37.35	-450.44
37.7	-460.11
37.85	-454.58
38.02	-452.04
38.37	-447.59
38.54	-452.28
38.72	-455.98
39.12	-454.14
39.34	-460.47
39.49	-458.9
39.88	-456.2
40.08	-459.76
40.28	-453.64
40.66	-454.76
40.84	-460.46
41.03	-455.81
41.61	-452.65
41.8	-455.1
42.18	-457.67
42.36	-452.06
42.55	-454.78
42.94	-459.35
43.18	-451.66
43.34	-454.21
43.74	-457.71
43.94	-460.1
44.13	-454.58
44.51	-449.84
44.69	-448.72
44.87	-454.14
45.05	-450.83
45.23	-452.59
45.4	-446.86
45.57	-435.96
45.91	-455.54
46.1	-457.03
46.29	-448.14
46.66	-449.13
46.85	-457.75
47.04	-447.06
47.45	-461
47.65	-456.99
47.85	-449.93
48.25	-453.42
48.45	-450.01
48.65	-454.07
49.07	-455.93
49.28	-453.78
49.48	-452.84
49.88	-452.47
50.08	-452.62
50.28	-450.46
50.67	-445.97
50.86	-457.04
51.06	-451.1
51.45	-446.01
51.63	-445.07
51.82	-447.29
52.18	-444.53
52.37	-438.33
52.56	-449.63
52.95	-446.05
53.16	-451.67
53.36	-444.93
53.77	-452.25
53.97	-454.09
54.16	-445.22
54.57	-455.62
54.78	-450.31
54.99	-455.49
55.43	-453.83
55.64	-449.56
55.84	-445.93
56.25	-448.58
56.45	-450.77
56.65	-444.82
57.06	-453.91
57.26	-447.19
57.46	-447.1
57.84	-437.99
58.03	-451.42
58.23	-450.22
58.62	-446.5
58.81	-443.68
59.01	-443.98
59.21	-450.04
59.63	-452.6
59.85	-451.22
60.28	-455.02
60.5	-455.79
60.73	-455.41
60.95	-453.98
61.4	-457.65
61.63	-463.04
62.11	-460.14
62.35	-466.12
62.59	-462.32
63.07	-451.64
63.31	-461.24
63.55	-455.78
64.04	-463.51
64.3	-463.44
64.55	-459.93
65.07	-458.66
65.34	-463.8
65.61	-464.15
66.09	-466.64
66.36	-460.59
66.63	-465.6
66.89	-462.6
67.17	-466.71
67.44	-458.61
67.72	-468.55
68	-463.44
68.27	-462.33
68.53	-462.01
68.79	-461.87
69.05	-462.65
69.33	-461.09
69.61	-463.67
69.88	-460.38
70.15	-463.95
70.41	-455.73
70.67	-458.14
70.91	-451.53
71.14	-451.08
71.38	-453.85
71.63	-457.07
71.87	-458.76
72.11	-453.23
72.37	-453.39
72.62	-461.03
72.89	-460.64
73.16	-456.24
73.41	-447.95
73.65	-448.59
73.9	-455.23
74.05	-449.4
74.38	-454.11
74.62	-446.44
74.85	-448.38
75.07	-444.65
75.3	-448.55
75.54	-453.1
75.69	-445.56
76.04	-443.81
76.19	-451.69
76.29	-460.16
76.55	-457.49
76.81	-444.43
77.01	-442.46
77.31	-449.56
77.56	-451.48
77.81	-447.22
78.06	-453.76
78.31	-457.75
78.56	-450.99
78.81	-446.8
79.05	-445.46
79.3	-453.01
79.53	-448.29
79.76	-447.84
80	-441.44
80.23	-447.83
80.46	-443.14
80.69	-441.03
80.91	-440.63
81.13	-436.84
81.34	-439.91
81.56	-442.37
81.79	-442.7
82.02	-438.97
82.27	-442.86
82.52	-435.29
82.77	-443.77
83.01	-439.07
83.25	-443.7
83.48	-429.28
83.72	-436.22
83.94	-435.94
84.17	-434.04
84.41	-435.32
84.63	-433.98
84.86	-431.45
85.08	-435.56
85.32	-440.15
85.55	-433.14
85.69	-434.05
86.03	-436.02
86.28	-441.51
86.53	-439.73
86.79	-442.52
87.06	-448.32
87.33	-440.32
87.6	-448.67
87.87	-444.32
88.15	-442.88
88.32	-444.89
88.72	-447.95
89.01	-447.69
89.29	-447.13
