# Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:13121
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/domefuji/df2012isotope-temperature.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 
# --------------------
# Title 
#	Study_Name: Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Stable isotope data (d18O and dD) and temperature reconstruction 
#	from Dome Fuji ice cores, Antarctica for the past 360,000 years. 
#	Data from core DF1 are deltaD (Uemura et al., 2004) and delta18O 
#	(Watanabe et al., 2003). The data-set is corrected and updated 
#	in Uemura et al. (2012). Data from core DF2 includes deltaD 
#	and delta18O (Uemura et al., 2012). Temperature estimates are 
#	based on combined isotope data from both cores (Uemura et al., 2012). 
#
#	The age scale adopted here is the Dome Fuji Ice Core O2/N2 timescale 
#	(DFO-2006) (Kawamura et al., 2007). 
#
#	Dome Fuji Station Core Site, East Antarctica: 
#	77°19'N, 39°42'E, 3810m elevation  
#
# --------------------
# Publication
#	Authors: R. Uemura, V. Mason-Delmotte, J. Jouzel, A. Landais, H. Motoyama, B. Stenni
#	Published_Date_or_Year: 2012
#	Published_Title: Ranges of moisture-source temperature estimated from Antarctic ice cores stable isotope records over glacial-interglacial cycles
#	Journal_Name: Climate of the Past
#	Volume: 8
#	Edition: 	
#	Issue: 3
#	Pages: 1109-1125
#	DOI: 10.5194/cp-8-1109-2012 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A single isotope ratio (dD or d18O) of water is widely used as an 
air-temperature proxy in Antarctic ice core records. These isotope 
ratios, however, do not solely depend on air-temperature but also 
on the extent of distillation of heavy isotopes out of atmospheric 
water vapor from an oceanic moisture source to a precipitation site. 
The temperature changes at the oceanic moisture source (DeltaTsource) 
and at the precipitation site (DeltaTsite) can be retrieved by using 
deuterium-excess (d) data. A new d record from Dome Fuji, Antarctica 
spanning the past 360 000 yr is presented and compared with records 
from Vostok and EPICA Dome C ice cores. In previous studies, to retrieve 
DeltaTsource and DeltaTsite information, different linear regression 
equations were proposed using theoretical isotope distillation models. 
A major source of uncertainty lies in the coefficient of regression, 
Bsite which is related to the sensitivity of d to DeltaTsite. We show 
that different ranges of temperature and selections of isotopic 
model outputs may increase the value of Bsite by more than 
a factor of two. To explore the impacts of this coefficient on 
reconstructed temperatures, we apply for the first time the exact 
same methodology to the isotope records from the three 
Antarctica ice cores. We show that uncertainties in the Bsite 
coefficient strongly affect (i) the glacial-interglacial magnitude 
of DeltaTsource; (ii) the imprint of obliquity in DeltaTsource 
and in the site-source temperature gradient. By contrast, we 
highlight the robustness of DeltaTsite reconstruction using water 
isotopes records. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: JSPS Postdoctoral Fellowships for Resarch Abroad
#	Grant:
#	Funding_Agency_Name: Grant-in-Aid for scientific research
#	Grant: 2122102
# --------------------
# Site_Information
#	Site_Name: Dome Fuji
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 12Fuji02
#	Earliest_Year: 360.9
#	Most_Recent_Year: 0.03
#	Time Unit: kyb 2k
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##kyb_2k	Age,,,kilo years before 2k,,,,,N
##delD	delD,,,per mil SMOW,,ice cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
kyb_2k	delD
146.89	-461.52
147.17	-454.68
147.34	-455.93
147.61	-456.2
147.78	-454.39
148.04	-456.64
148.21	-452.18
148.46	-457.78
148.64	-460.12
148.9	-455.6
149.07	-453.76
149.32	-452
149.49	-452.18
149.74	-456.56
149.91	-450.87
150.16	-452.71
150.34	-452.21
150.65	-459.12
150.88	-454.25
151.1	-455.64
151.43	-455.82
151.77	-456.61
152	-455.27
152.36	-462.15
152.59	-458.06
152.95	-458.69
153.19	-461.52
153.57	-462.88
153.81	-460.22
154.17	-461.85
154.41	-463.74
154.79	-465.37
155.06	-465.64
155.46	-464.01
155.72	-462.43
156.13	-468.9
156.26	-463.25
156.8	-462.57
157.06	-464.35
157.45	-465.8
157.71	-459.07
158.09	-465.42
158.36	-460.29
158.76	-465.52
159.02	-462.56
159.38	-449.3
159.62	-451.25
159.96	-455.89
160.19	-454.72
160.55	-462
160.78	-453.68
161.14	-457.91
161.39	-458.73
161.76	-458.75
162.01	-463.54
162.39	-459.43
162.51	-454.25
162.98	-450.86
163.19	-448.58
163.51	-456.49
163.74	-454.66
164.1	-454.18
164.34	-449.33
164.67	-459.4
164.77	-458.63
165.2	-460.09
165.43	-462.32
165.77	-461.03
166.09	-464.6
166.41	-458.96
166.85	-455.18
167.18	-458.02
167.51	-456.41
167.95	-451.36
168.36	-451.43
168.67	-452.69
168.97	-447.51
169.27	-452.14
169.67	-456.24
169.98	-450.69
170.71	-449
171.03	-452.35
171.36	-457.45
171.8	-453.39
172.14	-454.82
172.57	-449.68
172.87	-451.53
173.16	-451.12
173.45	-445.8
173.84	-447.34
174.2	-452.38
174.98	-458.29
175.26	-460.57
175.65	-452.18
176.06	-456.87
176.31	-454.43
176.72	-455.92
177.25	-455.24
177.57	-453.76
178	-450.23
178.48	-449.02
178.78	-456.3
179.21	-447.14
179.68	-450.84
179.97	-449.7
180.4	-446.87
180.94	-462.03
181.31	-462.7
181.82	-457.06
182.4	-463.5
182.75	-458.37
183.26	-459.92
183.85	-465.23
184.22	-462.11
184.74	-467.53
185.34	-455.4
185.72	-460.12
186.25	-460.64
186.78	-459.19
187.09	-464.37
187.5	-462.76
187.97	-454.58
188.27	-455.96
188.66	-450.26
189.1	-453.36
189.37	-449.3
189.74	-437.81
190.42	-458.28
190.8	-447.84
191.23	-456.52
191.5	-452.6
191.87	-449.05
192.32	-458.56
192.62	-454.72
193.02	-452.67
193.45	-444.76
193.7	-445.17
194.06	-443.94
194.48	-446.33
194.75	-451.57
195.13	-449.2
195.55	-449.94
195.8	-447.6
196.16	-438.71
196.55	-444.82
196.78	-436.5
197.01	-434.47
197.23	-440.97
197.73	-431.53
198.24	-430.17
198.49	-434.59
198.74	-428.93
199	-434.02
199.49	-423.46
199.73	-428.21
199.98	-418.42
200.47	-427.63
200.7	-428.38
200.94	-425.47
201.43	-438.67
201.7	-431.66
201.97	-438.23
202.53	-438.17
202.79	-438.26
203.08	-436.91
203.66	-445.99
203.97	-447.58
204.29	-447.73
204.95	-446.12
205.28	-450.78
205.61	-441.22
206.26	-447.31
206.57	-445.07
207.19	-439.2
207.49	-440.33
207.8	-448.35
208.11	-436.62
208.72	-434.49
209.04	-442.34
209.69	-441.63
210.05	-435.62
210.4	-439.14
210.76	-438.46
211.43	-434.32
211.75	-429.61
212.07	-431.15
212.7	-436.01
213.01	-432.42
213.32	-421.43
213.93	-430.11
214.24	-435.29
214.55	-424.71
215.17	-421.09
215.48	-428.65
215.79	-428.74
216.55	-428.13
216.74	-425.79
217.05	-430.4
217.65	-418.76
217.94	-423.14
218.48	-429.81
219.15	-433.38
219.49	-428.8
220.17	-433.98
220.52	-436.94
220.9	-438.18
221.6	-440.74
221.92	-440.36
222.11	-438.54
222.38	-435.2
222.52	-444.96
222.66	-445.5
223.07	-443.01
223.3	-449.69
223.52	-449.53
223.83	-447.44
223.98	-452.18
224.14	-450.12
224.62	-447.93
224.87	-455.4
225.11	-448.66
225.45	-455.26
225.62	-461.83
225.79	-459.87
226.31	-458.12
226.57	-461.5
226.83	-459.89
227.2	-455.04
227.37	-456.88
227.54	-453.88
228.02	-450.41
228.27	-455.28
228.57	-442.88
228.82	-447.39
228.96	-444.41
229.12	-450.03
229.6	-453.94
229.86	-457.02
230.12	-454.03
230.48	-466.12
230.67	-464.33
230.85	-456.47
231.36	-458.35
231.61	-455.99
231.84	-449.9
232.15	-454.18
232.3	-458.25
232.47	-460.27
232.8	-456.4
233.2	-459.43
233.44	-456.48
233.77	-452.83
233.93	-454.11
234.09	-449.58
234.55	-453.61
234.78	-455.56
235.02	-451.7
235.32	-450.42
235.47	-451.06
235.77	-450.73
236.06	-447.95
236.28	-447.31
236.49	-444.49
236.87	-439
237.27	-440.83
237.39	-437.69
237.52	-441.62
237.78	-444.16
238.03	-433.65
238.15	-435.23
238.28	-435.27
238.4	-433.45
238.53	-436.75
238.78	-433.5
239.02	-434.05
239.12	-433.7
239.24	-433.39
239.47	-435.54
240.16	-434.58
240.28	-433.7
240.39	-427.91
240.51	-428.14
240.75	-428.35
241.01	-423.41
241.13	-426.5
241.26	-430.51
241.38	-425.77
241.5	-425.5
241.73	-421.36
241.96	-416.94
242.19	-418.22
242.4	-413.58
242.51	-405.89
242.62	-410.74
242.82	-410.01
242.92	-403.7
243.02	-401.98
243.21	-407.73
243.4	-405.74
243.61	-407
243.81	-411.77
244.26	-412.07
244.49	-420.71
244.74	-426.74
245.13	-428.2
245.54	-433.21
245.83	-438.57
246.45	-446.76
246.75	-447.08
247.1	-449.53
247.81	-450.31
248.16	-442.47
248.5	-441.64
249.54	-452.75
250.09	-456.74
251.01	-451.82
251.39	-455.05
251.98	-454.35
252.58	-460.1
252.99	-456.9
253.41	-454.93
253.83	-459.37
254.27	-456.38
254.48	-455.33
254.69	-459.49
255.11	-454.71
255.53	-456.09
255.73	-451.16
255.95	-456.56
256.15	-450.8
256.76	-452.36
257.17	-451.72
257.37	-452.4
257.57	-448.34
257.76	-449.81
257.95	-451.74
258.34	-456.06
258.75	-450.08
258.96	-455.62
259.16	-460.84
259.37	-454.07
259.57	-452.31
259.98	-454.34
260.18	-452.27
260.39	-457.82
260.79	-453.42
261	-451.25
261.21	-454.48
261.43	-458.76
261.65	-453.44
262.07	-448.05
262.45	-452.61
262.65	-450.6
262.85	-450.18
263.05	-452.23
263.25	-455.83
263.66	-455.27
264.07	-452.43
264.29	-455.16
264.5	-456.96
264.72	-453.85
264.94	-457.36
265.39	-457.78
265.85	-461.62
266.09	-458.2
266.33	-458.82
266.57	-457.11
266.81	-460.47
267.29	-460.96
267.78	-461.2
268.03	-459.01
268.32	-461.58
268.61	-464.02
268.9	-463.81
269.49	-465.86
270.1	-465.75
270.41	-463.95
270.73	-464.38
271.04	-462.12
271.34	-465.21
271.96	-464.89
272.57	-463.56
272.89	-464.46
273.2	-461.12
273.52	-459.71
273.84	-462.33
274.46	-464.18
275.06	-460.45
275.37	-462.82
275.69	-461.15
276.03	-462.45
276.34	-460.19
276.97	-459.25
277.56	-461.3
277.86	-461.55
278.18	-464.1
279.14	-461.34
281.68	-459.55
281.84	-460.45
282.09	-454.29
282.34	-457.01
282.81	-453.67
283.28	-450.47
283.51	-446.74
283.7	-451.52
283.93	-448.55
284.14	-452.34
284.58	-451.39
284.8	-448.95
285.02	-447.66
285.47	-442.26
285.89	-444.22
286.11	-445.76
286.31	-443.37
286.7	-440.89
286.9	-439.25
287.1	-440.05
287.3	-440.69
287.49	-439.66
287.87	-440.1
288.27	-437.09
288.46	-438.82
288.66	-437.04
289.05	-434.55
289.24	-436.93
289.43	-442.2
289.62	-438.78
289.82	-431.8
290.21	-433.61
290.39	-436.33
290.59	-439.08
290.95	-443.13
291.36	-441.69
291.56	-441.29
291.76	-442.02
291.97	-438.96
292.18	-442.96
292.61	-447.72
292.82	-445.3
293.04	-446.26
293.51	-449.97
293.99	-450.64
294.21	-442.23
294.44	-449.85
294.67	-449.72
294.91	-453.86
295.37	-449.79
295.6	-445.33
296.05	-447.18
296.52	-449.16
297	-452.53
297.25	-451.78
297.51	-454.38
297.77	-453.31
298.03	-455.05
298.57	-456.94
299.07	-448.82
299.32	-455.58
299.56	-449.59
299.8	-451.66
300.04	-451
300.51	-448.71
300.98	-444.37
301.21	-448.53
301.46	-451.66
301.7	-451.44
301.93	-453.62
302.4	-451.82
302.86	-449.76
303.09	-450.82
303.54	-450.11
303.77	-445.91
304.23	-449.42
304.45	-445.45
304.67	-449.02
305.1	-444.01
305.54	-444.07
305.75	-439.93
305.97	-448.53
306.43	-450.85
306.66	-448.07
306.89	-451.02
307.12	-449.08
307.34	-452.09
307.78	-451.91
308.01	-449.43
308.24	-448
308.7	-449.8
309.16	-444.14
309.38	-445.05
309.59	-448.64
310.01	-446.65
310.23	-446.63
310.44	-446.04
310.67	-442.08
310.89	-443.7
311.32	-445.15
311.53	-441.72
311.93	-440.83
312.14	-443.97
312.35	-441.53
312.57	-443.32
312.78	-439.43
313	-439.75
313.22	-437.3
313.45	-439.76
313.67	-433.68
313.9	-439.4
314.12	-432.96
314.34	-442.13
314.56	-434.96
314.79	-439.62
315.01	-441.07
315.22	-432.26
315.43	-432.54
315.64	-440.5
315.85	-439.08
316.27	-430.79
316.48	-430.1
316.69	-432.63
316.89	-431.37
317.1	-433.79
317.32	-441.99
317.54	-438.47
317.78	-443.61
318.03	-439.82
318.28	-446.49
318.53	-441.79
318.78	-447.4
319.04	-447.15
319.32	-452.04
319.59	-450.32
319.88	-450.53
320.16	-447.97
320.45	-453.21
320.73	-450.54
321.01	-447.7
321.28	-449.18
321.55	-447.44
321.8	-447.81
322.05	-442.31
322.31	-440.71
322.56	-446.79
322.83	-446.61
323.09	-445.24
323.34	-443.2
323.59	-441.71
323.84	-439.66
324.09	-441.13
324.32	-440.99
324.57	-439.79
324.8	-439.84
325.04	-439.36
325.28	-432.76
325.53	-436.4
325.77	-435.59
326.01	-434.66
326.24	-433.52
326.47	-435.75
326.7	-431.08
326.93	-429.7
327.16	-433.39
327.38	-432.88
327.6	-428.09
327.82	-431.68
328.04	-427.13
328.26	-430.65
328.48	-428.7
328.92	-422.59
329.13	-429.79
329.35	-426.85
329.76	-424.23
329.96	-420.98
330.16	-417.52
330.36	-421.12
330.56	-419.77
330.74	-422.93
330.94	-417.98
331.13	-418.91
331.33	-418.44
331.52	-422.6
331.72	-416.04
331.91	-417.36
332.1	-421.94
332.29	-421.51
332.48	-418.11
332.68	-419.92
332.87	-417.61
333.07	-419.43
333.26	-415.06
333.64	-413.91
333.84	-421.73
334.03	-416.47
334.21	-412.83
334.4	-407.32
334.58	-414.14
334.76	-406.63
334.94	-410.61
335.11	-402.43
335.27	-401.83
335.44	-401.13
335.6	-399.59
335.75	-398.48
335.91	-398.45
336.06	-395.58
336.22	-399.15
336.37	-398.87
336.52	-397.34
336.67	-395.36
336.82	-394.77
336.96	-397.19
337.12	-398.85
337.27	-398.1
337.43	-402.59
337.59	-403.07
337.77	-410.46
337.94	-408.76
338.12	-410.77
338.5	-421.21
338.72	-421.43
338.93	-427.17
339.15	-425.2
339.38	-427.16
339.6	-426.16
	
	
	
	
	
core	isotopes
	
	
(m)	
(m)	
(m)	
years	2000)
(permil	respect
(permil	respect
(permil	respect
	
age(kyrb2k)	del_D
296.89	-450.75
297.14	-451.96
297.39	-446.52
297.63	-450.87
297.88	-451.22
298.13	-453.02
298.38	-454.91
298.63	-453.44
298.87	-451.81
299.12	-452.73
299.37	-450.74
299.61	-450.84
299.85	-453.81
300.09	-451.84
300.32	-448.43
300.55	-448.67
300.79	-449.57
301.02	-448.22
301.26	-447.15
301.5	-450.77
301.74	-452.27
301.98	-457.17
302.21	-454.47
302.45	-453.67
302.68	-453.54
302.9	-451.44
303.13	-453.1
303.36	-449.96
303.58	-450.22
303.81	-444.43
304.04	-445.58
304.26	-446.21
304.49	-445.89
304.71	-452.34
304.92	-443.46
305.14	-448.37
305.35	-444.61
305.56	-437.77
305.77	-438.45
305.99	-450.16
306.22	-451.66
306.45	-449.48
306.69	-450.42
306.92	-447.28
307.15	-449.1
307.37	-448.65
307.61	-458.82
307.82	-456.52
308.04	-450.64
308.28	-447.94
308.51	-449.11
308.74	-446.12
308.98	-443.97
309.2	-445.56
309.41	-445.44
309.62	-453.11
309.83	-453.44
310.04	-447.43
310.25	-445.24
310.47	-446.09
310.7	-447.09
310.92	-447.51
311.14	-444.2
311.35	-440.51
311.56	-444.63
311.76	-445.21
311.96	-439.36
312.17	-443.37
312.39	-442.16
312.6	-445.77
312.83	-439.7
313.05	-436.24
313.27	-439.46
313.5	-437.65
313.72	-439.03
313.95	-434.64
314.17	-439.84
314.39	-437.77
314.61	-438.26
314.84	-439.65
315.06	-444.34
315.27	-433.43
315.48	-430.89
315.68	-437.7
315.91	-438.77
316.11	-440.42
316.32	-432.4
316.52	-432.17
316.72	-435.03
316.92	-431.41
317.13	-439.64
317.35	-442.65
317.58	-440.8
317.82	-443.44
318.07	-443.72
318.32	-446.45
318.57	-445.93
318.82	-446.03
319.08	-444.24
319.35	-447.48
319.64	-450.43
319.92	-452.64
320.21	-447.96
320.5	-454.77
320.78	-450.75
321.06	-450.25
321.33	-446.41
321.6	-451.91
321.84	-444.33
322.09	-442.29
322.35	-445.35
322.61	-443.38
322.87	-451.23
323.13	-445.42
323.38	-441.79
323.63	-442.26
323.88	-441.49
324.13	-440.71
324.37	-440.17
324.61	-441.17
324.84	-441.11
325.08	-438.5
325.32	-433.82
325.57	-435.54
325.81	-434.42
326.05	-433.67
326.28	-432.26
326.51	-436.24
326.73	-433.16
326.96	-435.3
327.19	-430.16
327.4	-430.28
327.63	-430.35
327.85	-429.32
328.07	-430.05
328.29	-426.78
328.51	-431.17
328.73	-429.41
328.94	-428.98
329.16	-427.42
329.37	-423.1
329.58	-425.31
329.79	-420.13
330	-421.29
330.2	-424.34
330.39	-423.21
330.59	-418.89
330.78	-421.91
330.97	-420.6
331.17	-424.69
331.36	-421.37
331.56	-420.66
331.75	-419.86
331.95	-419.92
332.14	-420.58
332.32	-421.44
332.52	-421.23
332.71	-416.44
332.91	-421.14
333.1	-414.97
333.27	-414.89
333.47	-417.3
333.68	-417.07
333.87	-419.32
334.07	-419.89
334.25	-417.42
334.43	-411.02
334.61	-412.37
334.8	-406.03
334.97	-409.97
335.14	-404.97
335.31	-398.67
335.47	-403.52
335.63	-402.9
335.78	-394.94
335.94	-395.69
336.09	-391.53
336.24	-394.46
336.4	-403.98
336.55	-396.51
336.7	-395.59
336.84	-395.61
336.99	-396.8
337.14	-400.75
337.3	-398.69
337.46	-402.3
337.62	-406.13
337.79	-405.06
337.97	-409.63
338.15	-407.82
338.34	-413.29
338.54	-420.62
338.75	-421.53
338.97	-427.31
339.19	-424.14
339.42	-429.24
339.66	-428.41
339.92	-428.95
340.2	-433.11
340.5	-432.39
340.79	-435.42
341.1	-436.35
341.41	-439.89
341.72	-438.93
341.94	-440.66
342.16	-447.78
342.38	-446.45
342.6	-448.51
342.83	-450.61
343.06	-457.88
343.29	-457.02
343.53	-458.37
343.78	-463.8
344.06	-465.15
344.35	-462.36
344.7	-466.23
345.04	-466.46
345.36	-464.47
345.69	-457.16
346.02	-463.61
346.35	-466.05
346.68	-461.42
347.01	-463.86
347.33	-460.04
347.66	-461.44
347.98	-456.87
348.3	-457.93
348.63	-462.85
348.95	-460.39
349.28	-456.82
349.6	-458.35
349.93	-461.1
350.25	-457.41
350.57	-449.45
350.89	-453.64
351.2	-452.05
351.52	-452.96
351.85	-454.6
352.18	-455.31
352.5	-454.64
352.83	-455.63
353.15	-455.68
353.48	-458.7
353.81	-457.24
354.14	-455.77
354.46	-455.7
354.79	-458.41
355.12	-457.37
355.46	-458.18
355.79	-462.04
356.13	-463.68
356.47	-457.23
356.81	-461.71
357.15	-463.27
357.49	-462.32
357.83	-462.2
358.18	-463.55
358.52	-463.3
358.87	-461.26
359.21	-460.03
359.55	-463.03
359.89	-460.31
360.23	-459.58
360.56	-452.22
360.9	-460.57
