# PAGES Ocean2K 400 Year Regional SST Reconstructions
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17955
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/pages2k/tierney2015sst-epacific.txt
#
# Archive: Climate Reconstructions
#---------------------------------------
# Contribution_Date
#    Date: 2015-03-03
#---------------------------------------
# Title
#    Study_Name: PAGES Ocean2K 400 Year Regional SST Reconstructions
#---------------------------------------
# Investigators
#      Investigators: Tierney, J.E; Abram, N.J.; Anchukaitis, K.J.; Evans, M.N.; Giry, C.; Kilbourne, K.H.; Saenger, C.P.; Wu, H.C.; Zinke, J.
#---------------------------------------
# Description and Notes
#        Description: This data set contains both the coral data and the resulting SST reconstructions compiled and produced by the PAGES Ocean2K project. 
#	 The coral data, including both raw and annualized data, are available in matlab (.mat) format. All of the iterations of the reconstructions, 
#	 and corresponding skill statistics (Figure 2 of the Paleoceanography manuscript), are available in matlab (.mat) format. The "best" reconstructions, 
#	 defined as the reconstruction iteration having the highest cumulative RE (reduction of error) value, are available in both matlab (.mat) format 
#	 and text format (Figure 4 of the Paleoceanography manuscript). Please see the source publication for further details. 
#	 Years correspond to the Apr-Mar tropical year, e.g., 1982 = Apr 1982 to Mar 1983.
#        Provided Keywords: paleoceanography, SST, past millennium climate, tropical climate, corals
#---------------------------------------
# Publication
# Authors: Jessica E. Tierney, Nerilie J. Abram, Kevin J. Anchukaitis, Michael N. Evans, Cyril Giry, K. Halimeda Kilbourne, Casey P. Saenger, Henry C. Wu and Jens Zinke
# Published_Date_or_Year: 2015-02-16
# Published_Title: Tropical sea-surface temperatures for the past four centuries reconstructed from coral archives
# Journal_Name: Paleoceanography
# Volume: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1002/2014PA002717
# Abstract: Most annually resolved climate reconstructions of the Common Era are based on terrestrial data, making it a challenge to independently assess how recent climate changes have affected the oceans. Here, as part of the Past Global Changes (PAGES) Ocean2K project, we present four regionally calibrated and validated reconstructions of sea-surface temperatures in the tropics, based on fifty-seven published and publicly archived marine paleoclimate datasets derived exclusively from tropical coral archives. Validation exercises suggest that our reconstructions are interpretable for much of the past 400 years, depending on the availability of paleoclimate data within, and the reconstruction validation statistics for, each target region. Analysis of the trends in the data suggests that the Indian, western Pacific, and western Atlantic ocean regions were cooling until modern warming began around the 1830s. The early 1800s were an exceptionally cool period in the Indo-Pacific region, likely due to multiple large tropical volcanic eruptions occurring in the early 19th century. Decadal-scale variability is a quasi-persistent feature of all basins. 20th century warming associated with greenhouse gas emissions is apparent in the Indian, West Pacific, and Western Atlantic Oceans, but we find no evidence that either natural or anthropogenic forcings have altered El Nino-Southern Oscillation (ENSO)-related variance in tropical SSTs. Our marine-based regional paleoclimate reconstructions serve as benchmarks against which terrestrial reconstructions as well as climate model simulations can be compared, and as a basis for studying the processes by which the tropical oceans mediate climate variability and change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: IGBP PAGES (Past Global Changes)
#    Grant: 
#---------------------------------------
# Site Information
# 	Site_Name: Eastern Pacific
# 	Location: Eastern Pacific Ocean
# 	Country: 
# 	Northernmost_Latitude: 10
# 	Southernmost_Latitude: -10
# 	Easternmost_Longitude: -85
# 	Westernmost_Longitude: 175
# 	Elevation: 
#---------------------------------------
# Data_Collection
#	Collection_Name: 15EPac01
#	Earliest_Year: 1607
#	Most_recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#---------------------------------------
# Chronology:
#
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age,,,years AD,Apr-Mar,,,,N
##sst_anom	sea-surface temperature anomaly,,,degree C,Apr-Mar,,1961-1990 A.D.,Weighted CPS reconstruction,N
#
#
#----------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value:
#
age	sst_anom
1702	-0.45
1701	-0.48
1700	-0.31
1699	-0.15
1698	0.25
1697	-0.67
1696	-0.69
1695	-0.11
1694	-0.2
1693	0.14
1692	-0.12
1691	-0.33
1690	0.19
1689	0.21
1688	0.26
1687	0.55
1686	0.28
1685	-0.19
1684	-0.42
1683	-0.18
1682	-0.2
1681	0.22
1680	-0.26
1679	-0.08
1678	-0.48
1677	0.09
1676	-0.08
1675	0.09
1674	0.32
1673	0.11
1672	0.22
1671	0.21
1670	0.08
1669	-0.21
1668	0.08
1667	0.6
1666	0.55
1665	0.12
1664	0.06
1663	-0.26
1662	0.52
1661	0.09
1660	0.12
1659	-0.07
1658	0.57
1657	0.69
1656	0.28
1655	0.14
1654	-0.2
1653	0.77
1652	0.62
1651	-0.08
1650	-0.28
1649	-0.79
1648	-0.24
1647	0.11
1646	0.18
1645	-0.4
1644	0.01
1643	0.07
1642	0.6
1641	-0.06
1640	-0.19
1639	-0.46
1638	0.19
1637	0.28
1636	0.09
1635	-0.26
1634	0.08
1633	0.81
1632	0.22
1631	-1.32
1630	-0.24
1629	-0.2
1628	0.47
1627	0.12
1626	-0.31
1625	-0.42
1624	-0.58
1623	0.83
1622	0.35
1621	0.72
1620	-0.22
1619	0.19
1618	0.15
1617	-0.13
1616	-0.15
1615	-0.45
1614	-0.36
1613	-0.42
1612	-0.17
1611	0.31
1610	0.38
1609	-0.88
1608	-0.04
1607	1.06
