# Moorea Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1876
#
# Original_Source_URL: ftp:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2003-08
#--------------------
# Title
#	Study_Name: Moorea Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Boiseau, M.; Ghil, M.; Juillet-Leclerc, A.
#--------------------
# Description_and_Notes
#	Description: Coral Stable Isotope data at annual and monthly resolution from Moorea Lagoon, French Polynesia (17 30'S, 149 50'W).  The chronology has been established by associating each maximum and minimum  in d18O with each minimum (August) and maximum (March) in the SST record,  assuming a constant linear extension rate between these 2 months.
#--------------------
# Publication 
#       Authors: Boiseau, M.; Ghil, M.; Juillet-Leclerc, A.
#       Published_Date_or_Year: 1999
#       Published_Title: Climatic trends and interdecadal variability from South-Central Pacific  coral records
#       Journal_Name: Geophysical Research Letters
#       Volume: 26
#       Edition: 18
#       Issue: 
#       Pages: 2881-2884
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Boiseau, M., M. Ghil, and A. Juillet-Leclerc, 1999, Climatic trends and interdecadal variability from South-Central Pacific  coral records, Geophysical Research Letters, v. 26, No.18, pp. 2881-2884,  September 15, 1999.
#       Abstract: We study climate variability over interdecadal time scales from d13C and d18O  records, measured in a Porites lutea coral core drilled in the Moorea lagoon.  Previously, we demonstrated that the annual d18O variations reflect those  in sea-surface temperature (SST), while the annual d13C variations record  primarily cloud-cover changes.  We apply two distinct spectral analysis methods  to the d13C and d18O time series from 1853 to 1989. Our analysis of the d18O  record shows a secular warming trend and a 35-year oscillation in temperatures  over the last 137 years. A trend and a 34-year cycle are also found in the  d13C record. The latter trend may be caused by either anthropogenic effects or a cloud-cover increase in this region of the Pacific Ocean, while the  interdecadal oscillation appears to be related to changes in cloud cover,  as well as in precipitation.
#--------------------
# Publication 
#       Authors: Boiseau, M.; Juillet-Leclerc, A.; Yiou, P.; Salvat, B.; Isdale, P.; Guillaume, M.
#       Published_Date_or_Year: 1998
#       Published_Title: Atmospheric and oceanic evidences of El Ni�o-Southern  Oscillation events in the south central Pacific Ocean from coral stable  isotopic records over the last 137 years
#       Journal_Name: Paleoceanography
#       Volume: 13
#       Edition: 6
#       Issue: 
#       Pages: 671
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Boiseau, M., A. Juillet-Leclerc, P. Yiou, B. Salvat, P. Isdale, and  M. Guillaume, 1998, Atmospheric and oceanic evidences of El Ni�o-Southern  Oscillation events in the south central Pacific Ocean from coral stable  isotopic records over the last 137 years,  Paleoceanography, Vol. 13, No. 6, p. 671 (98PA02502). 
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Societe de Secours des Amis de la Science
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: IGPP Director's Laboratory Fund
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: NSF Special Creativity Award
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Moorea Lagoon, French Polynesia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>French Polynesia
#	Country: France 
#	Northernmost_Latitude: -17.5 
# 	Southernmost_Latitude: -17.5 
# 	Easternmost_Longitude: -149.83 
# 	Westernmost_Longitude: -149.83 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 99fpol01a
#	Earliest_Year: 1852
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"} 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	Delta 18 Oxygen, Porites lutea, , permil PDB, , Corals and Sclerosponges, , ,N
##d13C	Delta 13 Carbon, Porites lutea, , permil PDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d13C
1963.417	-4.28	-0.13
1963.250	-4.39	0.18
1963.000	-4.2	0.42
1962.667	-4.05	0.43
1962.417	-4.27	0.11
1962.250	-4.36	0.1
1962.000	-4.32	0.49
1961.917	-4.21	0.3
1961.667	-3.93	0.25
1961.583	-4.24	-0.07
1961.500	-4.22	0.28
1961.333	-4.52	0.15
1961.250	-4.54	-0.17
1961.000	-4.24	0.45
1960.667	-4.04	0.37
1960.583	-4.06	-0.02
1960.417	-4.32	-0.17
1960.333	-4.25	-0.07
1960.250	-4.44	0.25
1960.000	-4.44	0.27
1959.917	-4.42	0.94
1959.667	-4.29	0.36
1959.500	-4.49	-0.29
1959.417	-4.57	-0.05
1959.250	-4.59	-0.07
1959.000	-4.44	0.94
1958.667	-4.14	0.63
1958.500	-4.35	0.12
1958.417	-4.54	-0.41
1958.250	-4.64	-0.39
1958.083	-4.51	0.01
1957.917	-4.48	0.14
1957.833	-4.24	-0.08
1957.667	-4.11	0.02
1957.250	-4.52	0.43
1957.000	-4.09	0.31
1956.667	-4.09	0.34
1956.583	-4.11	0.13
1956.417	-4.18	-0.26
1956.333	-4.36	-0.36
1956.250	-4.39	0.49
1955.667	-3.92	1.16
1955.583	-4.03	0.69
1955.417	-4.17	0.25
1955.333	-4.37	0.24
1955.250	-4.38	0.28
1955.000	-4.2	0.23
1954.667	-4.2	0.07
1954.500	-4.5	-0.59
1954.250	-4.71	-0.19
1954.000	-4.17	0.22
1953.833	-4.41	0.05
1953.667	-3.99	-0.19
1953.250	-4.8	0.31
1952.667	-4.11	0.49
1952.500	-4.3	0.39
1952.417	-4.43	0.27
1952.250	-4.73	-0.01
1951.917	-4.67	0.25
1951.667	-4.14	0.3
1951.500	-4.23	-0.05
1951.417	-4.46	-0.09
1951.333	-4.52	0.1
1951.250	-4.56	-0.7
1950.917	-4.25	-0.17
1950.667	-4.12	-0.36
1950.583	-4.16	-0.49
1950.333	-4.4	-0.43
1950.250	-4.52	-0.15
1950.083	-4.46	-0.19
1950.000	-4.42	-0.26
1949.917	-4.15	0.32
1949.667	-4.14	-0.26
1949.583	-4.33	-0.87
1949.500	-4.53	-1.47
1949.417	-4.44	-0.46
1949.333	-4.56	-0.9
1949.250	-4.59	-0.62
1949.083	-4.46	-0.32
1948.917	-4.39	-0.75
1948.667	-4.17	0.11
1948.417	-4.33	-0.32
1948.250	-4.64	0.36
1948.083	-4.42	0.17
1947.833	-4.2	0.3
1947.667	-4.06	0.18
1947.583	-4.13	-0.08
1947.500	-4.3	-0.33
1947.250	-4.58	-0.16
1947.000	-4.32	0.14
1946.667	-4.16	0.03
1946.417	-4.24	-0.28
1946.250	-4.61	-0.22
1946.167	-4.29	0.38
1946.000	-4.54	-0.32
1945.917	-4.24	0.15
1945.833	-4.27	-0.05
1945.667	-4.17	-0.53
1945.583	-4.33	-0.35
1945.417	-4.42	-0.11
1945.250	-4.53	-0.21
1945.000	-4.29	0.34
1944.667	-3.97	0.3
1944.583	-4.1	-0.08
1944.500	-4.23	-0.33
1944.417	-4.36	-0.34
1944.333	-4.44	-0.47
1944.250	-4.57	-0.71
1944.000	-4.19	-0.3
1943.833	-4.14	-0.66
1943.667	-3.99	-0.34
1943.583	-3.94	-0.49
1943.417	-4.38	-0.96
1943.333	-4.41	-0.39
1943.250	-4.46	-0.3
1942.917	-4.12	0.15
1942.667	-4.09	-0.11
1942.583	-4.1	-0.76
1942.500	-4.24	-1.23
1942.417	-4.28	-1.16
1942.333	-4.41	-1.71
1942.250	-4.42	-0.45
1942.083	-4.42	-0.67
1941.917	-4.06	0.12
1941.667	-3.93	-0.16
1941.583	-4.21	-0.94
1941.417	-4.33	-0.04
1941.250	-4.47	-0.27
1940.833	-4.13	0.16
1940.667	-3.94	-0.35
1940.250	-4.3	-1.15
1940.250	-4.34	0.08
1939.667	-3.81	0.29
1939.500	-3.91	0.02
1939.417	-4.06	-0.7
1939.250	-4.43	-0.44
1939.000	-4.23	0.05
1938.667	-3.77	0.7
1938.583	-4.06	0
1938.417	-4.04	0.21
1938.333	-4.22	0.28
1938.250	-4.35	0.51
1938.000	-3.97	0.61
1937.667	-3.94	0.3
1937.250	-4.24	-0.02
1937.083	-4.19	0.29
1936.917	-4.27	0.87
1936.667	-3.9	0.59
1936.417	-4.12	0.19
1936.250	-4.34	-0.13
1936.083	-4.25	0.77
1935.917	-3.97	0.84
1935.833	-3.96	0.17
1935.667	-3.95	0.16
1935.417	-3.97	0.32
1935.250	-4.17	0.9
1935.083	-4.02	1.18
1934.917	-4.07	0.56
1934.667	-3.97	-0.04
1934.417	-4.35	-0.43
1934.250	-4.46	-0.07
1934.083	-4.45	-0.07
