# Big Round Lake, Baffin Island Varve Thickness Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:6203
#
# Original_Source_URL: ftp:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2008-11
#--------------------
# Title
#	Study_Name: Big Round Lake, Baffin Island Varve Thickness Data
#--------------------
# Investigators
#       Investigators: Thomas, E.K.; Briner, J.P. 
#--------------------
# Description_and_Notes
#	Description: Varve thickness and varve-inferred July-August September temperature  from Big Round Lake, Baffin Island, Nunavut, Canada:  69�52'N, 68�50'W, 180m elev. 
#--------------------
# Publication 
#       Authors: Thomas, E.K.; Briner, J.P. 
#       Published_Date_or_Year: 2009
#       Published_Title: Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. 
#       Journal_Name: Journal of Paleolimnology
#       Volume: 41
#       Edition: 1
#       Issue: 
#       Pages: 209-224
#       DOI: 10.1007/s10933-008-9258-7
#       Online_Resource: 
#       Full_Citation: Thomas, E.K. and J.P. Briner. 2009. Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. Journal of Paleolimnology, 41(1), 209-224. doi: 10.1007/s10933-008-9258-7
#       Abstract: This study uses 239+240Pu-dated varved sediments from Big Round Lake, a proglacial lake on northeast Baffin Island, Arctic Canada to generate a 1000-year-long, annual-resolution record of past climate. Varve thickness is positively correlated with July-August-September temperature measured at Clyde River, 70 km to the north of the lake (r = 0.46, p<0.001). We therefore interpret the variability and trends in varve thickness to partially represent summer temperature. The coolest Little Ice Age temperatures occurred in this record from 1575 to 1760 AD and were approximately 1.5C cooler than today (average from 1995 to 2005 AD) and 0.2C cooler than the last millennium (average from 1000 to 2000 AD). Pre-twentieth-century warmth occurred during two intervals, 970-1150 AD and 1375-1575 AD; temperatures were approximately 1.2C cooler than today, but 0.1C warmer than the last millennium. The Big Round Lake varve-thickness record contains features similar to that reconstructed elsewhere in the eastern Canadian Arctic. This high-resolution quantitative record expands our understanding of arctic climate during the past millennium.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation
#       Grant: Graduate Research Fellowship
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Geological Society of America
#       Grant: student research grant
#------------------
# Site_Information 
#       Site_Name: Big Round Lake, Baffin Island, Canada
#       Location: North America>Canada
#	Country: Canada  
#	Northernmost_Latitude: 69.866 
# 	Southernmost_Latitude: 69.866 
# 	Easternmost_Longitude: -68.833 
# 	Westernmost_Longitude: -68.833 
# 	Elevation: 180 m  
#------------------
# Data_Collection   
#	Collection_Name: 09cana01a 
#	Earliest_Year: 971
#	Most_Recent_Year: 2003
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"PAGES1"} 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Lake Cores, , ,N
##varve	varve thickness, varve sediment, , , , Lake Cores, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	varve
1736	0.116
1735	0.597
1734	0.559
1733	0.27
1732	0.128
1731	0.456
1730	0.279
1729	0.238
1728	0.624
1727	0.264
1726	0.573
1725	0.495
1724	0.417
1723	0.27
1722	0.154
1721	0.622
1720	0.179
1719	0.43
1718	0.097
1717	2.007
1716	1.266
1715	0.145
1714	0.685
1713	0.641
1712	0.385
1711	0.291
1710	0.231
1709	0.214
1708	0.419
1707	0.103
1706	0.111
1705	0.13
1704	0.205
1703	0.103
1702	0.231
1701	0.122
1700	0.141
1699	0.16
1698	0.205
1697	0.154
1696	0.41
1695	0.635
1694	0.372
1693	0.648
1692	0.257
1691	0.758
1690	0.225
1689	0.277
1688	0.218
1687	0.135
1686	0.584
1685	0.212
1684	0.353
1683	0.507
1682	0.084
1681	1.002
1680	0.346
1679	0.474
1678	1.046
1677	0.129
1676	0.239
1675	0.845
1674	0.443
1673	0.62
1672	0.247
1671	0.244
1670	0.162
1669	0.245
1668	0.971
1667	0.359
1666	0.647
1665	0.622
1664	0.205
1663	0.436
1662	0.167
1661	0.276
1660	0.122
1659	0.263
1658	0.397
1657	0.366
1656	0.508
1655	0.494
1654	0.776
1653	0.603
1652	0.449
1651	0.295
1650	0.302
1649	0.475
1648	0.212
1647	0.353
1646	0.347
1645	0.398
1644	0.437
1643	0.367
1642	0.424
1641	0.462
1640	0.437
1639	0.224
1638	0.269
1637	0.154
1636	0.308
1635	0.276
1634	0.546
1633	1.519
1632	0.29
1631	0.155
1630	0.303
1629	0.188
1628	0.688
1627	0.466
1626	0.149
1625	0.308
1624	0.345
1623	0.456
1622	0.437
1621	0.772
1620	0.232
1619	0.172
1618	0.241
1617	0.317
1616	0.729
1615	0.163
1614	0.257
1613	0.513
1612	0.171
1611	0.361
1610	0.412
1609	0.223
1608	0.488
1607	0.109
1606	0.501
1605	0.295
1604	0.173
1603	0.379
1602	0.61
1601	0.578
1600	0.257
1599	0.591
1598	0.199
1597	0.199
1596	0.641
1595	0.6185
1594	0.5495
1593	0.3825
1592	0.249
1591	0.14
1590	0.251
1589	0.125
1588	0.1305
1587	0.5455
1586	0.39
1585	1.053
1584	0.287
1583	0.445
1582	0.4085
1581	0.97
1580	1.1535
1579	0.673
1578	0.1435
1577	0.3245
1576	0.4995
1575	0.6165
1574	5.383
1573	3.187
1572	1.9375
1571	1.256
1570	0.327
1569	1.2795
1568	0.263
1567	0.3275
1566	2.293
1565	0.5235
1564	1.1325
1563	2.734
1562	0.843
1561	1.1205
1560	0.3655
1559	0.968
1558	0.277
1557	0.809
1556	1.111
1555	0.1845
1554	0.58
1553	1.063
1552	0.869
1551	0.6925
1550	0.5215
1549	1.0025
1548	0.533
1547	0.198
1546	0.119
1545	0.1505
1544	0.311
1543	0.252
1542	0.704
1541	0.953
1540	1.544
1539	0.807
1538	0.609
1537	1.0425
1536	1.679
1535	2.266
1534	0.2405
1533	0.4555
1532	1.3545
1531	0.4745
1530	0.527
1529	0.954
1528	1.108
1527	1.1585
1526	0.881
1525	0.608
1524	1.197
1523	0.7175
1522	0.6715
1521	0.384
1520	0.308
1519	2.82
1518	0.109
1517	0.139
1516	0.392
1515	0.332
1514	2.239
1513	2.119
1512	0.737
1511	1.48
1510	0.252
1509	0.212
1508	0.749
1507	0.211
1506	0.181
1505	5.519
1504	0.408
1503	1.003
1502	0.491
1501	0.525
1500	0.43
1499	0.438
1498	1.346
1497	0.361
1496	0.434
1495	2.047
1494	0.316
1493	0.561
1492	1.806
1491	0.791
1490	0.315
1489	1.492
1488	0.529
1487	0.487
1486	0.376
1485	0.285
1484	4.178
1483	0.697
1482	0.133
1481	0.122
1480	0.122
1479	0.829
1478	0.56
1477	0.578
1476	0.316
1475	1.242
1474	0.144
