# Houtman Abrolhos Island Sr/Ca, Oxygen Isotopes, SST and Sea-Level Reconstruction Data from 1795-2010
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:0::::P1_STUDY_ID:16316
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/zinke2014/zinke2014-hai.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#--------------------
# Contribution_Date
#	Date: 2014-04-07
#--------------------
# Title
#	Study_Name: Houtman Abrolhos Island Sr/Ca, Oxygen Isotopes, SST and Sea-Level Reconstruction Data from 1795-2010
#--------------------
# Investigators
#       Investigators: Zinke, J.; Rountrey, A.; Feng, M.; Xie, S.-P.; Dissard, D.; Rankenburg, K.; Lough, J.M.; McCulloch, M.T. 
#--------------------
# Description_and_Notes
#	Description: The dataset contains mean annual Sr/Ca and oxygen isotope data, SST reconstructions and sea-level reconstructions relative to the 1900-1993 mean. Southeastern Indian Ocean, Sr/Ca, stable isotopes, SST, sea-level height
#--------------------
# Publication 
#       Authors: Zinke, J.; Rountrey, A.; Feng, M.; Xie, S.-P.; Dissard, D.; Rankenburg, K.; Lough, J.M.; McCulloch, M.T.
#       Published_Date_or_Year: 2014     
#       Published_Title: Corals record long-term Leeuwin Current variability including Ningaloo Niño/Niña since 179
#       Journal_Name: Nature Communications
#       Volume: 5
#       Edition: 
#       Issue: 3607
#       Pages: 
#       DOI: 10.1038/ncomms4607
#       Online_Resource: 
#       Full_Citation: Zinke, J., A. Rountrey, M. Feng, S.P. Xie, D. Dissard, K. Rankenburg, J. Lough, and M.T. McCulloch. 2014. Corals record long-term Leeuwin Current variability including Ningaloo Niño/Niña since 1795. Nature Communications, 5, 3607. doi: 10.1038/ncomms4607
#       Abstract: Variability of the Leeuwin current (LC) off Western Australia is a footprint of interannual and decadal climate variations in the tropical Indo-Pacific. La Niña events often result in a strengthened LC, high coastal sea levels and unusually warm sea surface temperatures (SSTs), termed Ningaloo Niño. The rarity of such extreme events and the response of the southeastern Indian Ocean to regional and remote climate forcing are poorly understood owing to the lack of long-term records. Here we use well-replicated coral SST records from within the path of the LC, together with a reconstruction of the El Niño-Southern Oscillation to hindcast historical SST and LC strength from 1795 to 2010. We show that interannual and decadal variations in SST and LC strength characterized the past 215 years and that the most extreme sea level and SST anomalies occurred post 1980. These recent events were unprecedented in severity and are likely aided by accelerated global ocean warming and sea-level rise.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Houtman Abrolhos Islands
#       Location: Australia/New Zealand>Australia
#	Country: Australia
#	Northernmost_Latitude: -28.47 
# 	Southernmost_Latitude: -28.47
# 	Easternmost_Longitude: 113.75
# 	Westernmost_Longitude: 113.75
# 	Elevation: -8.5 m
#------------------
# Data_Collection   
#	Collection_Name: 14aust01c
#	Earliest_Year: 1795
#	Most_Recent_Year: 2010
#	Time_Unit: y_ad
#	Core_Length: 1.29 m
#	Notes: Previous name HAI Composite Z14. From Zinke et al.(2014): a 215-year record of reconstructed mean annual SST is derived from coral δ18O and/or Sr/Ca variations in three cores from the HAIs (Figs 1a, 2a–c; Supplementary Figs 2–5; Supplementary Tables 1 and 2). In brief, we first, normalized (subtract mean and divide by s.d.) each individual coral record to its variance using the time period 1900–1993 shared by all cores; second, aligned the new annually resolved Sr/Ca and δ18O records with the Kuhnert et al.12 annual time series, and third, averaged all records to form a composite chronology that extends from 1795 to 2010. We converted our normalized coral composite proxy record to SST by scaling it to the s.d. of extended reconstructed SST (ERSST)v3b17 (over the period 1900–1993), the longest continuous SST data set for the HAI region.

#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, ,Climate Reconstructions, , ,N
##sst	sea surface temperature,Sr/Ca and d18O Porites sp.,,degrees Celsius,,Climate Reconstructions,1900-93 normalized,,N
##sst_err	sea surface temperature,Sr/Ca and d18O Porites sp.,2sigma error,degrees Celsius,,Climate Reconstructions,1900-93 normalized,,N
##sst_comp	coral composite,Sr/Ca and d18O Porites sp.,, ,,Climate Reconstructions,1900-93 normalized,,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	sst	sst_err	sst_comp
1912	-0.473793827	0.11906	1.296289541
1913	-0.573898722	0.20247	1.570174343
1914	-0.503572002	0.21385	1.377761975
1915	-0.295938424	0.15816	0.809681051
1916	0.066790842	0.11215	-0.182738282
1917	-0.203680081	0.14096	0.557264244
1918	0.205692223	0.14513	-0.562769421
1919	-0.184887893	0.16224	0.505849229
1920	0.026626750	0.13841	-0.072850206
1921	0.333211122	0.16612	-0.911658338
1922	0.318678233	0.16161	-0.871896669
1923	-0.204875723	0.18674	0.560535494
1924	-0.294256273	0.18638	0.805078721
1925	-0.198263034	0.21941	0.542443322
1926	-0.292978002	0.18456	0.801581402
1927	-0.116074319	0.14993	0.317576796
1928	-0.106176933	0.14341	0.290497764
1929	-0.124977660	0.14227	0.341936143
1930	-0.010873564	0.12692	0.029749832
1931	-0.329707636	0.20495	0.902072875
1932	0.034563567	0.09864	-0.094565163
1933	-0.128498182	0.13752	0.351568213
1934	0.383528279	0.14914	-1.049324978
1935	-0.064971307	0.15870	0.177760073
1936	-0.043512071	0.10717	0.119048073
1937	-0.147073964	0.17790	0.402391145
1938	-0.176077531	0.15540	0.481744270
1939	-0.000550979	0.14118	0.001507465
1940	-0.095322485	0.14548	0.260800231
1941	-0.190185071	0.17533	0.520342192
1942	-0.150787613	0.14542	0.412551608
1943	0.372338565	0.15973	-1.018710164
1944	-0.262361065	0.18148	0.717814131
1945	-0.003191785	0.14404	0.008732653
1946	-0.215518717	0.16337	0.589654493
1947	0.050321771	0.16065	-0.137679263
1948	0.263470205	0.10526	-0.720848713
1949	0.208529235	0.11352	-0.570531423
1950	-0.113990527	0.11544	0.311875586
1951	0.048264808	0.14382	-0.132051458
1952	0.309321141	0.05623	-0.846295872
1953	0.069444344	0.13709	-0.189998205
1954	-0.388553057	0.22396	1.063072658
1955	-0.170691966	0.14926	0.467009483
1956	-0.131081692	0.16006	0.358636641
1957	-0.143641900	0.15045	0.393001095
1958	0.097982013	0.11722	-0.268076643
1959	-0.035239736	0.15187	0.096415145
1960	-0.269500322	0.19209	0.737346983
1961	0.117241115	0.10442	-0.320769124
1962	0.092908870	0.13163	-0.254196635
1963	0.527450142	0.23267	-1.443092043
1964	0.085494769	0.12095	-0.233911816
1965	0.104116363	0.15224	-0.284860090
1966	0.038556756	0.11605	-0.105490441
1967	0.021145408	0.11538	-0.057853374
1968	-0.068628009	0.12626	0.187764730
1969	-0.324034819	0.18218	0.886552172
1970	0.145398301	0.10046	-0.397806569
1971	-0.164448129	0.17295	0.449926482
1972	0.300611898	0.10374	-0.822467574
1973	0.328567190	0.12990	-0.898952641
1974	0.306978019	0.10299	-0.839885140
1975	0.479655879	0.12822	-1.312327986
1976	0.367973898	0.14536	-1.006768530
1977	0.386619665	0.11428	-1.057782942
1978	0.688384841	0.22341	-1.883405858
1979	0.348103828	0.15371	-0.952404455
1980	0.470476701	0.13082	-1.287213957
1981	0.224442496	0.13661	-0.614069757
1982	0.253964975	0.15159	-0.694842613
1983	0.466036270	0.18768	-1.275065035
1984	0.037366621	0.09970	-0.102234257
1985	0.036013457	0.14207	-0.098532031
1986	-0.197528549	0.16949	0.540433786
1987	0.364426141	0.11143	-0.997061944
1988	0.404171886	0.11204	-1.105805435
1989	0.752093157	0.20536	-2.057710416
1990	0.573691389	0.17158	-1.569607083
1991	0.289853002	0.10582	-0.793031470
1992	0.417374820	0.16387	-1.141928372
1993	-0.015201320	0.12391	0.041590479
1994	0.413378936	0.10994	-1.130995721
1995	0.439084937	0.14573	-1.201326777
1996	0.700751635	0.22574	-1.917241135
1997	0.358728137	0.12584	-0.981472331
1998	0.442683248	0.14670	-1.211171678
1999	0.979684416	0.22672	-2.680395120
2000	0.773334488	0.24998	-2.115826234
2001	0.338018106	0.12135	-0.924810140
2002	0.316417836	0.11702	-0.865712273
2003	0.402952623	0.13635	-1.102469557
2004	0.089477881	0.10241	-0.244809524
2005	0.213071955	0.10248	-0.582960204
2006	0.338285442	0.12141	-0.925541565
2007	0.366782768	0.12766	-1.003509625
2008	0.788959540	0.25526	-2.158576033
2009	0.443672644	0.14696	-1.213878643
2010	0.447882233	0.14810	-1.225395987
